player_id,jersey_no,first_name,last_name,team_id,games_played,total_ice_time,ev_icetime,goals,primary_assists,secondary_assists,ev_goals,ev_primary_assists,ev_secondary_assists,shots,ev_shots,passes,ev_passes,ze_controlled_entry,ze_uncontrolled_entry,ze_controlled_exit,ze_uncontrolled_exit,penalties_taken,penalties_drawn,team_ev_shots_for,team_ev_shots_against
311,35,Charlie,Lindgren,STJ,22,22:16:48,17:22:32,0,0,0,0,0,0,1,1,31,24,0,0,1,0,0,0,832,1054
463,30,Linus,Ullmark,RCH,21,20:24:23,16:03:17,0,0,0,0,0,0,0,0,20,15,0,1,0,1,1,1,722,997
37,34,Alex,Lyon,LV,20,19:03:03,13:25:34,0,1,0,0,1,0,0,0,11,9,1,0,1,1,0,1,777,667
138,30,Vitek,Vanecek,HER,18,17:48:08,10:47:39,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,1,531,561
4,35,Tristan,Jarry,WIL,17,16:42:41,13:41:36,0,0,0,0,0,0,1,1,13,7,0,0,0,0,1,3,850,713
386,30,Antoine,Bibeau,TOR,16,15:51:57,11:04:10,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,1,682,518
208,45,Magnus,Hellberg,HAR,15,15:26:45,12:07:43,0,0,0,0,0,0,0,0,7,7,0,0,0,0,1,1,666,723
241,50,Kristers,Gudlevskis,SYR,17,15:18:14,10:51:17,0,0,1,0,0,0,0,0,10,5,0,0,0,0,2,2,687,490
430,29,Matt,OConnor,BNG,16,15:08:57,11:28:06,0,0,2,0,0,2,1,0,27,25,0,1,0,1,2,0,645,724
243,32,Adam,Wilcox,SYR,17,14:39:59,11:54:23,0,0,0,0,0,0,0,0,37,29,0,0,0,2,1,1,640,560
348,30,Thatcher,Demko,UTI,16,14:28:34,9:37:04,0,0,1,0,0,0,0,0,12,9,0,2,0,2,1,0,550,556
136,35,Joe,Cannata,HER,15,14:18:56,10:00:53,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,2,502,487
167,20,Reto,Berra,SPR,15,13:50:49,11:08:00,0,0,1,0,0,0,0,0,24,23,1,0,1,1,1,0,559,581
169,56,Mike,McKenna,SPR,13,13:02:03,9:09:33,0,0,0,0,0,0,0,0,22,15,0,0,1,1,1,0,502,491
274,41,Ken,Appleby,ALB,12,12:01:36,7:57:31,0,0,0,0,0,0,0,0,16,14,0,0,0,0,0,2,448,408
66,31,Zane,McIntyre,PRO,12,11:23:40,8:34:04,0,0,0,0,0,0,0,0,31,29,0,0,0,0,0,2,481,497
73,3,Tommy,Cross,PRO,31,11:23:28,8:17:56,4,3,4,0,2,2,118,98,724,552,16,131,135,115,10,4,471,510
67,47,Malcolm,Subban,PRO,14,11:11:49,9:37:57,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,557,544
