rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
1,26,US,Brian O'Neill,F,71,22,58,80,55,30,9,2,,0.31,0.817,1.127
2,26,US,Andy Miele,F,71,26,44,70,42,10,8,0,,0.366,0.62,0.986
3,22,CA,Jordan Weal,F,73,20,49,69,56,11,8,0,,0.274,0.671,0.945
4,24,CA,Jonathan Audy-Marchessault,F,68,24,43,67,38,7,6,1,,0.353,0.632,0.985
5,28,US,Christopher Bourque,F,73,29,37,66,68,6,11,0,,0.397,0.507,0.904
6,22,US,Shane Prince,F,72,28,37,65,31,7,9,0,,0.389,0.514,0.903
7,23,CA,Andrew Agozzino,F,74,30,34,64,55,2,7,3,,0.405,0.459,0.865
8,26,CA,Dustin Jeffrey,F,69,25,39,64,22,19,7,0,,0.362,0.565,0.928
9,30,US,Travis Morin,F,63,22,41,63,40,-3,4,2,,0.349,0.651,1
10,22,FI,Teemu Pulkkinen,F,46,34,27,61,30,1,10,0,,0.739,0.587,1.326
11,21,CA,Alan Quine,F,75,23,38,61,34,-11,7,0,,0.307,0.507,0.813
12,20,CA,Connor Brown,F,76,21,40,61,10,24,3,0,,0.276,0.526,0.803
13,24,US,Chris Wideman,D,75,19,42,61,116,9,7,0,,0.253,0.56,0.813
14,28,CA,Cal O'Reilly,F,76,10,51,61,10,10,1,1,,0.132,0.671,0.803
15,26,US,Andrew Miller,F,63,27,33,60,16,11,9,0,,0.429,0.524,0.952
16,26,US,Joe Whitney,F,66,23,37,60,64,-3,8,0,,0.348,0.561,0.909
17,29,US,T.J. Hensick,F,75,19,41,60,10,-12,1,0,,0.253,0.547,0.8
18,27,US,Bobby Butler,F,68,27,32,59,37,7,6,1,,0.397,0.471,0.868
19,28,US,Tim Kennedy,F,75,11,48,59,56,7,3,0,,0.147,0.64,0.787
20,24,US,Cole Schneider,F,69,29,29,58,14,3,8,1,,0.42,0.42,0.841
21,23,CA,Yanni Gourde,F,76,29,28,57,61,13,8,1,,0.382,0.368,0.75
22,20,CA,Charles Hudon,F,75,19,38,57,68,5,3,0,,0.253,0.507,0.76
23,23,SE,Oscar Lindberg,F,75,28,28,56,68,7,10,0,,0.373,0.373,0.747
24,21,CA,Nick Cousins,F,64,22,34,56,73,2,9,0,,0.344,0.531,0.875
25,26,US,Paul Thompson,F,73,33,22,55,67,5,13,1,,0.452,0.301,0.753
26,21,SE,Viktor Arvidsson,F,70,22,33,55,43,1,8,0,,0.314,0.471,0.786
27,27,US,Casey Wellman,F,73,25,29,54,28,6,6,0,,0.342,0.397,0.74
28,20,CA,Brendan Leipsic,F,74,14,40,54,22,5,6,0,,0.189,0.541,0.73
29,24,CA,Jason Akeson,F,57,23,30,53,25,-11,8,3,,0.404,0.526,0.93
30,34,CA,Jason Williams,F,72,21,32,53,30,-14,9,0,,0.292,0.444,0.736
31,30,US,Matthew Ford,F,69,19,34,53,34,-4,7,1,,0.275,0.493,0.768
32,25,US,T.J. Brennan,D,73,12,41,53,71,17,3,0,,0.164,0.562,0.726
33,22,CA,Colin Miller,D,70,19,33,52,82,11,10,0,,0.271,0.471,0.743
34,31,US,Chris Conner,F,61,19,33,52,10,7,6,1,,0.311,0.541,0.852
35,26,US,Carter Camper,F,75,15,37,52,16,4,2,0,,0.2,0.493,0.693
36,29,CA,Alexandre Bolduc,F,62,23,28,51,106,14,7,2,,0.371,0.452,0.823
37,26,CA,Brad Hunt,D,62,19,32,51,18,-6,8,0,,0.306,0.516,0.823
38,22,CA,Brendan Ranford,F,73,18,33,51,22,5,5,0,,0.247,0.452,0.699
