rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
1,29,US,Christopher Bourque,F,72,30,50,80,56,17,10,0,,0.417,0.694,1.111
2,22,CA,Seth Griffith,F,57,24,53,77,32,20,3,0,,0.421,0.93,1.351
3,26,US,T.J. Brennan,D,69,25,43,68,53,34,9,0,,0.362,0.623,0.986
4,22,RU,Alexander Khokhlachev,F,60,23,45,68,12,9,11,0,,0.383,0.75,1.133
5,27,US,Andy Miele,F,75,18,44,62,77,18,2,2,,0.24,0.587,0.827
6,23,US,Austin Czarnik,F,68,20,41,61,24,17,6,3,,0.294,0.603,0.897
7,27,CA,Bud Holloway,F,70,19,42,61,14,-13,10,0,,0.271,0.6,0.871
8,19,FI,Mikko Rantanen,F,52,24,36,60,42,20,5,1,,0.462,0.692,1.154
9,27,US,Mark Arcobello,F,49,25,34,59,22,19,8,2,,0.51,0.694,1.204
10,23,CA,Brendan Ranford,F,76,19,40,59,49,-1,4,0,,0.25,0.526,0.776
11,23,US,Kenny Agostino,F,65,23,34,57,18,-3,8,0,,0.354,0.523,0.877
12,29,US,Chris Mueller,F,63,20,37,57,60,-10,8,0,,0.317,0.587,0.905
13,21,CA,Brandon Montour,D,68,12,45,57,42,0,6,0,,0.176,0.662,0.838
14,26,US,Eric Tangradi,F,72,28,28,56,66,17,7,0,,0.389,0.389,0.778
15,26,CA,Carter Rowney,F,74,24,32,56,37,23,4,2,,0.324,0.432,0.757
16,25,US,Cole Schneider,F,73,21,35,56,53,-20,7,3,,0.288,0.479,0.767
17,22,CA,Colin Smith,F,77,20,36,56,37,4,3,1,,0.26,0.468,0.727
18,21,US,Frank Vatrano,F,36,36,19,55,22,21,12,0,,1,0.528,1.528
19,21,US,Riley Barber,F,74,26,29,55,34,4,7,0,,0.351,0.392,0.743
20,24,CA,Curtis McKenzie,F,61,24,31,55,120,11,6,3,,0.393,0.508,0.902
21,29,US,Derek Ryan,F,70,23,32,55,24,5,7,0,,0.329,0.457,0.786
22,29,US,Sean Backman,F,68,21,34,55,36,7,8,1,,0.309,0.5,0.809
23,25,CA,Phil Varone,F,65,19,36,55,28,-21,6,1,,0.292,0.554,0.846
24,24,US,Ryan Carpenter,F,66,18,37,55,33,20,6,0,,0.273,0.561,0.833
25,32,US,Chris Conner,F,58,16,39,55,14,2,3,0,,0.276,0.672,0.948
26,21,CA,Brendan Leipsic,F,65,20,34,54,55,16,5,1,,0.308,0.523,0.831
27,25,CA,Matt Lorito,F,71,18,36,54,26,16,5,0,,0.254,0.507,0.761
28,31,US,Travis Morin,F,63,15,39,54,36,-2,4,2,,0.238,0.619,0.857
29,22,CH,Tanner Richard,F,71,11,43,54,57,-4,2,0,,0.155,0.606,0.761
30,21,CA,Charles Hudon,F,67,28,25,53,79,-3,10,0,,0.418,0.373,0.791
31,27,US,Mike Sislo,F,57,27,26,53,18,16,14,3,,0.474,0.456,0.93
32,34,CA,Bracken Kearns,F,73,23,30,53,76,17,5,2,,0.315,0.411,0.726
33,20,CA,Jason Dickinson,F,73,22,31,53,32,10,7,3,,0.301,0.425,0.726
34,22,US,Travis Boyd,F,76,21,32,53,24,6,7,0,,0.276,0.421,0.697
35,29,US,Pat Cannone,F,73,20,32,52,38,5,5,1,,0.274,0.438,0.712
36,36,CA,Tom Kostopoulos,F,75,19,33,52,97,2,10,0,,0.253,0.44,0.693
37,25,CA,Jason Akeson,F,73,13,39,52,18,-21,6,0,,0.178,0.534,0.712
38,31,US,Matthew Ford,F,64,27,24,51,60,-3,12,2,,0.422,0.375,0.797
39,21,CA,Hunter Shinkaruk,F,62,27,24,51,20,1,11,0,,0.435,0.387,0.823
40,29,US,Bryan Lerg,F,64,21,30,51,37,-8,5,0,,0.328,0.469,0.797
41,21,US,Vince Hinostroza,F,66,18,33,51,24,7,3,1,,0.273,0.5,0.773
42,19,CH,Kevin Fiala,F,66,18,32,50,78,-19,5,0,,0.273,0.485,0.758
