AHL_GP,AHL_total_TOI,AHL_goals,primary_assists,secondary_assists,ev_goals,ev_primary_assists,ev_secondary_assists,AHL_shots,ev_shots,passes,ev_passes,ze_controlled_entry,ze_uncontrolled_entry,ze_controlled_exit,ze_uncontrolled_exit,penalties_taken,penalties_drawn,team_ev_shots_for,team_ev_shots_against,GP,G,A,P,PlusMinus,PIM,PointPerGame,PPG,PPP,SHG,SHP,GWG,OTG,S,ShootingPercentage,NHL_TOIPerGame_sec,ShiftsPerGame,FaceoffWinPercentage
24,32795,2,3,7,0,2,4,94,60,696,433,25,63,84,62,8,8,318,316,9,0,0,0,0,2,0,0,0,0,0,0,0,6,0,1016,21.7,0
24,32795,2,3,7,0,2,4,94,60,696,433,25,63,84,62,8,8,318,316,20,1,2,3,-13,10,0.15,0,0,0,0,0,0,23,4.3,887,20.9,0
24,32795,2,3,7,0,2,4,94,60,696,433,25,63,84,62,8,8,318,316,8,0,2,2,4,2,0.25,0,0,0,0,0,0,8,0,743,17.5,0
24,32795,2,3,7,0,2,4,94,60,696,433,25,63,84,62,8,8,318,316,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,770,16.5,0
24,32795,2,3,7,0,2,4,94,60,696,433,25,63,84,62,8,8,318,316,2,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,770,16.5,0
6,7667,1,1,1,0,1,0,21,15,108,81,6,18,13,18,3,1,88,116,9,0,2,2,-1,0,0.22,0,0,0,0,0,0,8,0,1054,21.1,0
23,23619,5,5,3,0,4,3,86,72,278,209,68,53,52,23,5,6,305,213,26,3,0,3,-9,11,0.12,0,0,0,0,0,0,40,7.5,708,17,0
6,7667,1,1,1,0,1,0,21,15,108,81,6,18,13,18,3,1,88,116,44,3,7,10,-5,6,0.23,0,0,0,0,0,0,40,7.5,1010,19.7,0
23,23619,5,5,3,0,4,3,86,72,278,209,68,53,52,23,5,6,305,213,26,3,0,3,-9,11,0.12,0,0,0,0,0,0,40,7.5,708,17,0
6,7667,1,1,1,0,1,0,21,15,108,81,6,18,13,18,3,1,88,116,44,3,7,10,-5,6,0.23,0,0,0,0,0,0,40,7.5,1010,19.7,0
29,32239,5,9,7,0,4,4,173,130,649,507,33,78,108,83,7,4,495,378,2,2,0,2,3,2,1,0,0,0,0,0,0,2,100,730,18.5,0
1,1365,0,0,0,0,0,0,2,2,18,11,1,3,3,4,1,0,10,13,7,1,0,1,-2,0,0.14,0,0,0,0,1,0,7,14.3,947,24.3,0
1,1365,0,0,0,0,0,0,2,2,18,11,1,3,3,4,1,0,10,13,51,0,7,7,-11,22,0.14,0,0,0,0,0,0,61,0,1005,24.2,0
29,32239,5,9,7,0,4,4,173,130,649,507,33,78,108,83,7,4,495,378,5,0,0,0,-2,7,0,0,0,0,0,0,0,4,0,794,19,0
1,1365,0,0,0,0,0,0,2,2,18,11,1,3,3,4,1,0,10,13,36,0,3,3,-4,18,0.08,0,0,0,0,0,0,37,0,790,19.5,0
1,1365,0,0,0,0,0,0,2,2,18,11,1,3,3,4,1,0,10,13,36,0,3,3,-4,18,0.08,0,0,0,0,0,0,37,0,790,19.5,0
23,21909,4,2,3,0,2,2,60,50,387,285,44,38,53,23,2,5,252,246,4,0,1,1,-2,0,0.25,0,0,0,0,0,0,4,0,739,15.5,0
23,21909,4,2,3,0,2,2,60,50,387,285,44,38,53,23,2,5,252,246,4,0,1,1,-2,0,0.25,0,0,0,0,0,0,4,0,739,15.5,0
26,26050,9,6,5,0,3,2,109,85,478,318,64,45,54,29,7,6,335,251,6,0,0,0,-4,2,0,0,0,0,0,0,0,9,0,688,16.2,50
26,26050,9,6,5,0,3,2,109,85,478,318,64,45,54,29,7,6,335,251,3,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,389,9.7,100
26,26050,9,6,5,0,3,2,109,85,478,318,64,45,54,29,7,6,335,251,3,0,0,0,-1,0,0,0,0,0,0,0,0,1,0,389,9.7,100
21,20479,2,1,1,0,1,0,35,27,322,248,7,29,42,43,10,6,217,298,5,0,0,0,-3,2,0,0,0,0,0,0,0,3,0,637,17,0
21,20479,2,1,1,0,1,0,35,27,322,248,7,29,42,43,10,6,217,298,5,0,0,0,-3,2,0,0,0,0,0,0,0,3,0,637,17,0
26,27589,0,3,2,0,1,2,70,47,386,282,17,71,64,65,8,3,284,303,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,761,22,0
26,27589,0,3,2,0,1,2,70,47,386,282,17,71,64,65,8,3,284,303,33,0,1,1,-13,10,0.03,0,0,0,0,0,0,28,0,1052,26.3,0
25,26920,0,1,1,0,1,1,54,34,461,313,14,70,61,52,13,12,248,277,12,0,2,2,-6,12,0.17,0,0,0,0,0,0,5,0,924,20.2,0
26,27589,0,3,2,0,1,2,70,47,386,282,17,71,64,65,8,3,284,303,6,0,1,1,0,2,0.17,0,0,0,0,0,0,1,0,695,20.2,0
17,20119,0,0,0,0,0,0,67,40,279,171,9,46,38,34,14,7,183,219,13,0,0,0,-3,18,0,0,0,0,0,0,0,11,0,657,16.8,0
20,18862,3,8,7,0,6,5,61,45,417,294,65,41,48,10,7,8,295,194,7,0,0,0,-3,6,0,0,0,0,0,0,0,4,0,536,12,25
20,18862,3,8,7,0,6,5,61,45,417,294,65,41,48,10,7,8,295,194,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,542,14,66.7
20,18862,3,8,7,0,6,5,61,45,417,294,65,41,48,10,7,8,295,194,7,0,2,2,4,5,0.29,0,0,0,0,0,0,6,0,561,13.3,35.7
16,14827,3,1,1,0,1,1,45,40,135,109,36,61,38,33,3,6,164,161,19,1,1,2,-2,7,0.11,0,0,0,0,0,0,26,3.8,526,12.5,0
16,14827,3,1,1,0,1,1,45,40,135,109,36,61,38,33,3,6,164,161,19,1,1,2,-2,7,0.11,0,0,0,0,0,0,26,3.8,526,12.5,0
1,1225,0,0,1,0,0,1,4,4,48,45,5,1,3,1,0,0,37,11,49,5,8,13,-10,12,0.27,0,3,0,0,1,0,66,7.6,780,18.6,42.9
1,1225,0,0,1,0,0,1,4,4,48,45,5,1,3,1,0,0,37,11,49,5,8,13,-10,12,0.27,0,3,0,0,1,0,66,7.6,780,18.6,42.9
28,25569,4,3,0,0,2,0,48,42,235,183,31,55,41,39,9,7,207,385,2,0,0,0,-1,5,0,0,0,0,0,0,0,0,0,544,12,31.3
28,25569,4,3,0,0,2,0,48,42,235,183,31,55,41,39,9,7,207,385,5,0,0,0,0,2,0,0,0,0,0,0,0,3,0,403,10.4,50
24,30195,1,5,2,0,4,2,79,66,507,397,23,89,136,92,9,5,313,404,5,0,1,1,1,2,0.2,0,0,0,0,0,0,3,0,819,17.4,0
24,30195,1,5,2,0,4,2,79,66,507,397,23,89,136,92,9,5,313,404,9,0,2,2,-3,4,0.22,0,0,0,0,0,0,8,0,1108,27.1,0
24,30195,1,5,2,0,4,2,79,66,507,397,23,89,136,92,9,5,313,404,6,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,1068,25.2,0
29,19544,3,1,0,0,1,0,84,58,220,152,30,63,43,27,12,14,214,187,3,0,0,0,-4,4,0,0,0,0,0,0,0,7,0,653,15.7,0
24,30195,1,5,2,0,4,2,79,66,507,397,23,89,136,92,9,5,313,404,9,0,2,2,-3,4,0.22,0,0,0,0,0,0,8,0,1108,27.1,0
24,30195,1,5,2,0,4,2,79,66,507,397,23,89,136,92,9,5,313,404,6,0,0,0,-1,0,0,0,0,0,0,0,0,3,0,1068,25.2,0
29,19544,3,1,0,0,1,0,84,58,220,152,30,63,43,27,12,14,214,187,3,0,0,0,-4,4,0,0,0,0,0,0,0,7,0,653,15.7,0
25,27709,10,6,4,0,2,4,80,64,355,230,51,42,51,21,8,5,298,279,7,1,1,2,0,2,0.29,0,0,0,0,0,0,10,10,722,16.9,0
23,20135,8,4,4,0,4,4,67,50,220,165,49,36,60,21,6,6,213,204,23,1,1,2,-7,27,0.09,0,0,0,0,0,0,29,3.4,770,17.3,42.5
25,27709,10,6,4,0,2,4,80,64,355,230,51,42,51,21,8,5,298,279,10,0,1,1,-5,4,0.1,0,0,0,0,0,0,9,0,782,16.8,51.1
23,20135,8,4,4,0,4,4,67,50,220,165,49,36,60,21,6,6,213,204,23,1,1,2,-7,27,0.09,0,0,0,0,0,0,29,3.4,770,17.3,42.5
25,27709,10,6,4,0,2,4,80,64,355,230,51,42,51,21,8,5,298,279,10,0,1,1,-5,4,0.1,0,0,0,0,0,0,9,0,782,16.8,51.1
25,20973,2,0,2,0,0,1,65,55,179,145,41,70,43,30,11,9,186,355,11,0,0,0,0,24,0,0,0,0,0,0,0,6,0,430,11,0
25,20973,2,0,2,0,0,1,65,55,179,145,41,70,43,30,11,9,186,355,53,8,2,10,-2,97,0.19,0,0,0,0,0,0,50,16,558,13.3,50
25,20973,2,0,2,0,0,1,65,55,179,145,41,70,43,30,11,9,186,355,3,0,0,0,0,17,0,0,0,0,0,0,0,4,0,496,14.3,100
25,20973,2,0,2,0,0,1,65,55,179,145,41,70,43,30,11,9,186,355,3,0,0,0,0,17,0,0,0,0,0,0,0,4,0,496,14.3,100
25,17671,1,1,0,0,1,0,37,29,219,150,44,39,42,14,7,3,222,190,11,1,1,2,1,6,0.18,0,0,0,0,0,0,6,16.7,564,13.8,0
25,17671,1,1,0,0,1,0,37,29,219,150,44,39,42,14,7,3,222,190,3,0,0,0,-2,0,0,0,0,0,0,0,0,1,0,451,10.7,0
25,17671,1,1,0,0,1,0,37,29,219,150,44,39,42,14,7,3,222,190,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,291,7,0
25,17671,1,1,0,0,1,0,37,29,219,150,44,39,42,14,7,3,222,190,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,291,7,0
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,41,1,5,6,-9,8,0.15,0,0,0,0,0,0,42,2.4,790,18.8,43
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,25,0,1,1,-4,4,0.04,0,0,0,0,0,0,12,0,700,18.3,46.3
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,71,7,22,29,10,14,0.41,0,0,2,6,0,0,104,6.7,952,23.8,52.1
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,7,0,0,0,-2,0,0,0,0,0,0,0,0,5,0,802,20.3,47.4
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,67,7,9,16,5,12,0.24,0,0,1,1,0,0,100,7,944,21.8,55.8
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,14,0,3,3,-1,4,0.21,0,0,0,2,0,0,10,0,676,18,63.3
2,1258,0,0,0,0,0,0,2,2,21,19,2,4,3,5,4,2,13,16,63,5,9,14,-4,16,0.22,0,0,1,1,2,0,69,7.2,807,18.3,56.1
