id,PlayerName,DraftAge_norm,country_group,Height_norm,Weight_norm,Position,DraftYear,Overall,CSS_rank_norm,rs_GP_norm,rs_G_norm,rs_A_norm,rs_P_norm,rs_PIM_norm,rs_PlusMinus_norm,po_GP_norm,po_G_norm,po_A_norm,po_P_norm,po_PIM_norm,po_PlusMinus_norm,GP_greater_than_0,wx_sum,lmt_prob,LeafNode
507,Johan Fransson,0.1111111111111111,EURO,0.625,0.43564356435643564,D,2004,34,0.024193548387096774,0.68,0.11538461538461539,0.07272727272727272,0.09042553191489362,0.1836734693877551,0.42201834862385323,0.06896551724137931,0.0,0.0,0.0,0.058823529411764705,0.27586206896551724,no,0.33084040359233136,0.41803615407960526,1
1255,Fred Wikner,0.0,EURO,0.5625,0.43564356435643564,R,2004,182,0.2782258064516129,0.58,0.15384615384615385,0.13636363636363635,0.14361702127659576,0.3435374149659864,0.3669724770642202,0.3103448275862069,0.09090909090909091,0.06666666666666667,0.08695652173913043,0.11764705882352941,0.3103448275862069,no,1.3051421126907603,0.21330087982107349,5
1256,John Wikner,0.0,EURO,0.625,0.37623762376237624,L,2004,284,1,0.31,0.07692307692307693,0.02727272727272727,0.047872340425531915,0.07482993197278912,0.3577981651376147,0.3103448275862069,0.0,0.0,0.0,0.08823529411764706,0.3103448275862069,no,2.393418814421362,0.083675923438800912,2
1269,Johannes Salmonsson,0.0,EURO,0.625,0.5247524752475248,L,2004,31,0.07661290322580645,0.44,0.05128205128205128,0.12727272727272726,0.09574468085106383,0.05442176870748299,0.41284403669724773,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,no,1.4570821197321409,0.18891401312163655,5
1288,Patrik Hersley,0.1111111111111111,EURO,0.6875,0.5742574257425742,D,2005,139,1,0.47,0.11538461538461539,0.14545454545454545,0.13297872340425532,0.3945578231292517,0.3669724770642202,0.10344827586206896,0.09090909090909091,0.03333333333333333,0.06521739130434782,0.08823529411764706,0.3103448275862069,no,1.6509583447054756,0.16097946861467971,5
1290,Richard Demen Willaume,0.0,EURO,0.6875,0.6831683168316832,D,2004,154,0.2903225806451613,0.61,0.14102564102564102,0.08181818181818182,0.10638297872340426,0.23809523809523808,0.3669724770642202,0.41379310344827586,0.045454545454545456,0.1,0.08695652173913043,0.14705882352941177,0.3103448275862069,no,0.7264838824632143,0.32596678894986403,5
1299,Christofer Lofberg,0.1111111111111111,EURO,0.6875,0.504950495049505,C,2005,80,1,0.31,0.2692307692307692,0.11818181818181818,0.18085106382978725,0.16666666666666666,0.3486238532110092,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,no,3.122510401317193,0.042188213954119147,3
1715,Fredrik Pettersson,0.0,EURO,0.375,0.24752475247524752,R,2005,157,1,0.53,0.20512820512820512,0.17272727272727273,0.18617021276595744,0.22448979591836735,0.3486238532110092,0.41379310344827586,0.4090909090909091,0.26666666666666666,0.3695652173913043,0.38235294117647056,0.3103448275862069,no,3.4826678442967047,0.029809426686103466,3
1950,Oscar Hedman,0.0,EURO,0.5,0.5742574257425742,D,2004,132,0.0846774193548387,0.76,0.21794871794871795,0.16363636363636364,0.18617021276595744,0.14285714285714285,0.29357798165137616,0.5517241379310345,0.13636363636363635,0.2,0.1956521739130435,0.08823529411764706,0.3103448275862069,no,0.6986635584227985,0.33210860070645071,3
2018,David Fredriksson,0.1111111111111111,EURO,0.75,0.8316831683168316,L,2004,211,0.20161290322580644,0.27,0.11538461538461539,0.02727272727272727,0.06382978723404255,0.14965986394557823,0.3577981651376147,0.27586206896551724,0.045454545454545456,0.0,0.021739130434782608,0.029411764705882353,0.3103448275862069,no,-0.26945789096160744,0.56695981314935573,4
