@relation QueryResult

@attribute id numeric
@attribute PlayerName {'Jiri Dopita','Lance Ward','Pierre Dagenais','Scott Parker','Gordie Dwyer','Boyd Kane','Evgeny Korolev','Andrei Bashkirov','Nick Boynton','Robert Schnabel','Kent McDonell','Brad Moran','Tom Kostopoulos','Patrik Stefan','Vincent Lecavalier','David Legwand','Brad Stuart','Bryan Allen','Rico Fata','Manny Malhotra','Mark Bell','Mike Rupp','Jeff Heerema','Alex Tanguay','Eric Chouinard','Martin Skoula','Robyn Regehr','Mathieu Biron','Simon Gagne','Milan Kraft','Christian Backman','Jiri Fischer','Mike Van Ryn','Scott Gomez','Vitaly Vishnevski','Nik Antropov','Dmitri Kalinin','Andrew Peters','Ramzi Abid','Jonathan Cheechoo','Kyle Rossiter','Artem Chubarov','Stephen Peat','Blair Betts','Chris Nielsen','Christian Berglund','John Erskine','Ossi Vaananen','Mike Fisher','Mike Ribeiro','Justin Papineau','Norman Milley','Jonathan Girard','Jaroslav Kristek','Bobby Allen','Steve Moore','Ryan Barnes','Tyler Bouck','Chris Bala','Denis Arkhipov','Joe Dipenta','Paul Manning','Brad Richards','Alex Henry','Jarkko Ruutu','Erik Cole','Dimitri Afanasenkov','Julien Vauclair','Francois Beauchemin','Mike Pandolfo','Peter Nordstrom','Brian Gionta','Matt Walker','Alexei Ponikarovsky','Ryan Jardine','Josef Vasicek','Eric Beaudoin','Tommy Vestlund','Mikko Jokela','Rob Davison','Shawn Horcoff','Petr Schastlivy','Kip Brennan','Chris Corrinet','Miroslav Zalesak','Jaroslav Spacek','Mike Siklenka','Patrick Leahy','Francis Belanger','Tomas Kloucek','Rob Scuderi','Ryan Flinn','Mikael Samuelsson','Trent Hunter','Pavel Patera','Allan Rourke','Jesse Fibiger','Tyler Arnason','Erik Westrum','Rickard Wallin','Chris Neil','Andrei Markov','Tomas Zizka','Tomas Divisek','Ales Kotalik','Petr Svoboda','Pavel Datsyuk','Niko Kapanen','Karlis Skrastins','Jan Mertzig','Johan Witehall','Jaroslav Svoboda','Jim Fahey','Petr Hubacek','Toby Petersen','Michael Ryder','David Moravec','Michael Farrell','Martin Cibak','Bruno St. Jacques','Matt Hussey','John Pohl','Jeff MacMillan','Daniel Sedin','Henrik Sedin','Pavel Brendl','Tim Connolly','Kris Beech','Taylor Pyatt','Jamie Lundmark','Branislav Mezei','Oleg Saprykin','Denis Shvidki','Jani Rita','Jeff Jillson','David Tanabe','Barret Jackman','Konstantin Koltsov','Kirill Safronov','Barrett Heisten','Steve McCarthy','Mikhail Kuleshov','Martin Havlat','Kristian Kudroc','Michal Sivek','Luke Sellars','Jonas Andersson','Ross Lupaschuk','Milan Bartovic','Alexei Semenov','Nolan Yonkman','Tony Salmelainen','Mike Commodore','Jordan Leopold','Martin Grenier','Sheldon Keefe','Brett Lysak','Matt Murley','Adam Hall','Brad Ralph','Andrew Hutchinson','Doug Janik','Matt Carkner','Dan Jancevski','Zdenek Blatny','Niklas Hagman','Jason Jaspers','Frantisek Kaberle','Mattias Weinhandl','Niclas Havelid','Brad Fast','Peter Smrek','Jimmie Olvestad','Mike Comrie','Branko Radivojevic','Chris Kelly','Mathias Tjarnqvist','Juraj Kolnik','Brian McGrattan','Ryan Malone','Kaspars Astashenko','Derek MacKenzie','Justin Mapletoft','Roman Tvrdon','Jordan Krestanovich','Niko Dimitrakos','Timo Helbling','Damian Surma','Riku Hahl','Martin Erat','Vaclav Pletka','Layne Ulmer','Henrik Zetterberg','Radim Vrbata','Alexandre Giroux','Garnet Exelby','Colin Hemingway','George Parros','Radek Martinek','Petr Tenkrat','Alexander Khavanov','Goran Bezina','Pierre Hedin','Douglas Murray','Tommi Santala','Mikko Eloranta','Darren Haydar','Noah Clarke','Hannes Hyvonen','Brandon Reid','Dany Heatley','Marian Gaborik','Rostislav Klesla','Raffi Torres','Scott Hartnell','Lars Jonsson','Nikita Alexeev','Mikhail Yakubov','Pavel Vorobiev','Alexei Smirnov','Ron Hainsey','Vaclav Nedorost','Marcel Hossa','Alexei Mikhnov','Brooks Orpik','Krys Kolanos','Alex Frolov','Anton Volchenkov','David Hale','Nathan Smith','Brad Boyes','Steve Ott','Brian Sutherby','Martin Samuelsson','Justin Williams','Niklas Kronwall','Jeff Taffe','Tomas Kurka','Nick Schultz','Brad Winchester','Andy Hilbert','Tomas Kopecky','Kurtis Foster','Matt Pettinger','Jared Aulin','Jonas Nordqvist','Kris Vernarsky','Shane Endicott','Andreas Lilja','Antoine Vermette','Aleksander Suglobov','Ivan Huml','Jakub Cutta','Paul Martin','Filip Novak','David Morisset','Joel Lundqvist','Sergei Zinovjev','Igor Radulov','Jozef Balej','Ryan Bayda','Alexandre Kharitonov','Yanick Lehoux','Kurt Sauer','Libor Pivko','Dominic Moore','Niclas Wallin','Jonas Ronnqvist','Jon Disalvatore','Lubomir Visnovsky','Michel Ouellet','Maxim Sushinsky','Petteri Nummelin','Michael Danton','Mike Stuart','David Koci','Matt Koalska','Travis Moen','Greg Zanon','John-Michael Liles','Erik Reitz','Jarno Kultanen','Jukka Hentunen','Darcy Hordichuk','Josh Olson','Ryan Caldwell','Peter Bartos','Paul Gaustad','Antti Miettinen','Guillaume Lefebvre','Lubomir Sekeras','Janis Sprukts','Zdenek Kutlak','Chad Wiseman','Darryl Bootland','Sean McMorrow','Thomas Ziegler','Jean-Philippe Cote','Tomi Pettinen','Pavel Kolarik','Micki Dupont','Reto Von Arx','Roman Simicek','Andrej Nedorost','Simon Gamache'}
@attribute DraftAge_norm numeric
@attribute country_group {EURO,CAN,USA}
@attribute Height_norm numeric
@attribute Weight_norm numeric
@attribute Position {C,R,L,D}
@attribute DraftYear numeric
@attribute Overall numeric
@attribute CSS_rank_norm numeric
@attribute rs_GP_norm numeric
@attribute rs_G_norm numeric
@attribute rs_A_norm numeric
@attribute rs_P_norm numeric
@attribute rs_PIM_norm numeric
@attribute rs_PlusMinus_norm numeric
@attribute po_GP_norm numeric
@attribute po_G_norm numeric
@attribute po_A_norm numeric
@attribute po_P_norm numeric
@attribute po_PIM_norm numeric
@attribute po_PlusMinus_norm numeric
@attribute sum_7yr_GP numeric
@attribute sum_7yr_TOI numeric
@attribute GP_greater_than_0 {yes}

@data
8459069,'Jiri Dopita',0.857143,EURO,0.642857,0.586538,C,1998,123,?,0.8,0.369863,0.401961,0.43038,0.154489,0.552,0.333333,0.571429,0.230769,0.391304,0.033333,0.375,73,1082,yes
8464963,'Lance Ward',0.142857,CAN,0.571429,0.509615,R,1998,63,?,0.788889,0.109589,0.245098,0.208861,0.48643,0.496,0.166667,0,0,0,0.133333,0.375,209,2395,yes
8465003,'Pierre Dagenais',0.142857,CAN,0.714286,0.548077,R,1998,105,?,0.666667,0.90411,0.656863,0.841772,0.104384,0.872,0.2,0.285714,0.076923,0.173913,0.016667,0.375,110,1320,yes
8465016,'Scott Parker',0.142857,USA,0.714286,0.759615,R,1998,20,?,0.788889,0.410959,0.215686,0.329114,0.507307,0.52,0.233333,0.285714,0,0.130435,0.191667,0.375,252,1401,yes
8465020,'Gordie Dwyer',0.142857,CAN,0.571429,0.394231,L,1998,152,?,0.655556,0.246575,0.264706,0.28481,0.762004,0.6,0.466667,0.190476,0.346154,0.282609,0.558333,0.375,108,616,yes
8465028,'Boyd Kane',0.142857,CAN,0.5,0.653846,L,1998,114,?,0.755556,0.657534,0.441176,0.588608,0.277662,0.856,0.3,0.238095,0.269231,0.26087,0.241667,0.375,7,70,yes
8465165,'Evgeny Korolev',0.142857,EURO,0.428571,0.509615,D,1998,182,?,0.711111,0.123288,0.303922,0.253165,0.156576,0.432,0.5,0.095238,0.269231,0.195652,0.241667,0.375,42,584,yes
8466130,'Andrei Bashkirov',0.714286,EURO,0.357143,0.519231,L,1998,132,?,0.922222,0.424658,0.529412,0.537975,0.043841,0.552,0.133333,0.095238,0.076923,0.086957,0.016667,0.375,30,289,yes
8466145,'Nick Boynton',0.142857,CAN,0.428571,0.548077,D,1999,21,?,0.622222,0.164384,0.529412,0.417722,0.181628,0.976,0.466667,0.095238,0.576923,0.369565,0.183333,0.375,299,6308,yes
8466211,'Robert Schnabel',0.142857,EURO,0.714286,0.682692,D,1998,129,?,0.677778,0.013699,0.215686,0.14557,0.298539,0.552,0.166667,0,0,0,0.133333,0.375,22,303,yes
8466349,'Kent McDonell',0.142857,CAN,0.5,0.326923,R,1999,181,?,0.666667,0.424658,0.372549,0.436709,0.229645,0.808,0.366667,0.190476,0.115385,0.152174,0.3,0.375,32,324,yes
8466394,'Brad Moran',0.071429,CAN,0.285714,0.201923,C,1998,191,?,0.8,0.726027,0.480392,0.64557,0.133612,0.552,0.6,0.47619,0.307692,0.391304,0.166667,0.375,5,43,yes
8466398,'Tom Kostopoulos',0.142857,CAN,0.357143,0.346154,R,1999,204,0.641148,0.733333,0.369863,0.588235,0.550633,0.237996,0.552,0.833333,0.904762,0.615385,0.76087,0.266667,0.375,155,2015,yes
8467055,'Patrik Stefan',0.071429,EURO,0.5,0.423077,C,1999,1,0,0.366667,0.150685,0.235294,0.221519,0.05428,0.552,0,0,0,0,0,0.375,414,6367,yes
8467329,'Vincent Lecavalier',0,CAN,0.642857,0.519231,C,1998,1,0,0.722222,0.616438,0.705882,0.740506,0.25261,0.552,0.6,0.714286,1,0.891304,0.383333,0.375,467,8325,yes
8467330,'David Legwand',0,USA,0.5,0.442308,C,1998,2,0.004785,0.733333,0.739726,0.5,0.664557,0.121086,0.552,0.5,0.380952,0.461538,0.434783,0.2,0.375,362,5972,yes
8467331,'Brad Stuart',0.071429,CAN,0.5,0.519231,D,1998,3,0.014354,0.8,0.273973,0.441176,0.411392,0.17119,0.552,0.3,0.142857,0.153846,0.152174,0.083333,0.375,354,7453,yes
8467332,'Bryan Allen',0,CAN,0.714286,0.596154,D,1998,4,0.009569,0.533333,0.082192,0.127451,0.120253,0.263048,0.552,0.166667,0,0.192308,0.108696,0.15,0.375,139,2041,yes
8467333,'Rico Fata',0,CAN,0.357143,0.509615,L,1998,6,0.043062,0.711111,0.589041,0.323529,0.481013,0.229645,0.552,0.533333,0.428571,0.192308,0.304348,0.408333,0.375,173,2357,yes
8467334,'Manny Malhotra',0,CAN,0.5,0.442308,C,1998,7,0.023923,0.688889,0.232877,0.401961,0.367089,0.064718,0.552,0.566667,0.380952,0.461538,0.434783,0.083333,0.375,346,3453,yes
8467335,'Mark Bell',0,CAN,0.642857,0.567308,C,1998,8,0.07177,0.611111,0.465753,0.254902,0.379747,0.181628,0.552,0.433333,0.285714,0.192308,0.23913,0.116667,0.375,257,3765,yes
8467336,'Mike Rupp',0.142857,USA,0.714286,0.711538,L,2000,76,?,0.644444,0.438356,0.205882,0.335443,0.279749,0.584,0.433333,0.238095,0.192308,0.217391,0.183333,0.375,199,1796,yes
8467337,'Jeff Heerema',0,CAN,0.5,0.490385,R,1998,11,0.057416,0.7,0.438356,0.392157,0.455696,0.183716,0.552,0.166667,0.190476,0.038462,0.108696,0.083333,0.375,32,319,yes
8467338,'Alex Tanguay',0.071429,CAN,0.428571,0.317308,L,1998,12,0.062201,0.644444,0.671233,0.382353,0.556962,0.070981,0.552,0.166667,0.333333,0.230769,0.282609,0.033333,0.375,379,6661,yes
8467342,'Eric Chouinard',0,USA,0.571429,0.519231,C,1998,16,0.086124,0.8,0.616438,0.431373,0.563291,0.045929,0.552,0.466667,0.333333,0.384615,0.369565,0.05,0.375,89,969,yes
8467343,'Martin Skoula',0.071429,EURO,0.571429,0.625,D,1998,17,0.033493,0.733333,0.109589,0.352941,0.278481,0.075157,0.552,0.2,0.047619,0.115385,0.086957,0.033333,0.375,404,7929,yes
8467344,'Robyn Regehr',0,EURO,0.571429,0.586538,D,1998,19,0.052632,0.722222,0.054795,0.098039,0.088608,0.250522,0.552,0.166667,0,0.115385,0.065217,0.066667,0.375,363,7615,yes
8467345,'Mathieu Biron',0,CAN,0.785714,0.692308,D,1998,21,0.028708,0.655556,0.109589,0.27451,0.227848,0.125261,0.552,0.2,0,0.038462,0.021739,0.083333,0.375,201,3362,yes
8467346,'Simon Gagne',0,CAN,0.428571,0.326923,L,1998,22,0.076555,0.588889,0.410959,0.382353,0.436709,0.05428,0.552,0.4,0.52381,0.192308,0.347826,0.191667,0.375,354,5994,yes
