@relation QueryResult

@attribute id numeric
@attribute PlayerName {'Mark Streit','Tim Brent','Chris Campoli','Masi Marjamaki','Clayton Stoner','Triston Grant','Danny Syvret','Alex Ovechkin','Evgeni Malkin','Cam Barker','Andrew Ladd','Blake Wheeler','Rostislav Olesz','Alexandre Picard','Ladislav Smid','Boris Valabik','Lauri Tukonen','Drew Stafford','Alexander Radulov','Petteri Nokelainen','Kyle Chipchura','Lauri Korpikoski','Travis Zajac','Wojtek Wolski','Lukas Kaspar','Andrej Meszaros','Kris Chucko','Rob Schremp','Jeff Schultz','Mark Fistric','Mike Green','Dave Bolland','Chris Bourque','Grant Lewis','Bryan Bickell','Michael Funk','Adam Pineault','Blake Comeau','Dane Byers','Enver Lisin','Raymond Sawada','David Booth','Victor Oreskovich','Nicklas Grossmann','Brandon Dubinsky','Alex Goligoski','David Krejci','Martins Karsums','Sami Lepisto','Nick Johnson','Adam Berti','Casey Borer','Brandon Prust','Andrej Sekera','Scott Lehman','Peter Olvecky','Peter Regin','Alexander Edler','Johan Franzen','Dustin Boyd','Tyler Kennedy','JT Wyman','Mike Lundin','Brett Carson','Ryan Jones','Liam Reddox','Wes O\'Neill','Kevin Porter','Alexander Nikulin','David Laliberte','Torrey Mitchell','Ryan Callahan','Kris Versteeg','Nikita Nikitin','Jake Dowell','Bryan Young','Janne Niskala','Steve Regier','Mikhail Grabovski','Steven Zalewski','Roman Wick','Mike Brown','Ben Walter','Adam Pardy','Scott Parse','Patrick Kaleta','Mike Santorelli','Roman Polak','Derek Peltier','Robbie Earl','Petri Kontiola','Andrew Gordon','Chad Kolarik','Mike Vernace','Mark Mancari','Troy Brouwer','Pierre-Luc Letourneau-Leblond','Tyler Eckford','Matt Hunwick','Brandon Yip','Aaron Gagnon','Mike Card','Gregory Stewart','Travis Morin','Daniel Winnik','Jakub Petruzalek','Janne Pesonen','Grant Clitsome','Kyle Wilson','Adam Cracknell','Jannik Hansen','Olivier Magnan','Mike Blunden','Mason Raymond','Mattias Ritola','Paul Stastny','Guillaume Latendresse','Dustin Kohn','Sidney Crosby','Bobby Ryan','Jack Johnson','Benoit Pouliot','Gilbert Brule','Jack Skille','Devin Setoguchi','Brian Lee','Luc Bourdon','Anze Kopitar','Marc Staal','Ryan O\'Marra','Martin Hanzal','Ryan Parent','Jakub Kindl','Kenndal McArdle','Matt Lashoff','Niclas Bergfors','T.J. Oshie','Andrew Cogliano','Matt Pelech','Joe Finley','Matt Niskanen','Steve Downie','Vladimir Mihalik','Brendan Mikkelson','James Neal','Ryan Stoa','Marc-Edouard Vlasic','Taylor Chorney','Scott Jackson','Petr Kalus','Michael Sauer','Justin Abdelkader','Adam McQuaid','Marc-Andre Cliche','Matt Kassian','Kris Letang','Brodie Dupont','Kris Russell','Evan Brophey','Rich Clune','Keith Yandle','Radek Smolenak','Perttu Lindgren','Teemu Laakso','Cody Franson','Vladimir Sobotka','Phil Oreskovic','Mikko Lehtonen','Mark Fraser','Marc-Andre Gragnani','T.J. Hensick','Oskars Bartulis','Cody Bass','Chris Butler','Chris VandeVelde','Ilya Zubov','Patrick Davis','Jonathan Sigalet','Jared Boll','Blair Jones','Tom Pyatt','Niklas Hjalmarsson','Jordan Lavallee-Smotherman','Ray Macias','Darren Helm','Brian Salcido','Nathan Gerbe','Tom Wandell','Derek Joslin','Cal O\'Reilly','Mark Fayne','Ryan Reaves','Matt Watkins','Justin Mercier','Nick Drazenovic','Brett Sutter','Tim Kennedy','Kris Fredheim','Andrey Zubarev','Matt D\'Agostini','Joe Vitale','Sergei Kostitsyn','Colin Greening','Mario Bliznak','Ryan Russell','Anton Stralman','Kyle Cumiskey','Chad Rau','Patric Hornqvist','Bryan Little','Michael Caruso','Brad Marchand','Nick Foligno','Mike Weber','Derek Dorsett','Kevin Quick','Mathieu Carle','Jon Matsumoto','Erik Johnson','Kyle Okposo','Trevor Lewis','Rhett Rakhshani','Arturs Kulda','Leo Komarov','Jamie McGinn','Ryan White','Eric Gryba','Milan Lucic','Jiri Tlusty','Kaspars Daugavins','Chris Stewart','Sergei Shirokov','Tomas Kana','Matt Beleskey','Ben Maxwell','Petteri Wirtanen','Oskar Osala','Ty Wishart','Cal Clutterbuck','Jeff Petry','Jonas Junland','David McIntyre','Claude Giroux','Jesse Joensuu','Theo Peckham','Peter Mueller','Jordan Staal','Patrik Berglund','James Sheppard','Viktor Stalberg','Carl Sneep','Tom Sestito','Derick Brassard','Michael Grabner','Phil Kessel','Andrew Bodnarchuk','Cory Emmerton','Korbinian Holzer','John McCarthy','Nicklas Backstrom','Michael Frolik','Brian Strait','Andreas Nodl','Jan Mursak','Jamie McBain','Artem Anisimov','Shawn Matthias','Nikolay Kulemin','Matthew Corrente','Ivan Vishnevskiy','Andrew MacDonald','Erik Condra','Chris Summers','Vladimir Zharkov','Benn Ferriero','Jonathan Toews','Alexander Vasyunov','Blake Geoffrion','Bobby Sanguinetti','Shane Sims','Jonathan Rheault','Mathieu Perreault'}
@attribute DraftAge_norm numeric
@attribute country_group {EURO,CAN,USA}
@attribute Height_norm numeric
@attribute Weight_norm numeric
@attribute Position {D,C,L,R}
@attribute DraftYear numeric
@attribute Overall numeric
@attribute CSS_rank_norm numeric
@attribute rs_GP_norm numeric
@attribute rs_G_norm numeric
@attribute rs_A_norm numeric
@attribute rs_P_norm numeric
@attribute rs_PIM_norm numeric
@attribute rs_PlusMinus_norm numeric
@attribute po_GP_norm numeric
@attribute po_G_norm numeric
@attribute po_A_norm numeric
@attribute po_P_norm numeric
@attribute po_PIM_norm numeric
@attribute po_PlusMinus_norm numeric
@attribute sum_7yr_GP numeric
@attribute sum_7yr_TOI numeric
@attribute GP_greater_than_0 {yes}

@data
8468309,'Mark Streit',1,EURO,0.4375,0.366337,D,2004,262,?,0.55,0.166667,0.227273,0.202128,0.272109,0.357798,0.448276,0.227273,0.066667,0.152174,0.205882,0.310345,361,7155,yes
8470283,'Tim Brent',0.222222,CAN,0.5,0.336634,C,2004,75,?,0.59,0.346154,0.390909,0.37234,0.370748,0.504587,0.62069,0.181818,0.433333,0.369565,0.352941,0.344828,98,1059,yes
8470329,'Chris Campoli',0.222222,CAN,0.5,0.455446,D,2004,227,?,0.67,0.25641,0.418182,0.351064,0.22449,0.330275,0.275862,0,0.2,0.130435,0.235294,0.206897,397,7273,yes
8470659,'Masi Marjamaki',0.222222,EURO,0.625,0.29703,L,2005,144,?,0.57,0.179487,0.290909,0.244681,0.207483,0.302752,0.172414,0.045455,0.066667,0.065217,0.073529,0.310345,1,5,yes
8470886,'Clayton Stoner',0.111111,CAN,0.75,0.613861,D,2004,79,0.443548,0.71,0.089744,0.218182,0.164894,0.370748,0.550459,0.37931,0.045455,0.033333,0.043478,0.117647,0.310345,65,1066,yes
8470899,'Triston Grant',0.222222,CAN,0.5625,0.564356,L,2004,286,?,0.69,0.128205,0.072727,0.095745,0.908163,0.220183,0.37931,0.045455,0.033333,0.043478,0.485294,0.310345,11,58,yes
8470996,'Danny Syvret',0.222222,CAN,0.5,0.50495,D,2005,81,0.28629,0.62,0.294872,0.418182,0.367021,0.112245,1,0.758621,0.272727,0.633333,0.543478,0.088235,0.965517,59,850,yes
8471214,'Alex Ovechkin',0.111111,EURO,0.6875,0.841584,L,2004,1,0,0.65,0.24359,0.127273,0.175532,0.136054,0.357798,0.103448,0,0,0,0.029412,0.310345,475,10470,yes
8471215,'Evgeni Malkin',0,EURO,0.6875,0.405941,C,2004,2,0.004032,0.48,0.115385,0.154545,0.138298,0.173469,0.357798,0,0,0,0,0,0.310345,352,7336,yes
8471216,'Cam Barker',0,CAN,0.6875,0.683168,D,2004,3,0.004032,0.73,0.269231,0.418182,0.356383,0.391156,0.513761,0.827586,0.136364,0.366667,0.304348,0.411765,0.310345,271,4646,yes
8471217,'Andrew Ladd',0.111111,CAN,0.6875,0.455446,L,2004,4,0,0.71,0.384615,0.409091,0.398936,0.404762,0.715596,0.241379,0.045455,0.2,0.152174,0.147059,0.310345,402,5781,yes
8471218,'Blake Wheeler',0,USA,0.8125,0.70297,R,2004,5,0.064516,0.51,0.564103,0.509091,0.531915,0.115646,0.357798,0.103448,0.272727,0.166667,0.23913,0,0.310345,244,3717,yes
8471220,'Rostislav Olesz',0.111111,EURO,0.625,0.60396,L,2004,7,0.008065,0.41,0.051282,0.118182,0.090426,0.054422,0.357798,0.241379,0.090909,0.033333,0.065217,0.058824,0.310345,349,5292,yes
8471221,'Alexandre Picard',0.111111,CAN,0.625,0.514851,L,2004,8,0.008065,0.69,0.5,0.372727,0.425532,0.29932,0.357798,0.241379,0.318182,0.133333,0.23913,0.088235,0.310345,67,523,yes
8471222,'Ladislav Smid',0,EURO,0.75,0.554455,D,2004,9,0.012097,0.65,0.076923,0.118182,0.101064,0.316327,0.357798,0.172414,0.090909,0.033333,0.065217,0.147059,0.310345,331,6097,yes
8471223,'Boris Valabik',0,EURO,0.9375,1,D,2004,10,0.020161,0.68,0.038462,0.118182,0.085106,0.945578,0.357798,0.172414,0,0,0,0.117647,0.310345,80,1183,yes
8471224,'Lauri Tukonen',0,EURO,0.625,0.326733,R,2004,11,0.016129,0.62,0.24359,0.118182,0.170213,0.095238,0.357798,0.241379,0,0,0,0,0.310345,5,36,yes
8471226,'Drew Stafford',0.111111,USA,0.625,0.594059,R,2004,13,0.024194,0.42,0.141026,0.209091,0.180851,0.108844,0.357798,0,0,0,0,0,0.310345,317,4689,yes
8471228,'Alexander Radulov',0,EURO,0.625,0.50495,R,2004,15,0.032258,0.49,0.217949,0.190909,0.202128,0.360544,0.357798,0,0,0,0,0,0.310345,145,2072,yes
8471229,'Petteri Nokelainen',0,EURO,0.5625,0.465347,C,2004,16,0.03629,0.6,0.128205,0.072727,0.095745,0.068027,0.357798,0.137931,0,0.033333,0.021739,0,0.310345,189,1974,yes
8471231,'Kyle Chipchura',0,CAN,0.625,0.485149,C,2004,18,0.012097,0.71,0.230769,0.318182,0.281915,0.496599,0.412844,0.206897,0.090909,0.133333,0.130435,0.176471,0.310345,163,1712,yes
8471232,'Lauri Korpikoski',0,EURO,0.5625,0.386139,L,2004,19,0.044355,0.42,0.217949,0.127273,0.164894,0.07483,0.357798,0.275862,0.227273,0.166667,0.217391,0.294118,0.310345,218,2840,yes
8471233,'Travis Zajac',0.111111,CAN,0.625,0.306931,C,2004,20,0.056452,0.59,0.551282,0.627273,0.595745,0.37415,0.357798,0.482759,0.454545,0.433333,0.5,0.147059,0.310345,408,7460,yes
8471234,'Wojtek Wolski',0,EURO,0.6875,0.60396,L,2004,21,0.016129,0.66,0.371795,0.372727,0.37234,0.102041,0.394495,0.413793,0.227273,0.1,0.173913,0.117647,0.137931,393,6489,yes
8471235,'Lukas Kaspar',0.111111,EURO,0.625,0.70297,L,2004,22,0.052419,0.67,0.333333,0.172727,0.239362,0.231293,0.357798,0.068966,0,0,0,0.029412,0.310345,16,156,yes
8471236,'Andrej Meszaros',0.111111,EURO,0.625,0.683168,D,2004,23,0.020161,0.18,0.038462,0.036364,0.037234,0.047619,0.357798,0.482759,0.136364,0.033333,0.086957,0.029412,0.310345,460,9593,yes
8471237,'Kris Chucko',0,CAN,0.625,0.356436,L,2004,24,0.112903,0.53,0.410256,0.5,0.462766,0.547619,0.357798,0.482759,0.454545,0.3,0.413043,0.529412,0.310345,2,14,yes
