@relation QueryResult

@attribute id numeric
@attribute PlayerName {'David Bornhammar','Bjorn Nord','Kristofer Ottosson','Matthias Trattnig','Erik Leverstrom','Par Backer','Johan Halvardsson','Rastislav Pavlikovsky','David Ytfeldt','Jan Sandstrom','Andreas Lindstrom','David Petrasek','Mats Christeen','Gabriel Karlsson Pears','Viktor Wallin','Magnus Kahnberg','Pelle Prestberg','Jari Tolsa','Johan Eneqvist','Daniel Widing','Calle Steen','David Nystrom','Tim Eriksson','Stefan Lundqvist','Mattias Wennerberg','Mattias Nilsson','Jimmie Svensson','Sanny Lindstrom','Johan Hagglund','Petter Henning','Anders Lovdahl','Daniel Johansson','Tore Vikingstad','Michael Henrich','Mikko Kuparinen','Teemu Laine','Tuukka Makela','Tero Maatta','Markus Seikola','Arto Tukio','Jari Viuhkola','Janne Jokila','Marco Tuokko','Tommi Hannus','Sami Venalainen','Pasi Saarinen','Mikko Ruutu','Teemu Sainomaa','Marko Ahosilta','Teemu Kesa','Samu Isosalo','Erkki Rajamaki','Jaakko Harikkala','Tomek Valtonen','Arto Laatikainen','Markus Kankaanpera','Mikko Hyytia','Lauri Kinos','Petja Pietilainen','Tamas Groschl','Rod Sarich','Georgijs Pujacs','Peter Fabus','Shaun Sutter','Brent Mcdonald','Kevin Holdridge','Kristian Kovac','J.D. Forrest','Tomas Harant','Lou Dickenson','Radek Duda','Jonathan Zion','Patrick Foley','Marc Cavosie','Brett Nowak','Justin Morrison','Maxim Orlov','Andrei Shefer','Sergei Soin','Denis Denisov','Ilya Nikulin','Ruslan Zainullin','Dmitri Kirilenko','Alexander Ryazantsev','Yevgeni Muratov','Anton But','Alexander Buturlin','Ivan Rachunek','Rene Vydareny','Luca Cereda','Sven Helfenstein','Scott Kelman','Cory Pecker','Paul Cabana','Grant Potulny','Michal Macho','Nathan Barrett','Martin Bartek','Yorick Treille','Libor Ustrnul','Zbynek Irgl','Christian Larrivee','James Desmarais','Marc-Andre Thinel','Joe Rullier','Matt Demarchi','Vadim Khomitsky','Carl Mallette','Jared Newman','Ryan Glenn','Trevor Byrne','Kevin Baker','Joe Cullen','Dan Cavanaugh','Stephen Baby','Peter Podhradsky','Ivan Nepryayev','Martin Richter','Andre Lakos','Regan Kelly','Agris Saviels','Chris Lyness','Nathan Martz','Matt Kinch','Martin Hohener','Adrian Wichser','Blake Robson','Scott Cameron','Brian Passmore','K.C. Timmons','Brett Clouthier','Greg Barber','Jason Beckett','Dan Welch','Preston Mizzi','Christian Chartier','Ray Dilauro','Justin Cox','Darcy Robinson','Cliff Loya','Troy Riddle','Chris Dyment','Tyler Scott','Brad Woods','Brad Voth','Michael Jacobsen','Andrew Mcpherson','Chris Bahen','Todd Jackson','Michel Periard','Miroslav Durak','Kevin Clauson','Thatcher Bell','Ryan J. Murphy','Kevin Mitchell','Matt Shasby','Brent Gauvreau','Blake Evans','Alexei Tereschenko','Konstantin Panov','Konstantin Gorovikov','Maxim Birbraer','Ed Hill','Steven Crampton','Ken Magowan','Brett Lutes','Brett Angel','Sean O\'Connor','Tim Branham','Warren Mccutcheon','Jason Platt','Gregor Baumgartner','Chris Ovington','Peter Flache','Darrell Hay','Andrew Ianiero','Phil Cole','Garrett Prosofsky','Tyler Hanchuck','Jamie Chamberlain','Matt Zultek','Brad Self','Jim Henkel','Jeff Dwyer','Artyom Chernov','Dusty Jamieson','Chad Starling','Nate Kiser','Peter Metcalf','Jan Sochor','Maxim Spiridonov','Edo Terglav','Ryan Van Buskirk','Blair Stayzer','Chris Eade','Yevgeni Kurilin','Louis Mandeville','Milan Kopecky','Martin Paroulek','Jonathan Gauthier','Sean Kotary','Dmitri Altaryov','Alexander Shinkar','David Hajek','Vladislav Luchkin','Lubos Velebny','Marek Priechodsky','Igor Samoilov','Vasili Bizyayev','Yevgeni Fyodorov','Paul Ballantyne','Colin Shields','Igor Shadilov','Mirko Murovic','Yuri Dobryshkin','Flavien Conne','Mikhail Donika','Alexei Litvinenko','Brian Gornick','Alexei Bulatov','Andrei Kruchinin','Vladimir Gorbunov','Alexander Zevakhin','Maxim Rybin','Dmitri Upper','Alexander Drozdetsky','Ryan Held','Alexander Tatarinov','Rail Rozakov','Dmitri Levinsky','Alexander Seluyanov','Vladimir Malenkikh','Jeff Bateman','Ruslan Bernikov','Robert Mulick','Stepan Mokhov','Sergei Kuznetsov','Mark Kosick','Jean-Philippe Morin','Artyom Kryukov','Konstantin Rudenko','Shaun Norrie','Scotty Balan','Yevgeni Bumagin','Wade Davis','Pavel Kasparik','Michal Travnicek','Radek Matejovsky','Jan Fadrny','Tim Smith','Michal Pinc','Jan Bohac','Seneque Hyacinthe','Jonathan Gagnon','Tomas Skvaridlo','Jerome Marois','Premysl Duben','Arne Ramholt','Ladislav Vlcek','Brent Hobday','Vaclav Zavoral','Andrei Troshchinsky','Lubomir Pistek','Derrick Byfuglien','Trevor Ettinger','Jason Metcalfe','Oleg Smirnov','David Inman','Tim Preston','Patrick Aufiero','Brett Henning','Willie Levesque','Jeremy Goetzinger','Joey Martin','Pavel Duma','Adam Johnson','Jim Abbott','Ken Davis','Dmitri Semyonov','Ian Jacobs','Pavel Sedov','Aaron Gionet','Miguel Delisle','Jeff Feniak','Vadim Sozinov','Vladimir Sapozhnikov','Robert Fried','Chris Hartsburg','Alexander Lyubimov','Paul Elliott','Morgan Warren','Regan Darby','Randy Copley','Maxym Linnik','Sergei Klyazmin','Antoine Bergeron','Aaron Van Leusen','Scott Heffernan','Matthew Mcrae','Tyler Kolarik','Alexander Barkunov','Bill Cass','Sean Connolly','Petr Chvojka','Jason Maleyko','Chris Berti','John Eichelberger','Craig Olynick','Danny Eberly','Evan Nielsen','Eric Bowen','Matt Sommerfeld','Troy Ferguson','Ryan Courtney','James Demone','Ben Knopp','Jason Crain','Mark Concannon','David Kaczowka','Morgan Mccormick','Craig Brunel','Brian Mcmeekin','Justin Dziama','Anton Borodkin','David Evans','Eric Betournay','Yevgeni Gusakov','Andrew Carver','Ryan Lauzon','Yevgeni Pastukh','Jim Baxter','Dan Hulak','Karel Mosovsky','Yevgeni Pavlov','Alexander Krevsun','Ryan Thorpe','Matt Doman','Jonathan Fauteux','Will Magnuson','Andrei Maximenko','Jesse Cook','Sean Dixon','Chris Legg','Josh Reed','Kyle Clark','Doug Meyer','Jay Dardis','Brett Draney','Travis Eagles','Bret Dececco','Todd Hornung','Ian Forbes','Eric Laplante','Yevgeni Lazarev','David Cameron','Geoff Koch','Kent Sauer','Andy Burnham','Curtis Rich','Erik Wendell','Brandon Coalter','Gavin Mcleod','Aaron Goldade','Sergei Skrobot','Martin Beauchesne','Rick Bertran','Adam Deleeuw','Ryan Milanovic','Jacques Lariviere','Brett Allan','B.J. Ketcheson','Vince Malts','Nathan Forster','Curtis Valentine','Craig Murray','Don Smith','Oak Hewer','Joel Scherban','Brad Twordik','Erik Jensen','Scott Perry','Graig Mischler','Sean Griffin','David Bernier','Christian Lefebvre','Justin Hansen','Jason Doyle','Andrei Yershov','Darcy Harris','Alexandre Couture','Ben Blais','Mark Mcrae','Dwight Wolfe','Sergei Verenikin','Jiri Dopita','Lance Ward','Pierre Dagenais','Scott Parker','Gordie Dwyer','Boyd Kane','Evgeny Korolev','Andrei Bashkirov','Nick Boynton','Robert Schnabel','Kent McDonell','Brad Moran','Tom Kostopoulos','Patrik Stefan','Vincent Lecavalier','David Legwand','Brad Stuart','Bryan Allen','Rico Fata','Manny Malhotra','Mark Bell','Mike Rupp','Jeff Heerema','Alex Tanguay','Eric Chouinard','Martin Skoula','Robyn Regehr','Mathieu Biron','Simon Gagne','Milan Kraft','Christian Backman','Jiri Fischer','Mike Van Ryn','Scott Gomez','Vitaly Vishnevski','Nik Antropov','Dmitri Kalinin','Andrew Peters','Ramzi Abid','Jonathan Cheechoo','Kyle Rossiter','Artem Chubarov','Stephen Peat','Blair Betts','Chris Nielsen','Christian Berglund','John Erskine','Ossi Vaananen','Mike Fisher','Mike Ribeiro','Justin Papineau','Norman Milley','Jonathan Girard','Jaroslav Kristek','Bobby Allen','Steve Moore','Ryan Barnes','Tyler Bouck','Chris Bala','Denis Arkhipov','Joe Dipenta','Paul Manning','Brad Richards','Alex Henry','Jarkko Ruutu','Erik Cole','Dimitri Afanasenkov','Julien Vauclair','Francois Beauchemin','Mike Pandolfo','Peter Nordstrom','Brian Gionta','Matt Walker','Alexei Ponikarovsky','Ryan Jardine','Josef Vasicek','Eric Beaudoin','Tommy Vestlund','Mikko Jokela','Rob Davison','Shawn Horcoff','Petr Schastlivy','Kip Brennan','Krys Barch','Chris Corrinet','Jay Leach','Miroslav Zalesak','Jaroslav Spacek','Mike Siklenka','Patrick Leahy','Francis Belanger','Tomas Kloucek','Rob Scuderi','Ryan Flinn','Mikael Samuelsson','Trent Hunter','Pavel Patera','Allan Rourke','Jesse Fibiger','Kent Huskins','Tyler Arnason','Erik Westrum','Rickard Wallin','Chris Neil','Andrei Markov','Tomas Zizka','Tomas Divisek','Ales Kotalik','Petr Svoboda','Pavel Datsyuk','Niko Kapanen','Karlis Skrastins','Jan Mertzig','Jonas Frogren','Johan Witehall','Jaroslav Svoboda','Jim Fahey','Petr Hubacek','Toby Petersen','Michael Ryder','David Moravec','Michael Farrell','Martin Cibak','Bruno St. Jacques','Matt Hussey','John Pohl','Jeff MacMillan','Daniel Sedin','Henrik Sedin','Pavel Brendl','Tim Connolly','Kris Beech','Taylor Pyatt','Jamie Lundmark','Branislav Mezei','Oleg Saprykin','Denis Shvidki','Jani Rita','Jeff Jillson','David Tanabe','Barret Jackman','Konstantin Koltsov','Kirill Safronov','Barrett Heisten','Steve McCarthy','Mikhail Kuleshov','Martin Havlat','Kristian Kudroc','Michal Sivek','Luke Sellars','Michael Ryan','Jonas Andersson','Ross Lupaschuk','Milan Bartovic','Alexei Semenov','Nolan Yonkman','Tony Salmelainen','Mike Commodore','Jordan Leopold','Martin Grenier','Sheldon Keefe','Brett Lysak','Matt Murley','Adam Hall','Brad Ralph','Andrew Hutchinson','Doug Janik','Matt Carkner','Dan Jancevski','Zdenek Blatny','Niklas Hagman','Jason Jaspers','Frantisek Kaberle','Mattias Weinhandl','Niclas Havelid','Brad Fast','Peter Smrek','Jimmie Olvestad','Mike Comrie','Branko Radivojevic','Chris Kelly','Mathias Tjarnqvist','Juraj Kolnik','Brian McGrattan','Ryan Malone','Kaspars Astashenko','Derek MacKenzie','Justin Mapletoft','Roman Tvrdon','Jordan Krestanovich','Niko Dimitrakos','Timo Helbling','Bjorn Melin','Damian Surma','Riku Hahl','Martin Erat','Vaclav Pletka','Layne Ulmer','Henrik Zetterberg','Radim Vrbata','Alexandre Giroux','Garnet Exelby','Colin Hemingway','George Parros','Radek Martinek','Petr Tenkrat','Alexander Khavanov','Goran Bezina','Pierre Hedin','Jeff Finger','Douglas Murray','Tommi Santala','Mikko Eloranta','Darren Haydar','Noah Clarke','Hannes Hyvonen','Brandon Reid','Dany Heatley','Marian Gaborik','Rostislav Klesla','Raffi Torres','Scott Hartnell','Lars Jonsson','Nikita Alexeev','Mikhail Yakubov','Pavel Vorobiev','Alexei Smirnov','Ron Hainsey','Vaclav Nedorost','Marcel Hossa','Alexei Mikhnov','Brooks Orpik','Krys Kolanos','Alex Frolov','Anton Volchenkov','David Hale','Nathan Smith','Brad Boyes','Steve Ott','Brian Sutherby','Martin Samuelsson','Justin Williams','Niklas Kronwall','Jeff Taffe','Tomas Kurka','Nick Schultz','Brad Winchester','Andy Hilbert','Tomas Kopecky','Kurtis Foster','Matt Pettinger','Jared Aulin','Jonas Nordqvist','Kris Vernarsky','Shane Endicott','Andreas Lilja','Antoine Vermette','Aleksander Suglobov','Ivan Huml','Jakub Cutta','Paul Martin','Filip Novak','David Morisset','Joel Lundqvist','Sergei Zinovjev','Igor Radulov','Jozef Balej','Ryan Bayda','Alexandre Kharitonov','Yanick Lehoux','Kurt Sauer','Libor Pivko','Dominic Moore','Niclas Wallin','Jonas Ronnqvist','Jon Disalvatore','Olli Malmivaara','Lubomir Visnovsky','Brian Fahey','Michel Ouellet','Matt Hendricks','Maxim Sushinsky','Petteri Nummelin','Michael Danton','Mike Stuart','David Koci','Matt Koalska','Travis Moen','Greg Zanon','John-Michael Liles','Craig Weller','Erik Reitz','Jarno Kultanen','Jukka Hentunen','Darcy Hordichuk','Josh Olson','Deryk Engelland','Ryan Caldwell','Peter Bartos','Paul Gaustad','Antti Miettinen','Guillaume Lefebvre','Lubomir Sekeras','Janis Sprukts','Zdenek Kutlak','Chad Wiseman','Darryl Bootland','Sean McMorrow','Thomas Ziegler','Jean-Philippe Cote','Tomi Pettinen','Pavel Kolarik','Micki Dupont','Reto Von Arx','Roman Simicek','Andrej Nedorost','Simon Gamache'}
@attribute DraftAge_norm numeric
@attribute country_group {EURO,CAN,USA}
@attribute Height_norm numeric
@attribute Weight_norm numeric
@attribute Position {D,C,L,R}
@attribute DraftYear numeric
@attribute Overall numeric
@attribute CSS_rank_norm numeric
@attribute rs_GP_norm numeric
@attribute rs_G_norm numeric
@attribute rs_A_norm numeric
@attribute rs_P_norm numeric
@attribute rs_PIM_norm numeric
@attribute rs_PlusMinus_norm numeric
@attribute po_GP_norm numeric
@attribute po_G_norm numeric
@attribute po_A_norm numeric
@attribute po_P_norm numeric
@attribute po_PIM_norm numeric
@attribute po_PlusMinus_norm numeric
@attribute sum_7yr_GP numeric
@attribute sum_7yr_TOI numeric
@attribute GP_greater_than_0 {no,yes}

@data
9,'David Bornhammar',0,EURO,0.428571,0.355769,D,1999,192,?,0.611111,0.123288,0.058824,0.094937,0.091858,0.552,0,0,0,0,0,0.375,0,0,no
71,'Bjorn Nord',0.714286,EURO,0.357143,0.278846,D,2000,289,?,0.9,0.315068,0.215686,0.28481,0.154489,0.544,0.433333,0.190476,0.076923,0.130435,0.066667,0.5,0,0,no
85,'Kristofer Ottosson',0.428571,EURO,0.214286,0.230769,C,2000,148,?,0.611111,0.369863,0.147059,0.265823,0.025052,0.712,0.433333,0.333333,0.076923,0.195652,0.016667,0.875,0,0,no
90,'Matthias Trattnig',0.071429,EURO,0.428571,0.490385,D,1998,94,0.200957,0.377778,0.109589,0.088235,0.107595,0.06263,0.552,0,0,0,0,0,0.375,0,0,no
99,'Erik Leverstrom',0.071429,EURO,0.5,0.461538,D,1999,168,0.354067,0.355556,0.041096,0.098039,0.082278,0.096033,0.552,0,0,0,0,0,0.375,0,0,no
102,'Par Backer',0,EURO,0.428571,0.173077,C,2000,187,?,0.511111,0.164384,0.098039,0.139241,0.050104,0.44,0,0,0,0,0,0.375,0,0,no
118,'Johan Halvardsson',0.142857,EURO,0.571429,0.423077,D,1999,102,0.349282,0.433333,0.013699,0.019608,0.018987,0.152401,0.6,0,0,0,0,0,0.375,0,0,no
137,'Rastislav Pavlikovsky',0.214286,EURO,0.285714,0.355769,C,1998,246,?,0.866667,0.260274,0.294118,0.310127,0.112735,0.672,0.066667,0,0,0,0.05,0.333333,0,0,no
151,'David Ytfeldt',0.071429,EURO,0.357143,0.298077,D,1998,136,?,0.488889,0.178082,0.098039,0.14557,0.269311,0.544,0,0,0,0,0,0.375,0,0,no
175,'Jan Sandstrom',0.214286,EURO,0.357143,0.336538,D,1999,173,?,0.522222,0.027397,0.068627,0.056962,0.037578,0.608,0,0,0,0,0,0.375,0,0,no
187,'Andreas Lindstrom',0,EURO,0.785714,0.528846,L,2000,279,?,0.1,0.027397,0.019608,0.025316,0.029228,0.552,0,0,0,0,0,0.375,0,0,no
201,'David Petrasek',0.285714,EURO,0.428571,0.442308,D,1998,226,?,0.522222,0.082192,0.098039,0.101266,0.187891,0.608,0.166667,0.095238,0.076923,0.086957,0.116667,0.416667,0,0,no
245,'Mats Christeen',0,EURO,0.428571,0.317308,D,2000,236,?,0.388889,0.013699,0.009804,0.012658,0.079332,0.552,0.133333,0.047619,0,0.021739,0.05,0.375,0,0,no
257,'Gabriel Karlsson Pears',0,EURO,0.428571,0.423077,C,1998,86,0.100478,0.377778,0.150685,0.156863,0.170886,0.070981,0.552,0,0,0,0,0,0.375,0,0,no
273,'Viktor Wallin',0,EURO,0.571429,0.442308,D,1998,112,?,0.311111,0.123288,0.147059,0.151899,0.087683,0.552,0,0,0,0,0,0.375,0,0,no
303,'Magnus Kahnberg',0.142857,EURO,0.5,0.384615,R,2000,212,?,0.433333,0.616438,0.205882,0.417722,0.06263,0.552,0.2,0.333333,0.153846,0.23913,0.033333,0.375,0,0,no
306,'Pelle Prestberg',0.357143,EURO,0.214286,0.105769,R,1998,233,?,0.544444,0.39726,0.147059,0.278481,0.045929,0.704,0.4,0.428571,0.076923,0.23913,0.066667,0.791667,0,0,no
308,'Jari Tolsa',0,EURO,0.428571,0.355769,L,1999,120,0.325359,0.488889,0.232877,0.22549,0.253165,0.131524,0.52,0,0,0,0,0,0.375,0,0,no
345,'Johan Eneqvist',0,EURO,0.357143,0.355769,C,2000,109,0.148325,0.655556,0.219178,0.235294,0.253165,0.125261,0.568,0.233333,0.047619,0.038462,0.043478,0.233333,0.375,0,0,no
355,'Daniel Widing',0,EURO,0.357143,0.461538,R,2000,36,0.095694,0.677778,0.246575,0.176471,0.227848,0.215031,0.56,0.233333,0.047619,0.038462,0.043478,0.183333,0.375,0,0,no
359,'Calle Steen',0,EURO,0.357143,0.442308,C,1998,142,?,0.233333,0.013699,0.029412,0.025316,0.045929,0.552,0,0,0,0,0,0.375,0,0,no
360,'David Nystrom',0.071429,EURO,0.357143,0.25,R,1999,224,0.430622,0.544444,0.260274,0.156863,0.221519,0.045929,0.552,0.066667,0,0,0,0,0.375,0,0,no
462,'Tim Eriksson',0,EURO,0.142857,0.067308,R,2000,206,0.296651,0.655556,0.287671,0.343137,0.35443,0.246347,0.616,0.2,0.047619,0.230769,0.152174,0.033333,0.375,0,0,no
466,'Stefan Lundqvist',0.142857,EURO,0.571429,0.509615,R,1998,180,?,0.533333,0.342466,0.166667,0.265823,0.004175,0.528,0.033333,0,0,0,0,0.375,0,0,no
521,'Mattias Wennerberg',0,EURO,0.357143,0.298077,L,1999,194,0.148325,0.644444,0.30137,0.166667,0.246835,0.175365,0.552,0,0,0,0,0,0.375,0,0,no
632,'Mattias Nilsson',0,EURO,0.642857,0.403846,D,2000,72,0.334928,0.611111,0.082192,0.058824,0.075949,0.196242,0.568,0.266667,0,0.038462,0.021739,0.083333,0.375,0,0,no
663,'Jimmie Svensson',0,EURO,0.357143,0.317308,L,2000,228,?,0.377778,0.150685,0.04902,0.101266,0.294363,0.552,0,0,0,0,0,0.375,0,0,no
725,'Sanny Lindstrom',0.142857,EURO,0.428571,0.298077,D,1999,112,0.38756,0.633333,0.054795,0.029412,0.044304,0.19833,0.544,0,0,0,0,0,0.375,0,0,no
807,'Johan Hagglund',0,EURO,0.5,0.384615,C,2000,126,0.196172,0.655556,0.150685,0.127451,0.151899,0.185804,0.568,0.266667,0.095238,0.038462,0.065217,0.05,0.375,0,0,no
926,'Petter Henning',0.071429,EURO,0.357143,0.355769,L,1999,251,?,0.377778,0.178082,0.137255,0.170886,0.079332,0.552,0,0,0,0,0,0.375,0,0,no
950,'Anders Lovdahl',0,EURO,0.571429,0.403846,C,1999,158,0.311005,0.044444,0.013699,0.009804,0.012658,0,0.536,0,0,0,0,0,0.375,0,0,no
991,'Daniel Johansson',0,EURO,0.357143,0.403846,D,1999,125,0.287081,0.6,0.219178,0.235294,0.253165,0.083507,0.552,0,0,0,0,0,0.375,0,0,no
1662,'Tore Vikingstad',0.428571,EURO,0.571429,0.442308,C,1999,180,?,0.611111,0.136986,0.127451,0.14557,0.041754,0.512,0.133333,0.095238,0.115385,0.108696,0,0.5,0,0,no
2082,'Michael Henrich',0,CAN,0.5,0.423077,C,1998,13,0.019139,0.733333,0.561644,0.215686,0.398734,0.156576,0.592,0.166667,0.047619,0.115385,0.086957,0,0.25,0,0,no
2617,'Mikko Kuparinen',0.285714,EURO,0.571429,0.567308,D,1999,244,?,0.611111,0,0.04902,0.031646,0.185804,0.544,0,0,0,0,0,0.375,0,0,no
3183,'Teemu Laine',0,EURO,0.357143,0.403846,L,2000,39,0.07177,0.755556,0.178082,0.176471,0.196203,0.175365,0.592,0.333333,0.238095,0.153846,0.195652,0.083333,0.375,0,0,no
3188,'Tuukka Makela',0,EURO,0.571429,0.615385,D,2000,66,0.143541,0.488889,0.041096,0.058824,0.056962,0.091858,0.576,0.066667,0,0,0,0,0.375,0,0,no
3189,'Tero Maatta',0,EURO,0.5,0.826923,D,2000,41,0.057416,0.422222,0.082192,0.058824,0.075949,0.127349,0.56,0.366667,0.047619,0.115385,0.086957,0.05,0.375,0,0,no
3192,'Markus Seikola',0,EURO,0.5,0.317308,D,2000,209,?,0.5,0.260274,0.147059,0.21519,0.037578,0.6,0.433333,0.047619,0,0.021739,0,0.375,0,0,no
3194,'Arto Tukio',0.071429,EURO,0.357143,0.278846,D,2000,101,0.339713,0.9,0.164384,0.107843,0.14557,0.137787,0.472,0.1,0,0,0,0,0.25,0,0,no
3196,'Jari Viuhkola',0,EURO,0.357143,0.336538,C,1998,158,0.23445,0.622222,0.178082,0.264706,0.253165,0.210856,0.552,0,0,0,0,0,0.375,0,0,no
3213,'Janne Jokila',0,EURO,0.142857,0.192308,L,2000,200,0.23445,0.533333,0.205479,0.166667,0.202532,0.096033,0.592,0.433333,0.142857,0.115385,0.130435,0.033333,0.375,0,0,no
3220,'Marco Tuokko',0.214286,EURO,0.428571,0.355769,L,2000,219,?,0.6,0.136986,0.098039,0.126582,0.152401,0.64,0.366667,0.095238,0.076923,0.086957,0.05,0.458333,0,0,no
3222,'Tommi Hannus',0,EURO,0.357143,0.278846,R,1998,190,0.110048,0.577778,0.30137,0.186275,0.259494,0.041754,0.592,0.233333,0.047619,0.076923,0.065217,0.033333,0.375,0,0,no
3223,'Sami Venalainen',0.071429,EURO,0.285714,0.336538,R,2000,249,?,0.411111,0.109589,0.088235,0.107595,0.037578,0.552,0.333333,0.142857,0.153846,0.152174,0.05,0.375,0,0,no
3225,'Pasi Saarinen',0.357143,EURO,0.285714,0.355769,D,2000,256,?,0.555556,0.123288,0.186275,0.177215,0.164927,0.632,0.1,0,0,0,0.216667,0.333333,0,0,no
3228,'Mikko Ruutu',0.214286,EURO,0.642857,0.211538,R,1999,201,?,0.544444,0.178082,0.078431,0.132911,0.079332,0.6,0.133333,0,0,0,0.016667,0.291667,0,0,no
3229,'Teemu Sainomaa',0,EURO,0.642857,0.528846,C,1999,62,0.110048,0.155556,0.123288,0.078431,0.107595,0.056367,0.552,0.2,0.238095,0.076923,0.152174,0.083333,0.375,0,0,no
3231,'Marko Ahosilta',0,EURO,0.142857,0.317308,L,1998,227,0.397129,0.611111,0.547945,0.303922,0.449367,0.162839,0.544,0,0,0,0,0,0.375,0,0,no
3232,'Teemu Kesa',0,EURO,0.428571,0.461538,D,1999,100,0.258373,0.488889,0.054795,0.058824,0.063291,0.363257,0.552,0.333333,0,0,0,0.1,0.375,0,0,no
3236,'Samu Isosalo',0.071429,EURO,0.642857,0.615385,C,2000,230,0.4689,0.533333,0.232877,0.245098,0.265823,0.05428,0.552,0.1,0,0,0,0,0.375,0,0,no
3239,'Erkki Rajamaki',0.214286,EURO,0.5,0.490385,L,1999,216,?,0.311111,0.027397,0.019608,0.025316,0.020877,0.56,0,0,0,0,0,0.375,0,0,no
3241,'Jaakko Harikkala',0,EURO,0.428571,0.567308,D,1999,118,0.143541,0.7,0.082192,0.029412,0.056962,0.121086,0.496,0,0,0,0,0,0.375,0,0,no
3243,'Tomek Valtonen',0,EURO,0.428571,0.528846,L,1998,56,0.129187,0.744444,0.09589,0.068627,0.088608,0.317328,0.552,0.1,0,0,0,0,0.375,0,0,no
3248,'Arto Laatikainen',0.071429,EURO,0.285714,0.211538,D,1999,197,0.157895,0.811111,0.013699,0.156863,0.107595,0.100209,0.576,0.166667,0.047619,0.115385,0.086957,0.016667,0.416667,0,0,no
3250,'Markus Kankaanpera',0.071429,EURO,0.357143,0.548077,D,1999,218,0.334928,0.822222,0.013699,0.019608,0.018987,0.219207,0.528,0.1,0,0,0,0,0.375,0,0,no
3303,'Mikko Hyytia',0,EURO,0.357143,0.317308,C,1999,225,0.239234,0.288889,0.136986,0.127451,0.14557,0.025052,0.552,0,0,0,0,0,0.375,0,0,no
3304,'Lauri Kinos',0.142857,EURO,0.5,0.442308,D,2000,293,?,0.766667,0.164384,0.166667,0.183544,0.167015,0.52,0.166667,0.047619,0.038462,0.043478,0.05,0.291667,0,0,no
3319,'Petja Pietilainen',0,EURO,0.285714,0.403846,L,1998,256,?,0.8,0.232877,0.117647,0.183544,0.164927,0.456,0.2,0.095238,0.038462,0.065217,0.033333,0.291667,0,0,no
3456,'Tamas Groschl',0.071429,EURO,0.571429,0.461538,L,1999,256,?,0.377778,0.150685,0.098039,0.132911,0.08142,0.528,0,0,0,0,0,0.375,0,0,no
3575,'Rod Sarich',0,EURO,0.571429,0.25,D,1999,109,0.626794,0.7,0.041096,0.147059,0.113924,0.045929,0.672,0.7,0.047619,0.076923,0.065217,0.066667,0.208333,0,0,no
4053,'Georgijs Pujacs',0,EURO,0.428571,0.528846,D,1999,264,?,0.233333,0.027397,0.117647,0.088608,0.045929,0.648,0,0,0,0,0,0.375,0,0,no
5873,'Peter Fabus',0.214286,EURO,0.5,0.336538,C,2000,281,?,0.6,0.273973,0.107843,0.196203,0.070981,0.552,0.166667,0.047619,0.038462,0.043478,0,0.375,0,0,no
6421,'Shaun Sutter',0,CAN,0.428571,0.192308,R,1998,102,?,0.766667,0.150685,0.088235,0.126582,0.304802,0.448,0.133333,0,0,0,0.033333,0.208333,0,0,no
6627,'Brent Mcdonald',0.071429,CAN,0.285714,0.230769,R,1998,239,?,0.766667,0.246575,0.264706,0.28481,0.194154,0.632,0.166667,0,0.076923,0.043478,0.033333,0.25,0,0,no
7113,'Kevin Holdridge',0,USA,0.571429,0.423077,D,1998,70,?,0.677778,0.054795,0.147059,0.120253,0.221294,0.736,0.5,0,0.115385,0.065217,0.166667,0.291667,0,0,no
7311,'Kristian Kovac',0,EURO,0.5,0.355769,R,1999,122,0.138756,0.577778,0.424658,0.215686,0.335443,0.160752,0.552,0.066667,0.047619,0,0.021739,0.016667,0.375,0,0,no
7619,'J.D. Forrest',0.071429,USA,0.142857,0.192308,D,2000,181,?,0.633333,0.082192,0.27451,0.21519,0.100209,0.552,0.1,0,0,0,0.05,0.375,0,0,no
8068,'Tomas Harant',0.142857,EURO,0.5,0.461538,D,2000,173,0.397129,0.644444,0.013699,0.117647,0.082278,0.196242,0.552,0,0,0,0,0,0.375,0,0,no
8096,'Lou Dickenson',0,CAN,0.5,0.317308,L,2000,113,0.148325,0.733333,0.287671,0.245098,0.291139,0.096033,0,0,0,0,0,0,0.375,0,0,no
