@relation QueryResult

@attribute id numeric
@attribute PlayerName {'Johan Fransson','Fred Wikner','John Wikner','Johannes Salmonsson','Patrik Hersley','Richard Demen Willaume','Christofer Lofberg','Fredrik Pettersson','Oscar Hedman','David Fredriksson','Alexander Sundstrom','Anton Axelsson','Johan Dahlberg','Nils Backstrom','Fredrik Naslund','Morten Madsen','Emil Axelsson','Kirill Starkov','Robin Figren','Alexander Hellstrom','Tony Lagerstrom','Kim Johansson','Niclas Andersen','Dick Axelsson','Jonas Ahnelov','Anton Hedman','Daniel Rahimi','Per Johnsson','Johan Ryno','Vyacheslav Trukhno','Pasi Salonen','Aki Seitsonen','Miikka Tuomainen','Janne Kolehmainen','Marko Anttila','Valtteri Tenkanen','Risto Korhonen','Dennis Persson','Viktor Gibbs Sjodin','Juho Mielonen','Timo Seppanen','Joonas Lehtivuori','Tommi Leinonen','Jonas Enlund','Jan-Mikael Juutilainen','Robert Nyholm','Max Warn','Juuso Puustinen','Niko Snellman','Peter Aston','Marek Kvapil','Dan Bertram','Sasha Pokulok','Nathan Davis','Geoff Paukovich','Mark Mitera','Tom Fritsche','Petr Pohl','Jakub Sindel','Tomas Kudelka','Michal Birner','Karel Hromas','Zdenek Bahensky','Julien Sprunger','Juraj Gracik','Stanislav Lascek','Marek Zagrapan','Juraj Mikus','Ladislav Scurko','Kirill Lyamin','Roman Voloshenko','Mikhail Yunkov','Vyacheslav Buravchikov','Denis Bodrov','Nikolai Lemtyugov','Constantin Braun','Martin Latal','David Kveton','Tomas Marcinko','Yuri Alexandrov','Kirill Tulupov','Andrei Popov','Nigel Williams','Ryan Flynn','Kevin Montgomery','Mike Carman','Mike Ratchuk','Stefan Chaput','Ben Shutron','Francois Bouchard','Hugo Carpentier','Logan Pyett','Levi Nelson','Jean-Philippe Paquet','Adam Hobson','Chris Lawrence','Dan Collins','Jason Bailey','Kyle Lawson','Kyle Klubertanz','Dusty Collins','Nate Hagemo','Matt Auffrey','Shawn Weller','Dany Roussin','David Schulz','Andy Rogers','Kyle Wharton','John Lammers','Ryan Garlock','Evan Mcgrath','Eric Hunter','Frederik Cabana','Jean-Michel Rizk','Vitali Anikeyenko','Denis Parshin','Igor Makarov','Alexander Bumagin','Dmitri Vorobyov','Jaroslav Mrazek','Roman Psurny','Tomas Pospisil','Jakub Vojta','Ondrej Fiala','Peter Guggisberg','Ondrej Otcenas','Roman Kukumberg','Patrick Mcneill','Codey Burki','Sean Zimmerman','David Kuchejda','Anton Krysanov','Pavel Valentenko','Lukas Vantuch','Marek Bartanus','Tomas Zaborsky','Philip Gogulla','Felix Schutz','Juraj Simek','Ashton Rome','Keith Seabrook','Maxime Lacroix','John De Gray','Dan Ryder','Alex Bourret','Jay Barriball','Riley Holzapfel','Bobby Hughes','Harrison Reed','James Delory','Trevor Koverko','Ryan Pottruff','Aaron Snow','Dalyn Flatt','John Seymour','Max Gordichuk','Bobby Bolt','Devin Didiomete','Tyler Haskins','Trevor Kell','Nick Tuzzolino','Gino Pisellini','Nick Sucharski','Darin Olver','Brock Bradford','Nick Dodge','Tyler Ruegsegger','Logan Stephenson','Jason Pitton','Sergei Ogorodnikov','Mark Tobin','Eric Neilson','Clayton Barthel','Stephane Goulet','Tyler Spurgeon','Ryan Maki','Riley Emmerson','Wacey Rabbit','J.D. Watt','A.J. Thelen','T.J. Fast','Aaron Boogaard','Roman Teslyuk','Bretton Stamler','Jason Lynch','Jared Walker','Jesse Dudas','Evan Fuller','Jeff May','John Flatters','Lukas Zeliska','Mike Gauthier','Cameron Cepek','Brady Calla','Gord Baldwin','Kris Hogg','Ben Wright','Kyle Bailey','Moises Gutierrez','Dane Crowley','Jonathan Paiement','Andrew Orpik','Luke Beaverson','David Fischer','Bryce Swan','Justin Keller','Brandon Elliott','Vaclav Meidl','Pierre-Luc Lessard','Kevin Cormier','Benjamin Breault','Jean-Claude Sawyer','Jesse Martin','Sergei Kolosov','Robby Dee','Denis Kazionov','Sergei Kukushkin','Andrei Plekhanov','Justin Krueger','Kyell Henegan','Matt Marquardt','Chris Frank','Troy Mattila','Kevin Koopman','Joey Ryan','Simon Danis-Pepin','Ryan Hillier','John Armstrong','Ryan Turek','Kyle Medvec','T.J. Miller','Luke Lynes','David Meckler','Cody Wild','Viktor Alexandrov','Denis Kulyash','Shea Guthrie','Chad Denny','Chris Durand','Andrew Kozek','Myles Stoesz','Josh Beaulieu','Ryan Mcginnis','Tony Romano','Mathieu Aubin','Jon Gleed','Joe Barnes','Julian Walker','Mitch Carefoot','Kevin Schaeffer','Bret Nasby','Viktor Dovgan','Gennadi Stolyarov','Jan Steber','Stanislav Balan','Bruce Graham','Jim Mckenzie','Dylan Hunter','Chris Hickey','J.D. Corbin','Matt Christie','Joe Cooper','Tim Kunes','Steve Covington','Nathan Perkovich','Tim Crowder','Trevor Ludwig','Zach Bearson','Matthew Ford','Scott Mcculloch','Aaron Marvin','Michael Forney','Joe Charlebois','Craig Switzer','Rob Bellamy','Matt Duffy','Billy Ryan','Chad Painchaud','Brian Gifford','Matthew Glasser','Andrew Thomas','Matt Butcher','Spencer Dillon','Andrew Sarauer','Matt Siddall','Matt Clackson','Tyrell Mason','Philippe Paquet','Dave Macdonald','Doug Rogers','Paul Baier','Chris Zarb','Brian Day','Greg Beller','Will Engasser','Brennan Turner','Matt Generous','Jordan Fulton','Trevor Hendrikx','Luciano Aquino','Olivier Legault','Dmitri Megalinsky','Chris Auger','Alexandre Dulac-Lemelin','Matt Mcilvane','P.J. Fenton','Ned Lukacevic','Jordan Morrison','John Wessbecker','Myles Rumsey','Scott Todd','Pat Brosnihan','Josh Meyers','Tony Lucia','William Colbert','Roman Derlyuk','Alex Berry','Denis Istomin','Michael Gergen','Jordan Smith','Matt Mcknight','Jonathan Boutin','Martin Vagner','Brian Ihnacak','Travis Gawryletz','Lukas Vomela','Jonas Fiedler','Matt Greer','Maxim Semyonov','Mike Curry','Matt Schneider','Jan Zapletal','Jordan Foote','Andrei Mikhailishin','Nick Fugere','Evan Schafer','Roman Tomanek','R.J. Anderson','Martin Nolet','Maxime Frechette','Derek Reinhart','Michal Sersen','Steve Mcclellan','Valeri Klimov','John Carter','Justin Vienneau','Mitch Maunu','Mark Streit','Tim Brent','Chris Campoli','Masi Marjamaki','Clayton Stoner','Triston Grant','Danny Syvret','Alex Ovechkin','Evgeni Malkin','Cam Barker','Andrew Ladd','Blake Wheeler','Rostislav Olesz','Alexandre Picard','Ladislav Smid','Boris Valabik','Lauri Tukonen','Drew Stafford','Alexander Radulov','Petteri Nokelainen','Kyle Chipchura','Lauri Korpikoski','Travis Zajac','Wojtek Wolski','Lukas Kaspar','Andrej Meszaros','Kris Chucko','Rob Schremp','Jeff Schultz','Mark Fistric','Mike Green','Dave Bolland','Chris Bourque','Grant Lewis','Bryan Bickell','Michael Funk','Adam Pineault','Blake Comeau','Dane Byers','Carl Soderberg','Enver Lisin','Raymond Sawada','David Booth','Victor Oreskovich','Nicklas Grossmann','Brandon Dubinsky','Alex Goligoski','David Krejci','Martins Karsums','Sami Lepisto','Nick Johnson','Adam Berti','Casey Borer','Brandon Prust','Andrej Sekera','Scott Lehman','Peter Olvecky','Alexei Emelin','Peter Regin','Alexander Edler','Johan Franzen','Dustin Boyd','Tyler Kennedy','JT Wyman','Mike Lundin','Brett Carson','Ryan Jones','Liam Reddox','Patrick Bordeleau','Wes O\'Neill','Kevin Porter','Alexander Nikulin','David Laliberte','Torrey Mitchell','Ryan Callahan','Kris Versteeg','Nikita Nikitin','Jake Dowell','Bryan Young','Janne Niskala','Steve Regier','Mikhail Grabovski','Steven Zalewski','Roman Wick','Mike Brown','Ben Walter','Adam Pardy','Scott Parse','Patrick Kaleta','Mike Santorelli','Roman Polak','Derek Peltier','Robbie Earl','Lennart Petrell','Petri Kontiola','Andrew Gordon','Chad Kolarik','Mike Vernace','Mark Mancari','Troy Brouwer','Pierre-Luc Letourneau-Leblond','Tyler Eckford','Matt Hunwick','Brandon Yip','Aaron Gagnon','Mike Card','Gregory Stewart','Travis Morin','Daniel Winnik','Jakub Petruzalek','Janne Pesonen','Grant Clitsome','Kyle Wilson','Adam Cracknell','Jannik Hansen','Olivier Magnan','Mike Blunden','Mason Raymond','Mattias Ritola','Paul Stastny','Guillaume Latendresse','Dustin Kohn','Sidney Crosby','Bobby Ryan','Jack Johnson','Benoit Pouliot','Gilbert Brule','Jack Skille','Devin Setoguchi','Brian Lee','Luc Bourdon','Anze Kopitar','Marc Staal','Ryan O\'Marra','Martin Hanzal','Ryan Parent','Jakub Kindl','Kenndal McArdle','Matt Lashoff','Niclas Bergfors','T.J. Oshie','Andrew Cogliano','Matt Pelech','Joe Finley','Matt Niskanen','Steve Downie','Vladimir Mihalik','Brendan Mikkelson','James Neal','Ryan Stoa','Marc-Edouard Vlasic','Taylor Chorney','Scott Jackson','Petr Kalus','Michael Sauer','Justin Abdelkader','Adam McQuaid','Marc-Andre Cliche','Matt Kassian','Kris Letang','Brodie Dupont','Kris Russell','Evan Brophey','Rich Clune','Keith Yandle','Radek Smolenak','Perttu Lindgren','Teemu Laakso','Cody Franson','Vladimir Sobotka','Phil Oreskovic','Mikko Lehtonen','Mark Fraser','Marc-Andre Gragnani','T.J. Hensick','Oskars Bartulis','Cody Bass','Chris Butler','Chris VandeVelde','Ilya Zubov','Patrick Davis','Jonathan Sigalet','Jared Boll','Blair Jones','Tom Pyatt','Niklas Hjalmarsson','Jordan Lavallee-Smotherman','Ray Macias','Darren Helm','Brian Salcido','Nathan Gerbe','Tom Wandell','Derek Joslin','Cal O\'Reilly','Mark Fayne','Ryan Reaves','Matt Watkins','Justin Mercier','Nick Drazenovic','Brett Sutter','Tim Kennedy','Kris Fredheim','Andrey Zubarev','Matt D\'Agostini','Nicolas Blanchard','Joe Vitale','Sergei Kostitsyn','Colin Greening','Mario Bliznak','Ryan Russell','Anton Stralman','Kyle Cumiskey','Chad Rau','Patric Hornqvist','Bryan Little','Alex Biega','Michael Caruso','Brad Marchand','Nick Foligno','Mike Weber','Bud Holloway','Derek Dorsett','Kevin Quick','Mathieu Carle','Jon Matsumoto','Erik Johnson','Kyle Okposo','Trevor Lewis','Rhett Rakhshani','Arturs Kulda','Leo Komarov','Jamie McGinn','Ryan White','Eric Gryba','Milan Lucic','Jiri Tlusty','Kaspars Daugavins','Chris Stewart','Sergei Shirokov','Tomas Kana','Matt Beleskey','Ben Maxwell','Petteri Wirtanen','Oskar Osala','Ty Wishart','Cal Clutterbuck','Peter LeBlanc','Jeff Petry','Jonas Junland','David McIntyre','Claude Giroux','Jesse Joensuu','Theo Peckham','Peter Mueller','Jordan Staal','Patrik Berglund','James Sheppard','Viktor Stalberg','Carl Sneep','Tom Sestito','Derick Brassard','Michael Grabner','Phil Kessel','Andrew Bodnarchuk','Cory Emmerton','Korbinian Holzer','John McCarthy','Nicklas Backstrom','Michael Frolik','Brian Strait','Andreas Nodl','Jan Mursak','Jamie McBain','Artem Anisimov','Shawn Matthias','Nikolay Kulemin','Matthew Corrente','Ivan Vishnevskiy','Andrew MacDonald','Erik Condra','Chris Summers','Vladimir Zharkov','Benn Ferriero','Jonathan Toews','Alexander Vasyunov','Blake Geoffrion','Bobby Sanguinetti','Shane Sims','Jonathan Rheault','Mathieu Perreault'}
@attribute DraftAge_norm numeric
@attribute country_group {EURO,CAN,USA}
@attribute Height_norm numeric
@attribute Weight_norm numeric
@attribute Position {D,R,L,C}
@attribute DraftYear numeric
@attribute Overall numeric
@attribute CSS_rank_norm numeric
@attribute rs_GP_norm numeric
@attribute rs_G_norm numeric
@attribute rs_A_norm numeric
@attribute rs_P_norm numeric
@attribute rs_PIM_norm numeric
@attribute rs_PlusMinus_norm numeric
@attribute po_GP_norm numeric
@attribute po_G_norm numeric
@attribute po_A_norm numeric
@attribute po_P_norm numeric
@attribute po_PIM_norm numeric
@attribute po_PlusMinus_norm numeric
@attribute sum_7yr_GP numeric
@attribute sum_7yr_TOI numeric
@attribute GP_greater_than_0 {no,yes}

@data
507,'Johan Fransson',0.111111,EURO,0.625,0.435644,D,2004,34,0.024194,0.68,0.115385,0.072727,0.090426,0.183673,0.422018,0.068966,0,0,0,0.058824,0.275862,0,0,no
1255,'Fred Wikner',0,EURO,0.5625,0.435644,R,2004,182,0.278226,0.58,0.153846,0.136364,0.143617,0.343537,0.366972,0.310345,0.090909,0.066667,0.086957,0.117647,0.310345,0,0,no
1256,'John Wikner',0,EURO,0.625,0.376238,L,2004,284,?,0.31,0.076923,0.027273,0.047872,0.07483,0.357798,0.310345,0,0,0,0.088235,0.310345,0,0,no
1269,'Johannes Salmonsson',0,EURO,0.625,0.524752,L,2004,31,0.076613,0.44,0.051282,0.127273,0.095745,0.054422,0.412844,0,0,0,0,0,0.310345,0,0,no
1288,'Patrik Hersley',0.111111,EURO,0.6875,0.574257,D,2005,139,?,0.47,0.115385,0.145455,0.132979,0.394558,0.366972,0.103448,0.090909,0.033333,0.065217,0.088235,0.310345,0,0,no
1290,'Richard Demen Willaume',0,EURO,0.6875,0.683168,D,2004,154,0.290323,0.61,0.141026,0.081818,0.106383,0.238095,0.366972,0.413793,0.045455,0.1,0.086957,0.147059,0.310345,0,0,no
1299,'Christofer Lofberg',0.111111,EURO,0.6875,0.50495,C,2005,80,?,0.31,0.269231,0.118182,0.180851,0.166667,0.348624,0,0,0,0,0,0.310345,0,0,no
1715,'Fredrik Pettersson',0,EURO,0.375,0.247525,R,2005,157,?,0.53,0.205128,0.172727,0.18617,0.22449,0.348624,0.413793,0.409091,0.266667,0.369565,0.382353,0.310345,0,0,no
1950,'Oscar Hedman',0,EURO,0.5,0.574257,D,2004,132,0.084677,0.76,0.217949,0.163636,0.18617,0.142857,0.293578,0.551724,0.136364,0.2,0.195652,0.088235,0.310345,0,0,no
2018,'David Fredriksson',0.111111,EURO,0.75,0.831683,L,2004,211,0.201613,0.27,0.115385,0.027273,0.06383,0.14966,0.357798,0.275862,0.045455,0,0.021739,0.029412,0.310345,0,0,no
2019,'Alexander Sundstrom',0,EURO,0.5,0.465347,C,2005,218,0.112903,0.12,0,0,0,0,0.33945,0,0,0,0,0,0.310345,0,0,no
2034,'Anton Axelsson',0,EURO,0.5,0.524752,L,2004,192,0.576613,0.35,0.089744,0.1,0.095745,0.108844,0.357798,0.344828,0.090909,0.1,0.108696,0.029412,0.310345,0,0,no
2046,'Johan Dahlberg',0,EURO,0.625,0.485149,L,2005,173,0.108871,0.6,0.192308,0.045455,0.106383,0.459184,0.366972,0.137931,0,0,0,0.058824,0.310345,0,0,no
2277,'Nils Backstrom',0,EURO,0.5,0.465347,D,2004,290,?,0.12,0.012821,0.054545,0.037234,0.088435,0.266055,0,0,0,0,0,0.310345,0,0,no
2495,'Fredrik Naslund',0,EURO,0.8125,0.544554,L,2004,104,0.125,0.72,0.205128,0.227273,0.218085,0.047619,0.302752,0.103448,0,0.033333,0.021739,0.058824,0.310345,0,0,no
2613,'Morten Madsen',0,EURO,0.6875,0.544554,C,2005,122,0.064516,0.45,0.153846,0.181818,0.170213,0.07483,0.302752,0.413793,0.454545,0.3,0.413043,0.088235,0.310345,0,0,no
2620,'Emil Axelsson',0,EURO,0.6875,0.683168,D,2004,210,0.185484,0.61,0.064103,0,0.026596,0.370748,0.100917,0,0,0,0,0,0.310345,0,0,no
2627,'Kirill Starkov',0,EURO,0.5,0.544554,C,2005,189,?,0.31,0.230769,0.109091,0.159574,0.034014,0.357798,0.310345,0.181818,0.1,0.152174,0.029412,0.310345,0,0,no
3636,'Robin Figren',0,EURO,0.4375,0.326733,R,2006,70,0.112903,0.69,0.282051,0.227273,0.25,0.408163,0.330275,0.310345,0.272727,0.066667,0.173913,0.088235,0.310345,0,0,no
3679,'Alexander Hellstrom',0.111111,EURO,0.6875,0.594059,D,2006,184,0.451613,0.54,0.025641,0.036364,0.031915,0.27551,0.385321,0.206897,0,0.1,0.065217,0.058824,0.310345,0,0,no
3696,'Tony Lagerstrom',0,EURO,0.625,0.435644,L,2006,76,0.108871,0.74,0.435897,0.3,0.356383,0.357143,0.348624,0.172414,0.045455,0.066667,0.065217,0.205882,0.310345,0,0,no
3703,'Kim Johansson',0,EURO,0.625,0.50495,C,2006,141,0.342742,0.71,0.076923,0.136364,0.111702,0.248299,0.330275,0.206897,0.045455,0,0.021739,0.235294,0.310345,0,0,no
3724,'Niclas Andersen',0,EURO,0.5625,0.524752,D,2006,114,0.16129,0.8,0.089744,0.118182,0.106383,1,0.330275,0.068966,0,0,0,0.147059,0.310345,0,0,no
3778,'Dick Axelsson',0.111111,EURO,0.625,0.435644,L,2006,62,?,0.51,0.461538,0.154545,0.281915,0.568027,0.605505,0,0,0,0,0,0.310345,0,0,no
3790,'Jonas Ahnelov',0.111111,EURO,0.625,0.653465,D,2006,88,0.03629,0.48,0.051282,0.1,0.079787,0.312925,0.366972,0.241379,0.090909,0.133333,0.130435,0.323529,0.310345,0,0,no
3841,'Anton Hedman',0,EURO,0.6875,0.594059,L,2004,255,?,0.14,0.064103,0.045455,0.053191,0.047619,0.357798,0,0,0,0,0,0.310345,0,0,no
3856,'Daniel Rahimi',0.111111,EURO,0.6875,0.613861,D,2006,82,0.858871,0.51,0.051282,0.1,0.079787,0.340136,0.357798,0.206897,0.136364,0.066667,0.108696,0.544118,0.310345,0,0,no
3900,'Per Johnsson',0,EURO,0.5625,0.267327,D,2006,209,?,0.14,0.038462,0.009091,0.021277,0.129252,0.357798,0.275862,0.045455,0.033333,0.043478,0.323529,0.310345,0,0,no
4120,'Johan Ryno',0.111111,EURO,0.8125,0.613861,C,2005,137,?,0.35,0.269231,0.163636,0.207447,0.047619,0.53211,0,0,0,0,0,0.310345,0,0,no
4126,'Vyacheslav Trukhno',0,EURO,0.5625,0.485149,C,2005,120,0.104839,0.7,0.320513,0.318182,0.319149,0.214286,0.321101,0,0,0,0,0,0.310345,0,0,no
4130,'Pasi Salonen',0.111111,EURO,0.4375,0.39604,L,2004,138,0.504032,0.36,0.153846,0.090909,0.117021,0.204082,0.40367,0.310345,0.181818,0.133333,0.173913,0.117647,0.586207,0,0,no
4131,'Aki Seitsonen',0,EURO,0.625,0.376238,C,2004,118,0.116935,0.71,0.205128,0.218182,0.212766,0.061224,0.440367,0.172414,0,0,0,0,0.275862,0,0,no
4223,'Miikka Tuomainen',0,EURO,0.6875,0.70297,L,2004,204,0.415323,0.47,0.153846,0.081818,0.111702,0.034014,0.33945,0,0,0,0,0,0.310345,0,0,no
4224,'Janne Kolehmainen',0.111111,EURO,0.6875,0.633663,L,2005,115,?,0.48,0.051282,0.045455,0.047872,0.115646,0.284404,0,0,0,0,0,0.310345,0,0,no
4283,'Marko Anttila',0.111111,EURO,1,0.742574,R,2004,260,?,0.34,0.384615,0.272727,0.319149,0.190476,0.357798,0,0,0,0,0,0.310345,0,0,no
4284,'Valtteri Tenkanen',0.111111,EURO,0.4375,0.287129,C,2004,264,0.245968,0.37,0.051282,0.054545,0.053191,0.013605,0.33945,0.37931,0.090909,0.1,0.108696,0,0.241379,0,0,no
4418,'Risto Korhonen',0.111111,EURO,0.6875,0.465347,D,2005,159,0.08871,0.42,0.064103,0.118182,0.095745,0.282313,0.46789,0.172414,0.045455,0.033333,0.043478,0.029412,0.068966,0,0,no
4568,'Dennis Persson',0,EURO,0.5625,0.326733,D,2006,24,0.052419,0.74,0.179487,0.263636,0.228723,0.183673,0.330275,0,0,0,0,0,0.310345,0,0,no
4575,'Viktor Gibbs Sjodin',0,EURO,0.5,0.70297,R,2006,206,0.544355,0.52,0.205128,0.081818,0.132979,0.323129,0.348624,0,0,0,0,0,0.310345,0,0,no
6424,'Juho Mielonen',0,EURO,0.6875,0.435644,D,2005,175,0.104839,0.45,0.051282,0.090909,0.074468,0.122449,0.504587,0.310345,0,0.033333,0.021739,0.088235,0.310345,0,0,no
7410,'Timo Seppanen',0.111111,EURO,0.5,0.39604,D,2006,185,0.048387,0.64,0.141026,0.136364,0.138298,0.27551,0.522936,0.172414,0,0.033333,0.021739,0,0.241379,0,0,no
7452,'Joonas Lehtivuori',0,EURO,0.5,0.217822,D,2006,101,0.125,0.69,0.141026,0.227273,0.191489,0.190476,0.46789,0.310345,0.045455,0.133333,0.108696,0.117647,0.310345,0,0,no
7537,'Tommi Leinonen',0,EURO,0.625,0.465347,D,2005,125,?,0.43,0.115385,0.1,0.106383,0.068027,0.348624,0.034483,0,0,0,0,0.310345,0,0,no
8067,'Jonas Enlund',0.111111,EURO,0.5,0.435644,L,2006,165,0.173387,0.41,0.320513,0.172727,0.234043,0.047619,0.568807,0,0,0,0,0,0.310345,0,0,no
8392,'Jan-Mikael Juutilainen',0,EURO,0.4375,0.287129,C,2006,156,0.092742,0.79,0.294872,0.318182,0.308511,0.234694,0.348624,0.344828,0.272727,0.233333,0.282609,0.058824,0.310345,0,0,no
8393,'Robert Nyholm',0,EURO,0.5625,0.415842,R,2006,129,0.104839,0.68,0.320513,0.163636,0.228723,0.197279,0.376147,0.241379,0.181818,0.1,0.152174,0.058824,0.310345,0,0,no
8394,'Max Warn',0,EURO,0.625,0.524752,L,2006,150,0.290323,0.52,0.179487,0.181818,0.180851,0.234694,0.431193,0.241379,0.181818,0.066667,0.130435,0.088235,0.310345,0,0,no
8395,'Juuso Puustinen',0,EURO,0.5625,0.415842,R,2006,149,0.209677,0.62,0.307692,0.145455,0.212766,0.367347,0.33945,0.172414,0,0,0,0,0.206897,0,0,no
8397,'Niko Snellman',0,EURO,0.625,0.574257,L,2006,105,0.370968,0.32,0.089744,0.109091,0.101064,0.428571,0.311927,0.310345,0.090909,0.166667,0.152174,1,0.310345,0,0,no
8418,'Peter Aston',0.222222,CAN,0.5625,0.50495,D,2006,155,0.91129,0.65,0.205128,0.327273,0.276596,0.105442,0.504587,0.241379,0.090909,0.033333,0.065217,0.029412,0.137931,0,0,no
8640,'Marek Kvapil',0.222222,EURO,0.4375,0.376238,L,2005,163,?,0.75,0.448718,0.427273,0.43617,0.07483,0.431193,0,0,0,0,0,0.310345,0,0,no
9196,'Dan Bertram',0,CAN,0.375,0.287129,R,2005,54,0.141129,0.44,0.166667,0.072727,0.111702,0.22449,0.366972,0,0,0,0,0,0.310345,0,0,no
9200,'Sasha Pokulok',0.111111,CAN,0.8125,0.742574,D,2005,14,0.153226,0.26,0.038462,0.063636,0.053191,0.112245,0.357798,0,0,0,0,0,0.310345,0,0,no
9211,'Nathan Davis',0.111111,USA,0.5625,0.50495,C,2005,113,0.346774,0.38,0.179487,0.1,0.132979,0.102041,0.357798,0,0,0,0,0,0.310345,0,0,no
9213,'Geoff Paukovich',0,USA,0.75,0.544554,L,2004,57,0.318548,0.17,0.051282,0.018182,0.031915,0.132653,0.33945,0,0,0,0,0,0.310345,0,0,no
9219,'Mark Mitera',0.111111,USA,0.6875,0.544554,D,2006,19,0.076613,0.46,0,0.090909,0.053191,0.292517,0.394495,0,0,0,0,0,0.310345,0,0,no
9221,'Tom Fritsche',0.111111,USA,0.4375,0.306931,L,2005,47,0.370968,0.42,0.141026,0.309091,0.239362,0.129252,0.357798,0,0,0,0,0,0.310345,0,0,no
9228,'Petr Pohl',0,EURO,0.4375,0.356436,R,2004,133,0.229839,0.7,0.294872,0.245455,0.265957,0.054422,0.458716,0.275862,0,0.066667,0.043478,0.029412,0.275862,0,0,no
9229,'Jakub Sindel',0,EURO,0.5,0.267327,C,2004,54,0.056452,0.88,0.307692,0.236364,0.265957,0.129252,0.440367,0.448276,0.045455,0.033333,0.043478,0.029412,0.344828,0,0,no
9232,'Tomas Kudelka',0,EURO,0.6875,0.50495,D,2005,136,0.052419,0.61,0.141026,0.145455,0.143617,0.238095,0.513761,0,0,0,0,0,0.310345,0,0,no
9233,'Michal Birner',0,EURO,0.5,0.465347,L,2004,116,0.270161,0.79,0.423077,0.409091,0.414894,0.435374,0.458716,0.068966,0,0.033333,0.021739,0.058824,0.275862,0,0,no
