ID,draft_g,mp,draft_fg,fga,3p,3pa,draft_ft,fta,orb,draft_trb,draft_ast,draft_stl,draft_blk,draft_tov,draft_pf,draft_pts,fg_per,3p_per,ft_per,mp_per,pts_per,trb_per,ast_per,season,weight,height,position,shoots,born,draft_year,pk,amature_honor,college,career_g,career_per,career_ws,career_ws48,career_ws_per_game,career_per_greater_than_15,ws_pergame_greater_than_0,ws48_greater_than_0
1985001,0.888888889,0.733635774,0.540540541,0.41025641,0,0,0.35915493,0.445682451,0,0.556302521,0.147239264,0.283783784,0.616438356,0.525974026,0.832061069,0.448911223,0.895415473,0,0.655030801,0.768844221,0.388732394,0.478787879,0.135416667,1984-85,0.5,0.746478873,Center and Power Forward,Right,1962-08-05,1985,1,1,Georgetown University,1183,21,126.4,0.15,0.106847,yes,yes,yes
1985002,0.888888889,0.831497084,0.909090909,0.745920746,0,0,0.676056338,0.760445682,0,0.618487395,0.144171779,0.216216216,0.237442922,0.474025974,0.854961832,0.775544389,0.828080229,0,0.721765914,0.871859296,0.687323944,0.539393939,0.135416667,1984-85,0.5,0.647887324,Power Forward,Left,1964-06-09,1985,2,1,University of Oklahoma,840,15.7,45.7,0.092,0.0544048,yes,yes,yes
1985003,0.75,0.773169151,0.633906634,0.516317016,0,0,0.605633803,0.64902507,0,0.741176471,0.208588957,0.182432432,0.739726027,0.571428571,0.763358779,0.57118928,0.833810888,0,0.757700205,0.93718593,0.583098592,0.775757576,0.21875,1984-85,0.552083333,0.746478873,Center,Right,1964-11-22,1985,3,1,Creighton University,807,14.8,32.7,0.072,0.0405204,no,yes,yes
1985004,0.722222222,0.740764744,0.862407862,0.731934732,0,0,0.5,0.623955432,0,0.756302521,0.211656442,0.310810811,0.141552511,0.642857143,0.770992366,0.701842546,0.800859599,0,0.650924025,0.927135678,0.743661972,0.818181818,0.229166667,1984-85,0.333333333,0.577464789,Power Forward and Small Forward,Right,1963-06-04,1985,4,1,Wichita State University,870,16.1,47.8,0.091,0.0549425,yes,yes,yes
1985005,0.777777778,0.702527544,0.538083538,0.431235431,0,0,0.450704225,0.534818942,0,0.578151261,0.128834356,0.087837838,0.415525114,0.525974026,0.877862595,0.469011725,0.848137536,0,0.684804928,0.824120603,0.461971831,0.56969697,0.135416667,1984-85,0.552083333,0.746478873,Center,Right,1963-05-17,1985,5,1,Southern Methodist University,784,9.8,29.2,0.085,0.0372449,no,yes,yes
1985006,0.833333333,0.835385612,0.722358722,0.564102564,0,0,0.651408451,0.715877437,0,0.477310924,0.070552147,0.256756757,0.073059361,0.564935065,0.755725191,0.642378559,0.869627507,0,0.739219713,0.924623116,0.6,0.43030303,0.072916667,1984-85,0.572916667,0.718309859,Center,Right,1962-01-04,1985,6,1,University of Arkansas,965,10.5,19.1,0.062,0.0197927,no,yes,yes
1985007,0.833333333,0.860012962,0.616707617,0.561771562,0,0,0.676056338,0.64902507,0,0.267226891,0.463190184,0.493243243,0.077625571,0.584415584,0.519083969,0.576214405,0.746418338,0,0.845995893,0.952261307,0.535211268,0.212121212,0.447916667,1984-85,0.3125,0.535211268,Shooting Guard and Small Forward,Left,1963-07-30,1985,7,1,St. John's University,986,18.8,93.1,0.139,0.0944219,yes,yes,yes
1985008,0.75,0.764744005,0.469287469,0.398601399,0,0,0.440140845,0.487465181,0,0.411764706,0.411042945,0.114864865,0.091324201,0.753246753,0.687022901,0.41959799,0.799426934,0,0.733059548,0.927135678,0.422535211,0.406060606,0.4375,1984-85,0.385416667,0.647887324,Small Forward and Power Forward,Right,1963-01-21,1985,8,0,University of Washington,1136,17.2,109.5,0.156,0.0963908,yes,yes,yes
1985009,0.722222222,0,0.695331695,0.527972028,0,0,0.626760563,0.740947075,0,0.882352941,0.202453988,0,0.146118721,0,0,0.618090452,0.895415473,0,0.686858316,0,0.653521127,0.96969697,0.21875,1984-85,0.4375,0.605633803,Power Forward and Center,Right,1963-12-18,1985,9,0,Virginia Union University,1282,13.4,89.7,0.107,0.0699688,no,yes,yes
1985010,0.833333333,0.768632534,0.434889435,0.343822844,0,0,0.676056338,0.732590529,0,0.505882353,0.217791411,0.364864865,0.292237443,0.558441558,0.86259542,0.452261307,0.859598854,0,0.749486653,0.851758794,0.416901408,0.460606061,0.208333333,1984-85,0.291666667,0.647887324,Small Forward and Power Forward,Right,1963-03-27,1985,10,1,Villanova University,793,14.8,42.7,0.13,0.0538462,no,yes,yes
1985011,0.833333333,0.739468568,0.653562654,0.624708625,0,0,0.549295775,0.557103064,0,0.52605042,0,0.155405405,0.210045662,0.590909091,0.938931298,0.57118928,0.710601719,0,0.800821355,0.819095477,0.532394366,0.478787879,0,1984-85,0.385416667,0.676056338,Power Forward,Right,1962-12-28,1985,11,1,University of Memphis,182,12.2,3.7,0.062,0.0203297,no,yes,yes
1985012,0.638888889,0.666234608,0.498771499,0.468531469,0,0,0.242957746,0.298050139,0,0.374789916,0,0.148648649,0.200913242,0.415584416,0.534351145,0.39279732,0.723495702,0,0.662217659,0.922110553,0.456338028,0.424242424,0,1984-85,0.364583333,0.535211268,Small Forward,Right,1964-10-11,1985,12,0,Wake Forest University,60,8.1,-0.3,-0.022,-0.005,no,no,no
1985013,0.75,0.600129618,0.530712531,0.465034965,0,0,0.341549296,0.473537604,0,0.467226891,0.22392638,0.324324324,0.073059361,0.538961039,0.885496183,0.438023451,0.775071633,0,0.5862423,0.726130653,0.442253521,0.466666667,0.239583333,1984-85,0.552083333,0.647887324,Power Forward,Right,1963-07-24,1985,13,0,Louisiana Tech University,1476,23.9,234.6,0.205,0.158943,yes,yes,yes
1985014,0.777777778,0.810758263,0.899262899,0.881118881,0,0,0.478873239,0.543175487,0,0.51092437,0.110429448,0.277027027,0.01826484,0.525974026,0.709923664,0.721943049,0.693409742,0,0.715605749,0.952261307,0.718309859,0.496969697,0.114583333,1984-85,0.385416667,0.507042254,Shooting Guard,Right,1962-07-19,1985,14,1,Loyola University of Chicago,68,8.2,-0.5,-0.029,-0.00735294,no,no,no
1985015,0.722222222,0.700583279,0.479115479,0.444055944,0,0,0.383802817,0.420612813,0,0.356302521,0.104294479,0.094594595,0.150684932,0.422077922,0.816793893,0.412897822,0.733524355,0,0.741273101,0.876884422,0.430985915,0.357575758,0.114583333,1984-85,0.552083333,0.746478873,Center,Right,1962-11-13,1985,15,0,University of Oregon,532,13.3,19,0.08,0.0357143,no,yes,yes
1985016,0.833333333,0.712248866,0.412776413,0.325174825,0,0,0.35915493,0.348189415,0,0.359663866,0.168711656,0.141891892,0.232876712,0.37012987,0.908396947,0.361809045,0.862464183,0,0.837782341,0.788944724,0.329577465,0.309090909,0.166666667,1984-85,0.53125,0.746478873,Center,Right,1963-04-26,1985,16,1,St. John's University,720,10.9,17.7,0.087,0.0245833,no,yes,yes
1985017,0.777777778,0,0.520884521,0.437062937,0,0,0.36971831,0.409470752,0,0.331092437,0,0.101351351,0.328767123,0.461038961,0.755725191,0.438023451,0.809455587,0,0.733059548,0,0.428169014,0.303030303,0,1984-85,0.5625,0.788732394,Center,Right,1962-03-26,1985,17,0,Indiana University,235,6.6,0.4,0.009,0.00170213,no,yes,yes
1985018,0.611111111,0,0.609336609,0.583916084,0,0,0.707746479,0.657381616,0,0.205042017,0.325153374,0.378378378,0.01826484,0.506493506,0.534351145,0.578726968,0.709169054,0,0.874743326,0,0.704225352,0.218181818,0.40625,1984-85,0.270833333,0.422535211,Shooting Guard and Point Guard,Right,1963-05-24,1985,18,0,McNeese State University,1018,15.3,86.2,0.118,0.0846758,yes,yes,yes
1985019,0.722222222,0.692806222,0.670761671,0.581585082,0,0,0.654929577,0.598885794,0,0.208403361,0,0.533783784,0.03196347,0.402597403,0.534351145,0.608040201,0.783667622,0,0.888090349,0.866834171,0.642253521,0.181818182,0,1984-85,0.291666667,0.507042254,Shooting Guard,Right,1963-10-15,1985,19,0,University of Tulsa,207,13.3,3.1,0.053,0.0149758,no,yes,yes
1985020,0.666666667,0.708360337,0.601965602,0.524475524,0,0,0.61971831,0.579387187,0,0.171428571,0,0.283783784,0.01369863,0.746753247,0.641221374,0.552763819,0.779369628,0,0.868583162,0.947236181,0.625352113,0.157575758,0,1984-85,0.239583333,0.394366197,Point Guard and Shooting Guard,Right,1963-05-18,1985,20,1,Michigan State University,396,14.1,10.9,0.069,0.0275253,no,yes,yes
1985021,0.638888889,0.672715489,0.7002457,0.624708625,0,0,0.521126761,0.69637883,0,0.524369748,0,0.25,0.063926941,0,0,0.596314908,0.76217765,0,0.607802875,0.932160804,0.698591549,0.618181818,0,1984-85,0.40625,0.605633803,Power Forward,Right,1963-08-22,1985,21,0,University of South Alabama,515,14.1,20.9,0.074,0.0405825,no,yes,yes
1985022,0.666666667,0.520414776,0.314496314,0.297202797,0,0,0.225352113,0.298050139,0,0.278991597,0,0.324324324,0.050228311,0.525974026,0.541984733,0.262981575,0.719197708,0,0.613963039,0.695979899,0.287323944,0.290909091,0,1984-85,0.3125,0.605633803,Shooting Guard and Small Forward,Right,1962-12-23,1985,22,0,Louisiana State University,443,15,10.5,0.06,0.023702,no,yes,yes
1985023,0.722222222,0.771872975,0.533169533,0.421911422,0,0,0.552816901,0.643454039,0,0.463865546,0.190184049,0.290540541,0.082191781,0.474025974,0.503816794,0.489949749,0.858166189,0,0.698151951,0.964824121,0.515492958,0.478787879,0.208333333,1984-85,0.40625,0.647887324,Power Forward and Small Forward,Right,1963-10-04,1985,23,1,Oregon State University,1278,14.4,99.5,0.131,0.077856,no,yes,yes
1985024,0.694444444,0.675307842,0.572481572,0.472027972,0,0,0.443661972,0.420612813,0,0.243697479,0.395705521,0.317567568,0.03652968,0.454545455,0.572519084,0.49078727,0.823782235,0,0.856262834,0.871859296,0.532394366,0.236363636,0.447916667,1984-85,0.291666667,0.422535211,Point Guard,Right,1963-04-08,1985,24,0,University of Wisconsin-Stevens Point,1274,17.2,110.4,0.15,0.0866562,yes,yes,yes
1985025,0.638888889,0.52624757,0.422604423,0.333333333,0,0,0.341549296,0.412256267,0,0.305882353,0,0.094594595,0.237442922,0.5,0.65648855,0.364321608,0.861031519,0,0.6724846,0.728643216,0.422535211,0.339393939,0,1984-85,0.552083333,0.746478873,Power Forward and Center,Right,1962-08-31,1985,25,0,Canisius College,194,7.4,0.7,0.018,0.00360825,no,yes,yes
1985026,0.916666667,0.743357097,0.481572482,0.420745921,0,0,0.267605634,0.325905292,0,0.376470588,0,0.256756757,0.054794521,0.454545455,0.694656489,0.386934673,0.777936963,0,0.667351129,0.75879397,0.323943662,0.296969697,0,1984-85,0.333333333,0.577464789,Small Forward,Right,1962-08-16,1985,26,0,Georgetown University,84,10.4,0.3,0.016,0.00357143,no,yes,yes
1985027,0.833333333,0.721970188,0.506142506,0.418414918,0,0,0.373239437,0.381615599,0,0.223529412,0,0.236486486,0.059360731,0.551948052,0.786259542,0.42881072,0.82234957,0,0.794661191,0.798994975,0.394366197,0.16969697,0,1984-85,0.239583333,0.535211268,Small Forward,Right,1963-02-07,1985,27,0,Villanova University,45,8.3,-0.3,-0.026,-0.00666667,no,no,no
1985028,0.638888889,0.641607259,0.314496314,0.247086247,0,0,0.158450704,0.275766017,0,0.462184874,0,0.087837838,0.328767123,0.409090909,0.534351145,0.247068677,0.865329513,0,0.467145791,0.889447236,0.281690141,0.539393939,0,1984-85,0.5,0.605633803,Power Forward,Right,1962-11-07,1985,28,0,Michigan State University,64,9.3,0.8,0.044,0.0125,no,yes,yes
1985029,0.527777778,0.410239793,0.238329238,0.256410256,0,0,0.197183099,0.267409471,0,0.275630252,0,0.027027027,0.219178082,0.376623377,0.511450382,0.204355109,0.631805158,0,0.598562628,0.663316583,0.270422535,0.363636364,0,1984-85,0.479166667,0.746478873,Center,Right,1963-06-21,1985,29,0,University of South Carolina,38,4.7,-0.1,-0.011,-0.00263158,no,no,no
1985031,0.722222222,0,0.744471744,0.578088578,0,0,0.320422535,0.426183844,0,0.687394958,0.128834356,0.054054054,1,0.376623377,0.549618321,0.578726968,0.875358166,0,0.610882957,0,0.611267606,0.739393939,0.145833333,1984-85,0.3125,1,Center,Right,1962-10-16,1985,31,0,University of Bridgeport,624,9.4,12.3,0.051,0.0197115,no,yes,yes
1985032,0.666666667,0.649384316,0.474201474,0.434731935,0,0,0.35915493,0.459610028,0,0.507563025,0,0.128378378,0.260273973,0.551948052,0.572519084,0.403685092,0.740687679,0,0.63449692,0.869346734,0.450704225,0.575757576,0,1984-85,0.572916667,0.788732394,Center,Right,1963-04-13,1985,32,0,Santa Clara University,68,7.7,-0.1,-0.007,-0.00147059,no,no,no
1985033,0.75,0.744005185,0.643734644,0.558275058,0,0,0.401408451,0.473537604,0,0.433613445,0,0.324324324,0.283105023,0.493506494,0.732824427,0.529313233,0.783667622,0,0.688911704,0.90201005,0.538028169,0.43030303,0,1984-85,0.40625,0.676056338,Power Forward,Right,1963-08-05,1985,33,0,University of Iowa,42,9,0.3,0.041,0.00714286,no,yes,yes
1985035,0.666666667,0.650680493,0.464373464,0.412587413,0,0,0.292253521,0.284122563,0,0.379831933,0.211656442,0.304054054,0.050228311,0.474025974,0.625954198,0.381072027,0.76504298,0,0.835728953,0.869346734,0.425352113,0.412121212,0.25,1984-85,0.364583333,0.535211268,Small Forward,Right,1962-12-31,1985,35,0,DePaul University,1065,13.1,56.5,0.098,0.0530516,no,yes,yes
1985036,0.805555556,0.681140635,0.371007371,0.312354312,0,0,0.320422535,0.342618384,0,0.359663866,0,0.162162162,0.02283105,0.597402597,0.786259542,0.324120603,0.806590258,0,0.759753593,0.77638191,0.304225352,0.321212121,0,1984-85,0.53125,0.718309859,Center,Right,1957-10-31,1985,36,0,Georgia Institute of Technology,1,12.8,0,0.309,0,no,no,yes
1985037,0.638888889,0,0.55036855,0.481351981,0,0,0.5,0.557103064,0,0.645378151,0,0.554054054,0.356164384,0,0,0.489112228,0.776504298,0,0.728952772,0,0.571830986,0.775757576,0,1984-85,0.260416667,0.577464789,Small Forward,Right,1962-12-04,1985,37,0,Long Island University,180,14.1,5.3,0.107,0.0294444,no,yes,yes
1985038,0.721340388,0.611928937,0.537927538,0.474821475,0,0,0.422423429,0.468364505,0,0.375163399,0.098743792,0.243028743,0.147785751,0.413007627,0.596752696,0.462391322,0.772183563,0,0.729881686,0.761545824,0.48562486,0.378354978,0.106316138,,0.40625,0.647887324,Center,Right,1962-03-25,1985,38,0,,24,-0.9,-0.4,-0.144,-0.0166667,no,no,no
1985040,0.666666667,0.621516526,0.542997543,0.442890443,0,0,0.35915493,0.454038997,0,0.453781513,0,0.277027027,0.136986301,0.467532468,0.824427481,0.450586265,0.833810888,0,0.642710472,0.831658291,0.507042254,0.509090909,0,1984-85,0.40625,0.718309859,Center,Right,1962-11-15,1985,40,1,Oral Roberts University,375,9,9.3,0.075,0.0248,no,yes,yes
