rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
1,17,CA,Dylan Strome,F,68,45,84,129,32,47,14,0,8,0.662,1.235,1.897
2,17,CA,Mitchell Marner,F,63,44,82,126,53,36,15,2,6,0.698,1.302,2
3,17,CA,Connor McDavid,F,47,44,76,120,48,60,9,2,8,0.936,1.617,2.553
4,20,CA,Joseph Blandisi,F,68,52,60,112,126,18,11,10,4,0.765,0.882,1.647
5,18,US,Christian Dvorak,F,66,41,68,109,24,33,14,2,5,0.621,1.03,1.652
6,19,US,Kevin Labanc,F,68,31,76,107,55,13,16,3,7,0.456,1.118,1.574
7,17,US,Alex DeBrincat,F,68,51,53,104,73,59,21,0,4,0.75,0.779,1.529
8,18,CA,Andrew Mangiapane,F,68,43,61,104,54,24,16,2,2,0.632,0.897,1.529
9,19,CA,Max Domi,F,57,32,70,102,66,24,12,2,6,0.561,1.228,1.789
10,19,CA,Tyler Bertuzzi,F,68,43,55,98,91,26,13,0,5,0.632,0.809,1.441
11,19,RU,Sergei Tolchinsky,F,61,30,65,95,10,41,7,0,6,0.492,1.066,1.557
12,18,CA,Michael Dal Colle,F,56,42,51,93,18,32,16,2,12,0.75,0.911,1.661
13,19,US,Anthony Deangelo,D,55,25,64,89,115,34,4,1,3,0.455,1.164,1.618
14,19,CA,Carter Verhaeghe,F,68,33,49,82,38,21,3,1,2,0.485,0.721,1.206
15,19,CA,Kyle Platzer,F,68,34,47,81,46,13,9,4,3,0.5,0.691,1.191
16,18,CA,Jared McCann,F,56,34,47,81,27,30,10,2,4,0.607,0.839,1.446
17,19,CA,Cole Cassels,F,54,30,51,81,100,34,14,2,3,0.556,0.944,1.5
18,18,CA,Joshua Ho-Sang,F,60,17,64,81,46,7,5,0,5,0.283,1.067,1.35
19,18,CA,Dante Salituro,F,68,37,41,78,38,-1,13,1,3,0.544,0.603,1.147
20,19,SE,Tobias Lindberg,F,67,32,46,78,14,33,7,2,5,0.478,0.687,1.164
21,19,CA,Zach Nastasiuk,F,64,35,42,77,34,9,17,3,2,0.547,0.656,1.203
22,19,CA,Remi Elie,F,63,30,46,76,38,27,7,2,5,0.476,0.73,1.206
23,20,CA,Matt Rupert,F,61,30,45,75,74,19,12,0,3,0.492,0.738,1.23
24,18,CA,Dylan Sadowy,F,65,42,32,74,66,5,9,7,6,0.646,0.492,1.138
25,19,CA,Michael Bunting,F,57,37,37,74,39,44,12,2,4,0.649,0.649,1.298
26,20,CA,Erik Bradford,F,69,28,45,73,34,-10,7,3,4,0.406,0.652,1.058
27,18,CH,Pius Suter,F,61,43,29,72,28,25,6,3,6,0.705,0.475,1.18
28,19,CA,Jason Dickinson,F,56,27,44,71,32,12,6,6,4,0.482,0.786,1.268
29,18,CA,Mike Amadio,F,68,24,47,71,18,30,8,3,3,0.353,0.691,1.044
30,19,CA,Chris Bigras,D,62,20,51,71,52,9,12,0,6,0.323,0.823,1.145
31,19,US,Justin Bailey,F,57,34,35,69,44,6,10,3,4,0.596,0.614,1.211
32,17,CA,Travis Konecny,F,60,29,39,68,34,-1,4,3,6,0.483,0.65,1.133
33,19,US,Michael McCarron,F,56,28,40,68,128,25,14,1,3,0.5,0.714,1.214
34,18,US,Sonny Milano,F,50,22,46,68,24,-17,7,0,1,0.44,0.92,1.36
35,17,CA,Blake Speers,F,57,24,43,67,12,25,8,1,4,0.421,0.754,1.175
36,19,CA,Nick Paul,F,58,37,29,66,49,25,9,1,6,0.638,0.5,1.138
37,19,CA,Matt Mistele,F,60,37,27,64,34,8,12,0,3,0.617,0.45,1.067
38,19,CA,Nicholas Baptiste,F,53,32,32,64,26,9,16,1,2,0.604,0.604,1.208
39,18,SE,Rasmus Andersson,D,67,12,52,64,88,14,6,0,4,0.179,0.776,0.955
40,19,US,Jimmy Lodge,F,58,28,35,63,53,1,5,0,2,0.483,0.603,1.086
41,19,CA,Nick Moutrey,F,62,25,38,63,54,19,4,3,6,0.403,0.613,1.016
42,19,CA,Trevor Murphy,D,59,24,39,63,104,-15,11,0,2,0.407,0.661,1.068
43,17,CA,Mitchell Vande Sompel,D,58,12,51,63,38,31,5,1,3,0.207,0.879,1.086
44,19,CA,Nick Ritchie,F,48,29,33,62,113,1,12,0,4,0.604,0.688,1.292
45,18,US,Ryan MacInnis,F,67,25,37,62,28,-8,8,3,1,0.373,0.552,0.925
46,18,CA,Brendan Lemieux,F,57,41,19,60,145,-9,25,2,8,0.719,0.333,1.053
47,18,CA,Brendan Perlini,F,43,26,34,60,22,15,7,0,5,0.605,0.791,1.395
48,19,CA,Ryan Kujawinski,F,61,34,25,59,30,19,9,0,3,0.557,0.41,0.967
49,19,US,Gabe Guertler,F,67,27,30,57,39,35,6,0,5,0.403,0.448,0.851
50,18,CA,Vince Dunn,D,68,18,38,56,59,8,9,0,3,0.265,0.559,0.824
51,20,CA,Billy Jenkins,F,68,15,41,56,27,3,2,0,3,0.221,0.603,0.824
52,20,CA,Michael Clarke,F,58,23,32,55,40,-9,8,3,3,0.397,0.552,0.948
53,20,CA,Brenden Miller,D,65,19,36,55,91,8,6,0,4,0.292,0.554,0.846
54,19,CA,Brandon Robinson,F,62,25,29,54,85,9,8,0,5,0.403,0.468,0.871
55,19,US,Nick Betz,F,60,22,32,54,72,34,1,2,5,0.367,0.533,0.9
56,19,CA,Justin Scott,F,68,30,23,53,39,26,2,2,5,0.441,0.338,0.779
57,17,RU,Nikita Korostelev,F,55,24,29,53,18,4,3,1,4,0.436,0.527,0.964
58,20,CA,Josh MacDonald,F,63,29,23,52,30,-7,6,0,5,0.46,0.365,0.825
59,19,CA,Jordan Subban,D,63,25,27,52,62,-12,8,0,2,0.397,0.429,0.825
60,19,CA,Jordan Maletta,F,68,24,28,52,41,7,8,0,5,0.353,0.412,0.765
61,18,CA,Eric Cornel,F,66,14,38,52,35,-24,1,0,1,0.212,0.576,0.788
62,19,CA,Bryson Cianfrone,F,63,13,39,52,22,-4,2,1,2,0.206,0.619,0.825
63,17,CA,Lawson Crouse,F,56,29,22,51,70,10,7,2,3,0.518,0.393,0.911
64,19,CA,Anthony DiFruscia,F,68,26,25,51,130,6,9,1,0,0.382,0.368,0.75
65,20,CA,Mathew Campagna,F,64,26,25,51,41,-8,12,1,3,0.406,0.391,0.797
66,20,CA,Slater Doggett,F,57,25,26,51,52,-12,6,2,2,0.439,0.456,0.895
67,18,CA,Robby Fabbri,F,30,25,26,51,40,9,8,2,4,0.833,0.867,1.7
68,20,US,Bryan Moore,F,59,23,27,50,110,27,5,1,5,0.39,0.458,0.847
69,19,CA,Bradley Latour,F,68,22,28,50,36,40,1,4,1,0.324,0.412,0.735
70,19,CA,Hunter Smith,F,57,23,26,49,122,21,9,0,3,0.404,0.456,0.86
71,20,CA,Chris Marchese,F,49,17,32,49,18,-1,4,1,3,0.347,0.653,1
72,19,CA,Daniel Nikandrov,F,68,16,33,49,16,-2,4,1,1,0.235,0.485,0.721
73,18,CA,Thomas Schemitsch,D,68,14,35,49,36,0,5,0,3,0.206,0.515,0.721
74,20,CA,Lucas Venuto,F,68,23,25,48,16,-19,4,0,3,0.338,0.368,0.706
75,17,CA,Mitchell Stephens,F,62,22,26,48,44,-17,5,2,4,0.355,0.419,0.774
76,18,CA,David Miller,F,70,21,27,48,45,-10,9,0,5,0.3,0.386,0.686
77,18,CA,Spencer Watson,F,41,20,28,48,10,10,9,0,5,0.488,0.683,1.171
78,18,CA,Darren Raddysh,D,60,14,34,48,38,32,6,1,2,0.233,0.567,0.8
79,20,CA,Zach Leslie,D,57,11,37,48,57,6,5,0,3,0.193,0.649,0.842
80,19,CA,Josh Sterk,F,60,20,27,47,45,20,5,0,4,0.333,0.45,0.783
81,19,CA,Nathan Todd,F,63,19,28,47,12,9,9,1,2,0.302,0.444,0.746
82,18,CA,Jeremiah Addison,F,63,19,28,47,49,3,3,0,3,0.302,0.444,0.746
