rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
1,20,US,Kevin Labanc,F,65,39,88,127,70,60,3,8,6,0.6,1.354,1.954
2,19,US,Christian Dvorak,F,59,52,69,121,27,56,22,3,11,0.881,1.169,2.051
3,18,CA,Mitchell Marner,F,57,39,77,116,68,45,13,5,5,0.684,1.351,2.035
4,18,CA,Dylan Strome,F,56,37,74,111,44,23,9,1,8,0.661,1.321,1.982
5,18,US,Matthew Tkachuk,F,57,30,77,107,80,45,9,1,5,0.526,1.351,1.877
6,19,CA,Andrew Mangiapane,F,59,51,55,106,50,40,10,8,6,0.864,0.932,1.797
7,18,US,Alex DeBrincat,F,60,51,50,101,28,18,13,2,10,0.85,0.833,1.683
8,18,CA,Travis Konecny,F,60,30,71,101,27,33,5,0,4,0.5,1.183,1.683
9,19,CA,Mike Amadio,F,68,50,48,98,40,30,9,8,8,0.735,0.706,1.441
10,18,US,Christian Fischer,F,66,40,50,90,34,35,10,0,6,0.606,0.758,1.364
11,19,CA,Spencer Watson,F,64,43,46,89,32,31,15,0,8,0.672,0.719,1.391
12,20,CA,Hunter Garlent,F,68,40,47,87,34,26,8,1,4,0.588,0.691,1.279
13,19,CA,Dante Salituro,F,65,38,45,83,55,5,13,1,5,0.585,0.692,1.277
14,19,CA,Eric Cornel,F,68,27,56,83,18,19,6,0,2,0.397,0.824,1.221
15,19,CA,Joshua Ho-Sang,F,66,19,63,82,44,28,2,0,0,0.288,0.955,1.242
16,19,US,Ryan MacInnis,F,59,38,43,81,49,15,16,0,9,0.644,0.729,1.373
17,17,CA,Adam Mascherin,F,65,35,46,81,16,19,9,0,5,0.538,0.708,1.246
18,19,CA,Michael Dal Colle,F,60,35,45,80,26,17,4,2,3,0.583,0.75,1.333
19,17,SE,Alexander Nylander,F,57,28,47,75,18,8,9,1,5,0.491,0.825,1.316
20,18,CA,Blake Speers,F,68,26,48,74,42,-5,5,0,6,0.382,0.706,1.088
21,17,US,Logan Brown,F,59,21,53,74,40,24,6,0,6,0.356,0.898,1.254
22,17,CA,Taylor Raddysh,F,67,24,49,73,18,19,11,0,5,0.358,0.731,1.09
23,20,CA,Aaron Berisha,F,66,45,27,72,35,40,16,1,8,0.682,0.409,1.091
24,17,CA,Kyle Maksimovich,F,68,27,44,71,22,25,7,0,6,0.397,0.647,1.044
25,20,CA,Stephen Harper,F,68,25,46,71,42,14,6,0,3,0.368,0.676,1.044
26,18,FI,Julius N?ttinen,F,52,22,49,71,18,32,9,1,1,0.423,0.942,1.365
27,19,CA,Dylan Sadowy,F,64,45,25,70,65,17,12,3,4,0.703,0.391,1.094
28,20,CA,Mathew Santos,F,64,29,40,69,72,29,6,7,1,0.453,0.625,1.078
29,20,US,Gabe Guertler,F,68,26,42,68,102,11,11,0,5,0.382,0.618,1
30,19,US,J.J. Piccinich,F,66,30,36,66,19,23,16,0,5,0.455,0.545,1
31,18,CA,Zach Senyshyn,F,66,45,20,65,20,5,11,1,3,0.682,0.303,0.985
32,20,US,Greg Betzold,F,65,43,22,65,49,-2,12,0,6,0.662,0.338,1
33,17,CA,William Bitten,F,67,30,35,65,32,-29,5,1,3,0.448,0.522,0.97
34,20,CA,Justin Scott,F,67,28,37,65,60,32,4,4,5,0.418,0.552,0.97
35,18,CZ,Pavel Zacha,F,51,28,36,64,97,17,10,2,4,0.549,0.706,1.255
36,18,US,Jeremy Bracco,F,49,21,43,64,19,15,2,0,3,0.429,0.878,1.306
37,19,CA,Brendan Lemieux,F,45,32,30,62,65,19,14,0,6,0.711,0.667,1.378
38,18,CA,Lawson Crouse,F,49,23,39,62,56,13,6,2,2,0.469,0.796,1.265
39,17,CA,Michael Mcleod,F,57,21,40,61,71,10,6,4,3,0.368,0.702,1.07
40,19,SE,Rasmus Andersson,D,64,9,51,60,60,34,5,0,2,0.141,0.797,0.938
41,20,CA,Jordan Maletta,F,68,34,25,59,55,10,9,2,7,0.5,0.368,0.868
42,18,CA,Anthony Cirelli,F,62,21,38,59,27,-15,10,1,2,0.339,0.613,0.952
43,18,CA,Nathan Bastian,F,64,19,40,59,50,-3,5,0,2,0.297,0.625,0.922
44,17,US,Cam Dineen,D,68,13,46,59,18,18,1,0,5,0.191,0.676,0.868
45,20,CA,Matt Mistele,F,61,33,25,58,45,-6,8,0,3,0.541,0.41,0.951
46,18,CA,Kenny Huether,F,64,26,32,58,13,-8,8,0,4,0.406,0.5,0.906
47,18,CA,Matt Luff,F,61,27,30,57,43,-6,3,1,4,0.443,0.492,0.934
48,17,RU,Mikhail Sergachyov,D,67,17,40,57,56,15,8,0,5,0.254,0.597,0.851
49,19,CA,Jeremiah Addison,F,66,27,29,56,74,-3,12,2,3,0.409,0.439,0.848
50,19,FI,Juho Lammikko,F,59,22,33,55,51,24,4,3,5,0.373,0.559,0.932
51,18,RU,Artem Artemov,F,67,19,36,55,55,-15,5,0,1,0.284,0.537,0.821
52,18,CA,Aaron Luchuk,F,68,27,26,53,19,9,2,1,2,0.397,0.382,0.779
53,18,CA,Brett McKenzie,F,66,26,27,53,43,1,2,5,2,0.394,0.409,0.803
54,20,DK,Mikkel Aagaard,F,64,24,29,53,60,-13,3,3,4,0.375,0.453,0.828
55,17,RU,Dmitri Sokolov,F,68,30,22,52,13,-40,10,0,0,0.441,0.324,0.765
56,17,US,Max Jones,F,63,28,24,52,106,30,4,3,5,0.444,0.381,0.825
57,18,CA,James McEwan,F,68,25,27,52,32,-21,3,4,3,0.368,0.397,0.765
58,18,RU,Artur Tyanulin,F,67,20,32,52,32,4,4,0,3,0.299,0.478,0.776
59,19,SE,Gustaf Franz¨¦n,F,66,17,35,52,22,11,5,0,4,0.258,0.53,0.788
60,17,CA,Boris Katchouk,F,63,24,27,51,61,7,6,1,6,0.381,0.429,0.81
61,20,CA,Mason Marchment,F,61,20,31,51,52,-13,8,0,4,0.328,0.508,0.836
62,17,CA,Jordan Kyrou,F,65,17,34,51,14,13,2,0,4,0.262,0.523,0.785
63,18,CA,Trent Fox,F,67,28,22,50,68,-20,5,2,4,0.418,0.328,0.746
64,17,US,Alan Lyszczarczyk,F,67,17,33,50,36,-25,4,0,1,0.254,0.493,0.746
65,20,CA,Bryson Cianfrone,F,58,17,33,50,40,10,5,1,3,0.293,0.569,0.862
66,20,CA,Nathan Todd,F,53,17,33,50,16,5,4,0,2,0.321,0.623,0.943
67,20,CA,Bradley Latour,F,65,24,25,49,30,6,10,2,3,0.369,0.385,0.754
68,18,FI,Petrus Palmu,F,52,23,26,49,30,-12,7,2,3,0.442,0.5,0.942
69,17,CA,Jonathan Ang,F,68,21,28,49,44,-5,4,1,3,0.309,0.412,0.721
70,17,CA,Jakob Chychrun,D,62,11,38,49,51,23,8,0,2,0.177,0.613,0.79
71,18,US,Ryan Moore,F,68,25,23,48,54,-23,6,1,3,0.368,0.338,0.706
72,19,CA,Steven Lorentz,F,58,23,25,48,27,10,2,0,3,0.397,0.431,0.828
73,19,CA,Bobby MacIntyre,F,62,20,28,48,41,2,5,1,1,0.323,0.452,0.774
74,19,CA,Warren Foegele,F,52,13,35,48,44,32,3,0,1,0.25,0.673,0.923
75,19,CA,Niki Petti,F,60,22,25,47,27,-4,3,2,4,0.367,0.417,0.783
76,19,CA,Michael Cramarossa,F,62,15,32,47,47,-25,5,0,3,0.242,0.516,0.758
77,20,US,Nick Betz,F,68,19,27,46,52,25,1,1,2,0.279,0.397,0.676
78,18,US,Mason Kohn,F,60,16,30,46,59,25,2,0,3,0.267,0.5,0.767
79,20,US,Miles Liberati,D,66,15,31,46,38,6,3,1,2,0.227,0.47,0.697
80,19,CA,Stephen Desrocher,D,69,11,35,46,39,29,6,0,3,0.159,0.507,0.667
81,18,SE,Gustav Bouramman,D,68,6,40,46,43,-5,3,0,1,0.088,0.588,0.676
82,20,CA,Jake Marchment,F,60,25,20,45,60,14,9,2,3,0.417,0.333,0.75
83,19,CA,Brendan Perlini,F,57,25,20,45,28,-6,7,0,2,0.439,0.351,0.789
84,20,CA,Connor Brown,F,68,24,21,45,99,-35,10,0,3,0.353,0.309,0.662
85,20,CA,Josh Burnside,F,55,13,32,45,28,-4,4,1,0,0.236,0.582,0.818
86,20,CA,Anthony DiFruscia,F,67,26,18,44,96,-13,14,0,3,0.388,0.269,0.657
87,19,CA,Anthony Stefano,F,60,21,23,44,22,16,3,1,3,0.35,0.383,0.733
88,19,CA,Cordell James,F,66,19,25,44,44,17,5,2,6,0.288,0.379,0.667
89,20,CA,Michael Webster,D,64,9,35,44,57,31,3,0,0,0.141,0.547,0.688
90,20,CA,Sam Studnicka,F,60,24,19,43,63,6,11,1,6,0.4,0.317,0.717
91,17,US,Jack Kopacka,F,67,20,23,43,12,-5,4,0,0,0.299,0.343,0.642
92,18,CA,Ethan Szypula,F,65,18,25,43,54,-15,6,0,2,0.277,0.385,0.662
93,18,FI,Vili Saarij?rvi,D,59,12,31,43,32,-15,8,0,1,0.203,0.525,0.729
94,19,CA,Vince Dunn,D,52,12,31,43,52,8,4,0,3,0.231,0.596,0.827
95,18,CA,Kyle Capobianco,D,68,7,36,43,58,-43,4,0,0,0.103,0.529,0.632
96,19,CA,Travis Dermott,D,51,6,37,43,65,36,3,0,2,0.118,0.725,0.843
97,17,CA,Givani Smith,F,65,23,19,42,146,-27,7,2,1,0.354,0.292,0.646
98,18,RU,Nikita Korostelev,F,53,23,19,42,15,13,6,0,2,0.434,0.358,0.792
99,18,CA,Logan DeNoble,F,63,20,22,42,47,22,1,0,1,0.317,0.349,0.667
100,17,CA,Domenic Commisso,F,66,18,24,42,32,-9,2,0,1,0.273,0.364,0.636
101,19,CA,Cristiano DiGiacinto,F,63,16,26,42,107,15,3,0,3,0.254,0.413,0.667
102,18,CA,Graham Knott,F,68,12,30,42,67,-11,3,1,2,0.176,0.441,0.618
103,20,CA,Josh Sterk,F,64,9,33,42,22,-5,3,0,3,0.141,0.516,0.656
104,17,FI,Olli Juolevi,D,57,9,33,42,16,38,4,0,0,0.158,0.579,0.737
105,19,CA,Roland McKeown,D,59,7,35,42,49,21,3,0,1,0.119,0.593,0.712
106,18,CA,Johnny Corneil,F,68,20,21,41,36,19,7,0,4,0.294,0.309,0.603
107,18,CA,Matthew Kreis,F,65,17,24,41,20,-7,6,0,1,0.262,0.369,0.631
108,20,US,Connor Chatham,F,64,17,24,41,90,-12,4,0,4,0.266,0.375,0.641
109,19,CA,Santino Centorame,D,67,14,27,41,58,5,8,0,3,0.209,0.403,0.612
110,20,CA,Patrick Murphy,D,68,13,27,40,50,-30,4,0,2,0.191,0.397,0.588
111,19,CA,Steven Harland,F,53,12,28,40,7,5,2,0,2,0.226,0.528,0.755
112,18,CA,Garrett McFadden,D,68,11,29,40,48,-41,7,0,1,0.162,0.426,0.588
