rank,age,nationality,name,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
1,18,US,Conor Garland,F,67,35,94,129,66,21,5,2,8,0.522,1.403,1.925
2,20,CA,Danick Martel,F,64,48,54,102,85,38,20,1,7,0.75,0.844,1.594
3,18,DK,Nikolaj Ehlers,F,51,37,64,101,67,26,8,5,4,0.725,1.255,1.98
4,20,LV,Nikita Jevpalovs,F,64,49,51,100,30,37,17,1,9,0.766,0.797,1.563
5,20,CA,Angelo Miceli,F,64,38,58,96,50,1,13,0,6,0.594,0.906,1.5
6,20,CA,Alexis Loiseau,F,68,35,61,96,42,48,5,5,3,0.515,0.897,1.412
7,19,RU,Ivan Barbashev,F,57,45,50,95,59,16,15,0,4,0.789,0.877,1.667
8,17,CA,Anthony Beauvillier,F,67,42,52,94,72,16,16,4,8,0.627,0.776,1.403
9,19,CA,Anthony DeLuca,F,68,44,47,91,63,32,16,0,9,0.647,0.691,1.338
10,18,CA,Anthony Richard,F,66,43,48,91,78,-9,13,3,4,0.652,0.727,1.379
11,18,CH,Timo Meier,F,61,44,46,90,59,20,23,0,10,0.721,0.754,1.475
12,18,SE,Dmytro Timashov,F,66,19,71,90,54,17,5,0,3,0.288,1.076,1.364
13,20,CA,Kyle Farrell,F,63,42,46,88,24,6,7,7,4,0.667,0.73,1.397
14,17,NL,Daniel Sprong,F,68,39,49,88,18,-23,16,0,4,0.574,0.721,1.294
15,19,CA,Anthony Beauregard,F,68,29,58,87,40,9,7,1,6,0.426,0.853,1.279
16,19,US,Adam Erne,F,60,41,45,86,102,21,12,2,5,0.683,0.75,1.433
17,20,CA,Maxime St. Cyr,F,68,54,30,84,30,-12,24,3,3,0.794,0.441,1.235
18,20,CA,Mathieu Lemay,F,68,44,39,83,54,0,14,0,9,0.647,0.574,1.221
19,18,CA,Samuel Blais,F,61,34,48,82,50,-4,13,0,4,0.557,0.787,1.344
20,18,CA,Nicolas Aube-Kubel,F,61,38,42,80,81,13,12,3,4,0.623,0.689,1.311
