rank,age,nationality,name,NHL/NextYear,NHL/Ever,pos,GP,G,A,P,PIM,plusMinus,PPG,SHG,GWG,GGP,AGP,PGP
1,19,US,Conor Garland,0,0,F,62,39,89,128,97,26,13,1,6,0.629,1.435,2.065
2,19,CA,Francis Perron,0,0,F,62,41,67,108,38,41,10,3,3,0.661,1.081,1.742
3,17,CA,Pierre-Luc Dubois,0,0,F,62,42,57,99,112,40,10,3,6,0.677,0.919,1.597
4,19,CA,Alexis D'Aoust,0,0,F,68,44,54,98,22,32,9,2,6,0.647,0.794,1.441
5,17,RU,Vitaly Abramov,0,0,F,63,38,55,93,36,36,11,0,6,0.603,0.873,1.476
6,20,CA,Anthony Beauregard,0,0,F,67,30,63,93,62,30,9,1,7,0.448,0.94,1.388
7,18,CA,Nicolas Roy,0,0,F,63,48,42,90,71,17,20,0,8,0.762,0.667,1.429
8,19,CA,Michael Carcone,0,0,F,66,47,42,89,80,1,16,1,8,0.712,0.636,1.348
9,18,CA,Alex Barre-Boulet,0,0,F,65,35,54,89,42,2,11,0,7,0.538,0.831,1.369
10,20,CA,Michael Joly,0,0,F,60,47,41,88,38,29,12,3,9,0.783,0.683,1.467
11,19,CA,Anthony Richard,0,0,F,58,37,50,87,37,28,8,5,8,0.638,0.862,1.5
12,19,CH,Timo Meier,0,0,F,52,34,53,87,46,29,12,0,7,0.654,1.019,1.673
13,20,CA,Guillaume Gauthier,0,0,F,67,38,48,86,38,-10,25,0,3,0.567,0.716,1.284
14,19,SE,Dmytro Timashov,0,0,F,57,22,63,85,79,27,3,0,3,0.386,1.105,1.491
15,19,CA,Nicolas Aube-Kubel,0,0,F,61,38,46,84,71,38,9,5,6,0.623,0.754,1.377
16,19,CA,Samuel Blais,0,0,F,63,33,49,82,33,-4,15,1,3,0.524,0.778,1.302
17,18,CA,Jean-Christophe Beaudin,0,0,F,58,33,49,82,34,46,10,4,7,0.569,0.845,1.414
18,18,CA,Anthony Beauvillier,1,1,F,47,40,39,79,57,21,15,2,6,0.851,0.83,1.681
19,19,RU,Evgeny Svechnikov,0,0,F,50,32,47,79,97,26,13,3,3,0.64,0.94,1.58
20,18,CA,Maxime Fortier,0,0,F,68,31,46,77,22,-23,9,0,2,0.456,0.676,1.132
21,20,CA,Gabryel Paquin-Boudreau,0,0,F,60,34,41,75,94,7,11,0,6,0.567,0.683,1.25
22,19,RU,Maxim Lazarev,0,0,F,52,30,45,75,10,20,10,1,4,0.577,0.865,1.442
23,19,CA,Matthew Highmore,0,0,F,65,22,53,75,38,25,9,1,5,0.338,0.815,1.154
24,19,CA,Jonathan Bourcier,0,0,F,66,30,44,74,60,14,14,0,5,0.455,0.667,1.121
25,17,CA,Samuel Girard,0,0,D,67,10,64,74,10,24,7,0,1,0.149,0.955,1.104
26,18,CA,Mathieu Joseph,0,0,F,58,33,40,73,57,35,5,6,6,0.569,0.69,1.259
27,18,CA,Alex Dostie,0,0,F,54,25,48,73,10,31,6,0,2,0.463,0.889,1.352
28,20,US,Danny Moynihan,0,0,F,67,36,34,70,66,11,11,0,4,0.537,0.507,1.045
29,18,US,Dennis Yan,0,0,F,62,32,37,69,86,8,13,0,7,0.516,0.597,1.113
30,17,CA,Pascal Laberge,0,0,F,56,23,45,68,64,-3,4,0,1,0.411,0.804,1.214
31,19,CA,Christophe Boivin,0,0,F,60,31,36,67,38,-3,11,0,3,0.517,0.6,1.117
32,18,LV,Martins Dzierkals,0,0,F,59,24,43,67,42,23,12,0,7,0.407,0.729,1.136
33,20,CA,Yan-Pavel Laplante,0,0,F,63,34,31,65,88,17,9,7,3,0.54,0.492,1.032
34,18,US,Cameron Askew,0,0,F,66,32,33,65,45,11,11,0,2,0.485,0.5,0.985
35,19,DE,Manuel Wiederer,0,0,F,54,29,35,64,41,23,8,1,8,0.537,0.648,1.185
36,20,CZ,Jan Mandat,0,0,F,62,20,44,64,39,37,7,4,2,0.323,0.71,1.032
37,19,CA,Antoine Dufort-Plante,0,0,F,61,23,40,63,36,-1,12,0,4,0.377,0.656,1.033
38,20,US,Sam Povorozniouk,0,0,F,68,39,23,62,79,6,16,0,6,0.574,0.338,0.912
39,19,CA,Giovanni Fiore,0,0,F,65,28,34,62,36,24,2,0,2,0.431,0.523,0.954
40,18,RU,Yakov Trenin,0,0,F,57,26,35,61,56,22,9,1,7,0.456,0.614,1.07
41,18,CA,Brandon Gignac,0,0,F,67,24,37,61,41,9,7,0,3,0.358,0.552,0.91
42,19,CA,Alexandre Goulet,0,0,F,63,33,27,60,28,5,7,0,4,0.524,0.429,0.952
43,18,US,Matthew Boucher,0,0,F,59,30,30,60,93,-9,8,4,4,0.508,0.508,1.017
44,20,CA,Bronson Beaton,0,0,F,68,29,31,60,52,-3,12,0,3,0.426,0.456,0.882
45,16,CA,Maxime Comtois,0,0,F,62,26,34,60,68,4,12,1,2,0.419,0.548,0.968
46,19,CA,Massimo Carozza,0,0,F,66,27,32,59,50,33,5,5,6,0.409,0.485,0.894
47,19,CA,Dylan Montcalm,0,0,F,67,23,36,59,34,4,5,1,5,0.343,0.537,0.881
48,19,CA,Daniel Audette,0,0,F,52,22,37,59,53,-10,5,2,4,0.423,0.712,1.135
49,20,CA,Mark Simpson,0,0,F,66,20,39,59,49,-4,6,2,4,0.303,0.591,0.894
50,20,CA,Nikolas Brouillard,0,0,D,54,17,42,59,63,23,9,0,1,0.315,0.778,1.093
51,18,CA,Frederic Allard,0,0,D,64,14,45,59,34,-7,11,0,2,0.219,0.703,0.922
52,17,RU,Vladimir Kuznetsov,0,0,F,68,25,33,58,34,-7,8,0,1,0.368,0.485,0.853
53,18,CA,Julien Gauthier,0,0,F,54,41,16,57,24,24,11,1,5,0.759,0.296,1.056
54,19,CA,Shawn Ouellette-St. Amant,0,0,F,60,23,34,57,38,46,2,2,3,0.383,0.567,0.95
55,18,CA,Nathan Noel,0,0,F,61,21,36,57,94,4,7,1,1,0.344,0.59,0.934
56,18,RU,Dmitri Zhukenov,0,0,F,64,15,42,57,58,-2,9,0,1,0.234,0.656,0.891
57,18,CA,Jeffrey Truchon-Viel,0,0,F,66,33,23,56,132,-4,7,0,5,0.5,0.348,0.848
58,19,CA,Bradley Kennedy,0,0,F,64,25,31,56,85,0,7,0,2,0.391,0.484,0.875
59,19,CA,Daniel Del Paggio,0,0,F,65,20,35,55,38,7,6,0,5,0.308,0.538,0.846
60,19,CA,Tyler Boland,0,0,F,67,26,28,54,38,-1,6,1,2,0.388,0.418,0.806
61,18,CZ,Filip Chlapik,0,0,F,52,12,42,54,50,-15,3,0,1,0.231,0.808,1.038
62,19,AT,Mario Huber,0,0,F,63,20,31,51,40,14,3,1,2,0.317,0.492,0.81
63,20,CA,Matt Murphy,0,0,D,68,11,40,51,45,21,5,0,1,0.162,0.588,0.75
64,18,US,Kevin Klima,0,0,F,52,23,27,50,81,-10,10,0,2,0.442,0.519,0.962
65,16,CA,Antoine Morand,0,0,F,48,14,36,50,37,-3,6,0,0,0.292,0.75,1.042
66,18,CA,Jeremy Lauzon,0,0,D,46,10,40,50,80,40,6,0,1,0.217,0.87,1.087
67,19,CA,Carl Neill,0,0,D,64,8,42,50,63,-19,6,0,0,0.125,0.656,0.781
68,20,CA,Oliver Cooper,0,0,F,61,24,25,49,97,-11,11,1,4,0.393,0.41,0.803
69,19,CA,Vincent Deslauriers,0,0,F,67,21,27,48,42,-6,5,0,3,0.313,0.403,0.716
70,18,CA,Samuel Laberge,0,0,F,63,21,27,48,103,10,10,3,2,0.333,0.429,0.762
71,19,CA,Mathieu Ayotte,0,0,F,50,20,28,48,20,-1,2,0,3,0.4,0.56,0.96
