player,position,GP,G,A,TP,PPG,PIM,Plus/Minus,contract
Tyler Johnson,C,71,53,62,115,1.62,48,27,0
Brendan Shinnimin,C,60,34,62,96,1.6,84,20,0
Jonathan Parker,RW,71,45,41,86,1.21,45,-8,0
Dylan Hood,C,71,33,50,83,1.17,61,8,0
Andrej Kudrna,LW,65,29,53,82,1.26,26,24,0
Adam Hughesman,LW,60,39,42,81,1.35,59,20,0
Matt MacKay,C,71,29,51,80,1.13,44,18,0
Dylan Wruck,LW,71,38,40,78,1.1,44,25,0
Kevin King,RW,68,33,43,76,1.12,88,26,0
Matt Fraser,LW,66,36,38,74,1.12,115,24,0
Wacey Hamilton,C,67,20,53,73,1.09,113,16,0
Thomas Frazee,C,70,31,41,72,1.03,100,-18,0
Burke Gallimore,RW,71,34,36,70,0.99,35,-26,0
Justin Maylan,C,66,21,48,69,1.05,49,13,0
Brandon Herrod,RW,71,28,40,68,0.96,26,-14,0
Kruise Reddick,C,63,20,48,68,1.08,61,9,0
Justin Dowling,C,63,20,47,67,1.06,18,-11,0
Tyler Maxwell,C,68,41,25,66,0.97,59,8,0
Jordan Hickmott,C,72,28,38,66,0.92,58,0,0
Spencer Edwards,RW,63,27,39,66,1.05,62,24,0
Shayne Wiebe,C,72,44,21,65,0.9,60,6,0
Kellan Tochkin,RW,70,29,35,64,0.91,68,7,0
Jake Trask,C,70,30,33,63,0.9,18,22,0
Justin Feser,C,72,26,37,63,0.88,34,22,0
Sena Acolatse,D,67,15,48,63,0.94,130,0,0
Cameron Braes,C,71,31,30,61,0.86,109,-3,0
Brett Ferguson,LW,72,23,38,61,0.85,111,29,0
Charles Inglis,C,69,32,28,60,0.87,141,6,0
Brenden Dillon,D,72,8,51,59,0.82,139,-25,0
Robin Soudek,RW,61,25,32,57,0.93,70,-11,0
Sebastian Svendsen,C,74,27,29,56,0.76,62,-12,0
T.J. Foster,C,66,25,29,54,0.82,22,11,0
Austin Fyten,LW,52,24,30,54,1.04,103,9,0
Zach Franko,LW,72,22,31,53,0.74,22,7,0
Brandon Manning,D,53,21,32,53,1,129,-4,0
