#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus
1,Adam Brooks(C),Regina Pats,72,38,82,120,1.67,30,41
2,Jayce Hawryluk(C/RW),Brandon Wheat Kings,58,47,59,106,1.83,101,59
3,Brayden Point(C),Moose Jaw Warriors,48,35,53,88,1.83,36,24
4,Mathew Barzal(C),Seattle Thunderbirds,58,27,61,88,1.52,58,22
5,Tyler Soy(C),Victoria Royals,72,46,39,85,1.18,27,34
6,Jack Walker(LW),Victoria Royals,72,36,48,84,1.17,85,30
7,Brett Pollock(LW/RW),Edmonton Oil Kings,72,30,48,78,1.08,76,21
8,Matthew Phillips(C/LW),Victoria Royals,72,37,39,76,1.06,16,11
9,Jesse Gabrielle(LW),Prince George Cougars,72,40,35,75,1.04,101,4
10,Adam Helewka(LW),totals,53,42,32,74,1.4,57,41
,,Spokane Chiefs,19,16,13,29,1.53,23,16
,,Red Deer Rebels,34,26,19,45,1.32,34,25
11,Giorgio Estephan(C),Lethbridge Hurricanes,59,30,44,74,1.25,12,26
12,John Quenneville(C/LW),Brandon Wheat Kings,57,31,42,73,1.28,71,28
13,Noah Gregor(C),Moose Jaw Warriors,72,28,45,73,1.01,33,-2
14,Ivan Provorov(D),Brandon Wheat Kings,62,21,52,73,1.18,16,64
15,Radel Fazleyev(C/W),Calgary Hitmen,59,19,52,71,1.2,46,17
16,Dominic Turgeon(C),Portland Winterhawks,72,36,34,70,0.97,22,7
17,Ryan Gropp(LW),Seattle Thunderbirds,66,34,36,70,1.06,40,10
18,Sam Steel(C),Regina Pats,72,23,47,70,0.97,24,-8
19,Andrew Nielsen(D),Lethbridge Hurricanes,71,18,52,70,0.99,122,30
20,Travis Sanheim(D),Calgary Hitmen,52,15,53,68,1.31,66,15
21,Justin Kirkland(LW/RW),Kelowna Rockets,69,31,36,67,0.97,69,23
22,Vladimir Bobylyov(W/C),Victoria Royals,72,28,39,67,0.93,60,45
23,Dillon Dubé(C/LW),Kelowna Rockets,65,26,40,66,1.02,50,8
24,Jake DeBrusk(LW),totals,61,21,44,65,1.07,47,10
,,Swift Current Broncos,24,9,17,26,1.08,15,-5
,,Red Deer Rebels,37,12,27,39,1.05,32,15
25,Ethan Bear(D),Seattle Thunderbirds,69,19,46,65,0.94,33,14
26,Brett Howden(C/LW),Moose Jaw Warriors,68,24,40,64,0.94,61,-7
27,Jake Bean(D),Calgary Hitmen,68,24,40,64,0.94,28,8
28,Chase Lang(C/W),totals,69,27,36,63,0.91,76,-10
,,Calgary Hitmen,14,2,5,7,0.5,20,-6
,,Vancouver Giants,55,25,31,56,1.02,56,-4
29,Reid Duke(C/RW),Brandon Wheat Kings,68,33,29,62,0.91,53,18
30,Austin Wagner(LW/C),Regina Pats,70,28,34,62,0.89,84,31
,.,,,,,,,,
31,Brad Morrison(C),Prince George Cougars,72,28,34,62,0.86,35,-7
32,Keegan Kolesar(RW),Seattle Thunderbirds,64,30,31,61,0.95,107,10
33,Jakob Stukel(LW),totals,69,36,24,60,0.87,12,2
,,Vancouver Giants,12,2,2,4,0.33,4,-6
,,Calgary Hitmen,57,34,22,56,0.98,8,8
34,Ty Ronning(RW),Vancouver Giants,67,31,28,59,0.88,18,-7
35,Deven Sideroff(RW),Kamloops Blazers,63,19,40,59,0.94,28,4
36,Alex Schoenborn(RW),Portland Winterhawks,67,27,30,57,0.85,80,0
37,Jansen Harkins(C),Prince George Cougars,69,24,33,57,0.83,51,-11
38,Parker Wotherspoon(D),Tri-City Americans,71,11,45,56,0.79,78,-16
39,David Quenneville(D),Medicine Hat Tigers,64,14,41,55,0.86,30,-21
40,Caleb Jones(D),Portland Winterhawks,72,10,45,55,0.76,64,4
41,Michael Spacek(C/RW),Red Deer Rebels,61,18,36,54,0.89,18,5
42,Jackson Houck(RW),totals,56,20,33,53,0.95,49,-15
,,Vancouver Giants,12,4,5,9,0.75,8,-10
,,Calgary Hitmen,44,16,28,44,1,41,-5
43,Glenn Gawdin(C/RW),Swift Current Broncos,53,19,34,53,1,63,7
44,Jack Dougherty(D),Portland Winterhawks,68,11,41,52,0.76,71,1
45,Marc McNulty(D),totals,64,10,42,52,0.81,80,2
,,Kamloops Blazers,4,1,0,1,0.25,6,0
,,Moose Jaw Warriors,60,9,42,51,0.85,74,2
46,Matthew Bradley(C),Medicine Hat Tigers,68,23,28,51,0.75,35,-16
47,Jordy Stallard(C),Calgary Hitmen,68,21,28,49,0.72,20,0
48,Rodrigo Abols(C),Portland Winterhawks,62,20,29,49,0.79,42,9
49,Lucas Johansen(D),Kelowna Rockets,69,10,39,49,0.71,20,11
50,Nicholas Merkley(RW/C),Kelowna Rockets,43,17,31,48,1.12,44,9
