#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus
1,Brendan Shinnimin(C),Tri-City Americans,69,58,76,134,1.94,82,45
2,Adam Hughesman(LW),Tri-City Americans,72,50,66,116,1.61,42,40
3,Justin Maylan(C),Prince Albert Raiders,72,26,63,89,1.24,62,-6
4,Justin Feser(C/LW),Tri-City Americans,72,37,46,83,1.15,43,17
5,Taylor Vause(C),Swift Current Broncos,72,37,46,83,1.15,12,-1
6,Cameron Braes(C),totals,74,41,41,82,1.11,80,-6
,,Lethbridge Hurricanes,44,24,21,45,1.02,54,-12
,,Moose Jaw Warriors,30,17,20,37,1.23,26,6
7,Brenden Walker(RW),Brandon Wheat Kings,68,26,55,81,1.19,61,16
8,Dylan Wruck(LW/C),Edmonton Oil Kings,66,21,59,80,1.21,17,35
9,T.J. Foster(C/RW),Edmonton Oil Kings,69,31,45,76,1.1,26,38
10,Anthony Bardaro(C),totals,63,36,38,74,1.17,33,-11
,,Spokane Chiefs,29,18,19,37,1.28,17,3
,,Prince Albert Raiders,34,18,19,37,1.09,16,-14
11,Tyler Maxwell(C/D),totals,66,37,34,71,1.08,42,32
,,Everett Silvertips,19,11,3,14,0.74,17,-5
,,Edmonton Oil Kings,47,26,31,57,1.21,25,37
12,James Henry(LW),totals,69,16,55,71,1.03,96,1
,,Vancouver Giants,41,6,35,41,1,50,-4
,,Moose Jaw Warriors,28,10,20,30,1.07,46,5
13,Brandon Herrod(RW),totals,68,29,41,70,1.03,25,-6
,,Prince Albert Raiders,40,18,18,36,0.9,10,-14
,,Kamloops Blazers,28,11,23,34,1.21,15,8
14,Cody Sylvester(C/LW),Calgary Hitmen,66,23,45,68,1.03,76,27
15,Jamie Crooks(LW),Victoria Royals,72,37,30,67,0.93,32,-18
16,Brady Brassart(C/RW),Calgary Hitmen,70,25,34,59,0.84,106,21
17,Jake Trask(C),Saskatoon Blades,62,23,36,59,0.95,34,9
18,Cain Franson(LW/C),Vancouver Giants,70,27,31,58,0.83,31,26
19,James Bettauer(D/F),totals,74,21,37,58,0.78,30,17
,,Prince Albert Raiders,15,5,4,9,0.6,10,5
,,Medicine Hat Tigers,59,16,33,49,0.83,20,12
20,Robin Soudek(RW),Victoria Royals,65,27,30,57,0.88,114,-31
21,Alexander Gogolev(LW),Calgary Hitmen,69,25,32,57,0.83,34,17
22,Michael Burns(RW),totals,65,23,34,57,0.88,73,22
,,Saskatoon Blades,62,22,33,55,0.89,71,21
,,Vancouver Giants,3,1,1,2,0.67,2,1
23,Justin Kirsch(LW),totals,57,20,36,56,0.98,19,-4
,,Calgary Hitmen,10,3,2,5,0.5,11,-2
,,Moose Jaw Warriors,47,17,34,51,1.09,8,-2
24,Mitch Holmberg(RW),Spokane Chiefs,66,27,28,55,0.83,8,9
25,Lane Scheidl(LW/D),Regina Pats,70,27,28,55,0.79,57,24
26,Curtis Valk(C),Medicine Hat Tigers,67,24,31,55,0.82,35,-1
27,Jesse Ismond(LW),Kootenay Ice,71,16,39,55,0.77,105,10
28,Dylan Willick(RW),Kamloops Blazers,72,28,26,54,0.75,31,19
29,Matt Konan(D),Medicine Hat Tigers,72,9,45,54,0.75,73,21
30,Brad Hoban(RW),Swift Current Broncos,69,21,32,53,0.77,20,-22
31,Kenton Miller(C),totals,69,35,17,52,0.75,51,7
,,Calgary Hitmen,11,3,0,3,0.27,9,2
,,Moose Jaw Warriors,58,32,17,49,0.84,42,5
32,Chase Schaber(LW/C),Kamloops Blazers,61,23,29,52,0.85,71,22
33,Ryan Harrison(C),Everett Silvertips,70,20,32,52,0.74,103,5
34,Hayden Rintoul(D),Victoria Royals,72,17,34,51,0.71,54,-40
