#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,#ERROR!
1,Dryden Hunt(LW),Moose Jaw Warriors,72,58,58,116,1.61,48,12
2,Brayden Burke(LW/C),Lethbridge Hurricanes,72,27,82,109,1.51,44,36
3,Nolan Patrick(C/RW),Brandon Wheat Kings,72,41,61,102,1.42,41,51
4,Parker Bowles(LW/C),Tri-City Americans,72,39,57,96,1.33,63,-14
5,Tyson Baillie(C/RW),Kelowna Rockets,70,43,52,95,1.36,66,25
6,Reid Gardiner(RW/C),Prince Albert Raiders,71,43,49,92,1.3,46,26
7,Alex Forsberg(LW/C),Victoria Royals,71,31,60,91,1.28,64,22
8,Tyler Wong(RW),Lethbridge Hurricanes,72,43,46,89,1.24,42,17
9,Ivan Nikolishin(C/LW),Red Deer Rebels,72,31,51,82,1.14,20,14
10,Chase Witala(LW/C),Prince George Cougars,71,40,39,79,1.11,81,7
11,Collin Shirley(LW/C),Kamloops Blazers,72,37,42,79,1.1,18,20
12,Chad Butcher(RW/C),Medicine Hat Tigers,71,27,47,74,1.04,87,-17
13,Jon Martin(C/RW),totals,70,41,32,73,1.04,80,-5
,,Kootenay Ice,4,3,1,4,1,6,-1
,,Swift Current Broncos,66,38,31,69,1.05,74,-4
14,Connor Gay(RW),Saskatoon Blades,70,25,47,72,1.03,17,-17
15,Kailer Yamamoto(C/LW),Spokane Chiefs,57,19,52,71,1.25,34,20
16,Macoy Erkamps(D),Brandon Wheat Kings,72,13,58,71,0.99,64,47
17,Cole Sanford(RW/C),totals,63,41,29,70,1.11,78,-4
,,Medicine Hat Tigers,33,21,17,38,1.15,54,-3
,,Regina Pats,30,20,12,32,1.07,24,-1
18,Yegor Babenko(RW),Lethbridge Hurricanes,67,29,40,69,1.03,36,26
19,Cameron Hebig(C),Saskatoon Blades,59,26,43,69,1.17,36,-12
20,Zachary Zborosky(RW),Kootenay Ice,58,32,36,68,1.17,31,-9
21,Jordan Topping(LW),Tri-City Americans,72,32,34,66,0.92,76,-6
22,Lane Bauer(C),Edmonton Oil Kings,72,29,36,65,0.9,26,16
23,Jordan Tkatch(C),Prince Albert Raiders,68,24,41,65,0.96,30,22
24,Cory Millette(LW),Lethbridge Hurricanes,72,34,30,64,0.89,48,4
25,Rihards Bukarts(LW/RW),totals,65,31,31,62,0.95,35,-7
,,Brandon Wheat Kings,10,5,4,9,0.9,11,1
,,Portland Winterhawks,55,26,27,53,0.96,24,-8
26,Matt Needham(C),Kamloops Blazers,66,23,39,62,0.94,55,-8
27,Simon Stransky(LW),Prince Albert Raiders,62,19,43,62,1,19,16
28,Trevor Cox(LW),totals,56,18,43,61,1.09,59,-11
,,Medicine Hat Tigers,6,4,4,8,1.33,11,0
,,Vancouver Giants,50,14,39,53,1.06,48,-11
29,Joe Hicketts(D),Victoria Royals,59,8,53,61,1.03,44,38
30,Mason Shaw(C),Medicine Hat Tigers,67,17,43,60,0.9,72,-3
31,Tyler Coulter(LW),Brandon Wheat Kings,69,22,37,59,0.86,55,47
32,Remi Laurencelle(LW/C),Everett Silvertips,69,28,30,58,0.84,41,3
33,Dante Hannoun(C),Victoria Royals,71,26,32,58,0.82,16,26
34,Jesse Lees(D),Prince Albert Raiders,71,23,35,58,0.82,76,9
35,Gage Quinney(LW),totals,53,29,28,57,1.08,24,26
,,Kelowna Rockets,5,2,5,7,1.4,2,4
,,Kamloops Blazers,48,27,23,50,1.04,22,22
36,Brogan O'Brien(C/LW),Prince George Cougars,71,18,38,56,0.79,28,12
37,Dominic Zwerger(LW),Spokane Chiefs,65,27,28,55,0.85,46,13
38,Lane Pederson(C),totals,72,20,35,55,0.76,48,-3
,,Red Deer Rebels,35,6,15,21,0.6,19,12
,,Swift Current Broncos,37,14,20,34,0.92,29,-15
39,Keanu Yamamoto(RW),Spokane Chiefs,71,22,32,54,0.76,50,-2
40,Matt Revel(C),Kamloops Blazers,66,23,30,53,0.8,10,7
41,Brennan Menell(D),Vancouver Giants,69,7,46,53,0.77,36,-20
42,Nick Zajac(LW/C),Saskatoon Blades,72,20,32,52,0.72,91,-14
43,Ryley Lindgren(C/RW),Lethbridge Hurricanes,65,27,23,50,0.77,26,-2
44,Beau McCue(RW),Tri-City Americans,72,22,28,50,0.69,40,-20
45,Cole Linaker(C),Kelowna Rockets,70,18,32,50,0.71,37,18
46,Arvin Atwal(D),Lethbridge Hurricanes,71,11,39,50,0.7,67,22
47,Justin Gutierrez(C),Lethbridge Hurricanes,46,22,27,49,1.07,35,15
48,Tim McGauley(C),Brandon Wheat Kings,51,22,27,49,0.96,24,14
49,Carson Stadnyk(RW/C),Everett Silvertips,71,21,28,49,0.69,30,13
50,Matt Alfaro(C),Kootenay Ice,65,22,26,48,0.74,96,-29
51,Vladislav Lukin(RW),Tri-City Americans,68,21,27,48,0.71,28,9
101,Tyler Sandhu(C/RW),Tri-City Americans,67,19,29,48,0.72,24,4
102,Markson Bechtold(LW/C),Spokane Chiefs,72,17,31,48,0.67,94,3
103,Matt Fonteyne(LW/C),Everett Silvertips,72,16,32,48,0.67,28,8
104,Kord Pankewicz(D),Lethbridge Hurricanes,71,5,43,48,0.68,64,26
105,Colton Bobyk(D),Red Deer Rebels,72,20,27,47,0.65,96,11
106,Steven Owre(C),Medicine Hat Tigers,49,16,31,47,0.96,32,-1
107,Nikita A. Popugayev(RW),Moose Jaw Warriors,70,16,31,47,0.67,28,-7
108,Ryan Graham(LW),Saskatoon Blades,71,22,24,46,0.65,60,-30
109,Tomas Soustal(C),Kelowna Rockets,58,20,26,46,0.79,64,17
110,Tyler Steenbergen(C),Swift Current Broncos,67,20,26,46,0.69,18,-18
