#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus,contract
1,Tyler Johnson(C),Spokane Chiefs,71,53,62,115,1.62,48,27,0
2,Brendan Shinnimin(C),Tri-City Americans,60,34,62,96,1.6,84,20,0
3,Jonathan Parker(RW),Prince Albert Raiders,71,45,41,86,1.21,45,-8,0
4,Dylan Hood(C),Moose Jaw Warriors,71,33,50,83,1.17,61,8,0
5,Andrej Kudrna(LW),Red Deer Rebels,65,29,53,82,1.26,26,24,0
6,Adam Hughesman(LW),Tri-City Americans,60,39,42,81,1.35,59,20,0
7,Matt MacKay(C),totals,71,29,51,80,1.13,44,18,0
,,Vancouver Giants,40,12,16,28,0.7,32,-2,0
,,Brandon Wheat Kings,31,17,35,52,1.68,12,20,0
8,Dylan Wruck(LW/C),Edmonton Oil Kings,71,38,40,78,1.1,44,25,0
9,Kevin King(RW),Kootenay Ice,68,33,43,76,1.12,88,26,0
10,Matt Fraser(LW/RW),Kootenay Ice,66,36,38,74,1.12,115,24,0
11,Wacey Hamilton(C),Medicine Hat Tigers,67,20,53,73,1.09,113,16,0
12,Thomas Frazee(C),totals,70,31,41,72,1.03,100,-18,0
,,Regina Pats,33,13,24,37,1.12,41,-12,0
,,Kamloops Blazers,37,18,17,35,0.95,59,-6,0
13,Burke Gallimore(RW),Seattle Thunderbirds,71,34,36,70,0.99,35,-26,0
14,Justin Maylan(C),Prince Albert Raiders,66,21,48,69,1.05,49,13,0
15,Brandon Herrod(RW),Prince Albert Raiders,71,28,40,68,0.96,26,-14,0
16,Kruise Reddick(C/RW),Tri-City Americans,63,20,48,68,1.08,61,9,0
17,Justin Dowling(C),Swift Current Broncos,63,20,47,67,1.06,18,-11,0
18,Tyler Maxwell(C/D),Everett Silvertips,68,41,25,66,0.97,59,8,0
19,Jordan Hickmott(C),Edmonton Oil Kings,72,28,38,66,0.92,58,0,0
20,Spencer Edwards(RW),Moose Jaw Warriors,63,27,39,66,1.05,62,24,0
21,Shayne Wiebe(C),Brandon Wheat Kings,72,44,21,65,0.9,60,6,0
22,Kellan Tochkin(RW),totals,70,29,35,64,0.91,68,7,0
,,Everett Silvertips,38,17,19,36,0.95,30,8,0
