#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,Plus/Minus,contract
1,Mitch Holmberg(RW),Spokane Chiefs,72,62,56,118,1.64,25,35,0
2,Todd Fiddler(LW),totals,66,50,48,98,1.48,22,1,0
,,Moose Jaw Warriors,14,2,8,10,0.71,6,-8,0
,,Prince George Cougars,52,48,40,88,1.69,16,9,0
3,Joshua Winquist(LW),Everett Silvertips,67,47,46,93,1.39,44,19,0
4,Curtis Valk(C),Medicine Hat Tigers,72,47,45,92,1.28,36,33,0
5,Brady Brassart(C/RW),Calgary Hitmen,70,35,50,85,1.21,94,11,0
6,Trevor Cox(LW),Medicine Hat Tigers,70,25,57,82,1.17,46,42,0
7,Mike Aviani(C),Spokane Chiefs,69,38,43,81,1.17,116,29,0
8,Luke Philp(C),Kootenay Ice,71,31,46,77,1.08,31,2,0
9,Nathan Burns(LW/C),totals,68,27,50,77,1.13,58,5,0
,,Saskatoon Blades,40,16,27,43,1.08,40,5,0
,,Swift Current Broncos,28,11,23,34,1.21,18,0,0
10,Dyson Stevenson(W/C),Regina Pats,66,38,38,76,1.15,121,23,0
11,Cole Sanford(RW/C),Medicine Hat Tigers,72,33,40,73,1.01,55,47,0
12,Boston Leier(LW),totals,65,33,39,72,1.11,55,5,0
,,Medicine Hat Tigers,4,2,0,2,0.5,0,1,0
,,Regina Pats,61,31,39,70,1.15,55,4,0
13,Collin Valcourt(LW),totals,71,28,44,72,1.01,90,8,0
,,Saskatoon Blades,36,14,24,38,1.06,55,4,0
,,Prince Albert Raiders,35,14,20,34,0.97,35,4,0
14,Colby Cave(C/LW),Swift Current Broncos,72,33,37,70,0.97,30,20,0
15,Brandon Magee(C/RW),Victoria Royals,65,25,42,67,1.03,52,30,0
16,Jay Merkley(C),Swift Current Broncos,72,34,32,66,0.92,16,11,0
17,Rhyse Dieno(RW/C),Red Deer Rebels,65,25,41,66,1.02,36,2,0
18,Carter Popoff(C),Vancouver Giants,72,13,51,64,0.89,34,-12,0
19,Cain Franson(LW/C),Vancouver Giants,66,30,33,63,0.95,44,0,0
20,Reid Gow(D),Spokane Chiefs,65,6,56,62,0.95,77,31,0
21,Dakota Conroy(RW),Prince Albert Raiders,66,30,31,61,0.92,24,-2,0
22,Cody Corbett(D),Edmonton Oil Kings,65,17,44,61,0.94,37,19,0
23,Klarc Wilson(RW),Prince George Cougars,72,27,33,60,0.83,95,-8,0
24,Tim McGauley(C),Brandon Wheat Kings,68,21,39,60,0.88,21,-5,0
25,Ivan Nikolishin(C/LW),Everett Silvertips,72,18,41,59,0.82,16,-4,0
26,Jason Fram(D),Spokane Chiefs,72,6,51,57,0.79,34,26,0
27,Brian Williams(C),Tri-City Americans,72,36,20,56,0.78,34,-3,0
28,Axel Blomqvist(LW/RW),totals,65,24,32,56,0.86,24,14,0
,,Lethbridge Hurricanes,19,8,5,13,0.68,10,-10,0
,,Victoria Royals,46,16,27,43,0.93,14,24,0
29,Zach Franko(LW),totals,67,21,35,56,0.84,14,24,0
,,Kelowna Rockets,39,12,23,35,0.9,10,15,0
,,Kootenay Ice,28,9,12,21,0.75,4,9,0
30,Reid Petryk(C/RW),totals,63,17,39,56,0.89,56,29,0
,,Everett Silvertips,1,0,0,0,0,5,0,0
,,Edmonton Oil Kings,62,17,39,56,0.9,51,29,0
31,Jack Rodewald(RW),Moose Jaw Warriors,58,28,27,55,0.95,56,-11,0
32,Tyson Baillie(C/RW),Kelowna Rockets,56,22,33,55,0.98,53,19,0
