#,PLAYER,TEAM,GP,G,A,TP,PPG,PIM,#ERROR!,contract
1,Trevor Cox(LW),Medicine Hat Tigers,69,29,80,109,1.58,57,29,0
2,Tim McGauley(C),Brandon Wheat Kings,72,42,63,105,1.46,24,43,0
3,Cole Sanford(RW/C),Medicine Hat Tigers,72,50,45,95,1.32,71,24,0
4,Jack Rodewald(RW),Moose Jaw Warriors,71,35,50,85,1.2,72,-4,0
5,Dryden Hunt(LW),totals,71,33,50,83,1.17,50,8,0
,,Regina Pats,37,14,33,47,1.27,32,14,0
,,Medicine Hat Tigers,34,19,17,36,1.06,18,-6,0
6,Luke Philp(C),Kootenay Ice,71,30,52,82,1.15,28,16,0
7,Connor Rankin(C/LW),Calgary Hitmen,72,32,47,79,1.1,68,35,0
8,Tyson Baillie(C/RW),Kelowna Rockets,68,37,39,76,1.12,68,16,0
9,Matt Needham(C),Kamloops Blazers,71,25,51,76,1.07,63,31,0
10,Colby Cave(C/LW),Swift Current Broncos,72,35,40,75,1.04,52,3,0
11,Rihards Bukarts(LW/RW),Brandon Wheat Kings,62,33,41,74,1.19,16,21,0
12,Riley Sheen(LW/D),totals,71,24,47,71,1,61,-6,0
,,Lethbridge Hurricanes,27,3,20,23,0.85,37,-19,0
,,Red Deer Rebels,44,21,27,48,1.09,24,13,0
13,Chase Witala(LW/C),Prince George Cougars,68,38,31,69,1.01,56,-3,0
14,Carson Stadnyk(RW/C),Everett Silvertips,71,27,42,69,0.97,24,18,0
15,Reid Gardiner(RW/C),Prince Albert Raiders,67,34,30,64,0.96,44,-3,0
16,Joe Hicketts(D),Victoria Royals,62,12,52,64,1.03,48,17,0
17,Ivan Nikolishin(C/LW),Everett Silvertips,72,16,46,62,0.86,19,-1,0
18,Jason Fram(D),Spokane Chiefs,70,9,53,62,0.89,20,2,0
19,Brandon Magee(C/RW),Victoria Royals,50,23,38,61,1.22,67,14,0
20,Connor Gay(RW),totals,71,23,38,61,0.86,14,21,0
,,Regina Pats,39,20,24,44,1.13,6,19,0
,,Red Deer Rebels,32,3,14,17,0.53,8,2,0
21,Kohl Bauml(C),Everett Silvertips,71,30,30,60,0.85,18,21,0
22,Taylor Cooper(LW),totals,65,25,35,60,0.92,38,-10,0
,,Lethbridge Hurricanes,38,12,16,28,0.74,28,-13,0
,,Regina Pats,27,13,19,32,1.19,10,3,0
23,Miles Koules(C/RW),totals,69,27,32,59,0.86,47,15,0
,,Medicine Hat Tigers,2,1,0,1,0.5,0,1,0
,,Portland Winterhawks,67,26,32,58,0.87,47,14,0
24,Brooks Maxwell(RW/D),Red Deer Rebels,71,27,32,59,0.83,49,8,0
25,Braden Christoffer(LW/C),Regina Pats,72,26,33,59,0.82,147,13,0
26,Axel Blomqvist(LW/RW),totals,61,25,34,59,0.97,26,3,0
,,Victoria Royals,34,14,15,29,0.85,10,2,0
,,Moose Jaw Warriors,27,11,19,30,1.11,16,1,0
27,Alex Forsberg(LW/C),totals,66,26,32,58,0.88,47,-11,0
,,Saskatoon Blades,36,13,20,33,0.92,17,-10,0
