id,PlayerName,DraftAge_norm,country_group,Height_norm,Weight_norm,Position,DraftYear,Overall,CSS_rank_norm,rs_GP_norm,rs_G_norm,rs_A_norm,rs_P_norm,rs_PIM_norm,rs_PlusMinus_norm,po_GP_norm,po_G_norm,po_A_norm,po_P_norm,po_PIM_norm,po_PlusMinus_norm,GP_greater_than_0,wx_sum,lmt_prob,LeafNode
1256,John Wikner,0.0,EURO,0.625,0.37623762376237624,L,2004,284,1,0.31,0.07692307692307693,0.02727272727272727,0.047872340425531915,0.07482993197278912,0.3577981651376147,0.3103448275862069,0.0,0.0,0.0,0.08823529411764706,0.3103448275862069,no,4.3161780817201265,0.013174916044911538,2
1288,Patrik Hersley,0.1111111111111111,EURO,0.6875,0.5742574257425742,D,2005,139,1,0.47,0.11538461538461539,0.14545454545454545,0.13297872340425532,0.3945578231292517,0.3669724770642202,0.10344827586206896,0.09090909090909091,0.03333333333333333,0.06521739130434782,0.08823529411764706,0.3103448275862069,no,1.457634170058027,0.18882943945600367,5
1299,Christofer Lofberg,0.1111111111111111,EURO,0.6875,0.504950495049505,C,2005,80,1,0.31,0.2692307692307692,0.11818181818181818,0.18085106382978725,0.16666666666666666,0.3486238532110092,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,no,4.644531456804012,0.0095224837198011354,3
1715,Fredrik Pettersson,0.0,EURO,0.375,0.24752475247524752,R,2005,157,1,0.53,0.20512820512820512,0.17272727272727273,0.18617021276595744,0.22448979591836735,0.3486238532110092,0.41379310344827586,0.4090909090909091,0.26666666666666666,0.3695652173913043,0.38235294117647056,0.3103448275862069,no,4.615223023481012,0.0098029265041904724,3
2277,Nils Backstrom,0.0,EURO,0.5,0.46534653465346537,D,2004,290,1,0.12,0.01282051282051282,0.05454545454545454,0.03723404255319149,0.08843537414965986,0.26605504587155965,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,no,2.888703991971915,0.052714798322240408,2
2627,Kirill Starkov,0.0,EURO,0.5,0.5445544554455446,C,2005,189,1,0.31,0.23076923076923078,0.10909090909090909,0.1595744680851064,0.034013605442176874,0.3577981651376147,0.3103448275862069,0.18181818181818182,0.1,0.15217391304347827,0.029411764705882353,0.3103448275862069,no,0.3796088007591325,0.40622125302982409,4
3707,Emil Sandin,0.2222222222222222,EURO,0.375,0.3069306930693069,L,2008,199,1,0.47,0.1282051282051282,0.2636363636363636,0.2074468085106383,0.17006802721088435,0.3577981651376147,0.2413793103448276,0.045454545454545456,0.13333333333333333,0.10869565217391304,0.11764705882352941,0.3103448275862069,no,-0.22691823445026627,0.55648737956877403,4
3778,Dick Axelsson,0.1111111111111111,EURO,0.625,0.43564356435643564,L,2006,62,1,0.51,0.46153846153846156,0.15454545454545454,0.28191489361702127,0.5680272108843537,0.6055045871559633,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,no,2.098318444615618,0.10926036693902887,5
3841,Anton Hedman,0.0,EURO,0.6875,0.594059405940594,L,2004,255,1,0.14,0.0641025641025641,0.045454545454545456,0.05319148936170213,0.047619047619047616,0.3577981651376147,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,no,2.68167101879537,0.06406360999755846,2
3900,Per Johnsson,0.0,EURO,0.5625,0.26732673267326734,D,2006,209,1,0.14,0.038461538461538464,0.00909090909090909,0.02127659574468085,0.1292517006802721,0.3577981651376147,0.27586206896551724,0.045454545454545456,0.03333333333333333,0.043478260869565216,0.3235294117647059,0.3103448275862069,no,4.272964479851915,0.013748733034700564,2
4120,Johan Ryno,0.1111111111111111,EURO,0.8125,0.6138613861386139,C,2005,137,1,0.35,0.2692307692307692,0.16363636363636364,0.2074468085106383,0.047619047619047616,0.5321100917431193,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,no,1.615990187918997,0.16575861492199856,5
4224,Janne Kolehmainen,0.1111111111111111,EURO,0.6875,0.6336633663366337,L,2005,115,1,0.48,0.05128205128205128,0.045454545454545456,0.047872340425531915,0.11564625850340136,0.28440366972477066,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,no,2.0602474684800467,0.11302101965700169,2
4283,Marko Anttila,0.1111111111111111,EURO,1.0,0.7425742574257426,R,2004,260,1,0.34,0.38461538461538464,0.2727272727272727,0.3191489361702128,0.19047619047619047,0.3577981651376147,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,no,1.940323377610599,0.12561233439870889,4
4613,Jesper Samuelsson,0.2222222222222222,EURO,0.5,0.24752475247524752,C,2008,211,1,0.4,0.2564102564102564,0.38181818181818183,0.32978723404255317,0.24829931972789115,0.3577981651376147,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,no,0.3225789194253035,0.42004737432016748,4
5507,Alexander Deilert,0.1111111111111111,EURO,0.5,0.26732673267326734,D,2008,198,1,0.46,0.07692307692307693,0.10909090909090909,0.09574468085106383,0.24489795918367346,0.3577981651376147,0.2413793103448276,0.045454545454545456,0.06666666666666667,0.06521739130434782,0.20588235294117646,0.3103448275862069,no,0.07196530473788032,0.4820164345604121,4
6251,Mats Frshaug,0.2222222222222222,EURO,0.625,0.594059405940594,C,2008,161,1,0.65,0.2948717948717949,0.24545454545454545,0.26595744680851063,0.22108843537414966,0.3394495412844037,0.1724137931034483,0.13636363636363635,0.13333333333333333,0.15217391304347827,0.029411764705882353,0.3103448275862069,no,3.7574217897356856,0.022811343661545368,3
6870,Stefan Warg,0.0,EURO,0.6875,0.6534653465346535,D,2008,143,1,0.34,0.02564102564102564,0.05454545454545454,0.0425531914893617,0.25170068027210885,0.3577981651376147,0.10344827586206896,0.0,0.0,0.0,0.20588235294117646,0.3103448275862069,no,2.4355306025903687,0.080503127910206002,2
6912,William Quist,0.0,EURO,0.8125,0.48514851485148514,L,2007,157,1,0.45,0.20512820512820512,0.22727272727272727,0.21808510638297873,0.30612244897959184,0.3577981651376147,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,no,1.5513251772361238,0.17489495380393436,4
7537,Tommi Leinonen,0.0,EURO,0.625,0.46534653465346537,D,2005,125,1,0.43,0.11538461538461539,0.1,0.10638297872340426,0.06802721088435375,0.3486238532110092,0.034482758620689655,0.0,0.0,0.0,0.0,0.3103448275862069,no,3.819948564622897,0.021458369726341221,3
8640,Marek Kvapil,0.2222222222222222,EURO,0.4375,0.37623762376237624,L,2005,163,1,0.75,0.44871794871794873,0.42727272727272725,0.43617021276595747,0.07482993197278912,0.43119266055045874,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,no,1.5398153200876987,0.17656212340731142,5
9247,Stanislav Lascek,0.1111111111111111,EURO,0.5625,0.39603960396039606,R,2005,133,1,0.59,0.24358974358974358,0.6636363636363637,0.48936170212765956,0.1564625850340136,0.3669724770642202,0.5862068965517241,0.18181818181818182,0.6,0.4782608695652174,0.38235294117647056,0.13793103448275862,no,-0.1046392431930388,0.52613596744827418,5
9263,Nikolai Lemtyugov,0.1111111111111111,EURO,0.5,0.5742574257425742,R,2005,219,1,0.11,0.01282051282051282,0.00909090909090909,0.010638297872340425,0.05442176870748299,0.3669724770642202,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,no,1.7396645779139095,0.14935554438034809,2
9298,Kirill Tulupov,0.0,EURO,0.6875,0.7227722772277227,D,2006,67,1,0.14,0.01282051282051282,0.02727272727272727,0.02127659574468085,0.07482993197278912,0.42201834862385323,0.10344827586206896,0.0,0.06666666666666667,0.043478260869565216,0.11764705882352941,0.27586206896551724,no,1.8798739726065374,0.13240334997871839,2
9347,Justin Azevedo,0.2222222222222222,CAN,0.1875,0.19801980198019803,C,2008,153,1,0.67,0.5512820512820513,0.7363636363636363,0.6595744680851063,0.23469387755102042,0.5779816513761468,0.6896551724137931,0.45454545454545453,0.8666666666666667,0.782608695652174,0.4852941176470588,0.6551724137931034,no,-1.672218271432977,0.84187135027391335,5
9417,Dusty Collins,0.1111111111111111,USA,0.6875,0.5742574257425742,C,2004,163,1,0.36,0.01282051282051282,0.05454545454545454,0.03723404255319149,0.10204081632653061,0.3394495412844037,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,no,1.4876513728291476,0.18427450522297806,2
9475,Dany Roussin,0.2222222222222222,CAN,0.625,0.46534653465346537,L,2005,50,1,0.69,0.6923076923076923,0.5636363636363636,0.6170212765957447,0.22448979591836735,0.9174311926605505,0.4482758620689655,0.5,0.3,0.43478260869565216,0.11764705882352941,0.6551724137931034,no,-0.31027707612611083,0.57695289083029755,5
9592,Alexander Bumagin,0.1111111111111111,EURO,0.5,0.3564356435643564,L,2006,170,1,0.4,0.11538461538461539,0.10909090909090909,0.11170212765957446,0.09523809523809523,0.3486238532110092,0.27586206896551724,0.0,0.1,0.06521739130434782,0.058823529411764705,0.20689655172413793,no,3.23443914890503,0.037890088048562094,3
9661,Ondrej Otcenas,0.0,EURO,0.5625,0.46534653465346537,C,2005,123,1,0.06,0.05128205128205128,0.00909090909090909,0.026595744680851064,0.034013605442176874,0.3761467889908257,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,no,2.2644885517662527,0.094107018157107078,2
9665,Roman Kukumberg,0.6666666666666666,EURO,0.5625,0.43564356435643564,C,2004,113,1,0.6,0.20512820512820512,0.18181818181818182,0.19148936170212766,0.3231292517006803,0.7064220183486238,0.3793103448275862,0.18181818181818182,0.26666666666666666,0.2608695652173913,0.20588235294117646,0.5172413793103449,no,2.3750102246804072,0.085098248945435009,5
10476,David Kuchejda,0.0,EURO,0.375,0.4158415841584158,R,2005,202,1,0.5,0.19230769230769232,0.2727272727272727,0.2393617021276596,0.5034013605442177,0.5412844036697247,0.06896551724137931,0.045454545454545456,0.03333333333333333,0.043478260869565216,0.029411764705882353,0.3103448275862069,no,2.149253424024628,0.10440100843221418,5
10612,Philip Gogulla,0.0,EURO,0.625,0.37623762376237624,L,2005,48,1,0.56,0.02564102564102564,0.02727272727272727,0.026595744680851064,0.061224489795918366,0.3119266055045872,0.3103448275862069,0.0,0.06666666666666667,0.043478260869565216,0.4264705882352941,0.3103448275862069,no,2.4094894594718235,0.082451934130480076,2
10656,Keith Seabrook,0.0,CAN,0.5,0.43564356435643564,D,2006,52,1,0.57,0.1282051282051282,0.21818181818181817,0.18085106382978725,0.2755102040816326,0.3577981651376147,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,no,0.6375439803054572,0.34580193681652088,4
10909,Jay Barriball,0.1111111111111111,USA,0.3125,0.15841584158415842,L,2006,203,1,0.33,0.4230769230769231,0.4090909090909091,0.4148936170212766,0.006802721088435374,0.43119266055045874,0.1724137931034483,0.09090909090909091,0.03333333333333333,0.06521739130434782,0.0,0.3103448275862069,no,1.159447996364704,0.23876760156350749,5
11052,Mark Santorelli,0.1111111111111111,CAN,0.5625,0.32673267326732675,R,2007,119,1,0.72,0.3717948717948718,0.4818181818181818,0.43617021276595747,0.1564625850340136,0.3119266055045872,0.1724137931034483,0.09090909090909091,0.1,0.10869565217391304,0.029411764705882353,0.10344827586206896,no,1.8465316379925356,0.13628063696754547,3
11239,Corey Syvret,0.0,CAN,0.625,0.6138613861386139,D,2007,181,1,0.61,0.0641025641025641,0.1,0.0851063829787234,0.20748299319727892,0.25688073394495414,0.13793103448275862,0.0,0.0,0.0,0.029411764705882353,0.27586206896551724,no,1.509589074422629,0.1809997002853376,3
11256,John Seymour,0.0,CAN,0.6875,0.21782178217821782,L,2005,226,1,0.63,0.01282051282051282,0.03636363636363636,0.026595744680851064,0.21768707482993196,0.3577981651376147,0.20689655172413793,0.0,0.0,0.0,0.0,0.3103448275862069,no,3.6643563144437046,0.024980637269664221,2
11439,Nick Dodge,0.2222222222222222,CAN,0.375,0.21782178217821782,R,2006,183,1,0.38,0.20512820512820512,0.22727272727272727,0.21808510638297873,0.24489795918367346,0.45871559633027525,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,no,1.7375144515483185,0.14962892063746241,5
11526,Eric Neilson,0.2222222222222222,CAN,0.625,0.504950495049505,R,2004,143,1,0.5,0.05128205128205128,0.1,0.0797872340425532,0.6598639455782312,0.3211009174311927,0.3103448275862069,0.0,0.0,0.0,0.4117647058823529,0.27586206896551724,no,2.025454319697313,0.11655617933165005,3
11533,Stephane Goulet,0.0,CAN,0.6875,0.5247524752475248,R,2004,208,1,0.54,0.07692307692307693,0.07272727272727272,0.07446808510638298,0.047619047619047616,0.22935779816513763,0.1724137931034483,0.0,0.0,0.0,0.029411764705882353,0.3103448275862069,no,2.5972537968907803,0.069315370566855966,3
11534,Tyler Spurgeon,0.0,CAN,0.4375,0.3564356435643564,C,2004,242,1,0.49,0.10256410256410256,0.14545454545454545,0.1276595744680851,0.08163265306122448,0.42201834862385323,0.5862068965517241,0.18181818181818182,0.16666666666666666,0.1956521739130435,0.1323529411764706,0.5172413793103449,no,0.5387748518083036,0.36847262895452693,5
11553,Ryan Maki,0.2222222222222222,USA,0.6875,0.5742574257425742,R,2005,176,1,0.3,0.1282051282051282,0.08181818181818182,0.10106382978723404,0.06802721088435375,0.3577981651376147,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,no,0.9447046343667547,0.27995100867357048,4
11586,Riley Emmerson,0.1111111111111111,CAN,1.0,0.9405940594059405,L,2005,199,1,0.4,0.01282051282051282,0.0,0.005319148936170213,0.21428571428571427,0.3211009174311927,0.0,0.0,0.0,0.0,0.0,0.3103448275862069,no,2.2122842749759273,0.09865276823560111,2
11601,Aaron Boogaard,0.0,CAN,0.6875,0.6534653465346535,R,2004,175,1,0.35,0.038461538461538464,0.01818181818181818,0.026595744680851064,0.19387755102040816,0.3669724770642202,0.20689655172413793,0.0,0.0,0.0,0.11764705882352941,0.3103448275862069,no,1.7935247930130336,0.14264111701553736,2
11642,Evan Fuller,0.0,CAN,0.625,0.37623762376237624,C,2006,197,1,0.56,0.02564102564102564,0.045454545454545456,0.03723404255319149,0.29591836734693877,0.30275229357798167,0.1724137931034483,0.0,0.0,0.0,0.10294117647058823,0.27586206896551724,no,1.7778866905933275,0.14456428119215126,2
11669,Jordan Bendfeld,0.2222222222222222,CAN,0.6875,0.900990099009901,D,2008,193,1,0.72,0.07692307692307693,0.17272727272727273,0.13297872340425532,0.54421768707483,0.43119266055045874,0.1724137931034483,0.0,0.06666666666666667,0.043478260869565216,0.029411764705882353,0.27586206896551724,no,0.10157936446887599,0.47462697248313468,5
11881,Jonathan Paiement,0.1111111111111111,CAN,0.5625,0.46534653465346537,D,2004,247,1,0.68,0.16666666666666666,0.4727272727272727,0.34574468085106386,0.47619047619047616,0.3577981651376147,0.2413793103448276,0.0,0.06666666666666667,0.043478260869565216,0.14705882352941177,0.3103448275862069,no,1.1115111908920594,0.24758926322261418,4
