@relation QueryResult

@attribute id numeric
@attribute PlayerName {'Francois Beauchemin','Julien Vauclair','Bobby Allen','Mikko Jokela','David Moravec','John Pohl','Mike Siklenka','Ryan Barnes','Peter Nordstrom','Mike Pandolfo','Joe Dipenta','Matt Hussey','Brad Moran','Tomas Divisek','Patrick Leahy','Jaroslav Kristek','Chris Bala','Petr Hubacek','Boyd Kane','Ryan Jardine','Paul Manning','Chris Corrinet','Francis Belanger','Kyle Rossiter','Miroslav Zalesak','Rob Scuderi','Michael Farrell','Norman Milley','Erik Westrum','Jesse Fibiger','Petr Svoboda','Rickard Wallin','Robert Schnabel','Jan Mertzig','Allan Rourke','Tomas Zizka','Ryan Flinn','Matt Walker','Andrei Bashkirov','Jeff Heerema','Pavel Patera','Blair Betts','Evgeny Korolev','Andrew Peters','Kip Brennan','Chris Nielsen','Eric Beaudoin','Johan Witehall','Jim Fahey','Bruno St. Jacques','Steve Moore','Rob Davison','Christian Backman','Jiri Dopita','Tyler Bouck','Michael Ryder','John Erskine','Trent Hunter','Dimitri Afanasenkov','Christian Berglund','Eric Chouinard','Martin Cibak','Toby Petersen','Jaroslav Svoboda','Gordie Dwyer','Pierre Dagenais','Alex Henry','Alexei Ponikarovsky','Petr Schastlivy','Stephen Peat','Bryan Allen','Tomas Kloucek','Ales Kotalik','Jonathan Cheechoo','Mike Van Ryn','Jonathan Girard','Niko Kapanen','Brian Gionta','Rico Fata','Tyler Arnason','Jarkko Ruutu','Mikael Samuelsson','Mike Ribeiro','Mathieu Biron','Tommy Vestlund','Milan Kraft','Lance Ward','Pavel Datsyuk','Erik Cole','Chris Neil','Artem Chubarov','Mike Fisher','Scott Parker','Mark Bell','Nik Antropov','Andrei Markov','Shawn Horcoff','Denis Arkhipov','Dmitri Kalinin','Jiri Fischer','Josef Vasicek','Ossi Vaananen','Brad Richards','Vitaly Vishnevski','Manny Malhotra','Brad Stuart','Simon Gagne','David Legwand','Robyn Regehr','Alex Tanguay','Karlis Skrastins','Scott Gomez','Martin Skoula','Jaroslav Spacek','Vincent Lecavalier','Layne Ulmer','Brad Fast','Matt Carkner','Brad Ralph','Vaclav Pletka','Luke Sellars','Alexandre Giroux','Brett Lysak','Dan Jancevski','Damian Surma','Darren Haydar','Ross Lupaschuk','Mikhail Kuleshov','Pierre Hedin','Goran Bezina','Colin Hemingway','Jeff MacMillan','Jonas Andersson','Noah Clarke','Jason Jaspers','Roman Tvrdon','Timo Helbling','Doug Janik','Barrett Heisten','Tony Salmelainen','Martin Grenier','Jordan Krestanovich','Kaspars Astashenko','Derek MacKenzie','Zdenek Blatny','Kristian Kudroc','Peter Smrek','Kent McDonell','Tommi Santala','Douglas Murray','Kirill Safronov','Michal Sivek','Justin Mapletoft','Hannes Hyvonen','Milan Bartovic','Nolan Yonkman','Mathias Tjarnqvist','Andrew Hutchinson','George Parros','Matt Murley','Brian McGrattan','Jani Rita','Denis Shvidki','Pavel Brendl','Chris Kelly','Riku Hahl','Kris Beech','Jimmie Olvestad','Petr Tenkrat','Alexei Semenov','Sheldon Keefe','Branislav Mezei','Jeff Jillson','Konstantin Koltsov','Mike Commodore','Niko Dimitrakos','Tom Kostopoulos','Ryan Malone','Garnet Exelby','Barret Jackman','Jamie Lundmark','Mattias Weinhandl','Juraj Kolnik','Steve McCarthy','Radek Martinek','Jordan Leopold','Henrik Zetterberg','Adam Hall','Branko Radivojevic','Oleg Saprykin','Martin Erat','Mikko Eloranta','Radim Vrbata','Martin Havlat','Nick Boynton','Taylor Pyatt','Niklas Hagman','Mike Comrie','Alexander Khavanov','David Tanabe','Frantisek Kaberle','Tim Connolly','Niclas Havelid','Daniel Sedin','Henrik Sedin','Patrik Stefan','Sean McMorrow','Libor Pivko','Ryan Caldwell','Alexei Mikhnov','Mike Stuart','Matt Koalska','Jonas Nordqvist','David Morisset','Nathan Smith','Jon Disalvatore','Josh Olson','Thomas Ziegler','Erik Reitz','Lars Jonsson','Jean-Philippe Cote','Jakub Cutta','David Koci','Chad Wiseman','Yanick Lehoux','Sergei Zinovjev','Janis Sprukts','Peter Bartos','Brandon Reid','Martin Samuelsson','Zdenek Kutlak','Kris Vernarsky','Tomas Kurka','Filip Novak','Jared Aulin','Aleksander Suglobov','Jozef Balej','Reto Von Arx','Micki Dupont','Pavel Kolarik','Tomi Pettinen','Tomas Kopecky','Darryl Bootland','Andrej Nedorost','Maxim Sushinsky','Joel Lundqvist','Simon Gamache','Guillaume Lefebvre','Jukka Hentunen','Jonas Ronnqvist','Igor Radulov','Shane Endicott','Ivan Huml','Alexei Smirnov','Mikhail Yakubov','Pavel Vorobiev','Roman Simicek','Ramzi Abid','Greg Zanon','Alexandre Kharitonov','Ryan Bayda','Brad Winchester','Justin Papineau','Michael Danton','Vaclav Nedorost','Jeff Taffe','Jarno Kultanen','Petteri Nummelin','Krys Kolanos','Niklas Kronwall','Kurtis Foster','Michel Ouellet','Paul Gaustad','Dominic Moore','David Hale','Nikita Alexeev','Brad Boyes','Andy Hilbert','Ron Hainsey','Antti Miettinen','Marcel Hossa','Mike Rupp','Steve Ott','Travis Moen','Lubomir Sekeras','Antoine Vermette','Brooks Orpik','Anton Volchenkov','John-Michael Liles','Paul Martin','Kurt Sauer','Brian Sutherby','Darcy Hordichuk','Raffi Torres','Matt Pettinger','Alex Frolov','Andreas Lilja','Rostislav Klesla','Niclas Wallin','Dany Heatley','Nick Schultz','Marian Gaborik','Lubomir Visnovsky','Justin Williams','Scott Hartnell'}
@attribute DraftAge numeric
@attribute Country {CAN,CHE,USA,FIN,CZE,SWE,SVK,RUS,TZA,UKR,KAZ,BRA,LVA,HRV,BLR,DEU}
@attribute country_group {CAN,EURO,USA}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {D,R,C,L}
@attribute DraftYear numeric
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute sum_7yr_GP numeric
@attribute sum_7yr_TOI numeric
@attribute GP_greater_than_0 {yes}
@attribute three_classes {Better,Best}

@data
8467400,'Francois Beauchemin',18,CAN,CAN,73,208,D,1998,50,70,12,35,47,132,0,16,1,3,4,23,0,1,17,yes,Better
8467399,'Julien Vauclair',19,CHE,EURO,72,200,D,1998,12,53,9,8,17,34,0,7,0,0,0,25,0,1,13,yes,Better
8467378,'Bobby Allen',20,USA,USA,72,201,D,1998,34,40,7,21,28,49,0,?,?,?,?,?,?,1,3,yes,Better
8467421,'Mikko Jokela',18,FIN,EURO,73,212,D,1998,15,54,8,13,21,40,0,?,?,?,?,?,?,1,5,yes,Better
8467550,'David Moravec',25,CZE,EURO,72,180,R,1998,?,57,38,27,65,30,0,11,6,9,15,8,0,1,15,yes,Better
8467565,'John Pohl',19,USA,USA,73,196,C,1998,?,38,35,80,115,28,0,?,?,?,?,?,?,1,8,yes,Better
8467440,'Mike Siklenka',19,CAN,CAN,77,240,R,1998,?,54,10,17,27,120,0,?,?,?,?,?,?,2,6,yes,Better
8467381,'Ryan Barnes',18,CAN,CAN,73,201,L,1998,?,46,13,18,31,111,0,10,0,2,2,24,0,2,5,yes,Better
8467403,'Peter Nordstrom',24,SWE,EURO,73,200,R,1998,?,45,6,19,25,46,0,12,5,7,12,8,0,2,16,yes,Better
8467402,'Mike Pandolfo',19,USA,USA,75,220,L,1998,39,28,29,23,52,18,0,?,?,?,?,?,?,3,25,yes,Better
8467387,'Joe Dipenta',19,CAN,CAN,74,220,D,1998,33,38,2,16,18,50,0,?,?,?,?,?,?,3,47,yes,Better
8467564,'Matt Hussey',19,USA,USA,74,212,C,1998,?,26,26,23,49,20,0,?,?,?,?,?,?,3,41,yes,Better
8466394,'Brad Moran',19,CAN,CAN,71,182,C,1998,?,72,53,49,102,64,0,18,10,8,18,20,0,5,43,yes,Better
8467500,'Tomas Divisek',19,CZE,EURO,74,210,R,1998,78,49,22,16,38,20,0,?,?,?,?,?,?,5,48,yes,Better
8467444,'Patrick Leahy',19,USA,USA,75,200,R,1998,?,28,0,1,1,24,0,?,?,?,?,?,?,6,33,yes,Better
8467376,'Jaroslav Kristek',18,CZE,EURO,73,185,R,1998,40,54,14,15,29,28,0,?,?,?,?,?,?,6,70,yes,Better
8467384,'Chris Bala',20,USA,USA,73,193,L,1998,47,33,16,14,30,23,0,?,?,?,?,?,?,6,34,yes,Better
8467541,'Petr Hubacek',19,CZE,EURO,74,185,C,1998,?,65,15,15,30,0,0,?,?,?,?,?,?,6,68,yes,Better
8465028,'Boyd Kane',20,CAN,CAN,74,229,L,1998,?,68,48,45,93,133,38,9,5,7,12,29,0,7,70,yes,Better
8467414,'Ryan Jardine',18,CAN,CAN,72,210,L,1998,?,65,28,32,60,16,0,?,?,?,?,?,?,8,71,yes,Better
8467388,'Paul Manning',19,CAN,CAN,76,208,D,1998,38,30,1,5,6,16,0,?,?,?,?,?,?,8,104,yes,Better
8467429,'Chris Corrinet',20,USA,USA,75,220,R,1998,?,31,3,6,9,22,0,?,?,?,?,?,?,8,81,yes,Better
8467445,'Francis Belanger',20,CAN,CAN,74,233,L,1998,?,63,40,33,73,381,0,17,14,8,22,61,0,10,45,yes,Better
8467358,'Kyle Rossiter',18,CAN,CAN,75,220,D,1998,25,61,6,16,22,190,0,19,0,3,3,38,0,11,129,yes,Better
8467438,'Miroslav Zalesak',18,SVK,EURO,73,211,R,1998,18,57,40,35,75,30,0,?,?,?,?,?,?,12,119,yes,Better
8467452,'Rob Scuderi',20,USA,USA,73,216,D,1998,?,42,0,24,24,12,0,?,?,?,?,?,?,13,261,yes,Better
8467553,'Michael Farrell',20,USA,USA,72,220,R,1998,?,33,5,8,13,32,0,?,?,?,?,?,?,13,61,yes,Better
8467373,'Norman Milley',18,CAN,CAN,72,211,R,1998,48,62,33,41,74,48,0,10,0,1,1,4,0,15,168,yes,Better
8467488,'Erik Westrum',19,USA,USA,72,204,C,1998,?,39,6,12,18,43,0,?,?,?,?,?,?,15,240,yes,Better
8467475,'Jesse Fibiger',20,CAN,CAN,75,215,D,1998,?,40,3,6,9,82,0,?,?,?,?,?,?,16,97,yes,Better
8467510,'Petr Svoboda',18,CZE,EURO,75,216,D,1998,14,31,1,4,5,16,0,?,?,?,?,?,?,18,269,yes,Better
8467491,'Rickard Wallin',18,SWE,EURO,74,195,C,1998,25,35,22,32,54,48,0,2,1,1,2,2,0,19,246,yes,Better
8466211,'Robert Schnabel',20,CZE,EURO,77,232,D,1998,?,61,1,22,23,143,0,5,0,0,0,16,0,22,303,yes,Better
8467527,'Jan Mertzig',28,SWE,EURO,76,218,D,1998,?,45,7,8,15,27,0,3,1,0,1,4,0,23,277,yes,Better
8467469,'Allan Rourke',18,CAN,CAN,74,215,D,1998,?,48,5,17,22,59,0,6,1,1,2,6,0,25,311,yes,Better
8467499,'Tomas Zizka',19,CZE,EURO,73,198,D,1998,20,44,3,7,10,2,0,?,?,?,?,?,?,25,408,yes,Better
8467461,'Ryan Flinn',18,CAN,CAN,76,235,L,1998,?,59,4,12,16,217,0,15,1,0,1,63,0,29,139,yes,Better
8467408,'Matt Walker',18,CAN,CAN,76,215,D,1998,?,64,2,13,15,124,0,20,0,0,0,23,0,30,337,yes,Better
8466130,'Andrei Bashkirov',28,RUS,EURO,72,215,L,1998,?,83,31,54,85,21,0,4,2,2,4,2,0,30,289,yes,Better
8467337,'Jeff Heerema',18,CAN,CAN,74,212,R,1998,13,63,32,40,72,88,0,5,4,1,5,10,0,32,319,yes,Better
8467468,'Pavel Patera',27,CZE,EURO,73,181,L,1998,?,61,16,23,39,62,0,?,?,?,?,?,?,32,458,yes,Better
8467361,'Blair Betts',18,CAN,CAN,75,210,C,1998,18,71,35,41,76,38,0,11,4,6,10,8,0,35,402,yes,Better
8465165,'Evgeny Korolev',20,RUS,EURO,73,214,D,1998,?,64,9,31,40,75,-15,15,2,7,9,29,0,42,584,yes,Better
8467355,'Andrew Peters',18,CAN,CAN,76,240,L,1998,28,60,11,7,18,220,0,7,2,0,2,19,0,42,175,yes,Better
8467427,'Kip Brennan',18,CAN,CAN,76,230,L,1998,?,48,0,10,10,188,0,?,?,?,?,?,?,46,219,yes,Better
8467362,'Chris Nielsen',18,TZA,EURO,74,214,R,1998,26,68,22,29,51,31,0,18,2,4,6,10,0,52,553,yes,Better
