@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,9,24-26-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute DraftAge numeric
@attribute country_group {CAN,EURO,USA}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {D,R,C,L}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute sum_7yr_GP numeric

@data
0,CAN,0.5,0.447059,D,0.235577,0.783333,0.164384,0.377778,0.292994,0.275574,0.220588,0.517241,0.047619,0.115385,0.086957,0.191667,0,1
0.071429,EURO,0.416667,0.352941,D,0.052885,0.5,0.123288,0.077778,0.101911,0.070981,0.220588,0.206897,0,0,0,0.208333,0,1
0.142857,USA,0.416667,0.364706,D,0.158654,0.283333,0.09589,0.222222,0.171975,0.102296,0.220588,?,?,?,?,?,?,1
0,EURO,0.5,0.494118,D,0.067308,0.516667,0.109589,0.133333,0.127389,0.083507,0.220588,?,?,?,?,?,?,1
0.5,EURO,0.416667,0.117647,R,?,0.566667,0.520548,0.288889,0.407643,0.06263,0.220588,0.344828,0.285714,0.346154,0.326087,0.066667,0,1
0.071429,USA,0.5,0.305882,C,?,0.25,0.479452,0.877778,0.726115,0.058455,0.220588,?,?,?,?,?,?,1
0.071429,CAN,0.833333,0.823529,R,?,0.516667,0.136986,0.177778,0.165605,0.250522,0.220588,?,?,?,?,?,?,2
0,CAN,0.5,0.364706,L,?,0.383333,0.178082,0.188889,0.191083,0.231733,0.220588,0.310345,0,0.076923,0.043478,0.2,0,2
0.428571,EURO,0.5,0.352941,R,?,0.366667,0.082192,0.2,0.152866,0.096033,0.220588,0.37931,0.238095,0.269231,0.26087,0.066667,0,2
0.071429,USA,0.666667,0.588235,L,0.182692,0.083333,0.39726,0.244444,0.324841,0.037578,0.220588,?,?,?,?,?,?,3
0.071429,CAN,0.583333,0.588235,D,0.153846,0.25,0.027397,0.166667,0.10828,0.104384,0.220588,?,?,?,?,?,?,3
0.071429,USA,0.583333,0.494118,C,?,0.05,0.356164,0.244444,0.305732,0.041754,0.220588,?,?,?,?,?,?,3
0.071429,CAN,0.333333,0.141176,C,?,0.816667,0.726027,0.533333,0.643312,0.133612,0.220588,0.586207,0.47619,0.307692,0.391304,0.166667,0,5
0.071429,EURO,0.583333,0.470588,R,0.370192,0.433333,0.30137,0.166667,0.235669,0.041754,0.220588,?,?,?,?,?,?,5
0.071429,USA,0.666667,0.352941,R,?,0.083333,0,0,0,0.050104,0.220588,?,?,?,?,?,?,6
0,EURO,0.5,0.176471,R,0.1875,0.516667,0.191781,0.155556,0.178344,0.058455,0.220588,?,?,?,?,?,?,6
0.142857,USA,0.5,0.270588,L,0.221154,0.166667,0.219178,0.144444,0.184713,0.048017,0.220588,?,?,?,?,?,?,6
0.071429,EURO,0.583333,0.176471,C,?,0.7,0.205479,0.155556,0.184713,0,0.220588,?,?,?,?,?,?,6
0.142857,CAN,0.583333,0.694118,L,?,0.75,0.657534,0.488889,0.585987,0.277662,0.779412,0.275862,0.238095,0.269231,0.26087,0.241667,0,7
0,CAN,0.416667,0.470588,L,?,0.7,0.383562,0.344444,0.375796,0.033403,0.220588,?,?,?,?,?,?,8
0.071429,CAN,0.75,0.447059,D,0.177885,0.116667,0.013699,0.044444,0.031847,0.033403,0.220588,?,?,?,?,?,?,8
0.142857,USA,0.666667,0.588235,R,?,0.133333,0.041096,0.055556,0.050955,0.045929,0.220588,?,?,?,?,?,?,8
0.142857,CAN,0.583333,0.741176,L,?,0.666667,0.547945,0.355556,0.458599,0.795407,0.220588,0.551724,0.666667,0.307692,0.478261,0.508333,0,10
0,CAN,0.666667,0.588235,D,0.115385,0.633333,0.082192,0.166667,0.133758,0.39666,0.220588,0.62069,0,0.115385,0.065217,0.316667,0,11
0,EURO,0.5,0.482353,R,0.081731,0.566667,0.547945,0.377778,0.471338,0.06263,0.220588,?,?,?,?,?,?,12
0.142857,USA,0.5,0.541176,D,?,0.316667,0,0.255556,0.146497,0.025052,0.220588,?,?,?,?,?,?,13
0.142857,USA,0.416667,0.588235,R,?,0.166667,0.068493,0.077778,0.076433,0.066806,0.220588,?,?,?,?,?,?,13
0,CAN,0.416667,0.482353,R,0.225962,0.65,0.452055,0.444444,0.464968,0.100209,0.220588,0.310345,0,0.038462,0.021739,0.033333,0,15
