@relation QueryResult

@attribute id numeric
@attribute PlayerName {'Grant Lewis','Scott Lehman','Kris Chucko','Jakub Petruzalek','Adam Berti','Alexander Nikulin','Steven Zalewski','JT Wyman','Adam Pineault','Travis Morin','Mike Card','Lauri Tukonen','Wes O\'Neill','Dane Byers','Chad Kolarik','Janne Niskala','Janne Pesonen','Roman Wick','Tyler Eckford','Michael Funk','Nick Johnson','David Laliberte','Triston Grant','Raymond Sawada','Petri Kontiola','Andrew Gordon','Derek Peltier','Lukas Kaspar','Casey Borer','Bryan Young','Aaron Gagnon','Mike Vernace','Martins Karsums','Adam Cracknell','Ben Walter','Gregory Stewart','Steve Regier','Peter Olvecky','Chris Bourque','Kyle Wilson','Mark Mancari','Pierre-Luc Letourneau-Leblond','Nikita Nikitin','Grant Clitsome','Robbie Earl','Scott Parse','Clayton Stoner','Victor Oreskovich','Alexandre Picard','Brett Carson','Boris Valabik','Tim Brent','Liam Reddox','Bryan Bickell','Jake Dowell','Brandon Yip','Mike Santorelli','Rob Schremp','Kevin Porter','Enver Lisin','Peter Regin','Alexander Radulov','Adam Pardy','Sami Lepisto','Kyle Chipchura','Ryan Jones','Jannik Hansen','Petteri Nokelainen','Mike Brown','Brandon Prust','Mark Fistric','Alex Goligoski','Torrey Mitchell','Patrick Kaleta','Matt Hunwick','Lauri Korpikoski','Dustin Boyd','Dave Bolland','Mike Lundin','Roman Polak','Andrej Sekera','Troy Brouwer','Blake Wheeler','Mikhail Grabovski','Blake Comeau','Kris Versteeg','Tyler Kennedy','Cam Barker','Nicklas Grossmann','Daniel Winnik','Ryan Callahan','David Krejci','David Booth','Alexander Edler','Brandon Dubinsky','Drew Stafford','Jeff Schultz','Ladislav Smid','Rostislav Olesz','Evgeni Malkin','Mark Streit','Mike Green','Wojtek Wolski','Johan Franzen','Chris Campoli','Andrew Ladd','Travis Zajac','Andrej Meszaros','Alex Ovechkin','Masi Marjamaki','Perttu Lindgren','Matt Watkins','Brodie Dupont','Jonathan Sigalet','Marc-Andre Cliche','Scott Jackson','Mikko Lehtonen','Brian Salcido','Kris Fredheim','Nick Drazenovic','Andrey Zubarev','Jordan Lavallee-Smotherman','Evan Brophey','Joe Finley','Matt Pelech','Mario Bliznak','Radek Smolenak','Ray Macias','Justin Mercier','Chad Rau','Patrick Davis','Phil Oreskovic','Petr Kalus','Ilya Zubov','Rich Clune','Vladimir Mihalik','Chris VandeVelde','Teemu Laakso','Dustin Kohn','Matt Kassian','Ryan O\'Marra','Brett Sutter','Luc Bourdon','Ryan Stoa','Ryan Russell','Kenndal McArdle','Mattias Ritola','Cody Bass','Danny Syvret','Taylor Chorney','Oskars Bartulis','Marc-Andre Gragnani','Matt Lashoff','Joe Vitale','Ryan Reaves','Mike Blunden','Michael Sauer','Mark Fraser','Blair Jones','Ryan Parent','Jakub Kindl','Colin Greening','Tim Kennedy','T.J. Hensick','Cal O\'Reilly','Derek Joslin','Brendan Mikkelson','Kyle Cumiskey','Jack Skille','Mark Fayne','Nathan Gerbe','Adam McQuaid','Niclas Bergfors','Tom Pyatt','Brian Lee','Cody Franson','Justin Abdelkader','Tom Wandell','Chris Butler','Matt D\'Agostini','Darren Helm','Benoit Pouliot','Niklas Hjalmarsson','T.J. Oshie','Patric Hornqvist','Anton Stralman','Steve Downie','Vladimir Sobotka','Gilbert Brule','Sergei Kostitsyn','Guillaume Latendresse','James Neal','Mason Raymond','Kris Russell','Bobby Ryan','Devin Setoguchi','Jared Boll','Kris Letang','Martin Hanzal','Jack Johnson','Keith Yandle','Marc Staal','Matt Niskanen','Andrew Cogliano','Paul Stastny','Sidney Crosby','Marc-Edouard Vlasic','Anze Kopitar','Carl Sneep','Shane Sims','Michael Caruso','Mathieu Carle','Petteri Wirtanen','Oskar Osala','Jonas Junland','Jonathan Rheault','Andrew Bodnarchuk','Ivan Vishnevskiy','Kevin Quick','Tomas Kana','David McIntyre','Rhett Rakhshani','Sergei Shirokov','Jon Matsumoto','Arturs Kulda','Alexander Vasyunov','Olivier Magnan','Korbinian Holzer','Ty Wishart','Chris Summers','Brian Strait','Eric Gryba','Matthew Corrente','Leo Komarov','Bobby Sanguinetti','Jan Mursak','Ben Maxwell','John McCarthy','Blake Geoffrion','Tom Sestito','Jesse Joensuu','Vladimir Zharkov','Ryan White','Kaspars Daugavins','Benn Ferriero','Cory Emmerton','Erik Condra','Jeff Petry','Mathieu Perreault','Theo Peckham','Mike Weber','Andreas Nodl','Trevor Lewis','Jamie McBain','Matt Beleskey','Brad Marchand','Michael Grabner','Andrew MacDonald','Viktor Stalberg','Shawn Matthias','James Sheppard','Jamie McGinn','Jiri Tlusty','Artem Anisimov','Derek Dorsett','Peter Mueller','Kyle Okposo','Chris Stewart','Derick Brassard','Erik Johnson','Claude Giroux','Cal Clutterbuck','Michael Frolik','Nikolay Kulemin','Patrik Berglund','Nick Foligno','Bryan Little','Milan Lucic','Jonathan Toews','Nicklas Backstrom','Jordan Staal','Phil Kessel'}
@attribute DraftAge numeric
@attribute Country {USA,CAN,CZE,RUS,FIN,SWE,CHE,LVA,SVK,DNK,DEU,POL,JPN,BLR,SVN,EST,AUT}
@attribute country_group {USA,CAN,EURO}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {D,L,C,R}
@attribute DraftYear numeric
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute sum_7yr_GP numeric
@attribute sum_7yr_TOI numeric
@attribute GP_greater_than_0 {yes}
@attribute three_classes {Better,Best}

@data
8471253,'Grant Lewis',19,USA,USA,75,190,D,2004,21,34,3,22,25,57,0,?,?,?,?,?,?,1,15,yes,Better
8471288,'Scott Lehman',18,CAN,CAN,73,194,D,2004,87,66,5,27,32,189,12,18,2,2,4,38,0,1,3,yes,Better
8471237,'Kris Chucko',18,CAN,CAN,74,190,L,2004,29,53,32,55,87,161,0,14,10,9,19,36,0,2,14,yes,Better
8471477,'Jakub Petruzalek',19,CZE,EURO,70,176,C,2004,?,61,38,51,89,112,0,2,0,0,0,2,0,2,16,yes,Better
8471281,'Adam Berti',18,CAN,CAN,75,205,L,2004,22,73,18,31,49,70,-2,7,0,2,2,4,-5,2,20,yes,Better
8471334,'Alexander Nikulin',19,RUS,EURO,73,198,C,2004,40,47,21,20,41,46,0,?,?,?,?,?,?,3,16,yes,Better
8471365,'Steven Zalewski',18,USA,USA,72,195,C,2004,?,40,32,34,66,22,0,?,?,?,?,?,?,3,25,yes,Better
8471312,'JT Wyman',18,USA,USA,74,209,R,2004,86,51,39,32,71,4,0,?,?,?,?,?,?,3,13,yes,Better
8471259,'Adam Pineault',18,USA,USA,73,201,R,2004,25,30,4,4,8,32,0,?,?,?,?,?,?,3,33,yes,Better
8471474,'Travis Morin',20,USA,USA,73,200,C,2004,?,38,9,12,21,14,0,?,?,?,?,?,?,3,27,yes,Better
8471452,'Mike Card',18,CAN,CAN,73,201,D,2004,?,76,7,13,20,49,1,21,3,5,8,22,0,4,18,yes,Better
8471224,'Lauri Tukonen',18,FIN,EURO,74,187,R,2004,5,62,19,13,32,28,0,7,0,0,0,0,0,5,36,yes,Better
8471327,'Wes O\'Neill',18,CAN,CAN,76,215,D,2004,23,46,3,11,14,30,0,?,?,?,?,?,?,5,52,yes,Better
8471261,'Dane Byers',18,CAN,CAN,75,204,L,2004,20,58,9,9,18,142,-5,6,1,2,3,17,0,6,37,yes,Better
8471411,'Chad Kolarik',18,USA,USA,71,178,C,2004,135,51,19,23,42,18,0,?,?,?,?,?,?,6,49,yes,Better
8471359,'Janne Niskala',23,SWE,EURO,72,187,D,2004,?,55,21,15,36,73,0,4,0,0,0,16,0,6,82,yes,Better
8471480,'Janne Pesonen',22,FIN,EURO,71,180,L,2004,?,56,17,13,30,28,0,15,1,1,2,4,0,7,52,yes,Better
8471368,'Roman Wick',19,CHE,EURO,74,208,R,2004,36,33,8,2,10,12,0,?,?,?,?,?,?,7,60,yes,Better
8471429,'Tyler Eckford',19,CAN,CAN,73,225,D,2004,199,58,7,30,37,101,0,13,2,8,10,34,0,7,57,yes,Better
8471256,'Michael Funk',18,CAN,CAN,76,199,D,2004,39,78,3,26,29,88,-9,5,0,1,1,6,0,9,63,yes,Better
8471280,'Nick Johnson',19,CAN,CAN,74,200,R,2004,75,51,35,36,71,33,0,4,0,2,2,0,0,10,128,yes,Better
8471336,'David Laliberte',18,CAN,CAN,73,194,R,2004,45,70,21,22,43,51,7,11,1,3,4,6,0,11,86,yes,Better
8470899,'Triston Grant',20,CAN,CAN,73,211,L,2004,?,69,10,8,18,267,-15,11,1,1,2,33,0,11,58,yes,Better
8471265,'Raymond Sawada',19,CAN,CAN,74,207,R,2004,33,58,21,35,56,101,0,29,7,19,26,30,0,11,90,yes,Better
8471408,'Petri Kontiola',20,FIN,EURO,72,204,C,2004,107,64,9,23,32,43,0,13,5,5,10,10,0,12,175,yes,Better
8471409,'Andrew Gordon',19,CAN,CAN,72,194,R,2004,194,55,20,44,64,12,0,?,?,?,?,?,?,12,98,yes,Better
8471396,'Derek Peltier',19,USA,USA,71,190,D,2004,113,55,7,26,33,34,0,4,0,0,0,4,-4,14,173,yes,Better
8471235,'Lukas Kaspar',19,CZE,EURO,74,225,L,2004,14,67,26,19,45,68,0,2,0,0,0,2,0,16,156,yes,Better
8471282,'Casey Borer',19,USA,USA,74,205,D,2004,52,31,0,8,8,18,0,?,?,?,?,?,?,16,223,yes,Better
8471358,'Bryan Young',18,CAN,CAN,73,191,D,2004,57,60,0,8,8,63,-18,?,?,?,?,?,?,17,156,yes,Better
8471451,'Aaron Gagnon',18,CAN,CAN,71,186,C,2004,?,70,21,18,39,39,18,?,?,?,?,?,?,21,171,yes,Better
8471413,'Mike Vernace',18,CAN,CAN,72,216,D,2004,?,35,4,13,17,16,-1,11,2,3,5,8,-4,22,323,yes,Better
8471277,'Martins Karsums',18,LVA,EURO,70,198,R,2004,41,65,37,29,66,98,0,20,8,9,17,14,0,24,268,yes,Better
8471490,'Adam Cracknell',19,CAN,CAN,75,220,R,2004,?,72,26,35,61,63,-2,4,1,1,2,2,0,24,214,yes,Better
8471372,'Ben Walter',20,CAN,CAN,73,190,C,2004,226,36,18,16,34,18,0,?,?,?,?,?,?,24,201,yes,Better
8471457,'Gregory Stewart',18,CAN,CAN,74,202,L,2004,?,58,4,6,10,76,0,?,?,?,?,?,?,26,204,yes,Better
8471360,'Steve Regier',20,CAN,CAN,76,194,L,2004,?,76,25,35,60,115,14,22,5,11,16,24,0,26,211,yes,Better
8471290,'Peter Olvecky',19,SVK,EURO,74,220,L,2004,67,58,16,20,36,92,0,2,0,0,0,12,0,32,284,yes,Better
8471246,'Chris Bourque',18,USA,USA,68,174,L,2004,74,31,37,53,90,96,0,?,?,?,?,?,?,33,314,yes,Better
8471483,'Kyle Wilson',20,CAN,CAN,73,200,C,2004,78,37,14,17,31,23,0,?,?,?,?,?,?,34,359,yes,Better
8471419,'Mark Mancari',19,CAN,CAN,76,208,R,2004,?,67,29,36,65,56,11,7,5,3,8,11,0,36,442,yes,Better
8471428,'Pierre-Luc Letourneau-Leblond',19,CAN,CAN,73,218,R,2004,?,62,2,3,5,198,-9,4,0,0,0,6,0,37,195,yes,Better
8471348,'Nikita Nikitin',18,RUS,EURO,76,217,D,2004,46,34,3,8,11,22,0,?,?,?,?,?,?,41,672,yes,Better
8471482,'Grant Clitsome',19,CAN,CAN,71,211,D,2004,?,55,13,26,39,67,0,17,1,10,11,6,0,42,821,yes,Better
8471399,'Robbie Earl',19,USA,USA,73,195,L,2004,59,42,14,13,27,46,0,?,?,?,?,?,?,47,422,yes,Better
8471386,'Scott Parse',20,USA,USA,71,189,L,2004,127,39,16,19,35,52,0,?,?,?,?,?,?,64,689,yes,Better
8470886,'Clayton Stoner',19,CAN,CAN,76,216,D,2004,111,71,7,24,31,109,21,11,1,1,2,8,0,65,1066,yes,Better
8471268,'Victor Oreskovich',18,CAN,CAN,75,215,R,2004,72,58,11,26,37,33,3,?,?,?,?,?,?,66,570,yes,Better
