@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,9,24-26'

@attribute DraftAge numeric
@attribute country_group {USA,CAN,EURO}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {D,L,C,R}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute sum_7yr_GP numeric

@data
19,USA,75,190,D,21,34,3,22,25,57,0,?,?,?,?,?,?,1
18,CAN,73,194,D,87,66,5,27,32,189,12,18,2,2,4,38,0,1
18,CAN,74,190,L,29,53,32,55,87,161,0,14,10,9,19,36,0,2
19,EURO,70,176,C,?,61,38,51,89,112,0,2,0,0,0,2,0,2
18,CAN,75,205,L,22,73,18,31,49,70,-2,7,0,2,2,4,-5,2
19,EURO,73,198,C,40,47,21,20,41,46,0,?,?,?,?,?,?,3
18,USA,72,195,C,?,40,32,34,66,22,0,?,?,?,?,?,?,3
18,USA,74,209,R,86,51,39,32,71,4,0,?,?,?,?,?,?,3
18,USA,73,201,R,25,30,4,4,8,32,0,?,?,?,?,?,?,3
20,USA,73,200,C,?,38,9,12,21,14,0,?,?,?,?,?,?,3
18,CAN,73,201,D,?,76,7,13,20,49,1,21,3,5,8,22,0,4
18,EURO,74,187,R,5,62,19,13,32,28,0,7,0,0,0,0,0,5
18,CAN,76,215,D,23,46,3,11,14,30,0,?,?,?,?,?,?,5
18,CAN,75,204,L,20,58,9,9,18,142,-5,6,1,2,3,17,0,6
18,USA,71,178,C,135,51,19,23,42,18,0,?,?,?,?,?,?,6
23,EURO,72,187,D,?,55,21,15,36,73,0,4,0,0,0,16,0,6
22,EURO,71,180,L,?,56,17,13,30,28,0,15,1,1,2,4,0,7
19,EURO,74,208,R,36,33,8,2,10,12,0,?,?,?,?,?,?,7
19,CAN,73,225,D,199,58,7,30,37,101,0,13,2,8,10,34,0,7
18,CAN,76,199,D,39,78,3,26,29,88,-9,5,0,1,1,6,0,9
19,CAN,74,200,R,75,51,35,36,71,33,0,4,0,2,2,0,0,10
18,CAN,73,194,R,45,70,21,22,43,51,7,11,1,3,4,6,0,11
20,CAN,73,211,L,?,69,10,8,18,267,-15,11,1,1,2,33,0,11
19,CAN,74,207,R,33,58,21,35,56,101,0,29,7,19,26,30,0,11
20,EURO,72,204,C,107,64,9,23,32,43,0,13,5,5,10,10,0,12
19,CAN,72,194,R,194,55,20,44,64,12,0,?,?,?,?,?,?,12
19,USA,71,190,D,113,55,7,26,33,34,0,4,0,0,0,4,-4,14
19,EURO,74,225,L,14,67,26,19,45,68,0,2,0,0,0,2,0,16
19,USA,74,205,D,52,31,0,8,8,18,0,?,?,?,?,?,?,16
18,CAN,73,191,D,57,60,0,8,8,63,-18,?,?,?,?,?,?,17
18,CAN,71,186,C,?,70,21,18,39,39,18,?,?,?,?,?,?,21
18,CAN,72,216,D,?,35,4,13,17,16,-1,11,2,3,5,8,-4,22
18,EURO,70,198,R,41,65,37,29,66,98,0,20,8,9,17,14,0,24
19,CAN,75,220,R,?,72,26,35,61,63,-2,4,1,1,2,2,0,24
