@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,9,24-26-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute DraftAge numeric
@attribute country_group {USA,CAN,EURO}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {D,L,C,R}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute sum_7yr_GP numeric

@data
0.111111,USA,0.6875,0.235294,D,0.080645,0.381579,0.038462,0.185185,0.118919,0.193878,0.357798,?,?,?,?,?,?,1
0,CAN,0.5625,0.282353,D,0.346774,0.802632,0.064103,0.231481,0.156757,0.642857,0.46789,0.607143,0.090909,0.083333,0.086957,0.678571,0.230769,1
0,CAN,0.625,0.235294,L,0.112903,0.631579,0.410256,0.490741,0.454054,0.547619,0.357798,0.464286,0.454545,0.375,0.413043,0.642857,0.230769,2
0.111111,EURO,0.375,0.070588,C,?,0.736842,0.487179,0.453704,0.464865,0.380952,0.357798,0.035714,0,0,0,0.035714,0.230769,2
0,CAN,0.6875,0.411765,L,0.084677,0.894737,0.230769,0.268519,0.248649,0.238095,0.33945,0.214286,0,0.083333,0.043478,0.071429,0.038462,2
0.111111,EURO,0.5625,0.329412,C,0.157258,0.552632,0.269231,0.166667,0.205405,0.156463,0.357798,?,?,?,?,?,?,3
0,USA,0.5,0.294118,C,?,0.460526,0.410256,0.296296,0.340541,0.07483,0.357798,?,?,?,?,?,?,3
0,USA,0.625,0.458824,R,0.342742,0.605263,0.5,0.277778,0.367568,0.013605,0.357798,?,?,?,?,?,?,3
0,USA,0.5625,0.364706,R,0.096774,0.328947,0.051282,0.018519,0.027027,0.108844,0.357798,?,?,?,?,?,?,3
0.222222,USA,0.5625,0.352941,C,?,0.434211,0.115385,0.092593,0.097297,0.047619,0.357798,?,?,?,?,?,?,3
0,CAN,0.5625,0.364706,D,?,0.934211,0.089744,0.101852,0.091892,0.166667,0.366972,0.714286,0.136364,0.208333,0.173913,0.392857,0.230769,4
0,EURO,0.625,0.2,R,0.016129,0.75,0.24359,0.101852,0.156757,0.095238,0.357798,0.214286,0,0,0,0,0.230769,5
0,CAN,0.75,0.529412,D,0.08871,0.539474,0.038462,0.083333,0.059459,0.102041,0.357798,?,?,?,?,?,?,5
0,CAN,0.6875,0.4,L,0.076613,0.697368,0.115385,0.064815,0.081081,0.482993,0.311927,0.178571,0.045455,0.083333,0.065217,0.303571,0.230769,6
0,USA,0.4375,0.094118,C,0.540323,0.605263,0.24359,0.194444,0.210811,0.061224,0.357798,?,?,?,?,?,?,6
0.555556,EURO,0.5,0.2,D,?,0.657895,0.269231,0.12037,0.178378,0.248299,0.357798,0.107143,0,0,0,0.285714,0.230769,6
0.444444,EURO,0.4375,0.117647,L,?,0.671053,0.217949,0.101852,0.145946,0.095238,0.357798,0.5,0.045455,0.041667,0.043478,0.071429,0.230769,7
0.111111,EURO,0.625,0.447059,R,0.141129,0.368421,0.102564,0,0.037838,0.040816,0.357798,?,?,?,?,?,?,7
0.111111,CAN,0.5625,0.647059,D,0.798387,0.697368,0.089744,0.259259,0.183784,0.343537,0.357798,0.428571,0.090909,0.333333,0.217391,0.607143,0.230769,7
0,CAN,0.75,0.341176,D,0.153226,0.960526,0.038462,0.222222,0.140541,0.29932,0.275229,0.142857,0,0.041667,0.021739,0.107143,0.230769,9
0.111111,CAN,0.625,0.352941,R,0.298387,0.605263,0.448718,0.314815,0.367568,0.112245,0.357798,0.107143,0,0.083333,0.043478,0,0.230769,10
0,CAN,0.5625,0.282353,R,0.177419,0.855263,0.269231,0.185185,0.216216,0.173469,0.422018,0.357143,0.045455,0.125,0.086957,0.107143,0.230769,11
0.222222,CAN,0.5625,0.482353,L,?,0.842105,0.128205,0.055556,0.081081,0.908163,0.220183,0.357143,0.045455,0.041667,0.043478,0.589286,0.230769,11
0.111111,CAN,0.625,0.435294,R,0.129032,0.697368,0.269231,0.305556,0.286486,0.343537,0.357798,1,0.318182,0.791667,0.565217,0.535714,0.230769,11
0.222222,EURO,0.5,0.4,C,0.427419,0.776316,0.115385,0.194444,0.156757,0.146259,0.357798,0.428571,0.227273,0.208333,0.217391,0.178571,0.230769,12
0.111111,CAN,0.5,0.282353,R,0.778226,0.657895,0.25641,0.388889,0.32973,0.040816,0.357798,?,?,?,?,?,?,12
0.111111,USA,0.4375,0.235294,D,0.451613,0.657895,0.089744,0.222222,0.162162,0.115646,0.357798,0.107143,0,0,0,0.071429,0.076923,14
0.111111,EURO,0.625,0.647059,L,0.052419,0.815789,0.333333,0.157407,0.227027,0.231293,0.357798,0.035714,0,0,0,0.035714,0.230769,16
0.111111,USA,0.625,0.411765,D,0.205645,0.342105,0,0.055556,0.027027,0.061224,0.357798,?,?,?,?,?,?,16
0,CAN,0.5625,0.247059,D,0.225806,0.723684,0,0.055556,0.027027,0.214286,0.192661,?,?,?,?,?,?,17
0,CAN,0.4375,0.188235,C,?,0.855263,0.269231,0.148148,0.194595,0.132653,0.522936,?,?,?,?,?,?,21
0,CAN,0.5,0.541176,D,?,0.394737,0.051282,0.101852,0.075676,0.054422,0.348624,0.357143,0.090909,0.125,0.108696,0.142857,0.076923,22
0,EURO,0.375,0.329412,R,0.16129,0.789474,0.474359,0.25,0.340541,0.333333,0.357798,0.678571,0.363636,0.375,0.369565,0.25,0.230769,24
0.111111,CAN,0.6875,0.588235,R,?,0.881579,0.333333,0.305556,0.313514,0.214286,0.33945,0.107143,0.045455,0.041667,0.043478,0.035714,0.230769,24
0.222222,CAN,0.5625,0.235294,C,0.907258,0.407895,0.230769,0.12963,0.167568,0.061224,0.357798,?,?,?,?,?,?,24
0,CAN,0.625,0.376471,L,?,0.697368,0.051282,0.037037,0.037838,0.258503,0.357798,?,?,?,?,?,?,26
0.222222,CAN,0.75,0.282353,L,?,0.934211,0.320513,0.305556,0.308108,0.391156,0.486239,0.75,0.227273,0.458333,0.347826,0.428571,0.230769,26
0.111111,EURO,0.625,0.588235,L,0.266129,0.697368,0.205128,0.166667,0.178378,0.312925,0.357798,0.035714,0,0,0,0.214286,0.230769,32
0,USA,0.25,0.047059,L,0.294355,0.342105,0.474359,0.472222,0.47027,0.326531,0.357798,?,?,?,?,?,?,33
0.222222,CAN,0.5625,0.352941,C,0.310484,0.421053,0.179487,0.138889,0.151351,0.078231,0.357798,?,?,?,?,?,?,34
0.111111,CAN,0.75,0.447059,R,?,0.815789,0.371795,0.314815,0.335135,0.190476,0.458716,0.214286,0.227273,0.125,0.173913,0.196429,0.230769,36
0.111111,CAN,0.5625,0.564706,R,?,0.75,0.025641,0.009259,0.010811,0.673469,0.275229,0.107143,0,0,0,0.107143,0.230769,37
0,EURO,0.75,0.552941,D,0.181452,0.381579,0.038462,0.055556,0.043243,0.07483,0.357798,?,?,?,?,?,?,41
0.111111,CAN,0.4375,0.482353,D,?,0.657895,0.166667,0.222222,0.194595,0.227891,0.357798,0.571429,0.045455,0.416667,0.23913,0.107143,0.230769,42
0.111111,USA,0.5625,0.294118,L,0.233871,0.486842,0.179487,0.101852,0.12973,0.156463,0.357798,?,?,?,?,?,?,47
0.222222,USA,0.4375,0.223529,L,0.508065,0.447368,0.205128,0.157407,0.172973,0.176871,0.357798,?,?,?,?,?,?,64
0.111111,CAN,0.75,0.541176,D,0.443548,0.868421,0.089744,0.203704,0.151351,0.370748,0.550459,0.357143,0.045455,0.041667,0.043478,0.142857,0.230769,65
0,CAN,0.6875,0.529412,R,0.28629,0.697368,0.141026,0.222222,0.183784,0.112245,0.385321,?,?,?,?,?,?,66
0.111111,CAN,0.625,0.423529,L,0.008065,0.842105,0.5,0.361111,0.416216,0.29932,0.357798,0.214286,0.318182,0.166667,0.23913,0.107143,0.230769,67
0.111111,CAN,0.75,0.470588,D,0.120968,0.868421,0.064103,0.231481,0.156757,0.166667,0.486239,0.214286,0,0,0,0.107143,0.230769,78
0,EURO,0.9375,1,D,0.020161,0.828947,0.038462,0.101852,0.07027,0.945578,0.357798,0.142857,0,0,0,0.142857,0.230769,80
0.222222,CAN,0.5,0.211765,C,?,0.710526,0.346154,0.37963,0.362162,0.370748,0.504587,0.607143,0.181818,0.541667,0.369565,0.428571,0.269231,98
