@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,8-9,24-25'

@attribute DraftAge_norm numeric
@attribute country_group {EURO,USA,CAN}
@attribute Height_norm numeric
@attribute Weight_norm numeric
@attribute Position {L,D,C,R}
@attribute CSS_rank_norm numeric
@attribute rs_GP_norm numeric
@attribute rs_G_norm numeric
@attribute rs_A_norm numeric
@attribute rs_P_norm numeric
@attribute rs_PIM_norm numeric
@attribute rs_PlusMinus_norm numeric
@attribute po_GP_norm numeric
@attribute po_G_norm numeric
@attribute po_A_norm numeric
@attribute po_P_norm numeric
@attribute po_PIM_norm numeric
@attribute po_PlusMinus_norm numeric
@attribute sum_7yr_GP numeric

@data
0,EURO,0.625,0.376238,L,?,0.31,0.076923,0.027273,0.047872,0.07483,0.357798,0.310345,0,0,0,0.088235,0.310345,0
0.111111,EURO,0.6875,0.574257,D,?,0.47,0.115385,0.145455,0.132979,0.394558,0.366972,0.103448,0.090909,0.033333,0.065217,0.088235,0.310345,0
0.111111,EURO,0.6875,0.50495,C,?,0.31,0.269231,0.118182,0.180851,0.166667,0.348624,0,0,0,0,0,0.310345,0
0,EURO,0.375,0.247525,R,?,0.53,0.205128,0.172727,0.18617,0.22449,0.348624,0.413793,0.409091,0.266667,0.369565,0.382353,0.310345,0
0,EURO,0.5,0.465347,D,?,0.12,0.012821,0.054545,0.037234,0.088435,0.266055,0,0,0,0,0,0.310345,0
0,EURO,0.5,0.544554,C,?,0.31,0.230769,0.109091,0.159574,0.034014,0.357798,0.310345,0.181818,0.1,0.152174,0.029412,0.310345,0
0.111111,EURO,0.625,0.435644,L,?,0.51,0.461538,0.154545,0.281915,0.568027,0.605505,0,0,0,0,0,0.310345,0
0,EURO,0.6875,0.594059,L,?,0.14,0.064103,0.045455,0.053191,0.047619,0.357798,0,0,0,0,0,0.310345,0
0,EURO,0.5625,0.267327,D,?,0.14,0.038462,0.009091,0.021277,0.129252,0.357798,0.275862,0.045455,0.033333,0.043478,0.323529,0.310345,0
0.111111,EURO,0.8125,0.613861,C,?,0.35,0.269231,0.163636,0.207447,0.047619,0.53211,0,0,0,0,0,0.310345,0
0.111111,EURO,0.6875,0.633663,L,?,0.48,0.051282,0.045455,0.047872,0.115646,0.284404,0,0,0,0,0,0.310345,0
0.111111,EURO,1,0.742574,R,?,0.34,0.384615,0.272727,0.319149,0.190476,0.357798,0,0,0,0,0,0.310345,0
0,EURO,0.625,0.465347,D,?,0.43,0.115385,0.1,0.106383,0.068027,0.348624,0.034483,0,0,0,0,0.310345,0
0.222222,EURO,0.4375,0.376238,L,?,0.75,0.448718,0.427273,0.43617,0.07483,0.431193,0,0,0,0,0,0.310345,0
0.111111,EURO,0.5625,0.39604,R,?,0.59,0.24359,0.663636,0.489362,0.156463,0.366972,0.586207,0.181818,0.6,0.478261,0.382353,0.137931,0
0.111111,EURO,0.5,0.574257,R,?,0.11,0.012821,0.009091,0.010638,0.054422,0.366972,0,0,0,0,0,0.310345,0
0,EURO,0.6875,0.722772,D,?,0.14,0.012821,0.027273,0.021277,0.07483,0.422018,0.103448,0,0.066667,0.043478,0.117647,0.275862,0
0.111111,USA,0.6875,0.574257,C,?,0.36,0.012821,0.054545,0.037234,0.102041,0.33945,0,0,0,0,0,0.310345,0
0.222222,CAN,0.625,0.465347,L,?,0.69,0.692308,0.563636,0.617021,0.22449,0.917431,0.448276,0.5,0.3,0.434783,0.117647,0.655172,0
0.111111,EURO,0.5,0.356436,L,?,0.4,0.115385,0.109091,0.111702,0.095238,0.348624,0.275862,0,0.1,0.065217,0.058824,0.206897,0
0,EURO,0.5625,0.465347,C,?,0.06,0.051282,0.009091,0.026596,0.034014,0.376147,0,0,0,0,0,0.310345,0
0.666667,EURO,0.5625,0.435644,C,?,0.6,0.205128,0.181818,0.191489,0.323129,0.706422,0.37931,0.181818,0.266667,0.26087,0.205882,0.517241,0
0,EURO,0.375,0.415842,R,?,0.5,0.192308,0.272727,0.239362,0.503401,0.541284,0.068966,0.045455,0.033333,0.043478,0.029412,0.310345,0
0,EURO,0.625,0.376238,L,?,0.56,0.025641,0.027273,0.026596,0.061224,0.311927,0.310345,0,0.066667,0.043478,0.426471,0.310345,0
0,CAN,0.5,0.435644,D,?,0.57,0.128205,0.218182,0.180851,0.27551,0.357798,0,0,0,0,0,0.310345,0
