id,PlayerName,DraftAge,Country,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0
9,David Bornhammar,18,Sweden,EURO,73,198,D,1999,192,,55,9,6,15,44,0,0,0,0,0,0,0,0,0,no
58,Per Mars,19,Sweden,EURO,75,216,C,2001,87,,29,6,6,12,60,-2,5,1,1,2,4,0,0,0,no
71,Bjorn Nord,28,Sweden,EURO,72,190,D,2000,289,,81,23,22,45,74,-1,13,4,2,6,8,3,0,0,no
85,Kristofer Ottosson,24,Sweden,EURO,70,185,C,2000,148,,55,27,15,42,12,20,13,7,2,9,2,12,0,0,no
102,Par Backer,18,Sweden,EURO,73,179,C,2000,187,,46,12,10,22,24,-14,0,0,0,0,0,0,0,0,no
137,Rastislav Pavlikovsky,21,Slovakia,EURO,71,198,C,1998,246,,78,19,30,49,54,15,2,0,0,0,6,-1,0,0,no
151,David Ytfeldt,19,Sweden,EURO,72,192,D,1998,136,,44,13,10,23,129,-1,0,0,0,0,0,0,0,0,no
175,Jan Sandstrom,21,Sweden,EURO,72,196,D,1999,173,,47,2,7,9,18,7,0,0,0,0,0,0,0,0,no
187,Andreas Lindstrom,18,Sweden,EURO,78,216,L,2000,279,,9,2,2,4,14,0,0,0,0,0,0,0,0,0,no
201,David Petrasek,22,Sweden,EURO,73,207,D,1998,226,,47,6,10,16,90,7,5,2,2,4,14,1,0,0,no
204,Mika Hannula,23,Sweden,EURO,71,190,R,2002,269,,47,10,9,19,26,4,5,2,1,3,0,0,0,0,no
245,Mats Christeen,18,Sweden,EURO,73,194,D,2000,236,,35,1,1,2,38,0,4,1,0,1,6,0,0,0,no
273,Viktor Wallin,18,Sweden,EURO,75,207,D,1998,112,,28,9,15,24,42,0,0,0,0,0,0,0,0,0,no
284,Christian Soderstrom,22,Sweden,EURO,72,192,L,2002,262,,48,8,8,16,16,-14,0,0,0,0,0,0,0,0,no
301,Jonas Johnson,32,Sweden,EURO,74,185,C,2002,221,,85,22,43,65,40,24,10,3,2,5,4,0,0,0,no
303,Magnus Kahnberg,20,Sweden,EURO,74,201,R,2000,212,,39,45,21,66,30,0,6,7,4,11,4,0,0,0,no
306,Pelle Prestberg,23,Sweden,EURO,70,172,R,1998,233,,49,29,15,44,22,19,12,9,2,11,8,10,0,0,no
359,Calle Steen,18,Sweden,EURO,72,207,C,1998,142,,21,1,3,4,22,0,0,0,0,0,0,0,0,0,no
466,Stefan Lundqvist,20,Sweden,EURO,75,214,R,1998,180,,48,25,17,42,2,-3,1,0,0,0,0,0,0,0,no
518,Johan Bjork,18,Sweden,EURO,73,194,D,2002,125,,66,2,4,6,96,1,10,0,0,0,10,0,0,0,no
532,Patric Blomdahl,18,Sweden,EURO,73,212,L,2002,272,,30,7,8,15,30,0,7,0,1,1,8,0,0,0,no
547,Marcus Paulsson,18,Sweden,EURO,74,198,L,2002,149,,45,2,4,6,47,-8,0,0,0,0,0,0,0,0,no
578,Mikael Svensk,18,Sweden,EURO,75,207,D,2001,185,,19,1,0,1,4,0,3,0,1,1,2,0,0,0,no
663,Jimmie Svensson,18,Sweden,EURO,72,194,L,2000,228,,34,11,5,16,141,0,0,0,0,0,0,0,0,0,no
679,Henrik Bergfors,19,Sweden,EURO,76,238,D,2001,289,,14,1,0,1,16,0,3,0,2,2,2,0,0,0,no
