Name,Pos,Team,Age,GP,G,A1,A2,P1,P,Sh
Kenny Agostino,LW,CHI,24.378,59,21,30,24,51,75,148
Daniel O'Regan,C,SJ,22.625,54,20,24,8,44,52,121
Taylor Beck,RW,BAK/HFD,25.342,48,16,27,16,43,59,148
Paul Carey,LW,HER,27.975,54,24,19,13,43,56,119
Corey Tropp,RW,SD,27.142,53,21,22,9,43,52,95
Wade Megan,C,CHI,26.151,62,27,15,12,42,54,159
Matt Lorito,C,GR,26.203,54,19,23,10,42,52,120
Ben Street,C,GR,29.586,57,23,19,9,42,51,181
Chris Terry,LW,STJ,27.441,47,24,17,14,41,55,151
Chris Bourque,LW,HER,30.627,65,17,24,14,41,55,197
Travis Morin,C,TEX,32.682,63,20,21,7,41,48,139
Cole Schneider,LW,RCH,26.055,58,19,21,9,40,49,142
Nicklas Jensen,LW,HFD,23.529,58,26,14,5,40,45,178
Cory Conacher,RW,SYR,26.753,48,14,25,13,39,52,133
Chris Conner,LW,LV,32.729,62,19,20,11,39,50,106
Tom Kostopoulos,RW,WBS,37.641,64,23,16,11,39,50,148
Jonny Brodzinski,RW,ONT,23.241,56,25,13,9,38,47,172
Greg Carey,LW,LV,26.447,64,26,12,8,38,46,196
Travis Boyd,C,HER,23.003,65,13,24,19,37,56,95
Chris Mueller,C,TUC,30.529,57,13,24,16,37,53,94
Christian Thomas,RW,HER,24.307,59,25,12,9,37,46,139
Mark Jankowski,C,STK,22.005,54,24,13,9,37,46,129
Anton Lander,C,BAK,25.395,31,22,15,9,37,46,83
Rocco Grimaldi,C,SA,23.6,63,26,11,9,37,46,191
Lucas Wallmark,C,CHA,21.027,62,23,14,6,37,43,134
T.J. Brennan,D,LV,27.452,64,20,16,16,36,52,190
Cal O'Reilly,C,RCH/TOR,29.959,52,9,27,12,36,48,83
Frederick Gaudreau,C,MIL,23.375,54,21,15,7,36,43,101
Pontus Aberg,RW,MIL,22.978,48,25,11,7,36,43,133
Phil Varone,C,BNG,25.781,53,13,23,7,36,43,97
Jake Guentzel,C,WBS,21.942,33,21,15,6,36,42,98
Matt Taormina,D,SYR,29.904,59,14,21,18,35,53,161
Christian Djoos,D,HER,22.11,56,12,23,15,35,50,72
T.J. Hensick,C,ONT,30.764,58,15,20,11,35,46,129
Andrew Poturalski,C,CHA,22.668,62,16,19,10,35,45,132
Byron Froese,C,TOR/SYR,25.512,50,25,10,7,35,42,141
Andreas Johnsson,LW,TOR,21.816,65,19,15,8,34,42,126
Linden Vey,C,STK,25.164,51,14,20,8,34,42,96
Andrew Agozzino,LW,CHI,25.699,60,15,19,7,34,41,109
Kerby Rychel,LW,TOR,21.94,62,17,16,14,33,47,163
Jordan Szwarz,RW,PRO,25.34,57,17,16,14,33,47,93
Martin Frk,RW,GR,22.945,55,23,10,13,33,46,207
Yanni Gourde,LW,SYR,24.751,55,22,11,13,33,46,135
Christian Fischer,RW,TUC,19.419,51,18,15,9,33,42,121
Darren Archibald,LW,UTI,26.597,64,20,13,8,33,41,151
Vladislav Kamenev,C,MIL,20.093,58,15,17,9,32,41,114
Stanislav Galiev,RW,HER,24.66,45,21,11,7,32,39,98
Ivan Barbashev,C,CHI,20.753,46,19,13,5,32,37,75
Teemu Pulkkinen,RW,IA,24.701,47,18,14,4,32,36,152
Tim Heed,D,SJ,25.633,45,12,19,16,31,47,107
Bracken Kearns,LW,BRI,35.345,62,20,11,12,31,43,125
Wayne Simpson,RW,PRO,26.822,64,15,16,11,31,42,107
Trevor Smith,C,MIL,31.6,63,12,19,10,31,41,125
Jason Akeson,RW,BNG,26.285,46,16,15,10,31,41,123
Colin McDonald,RW,LV,31.959,63,22,9,9,31,40,143
Dominik Simon,C,WBS,22.104,61,12,19,9,31,40,121
Brandon DeFazio,LW,TEX,28.005,63,19,12,9,31,40,180
Tanner Fritz,C,BRI,25.071,58,19,12,8,31,39,119
Matej Stransky,RW,TEX,23.181,63,20,11,7,31,38,158
Matt White,LW,MIL,27.063,59,13,18,7,31,38,152
Danick Martel,LW,LV,21.759,56,19,12,6,31,37,131
A.J. Greer,LW,SA,19.753,60,15,16,6,31,37,127
Samuel Blais,LW,CHI,20.247,64,21,10,5,31,36,102
Curtis Valk,C,UTI,23.6,63,16,14,12,30,42,135
Charles Hudon,C,STJ,22.23,45,23,7,9,30,39,130
Eric Tangradi,LW,GR,27.595,49,14,16,8,30,38,123
Kyle Connor,LW,MB,19.767,44,21,9,8,30,38,120
Matt Frattin,RW,STK,28.699,54,18,12,6,30,36,153
Barclay Goodrow,RW,SJ,23.551,52,21,9,6,30,36,134
Peter Cehlarik,LW,PRO,21.121,43,18,12,4,30,34,102
Alexandre Grenier,RW,UTI,25.027,57,17,12,13,29,42,132
Oskar Sundqvist,C,WBS,22.482,55,17,12,11,29,40,130
Evgeny Svechnikov,RW,GR,19.874,62,17,12,11,29,40,147
John Quenneville,C,ALB,20.416,53,12,17,11,29,40,138
Erik Condra,RW,SYR,30.11,44,10,19,9,29,38,89
Marcus Sorensen,LW,SJ,24.441,43,17,12,5,29,34,108
Jordan Weal,C,LV,24.419,43,15,13,17,28,45,97
David Warsofsky,D,WBS,26.296,49,15,13,16,28,44,185
Kevin Porter,C,WBS,30.512,60,10,18,12,28,40,106
Tomas Nosek,C,GR,24.038,49,15,13,12,28,40,89
Alex Grant,D,PRO,27.652,59,14,14,11,28,39,155
Chase Balisy,RW,SPR,24.616,64,13,15,10,28,38,75
Sonny Milano,LW,CLE,20.345,52,15,13,8,28,36,112
Kyle Criscuolo,C,GR,24.364,63,16,12,7,28,35,118
Andrew Mangiapane,LW,STK,20.449,55,14,14,6,28,34,106
Antoine Laganiere,LW,SD,26.197,54,20,8,5,28,33,135
Michael Dal Colle,LW,BRI,20.238,63,14,14,5,28,33,121
Adam Payerl,RW,MIL,25.534,64,15,13,4,28,32,121
Kasperi Kapanen,RW,TOR,20.148,41,17,10,13,27,40,118
Nikolay Goldobin,LW,SJ,20.94,46,15,12,13,27,40,91
Spencer Abbott,RW,RFD/SD,28.378,61,16,11,13,27,40,130
Kyle Wood,D,TUC,20.367,57,13,14,12,27,39,122
Mitch Callahan,RW,GR,25.079,53,14,13,9,27,36,120
Josh Ho-Sang,RW,BRI,20.647,48,10,17,9,27,36,61
Ryan Hamilton,LW,BAK,31.419,46,17,10,8,27,35,104
Blake Coleman,C,ALB,24.797,49,18,9,7,27,34,117
Nick Baptiste,RW,RCH,21.115,50,20,7,4,27,31,149
Brett Sutter,C,ONT,29.288,57,15,12,4,27,31,98
Paul Thompson,RW,SPR,27.792,39,16,11,4,27,31,121
Andy Miele,C,LV,28.419,53,8,18,20,26,46,98
Kalle Kossila,LW,SD,23.422,55,11,15,16,26,42,132
Brendan Leipsic,LW,TOR,22.326,38,12,14,12,26,38,110
Jack Roslovic,C,MB,19.627,56,12,14,12,26,38,119
Nikita Scherbak,RW,STJ,20.71,56,13,13,9,26,35,101
Ryan Pulock,D,BRI,21.942,43,12,14,9,26,35,106
Brandon Montour,D,SD,22.43,36,13,13,7,26,33,148
Colin Smith,C,TOR/SA,23.238,61,9,17,7,26,33,127
Jordan Subban,D,UTI,21.537,53,14,12,6,26,32,124
