AHL_GP,AHL_total_TOI,AHL_goals,AHL_primary_assists,AHL_secondary_assists,AHL_ev_goals,AHL_ev_primary_assists,AHL_ev_secondary_assists,AHL_shots,AHL_ev_shots,AHL_passes,AHL_ev_passes,AHL_ze_controlled_entry,AHL_ze_uncontrolled_entry,AHL_ze_controlled_exit,AHL_ze_uncontrolled_exit,AHL_penalties_taken,AHL_penalties_drawn,AHL_team_ev_shots_for,AHL_team_ev_shots_against,NHL_GP,NHL_G,NHL_A,NHL_P,NHL_PlusMinus,NHL_PIM,NHL_PointPerGame,NHL_PPG,NHL_PPP,NHL_SHG,NHL_SHP,NHL_GWG,NHL_OTG,NHL_S,NHL_ShootingPercentage,NHL_TOIPerGame_sec,NHL_ShiftsPerGame,NHL_FaceoffWinPercentage
0.71875,0.798829177,0.142857143,0.214285714,0.636363636,0,0.222222222,0.444444444,0.429223744,0.384615385,0.704684318,0.640532544,0.229357798,0.480916031,0.485549133,0.539130435,0.470588235,0.333333333,0.589219331,0.56227758,0.098765432,0,0,0,0.576923077,0.00862069,0,0,0,0,0,0,0,0.025751073,0,0.72112917,0.580204778,0
0.71875,0.798829177,0.142857143,0.214285714,0.636363636,0,0.222222222,0.444444444,0.429223744,0.384615385,0.704684318,0.640532544,0.229357798,0.480916031,0.485549133,0.539130435,0.470588235,0.333333333,0.589219331,0.56227758,0.234567901,0.028571429,0.05,0.045454545,0.326923077,0.043103448,0.15,0,0,0,0,0,0,0.098712446,0.043,0.610778443,0.552901024,0
0.71875,0.798829177,0.142857143,0.214285714,0.636363636,0,0.222222222,0.444444444,0.429223744,0.384615385,0.704684318,0.640532544,0.229357798,0.480916031,0.485549133,0.539130435,0.470588235,0.333333333,0.589219331,0.56227758,0.086419753,0,0.05,0.03030303,0.653846154,0.00862069,0.25,0,0,0,0,0,0,0.034334764,0,0.487596236,0.436860068,0
0.71875,0.798829177,0.142857143,0.214285714,0.636363636,0,0.222222222,0.444444444,0.429223744,0.384615385,0.704684318,0.640532544,0.229357798,0.480916031,0.485549133,0.539130435,0.470588235,0.333333333,0.589219331,0.56227758,0.012345679,0,0,0,0.557692308,0,0,0,0,0,0,0,0,0,0,0.5106929,0.402730375,0
0.71875,0.798829177,0.142857143,0.214285714,0.636363636,0,0.222222222,0.444444444,0.429223744,0.384615385,0.704684318,0.640532544,0.229357798,0.480916031,0.485549133,0.539130435,0.470588235,0.333333333,0.589219331,0.56227758,0.012345679,0,0,0,0.557692308,0,0,0,0,0,0,0,0,0,0,0.5106929,0.402730375,0
0.15625,0.183339049,0.071428571,0.071428571,0.090909091,0,0.111111111,0,0.095890411,0.096153846,0.105906314,0.119822485,0.055045872,0.13740458,0.075144509,0.156521739,0.176470588,0.041666667,0.161710037,0.206405694,0.098765432,0,0.05,0.03030303,0.557692308,0,0.22,0,0,0,0,0,0,0.034334764,0,0.753635586,0.559726962,0
0.6875,0.574070445,0.357142857,0.357142857,0.272727273,0,0.444444444,0.333333333,0.392694064,0.461538462,0.279022403,0.309171598,0.623853211,0.404580153,0.300578035,0.2,0.294117647,0.25,0.565055762,0.379003559,0.308641975,0.085714286,0,0.045454545,0.403846154,0.047413793,0.12,0,0,0,0,0,0,0.17167382,0.075,0.457656116,0.419795222,0
0.15625,0.183339049,0.071428571,0.071428571,0.090909091,0,0.111111111,0,0.095890411,0.096153846,0.105906314,0.119822485,0.055045872,0.13740458,0.075144509,0.156521739,0.176470588,0.041666667,0.161710037,0.206405694,0.530864198,0.085714286,0.175,0.151515152,0.480769231,0.025862069,0.23,0,0,0,0,0,0,0.17167382,0.075,0.715996578,0.511945392,0
0.6875,0.574070445,0.357142857,0.357142857,0.272727273,0,0.444444444,0.333333333,0.392694064,0.461538462,0.279022403,0.309171598,0.623853211,0.404580153,0.300578035,0.2,0.294117647,0.25,0.565055762,0.379003559,0.308641975,0.085714286,0,0.045454545,0.403846154,0.047413793,0.12,0,0,0,0,0,0,0.17167382,0.075,0.457656116,0.419795222,0
0.15625,0.183339049,0.071428571,0.071428571,0.090909091,0,0.111111111,0,0.095890411,0.096153846,0.105906314,0.119822485,0.055045872,0.13740458,0.075144509,0.156521739,0.176470588,0.041666667,0.161710037,0.206405694,0.530864198,0.085714286,0.175,0.151515152,0.480769231,0.025862069,0.23,0,0,0,0,0,0,0.17167382,0.075,0.715996578,0.511945392,0
0.875,0.785210405,0.357142857,0.642857143,0.636363636,0,0.444444444,0.444444444,0.789954338,0.833333333,0.656822811,0.75,0.302752294,0.595419847,0.624277457,0.72173913,0.411764706,0.166666667,0.918215613,0.672597865,0.012345679,0.057142857,0,0.03030303,0.634615385,0.00862069,1,0,0,0,0,0,0,0.008583691,1,0.47647562,0.470989761,0
0,0.028976633,0,0,0,0,0,0,0.00913242,0.012820513,0.014256619,0.016272189,0.009174312,0.022900763,0.01734104,0.034782609,0.058823529,0,0.016728625,0.023131673,0.074074074,0.028571429,0,0.015151515,0.538461538,0,0.14,0,0,0,0,0.111111111,0,0.030042918,0.143,0.662104363,0.66894198,0
0,0.028976633,0,0,0,0,0,0,0.00913242,0.012820513,0.014256619,0.016272189,0.009174312,0.022900763,0.01734104,0.034782609,0.058823529,0,0.016728625,0.023131673,0.617283951,0,0.175,0.106060606,0.365384615,0.094827586,0.14,0,0,0,0,0,0,0.261802575,0,0.711719418,0.66552901,0
0.875,0.785210405,0.357142857,0.642857143,0.636363636,0,0.444444444,0.444444444,0.789954338,0.833333333,0.656822811,0.75,0.302752294,0.595419847,0.624277457,0.72173913,0.411764706,0.166666667,0.918215613,0.672597865,0.049382716,0,0,0,0.538461538,0.030172414,0,0,0,0,0,0,0,0.017167382,0,0.531223268,0.488054608,0
0,0.028976633,0,0,0,0,0,0,0.00913242,0.012820513,0.014256619,0.016272189,0.009174312,0.022900763,0.01734104,0.034782609,0.058823529,0,0.016728625,0.023131673,0.432098765,0,0.075,0.045454545,0.5,0.077586207,0.08,0,0,0,0,0,0,0.158798283,0,0.52780154,0.505119454,0
0,0.028976633,0,0,0,0,0,0,0.00913242,0.012820513,0.014256619,0.016272189,0.009174312,0.022900763,0.01734104,0.034782609,0.058823529,0,0.016728625,0.023131673,0.432098765,0,0.075,0.045454545,0.5,0.077586207,0.08,0,0,0,0,0,0,0.158798283,0,0.52780154,0.505119454,0
0.6875,0.532185372,0.285714286,0.142857143,0.272727273,0,0.222222222,0.222222222,0.273972603,0.320512821,0.390020367,0.421597633,0.403669725,0.290076336,0.306358382,0.2,0.117647059,0.208333333,0.466542751,0.43772242,0.037037037,0,0.025,0.015151515,0.538461538,0,0.25,0,0,0,0,0,0,0.017167382,0,0.484174508,0.368600683,0
0.6875,0.532185372,0.285714286,0.142857143,0.272727273,0,0.222222222,0.222222222,0.273972603,0.320512821,0.390020367,0.421597633,0.403669725,0.290076336,0.306358382,0.2,0.117647059,0.208333333,0.466542751,0.43772242,0.037037037,0,0.025,0.015151515,0.538461538,0,0.25,0,0,0,0,0,0,0.017167382,0,0.484174508,0.368600683,0
0.78125,0.633615833,0.642857143,0.428571429,0.454545455,0,0.333333333,0.222222222,0.497716895,0.544871795,0.482688391,0.470414201,0.587155963,0.34351145,0.312138728,0.252173913,0.411764706,0.25,0.620817844,0.446619217,0.061728395,0,0,0,0.5,0.00862069,0,0,0,0,0,0,0,0.038626609,0,0.440547476,0.392491468,0.5
0.78125,0.633615833,0.642857143,0.428571429,0.454545455,0,0.333333333,0.222222222,0.497716895,0.544871795,0.482688391,0.470414201,0.587155963,0.34351145,0.312138728,0.252173913,0.411764706,0.25,0.620817844,0.446619217,0.024691358,0,0,0,0.557692308,0,0,0,0,0,0,0,0,0.004291845,0,0.184773311,0.170648464,1
0.78125,0.633615833,0.642857143,0.428571429,0.454545455,0,0.333333333,0.222222222,0.497716895,0.544871795,0.482688391,0.470414201,0.587155963,0.34351145,0.312138728,0.252173913,0.411764706,0.25,0.620817844,0.446619217,0.024691358,0,0,0,0.557692308,0,0,0,0,0,0,0,0,0.004291845,0,0.184773311,0.170648464,1
0.625,0.497158673,0.142857143,0.071428571,0.090909091,0,0.111111111,0,0.159817352,0.173076923,0.323828921,0.366863905,0.064220183,0.221374046,0.242774566,0.373913043,0.588235294,0.25,0.401486989,0.53024911,0.049382716,0,0,0,0.519230769,0.00862069,0,0,0,0,0,0,0,0.012875536,0,0.396920445,0.419795222,0
0.625,0.497158673,0.142857143,0.071428571,0.090909091,0,0.111111111,0,0.159817352,0.173076923,0.323828921,0.366863905,0.064220183,0.221374046,0.242774566,0.373913043,0.588235294,0.25,0.401486989,0.53024911,0.049382716,0,0,0,0.519230769,0.00862069,0,0,0,0,0,0,0,0.012875536,0,0.396920445,0.419795222,0
0.78125,0.671312399,0,0.214285714,0.181818182,0,0.111111111,0.222222222,0.319634703,0.301282051,0.389002037,0.417159763,0.155963303,0.541984733,0.369942197,0.565217391,0.470588235,0.125,0.526022305,0.539145907,0.024691358,0,0,0,0.576923077,0,0,0,0,0,0,0,0,0.017167382,0,0.502994012,0.590443686,0
0.78125,0.671312399,0,0.214285714,0.181818182,0,0.111111111,0.222222222,0.319634703,0.301282051,0.389002037,0.417159763,0.155963303,0.541984733,0.369942197,0.565217391,0.470588235,0.125,0.526022305,0.539145907,0.395061728,0,0.025,0.015151515,0.326923077,0.043103448,0.03,0,0,0,0,0,0,0.120171674,0,0.751924722,0.737201365,0
0.75,0.654925783,0,0.071428571,0.090909091,0,0.111111111,0.111111111,0.246575342,0.217948718,0.465376782,0.463017751,0.128440367,0.534351145,0.352601156,0.452173913,0.764705882,0.5,0.459107807,0.492882562,0.135802469,0,0.05,0.03030303,0.461538462,0.051724138,0.17,0,0,0,0,0,0,0.021459227,0,0.642429427,0.529010239,0
0.78125,0.671312399,0,0.214285714,0.181818182,0,0.111111111,0.222222222,0.319634703,0.301282051,0.389002037,0.417159763,0.155963303,0.541984733,0.369942197,0.565217391,0.470588235,0.125,0.526022305,0.539145907,0.061728395,0,0.025,0.015151515,0.576923077,0.00862069,0.17,0,0,0,0,0,0,0.004291845,0,0.4465355,0.529010239,0
0.5,0.488340763,0,0,0,0,0,0,0.305936073,0.256410256,0.280040733,0.25295858,0.082568807,0.351145038,0.219653179,0.295652174,0.823529412,0.291666667,0.338289963,0.389679715,0.148148148,0,0,0,0.519230769,0.077586207,0,0,0,0,0,0,0,0.0472103,0,0.414029085,0.412969283,0
0.59375,0.45755156,0.214285714,0.571428571,0.636363636,0,0.666666667,0.555555556,0.278538813,0.288461538,0.420570265,0.434911243,0.596330275,0.312977099,0.277456647,0.086956522,0.411764706,0.333333333,0.546468401,0.34519573,0.074074074,0,0,0,0.519230769,0.025862069,0,0,0,0,0,0,0,0.017167382,0,0.310521814,0.249146758,0.25
0.59375,0.45755156,0.214285714,0.571428571,0.636363636,0,0.666666667,0.555555556,0.278538813,0.288461538,0.420570265,0.434911243,0.596330275,0.312977099,0.277456647,0.086956522,0.411764706,0.333333333,0.546468401,0.34519573,0,0,0,0,0.596153846,0,0,0,0,0,0,0,0,0,0,0.315654405,0.317406143,0.667
0.59375,0.45755156,0.214285714,0.571428571,0.636363636,0,0.666666667,0.555555556,0.278538813,0.288461538,0.420570265,0.434911243,0.596330275,0.312977099,0.277456647,0.086956522,0.411764706,0.333333333,0.546468401,0.34519573,0.074074074,0,0.05,0.03030303,0.653846154,0.021551724,0.29,0,0,0,0,0,0,0.025751073,0,0.331907613,0.293515358,0.357
0.46875,0.358717484,0.214285714,0.071428571,0.090909091,0,0.111111111,0.111111111,0.205479452,0.256410256,0.133401222,0.161242604,0.330275229,0.465648855,0.219653179,0.286956522,0.176470588,0.25,0.302973978,0.286476868,0.222222222,0.028571429,0.025,0.03030303,0.538461538,0.030172414,0.11,0,0,0,0,0,0,0.111587983,0.038,0.301967494,0.266211604,0
0.46875,0.358717484,0.214285714,0.071428571,0.090909091,0,0.111111111,0.111111111,0.205479452,0.256410256,0.133401222,0.161242604,0.330275229,0.465648855,0.219653179,0.286956522,0.176470588,0.25,0.302973978,0.286476868,0.222222222,0.028571429,0.025,0.03030303,0.538461538,0.030172414,0.11,0,0,0,0,0,0,0.111587983,0.038,0.301967494,0.266211604,0
