@relation 'AHL_NHL_BN_norm-weka.filters.unsupervised.attribute.Remove-R2-10,12,17-20'

@attribute AHL_GP numeric
@attribute AHL_passes numeric
@attribute AHL_ze_controlled_entry numeric
@attribute AHL_ze_uncontrolled_entry numeric
@attribute AHL_ze_controlled_exit numeric
@attribute AHL_ze_uncontrolled_exit numeric
@attribute NHL_GP numeric
@attribute NHL_G numeric
@attribute NHL_A numeric
@attribute NHL_P numeric
@attribute NHL_PlusMinus numeric
@attribute NHL_PIM numeric
@attribute NHL_PointPerGame numeric
@attribute NHL_PPG numeric
@attribute NHL_PPP numeric
@attribute NHL_SHG numeric
@attribute NHL_SHP numeric
@attribute NHL_GWG numeric
@attribute NHL_OTG numeric
@attribute NHL_S numeric
@attribute NHL_ShootingPercentage numeric
@attribute NHL_TOIPerGame_sec numeric
@attribute NHL_ShiftsPerGame numeric
@attribute NHL_FaceoffWinPercentage numeric

@data
0.71875,0.704684,0.229358,0.480916,0.485549,0.53913,0.098765,0,0,0,0.576923,0.008621,0,0,0,0,0,0,0,0.025751,0,0.721129,0.580205,0
0.71875,0.704684,0.229358,0.480916,0.485549,0.53913,0.234568,0.028571,0.05,0.045455,0.326923,0.043103,0.15,0,0,0,0,0,0,0.098712,0.043,0.610778,0.552901,0
0.71875,0.704684,0.229358,0.480916,0.485549,0.53913,0.08642,0,0.05,0.030303,0.653846,0.008621,0.25,0,0,0,0,0,0,0.034335,0,0.487596,0.43686,0
0.71875,0.704684,0.229358,0.480916,0.485549,0.53913,0.012346,0,0,0,0.557692,0,0,0,0,0,0,0,0,0,0,0.510693,0.40273,0
0.71875,0.704684,0.229358,0.480916,0.485549,0.53913,0.012346,0,0,0,0.557692,0,0,0,0,0,0,0,0,0,0,0.510693,0.40273,0
0.15625,0.105906,0.055046,0.137405,0.075145,0.156522,0.098765,0,0.05,0.030303,0.557692,0,0.22,0,0,0,0,0,0,0.034335,0,0.753636,0.559727,0
0.6875,0.279022,0.623853,0.40458,0.300578,0.2,0.308642,0.085714,0,0.045455,0.403846,0.047414,0.12,0,0,0,0,0,0,0.171674,0.075,0.457656,0.419795,0
0.15625,0.105906,0.055046,0.137405,0.075145,0.156522,0.530864,0.085714,0.175,0.151515,0.480769,0.025862,0.23,0,0,0,0,0,0,0.171674,0.075,0.715997,0.511945,0
0.6875,0.279022,0.623853,0.40458,0.300578,0.2,0.308642,0.085714,0,0.045455,0.403846,0.047414,0.12,0,0,0,0,0,0,0.171674,0.075,0.457656,0.419795,0
0.15625,0.105906,0.055046,0.137405,0.075145,0.156522,0.530864,0.085714,0.175,0.151515,0.480769,0.025862,0.23,0,0,0,0,0,0,0.171674,0.075,0.715997,0.511945,0
