Name,Impact
Erik Karlsson,469.1440606
Matt Bartkowski,252.5444302
Teddy Purcell,228.6176665
Mike Ribeiro,200.6317895
Anthony Duclair,198.2293296
Curtis Lazar,181.2432118
Mark Fayne,171.7579279
Jared McCann,171.6491967
Emerson Etem,169.0790899
Scott Laughton,164.3257729
Ryan Garbutt,162.4950907
Stephen Gionta,156.7352738
Zbynek Michalek,148.7768583
Sergey Kalinin,146.0553005
Kevin Connauton,141.7624863
Jake Virtanen,140.9222036
Brooks Laich,140.3588436
Alex Biega,134.1410717
Byron Froese,131.1551975
Dalton Prout,127.6247781
Justin Fontaine,127.259813
Tom Gilbert,126.9126987
Erik Condra,122.815345
Andrew Copp,121.8600282
Landon Ferraro,121.6669224
Anton Lander,121.5262401
Linden Vey,121.0868872
Rob Scuderi,120.7188025
Andrej Nestrasil,120.0246881
Chris Terry,118.3312491
Sven Andrighetto,116.0213634
Miikka Salomaki,113.6960348
Boyd Gordon,112.3158753
Magnus Paajarvi,112.1307674
Klas Dahlbeck,111.9621986
Jakub Kindl,110.3562509
Ryan Carter,108.7042403
Iiro Pakarinen,106.7963582
Milan Michalek,105.1012333
Austin Watson,103.6421171
Quinton Howden,103.2109915
Chris Porter,100.9551154
Kevin Porter,97.60394547
Zach Trotman,94.38845037
Eric Gelinas,92.86580406
Cody Goloubef,90.90065716
Frank Vatrano,87.293162
Teemu Pulkkinen,87.21166094
Jamie McBain,86.59838441
Marko Dano,85.60250176
Mike Brown,84.33123226
Brandon Bollig,84.30747357
Erik Gustafsson,83.97324704
Tanner Glass,83.26837875
Bobby Farnham,82.17210084
Mike Weber,81.71878874
Brad Malone,81.64099001
Ryan Murphy,81.12602871
Chris Wagner,80.79199918
Patrik Nemeth,80.31868161
Logan Shaw,80.21144907
Reid Boucher,79.34427075
Brian Strait,77.97351801
Zach Redmond,77.17784495
Frank Corrado,77.17302475
Joe Morrow,76.25056752
Nate Thompson,76.02036007
Dylan McIlrath,75.64285747
Colin Greening,73.51537499
Mark Barberio,73.41003616
Steven Kampfer,71.45023044
Tomas Jurco,69.77708077
Viktor Svedberg,69.63996837
Griffin Reinhart,69.25241711
Derrick Pouliot,67.65125323
Andrew Bodnarchuk,64.63898268
Stefan Matteau,64.45998997
Zac Rinaldo,63.60447599
Nic Petan,62.62503903
Adam Pardy,61.62089137
Chris Bigras,60.52001888
Jordan Oesterle,58.86951548
Nick Paul,55.39648491
Jacob de la Rose,54.40501793
Drew Miller,52.13776529
Michael Latta,51.19181081
Brandon Gormley,50.82449794
Brendan Gaunce,50.74154675
Jordan Schroeder,50.73930797
Nate Guenin,50.18075287
David Warsofsky,49.6957268
Gabriel Bourque,48.38496165
Shea Theodore,47.50984401
Tanner Kero,46.37028329
Rocco Grimaldi,46.28901547
Matt Tennyson,44.16249279
Steve Bernier,43.59458789
Daniel Carr,43.08819701
Justin Falk,42.89205243
Brandon Mashinter,42.41832419
Oskar Sundqvist,41.46915465
Kerby Rychel,41.06795741
Garrett Wilson,40.78293972
Michael McCarron,40.22510146
Fredrik Claesson,39.13849165
Anthony Peluso,39.11981502
Mike Reilly,38.42300169
Max McCormick,37.64652204
Bryan Bickell,37.40045025
Anthony Bitetto,36.9591146
Stanislav Galiev,35.55278353
Petter Granberg,35.51255096
Brock McGinn,35.32678446
Nikita Soshnikov,35.05614529
Connor Brickley,34.70517942
Ryan Pulock,33.66553083
Cal O'Reilly,33.53538275
Jujhar Khaira,32.14588103
Michael Mersch,31.64996468
Stephen Johns,31.13841007
Mike Blunden,31.04656382
Darren Dietz,30.98909537
Derek Grant,30.7296132
Tyler Wotherspoon,30.47145424
Corban Knight,29.33017629
Scott Harrington,29.16150599
Luke Gazdic,28.56421807
Barclay Goodrow,28.46176958
Michael Kostka,28.06735515
Josh Leivo,27.84503423
Noel Acciari,27.77735612
Garnet Hathaway,27.39075904
Tyler Gaudet,26.59765806
Jordan Weal,26.26984979
Mike Sislo,25.08400677
Andrey Pedan,24.46186076
Ty Rattie,23.28085724
Anthony Mantha,23.10478008
Tyler Randell,22.98744598
Nikolay Goldobin,22.93053969
Julian Melchiori,22.79889071
Mikko Rantanen,22.65878624
Joel Hanley,22.14217462
Greg McKegg,22.04160966
Oliver Bjorkstrand,21.91327593
Brett Kulak,21.18527256
Kasperi Kapanen,21.10418054
Kyle Rau,20.95813165
Slater Koekkoek,20.73694713
Rinat Valiev,20.73564703
Hudson Fasching,20.52355239
Mirco Mueller,19.37845119
Anton Slepyshev,18.84399497
Seth Helgeson,18.74478717
Andrew Agozzino,18.68696471
Petteri Lindbohm,18.56940505
Tobias Lindberg,18.42715084
Laurent Dauphin,18.18487623
Cody Bass,18.14825319
Scott Kosmachuk,18.01826572
Jarred Tinordi,17.33822618
Alexandre Grenier,17.11000384
Brendan Leipsic,16.90204493
Craig Cunningham,16.73610955
Justin Bailey,16.69264497
Hunter Shinkaruk,16.54940464
Frederik Gauthier,15.9330733
Chandler Stephenson,15.8751628
Scott Mayfield,15.59082187
Brad Hunt,15.29419441
Andrew Campbell,14.77387962
Adam Pelech,14.63159714
Philip Samuelsson,13.26192695
Andrew Miller,12.34204607
Taylor Leier,12.32920643
Dean Kukan,12.06889874
Marek Hrivik,11.73276338
Casey Nelson,11.03067952
JC Lipon,11.0194676
Tomas Nosek,10.19687501
Jayson Megna,10.17965326
Ben Harpur,10.13039942
Joel Vermin,9.716629423
Christian Thomas,9.424732779
Vojtech Mozik,9.423725195
Blake Pietila,9.249929525
Chris Butler,8.970603358
Esa Lindell,8.789489848
Derek Ryan,8.553304436
Kevin Gravel,8.388084176
Alex Grant,8.248052091
Brent Regner,8.154218007
Brandon Tanev,8.038027336
Ryan Johnston,7.839764177
Zach Sill,7.710513452
Ben Street,7.662563941
Michael Chaput,7.620296937
Mike Angelidis,7.470832228
Phil Varone,7.255309607
Eric Boulton,7.20133426
Kevin Fiala,7.196784864
Matt Taormina,6.981285696
Max Friberg,6.886582829
Tyler Graovac,6.78670867
Emile Poirier,6.635742403
Sam Carrick,6.560482593
Aaron Ness,6.557780095
Stuart Percy,6.309729934
Jim O'Brien,6.160533453
Patrick Brown,5.939721881
Brendan Woods,5.864772828
Evan Rodrigues,5.775897761
Paul Carey,5.752093911
Taylor Beck,5.64798229
Seth Griffith,5.574928511
Kenny Agostino,5.525565545
Charles Hudon,5.51001069
Colin McDonald,5.448198847
Chris Summers,5.331876398
Markus Hannikainen,5.326517051
Bracken Kearns,5.253625417
Borna Rendulic,5.061925261
Christoph Bertschy,5.004179476
Kyle Baun,4.758622016
Buddy Robinson,4.447367907
Cole Schneider,4.406320012
Luke Witkowski,4.25086175
Brody Sutter,4.226216745
Matt Irwin,4.140842264
Trevor Carrick,4.128195818
Morgan Ellis,4.106232654
Tye McGinn,4.091060874
Sergey Tolchinsky,4.045709538
Paul Thompson,4.025038415
Oliver Kylington,3.689895086
Viktor Loov,3.592996012
Gustav Olofsson,3.536264536
Dominik Simon,3.518205411
Tom Sestito,3.093993574
Tyson Strachan,3.077506851
Patrick Sieloff,3.044375247
Taylor Fedun,3.00687564
Patrice Cormier,2.992549841
Zac Dalpe,2.923697531
Chase De Leo,2.861931922
Jeff Schultz,2.746340044
Jason Dickinson,2.718683749
John Ramage,2.701755414
Jordan Caron,2.651226575
Turner Elson,2.514397994
Kurtis Gabriel,2.485534559
Alex Friesen,2.480854103
Ross Johnston,2.335841948
Sonny Milano,2.187214016
Miles Wood,2.162674573
Stefan Noesen,2.148285878
Tommy Cross,2.077893042
Mark McNeill,1.879565003
Michael Paliotta,1.718263048
Steven Santini,1.650902632
Ryan Carpenter,1.639742375
Josh Archibald,1.598498221
Yanni Gourde,1.523406945
Chad Ruhwedel,1.396612932
John McCarthy,1.146539356
Chris Brown,1.127019217
Ryan Stanton,0.784207286
Eric Tangradi,0.27523751
James Wisniewski,0.091258591
Brett Lernout,-0.00903396
