Overall,Round,Player,Nat.,Pos,Draft Year
1,1,Erik Johnson,US,D,2006
2,1,Drew Doughty,CA,D,2008
2,1,Ryan Murray,CA,D,2012
2,1,Victor Hedman,SCN,D,2009
3,1,Brad Stuart,CA,D,1998
3,1,Jay Bouwmeester,CA,D,2002
3,1,Cam Barker,CA,D,2004
3,1,Erik Gudbranson,CA,D,2010
3,1,Jack Johnson,US,D,2005
3,1,Zach Bogosian,US,D,2008
4,1,Bryan Allen,CA,D,1998
4,1,Thomas Hickey,CA,D,2007
4,1,Alex Pietrangelo,CA,D,2008
4,1,Griffin Reinhart,CA,D,2012
4,1,Rostislav Klesla,EU,D,2000
4,1,Joni Pitkanen,SCN,D,2002
4,1,Adam Larsson,SCN,D,2011
4,1,Seth Jones,US,D,2013
5,1,Karl Alzner,CA,D,2007
5,1,Luke Schenn,CA,D,2008
5,1,Morgan Rielly,CA,D,2012
5,1,Vitaly Vishnevski,RU,D,1998
5,1,Ryan Whitney,US,D,2002
6,1,Oliver Ekman-Larsson,SCN,D,2009
6,1,Hampus Lindholm,SCN,D,2012
7,1,Mathew Dumba,CA,D,2012
7,1,Darnell Nurse,CA,D,2013
7,1,Lars Jonsson,SCN,D,2000
7,1,Mike Komisarek,US,D,2001
7,1,Ryan Suter,US,D,2003
8,1,Braydon Coburn,CA,D,2003
8,1,Derrick Pouliot,CA,D,2012
8,1,Rasmus Ristolainen,SCN,D,2013
9,1,Dion Phaneuf,CA,D,2003
9,1,Jared Cowen,CA,D,2009
9,1,Dougie Hamilton,CA,D,2011
9,1,Ladislav Smid,EU,D,2004
9,1,Brian Lee,US,D,2005
9,1,Jacob Trouba,US,D,2012
10,1,Luc Bourdon,CA,D,2005
10,1,Keaton Ellerby,CA,D,2007
10,1,Dylan McIlrath,CA,D,2010
10,1,Slater Koekkoek,CA,D,2012
10,1,Branislav Mezei,EU,D,1999
10,1,Boris Valabik,EU,D,2004
10,1,Jonas Brodin,SCN,D,2011
11,1,Ryan Ellis,CA,D,2009
11,1,Duncan Siemens,CA,D,2011
11,1,Samuel Morin,CA,D,2013
11,1,Keith Ballard,US,D,2002
12,1,Dan Hamhuis,CA,D,2001
12,1,Steve Eminger,CA,D,2002
12,1,Marc Staal,CA,D,2005
12,1,Calvin de Haan,CA,D,2009
12,1,Cam Fowler,CA,D,2010
12,1,Ryan Murphy,CA,D,2011
12,1,A.J. Thelen,US,D,2004
12,1,Ryan McDonagh,US,D,2007
12,1,Tyler Myers,US,D,2008
13,1,Colten Teubert,CA,D,2008
13,1,Brandon Gormley,CA,D,2010
13,1,Josh Morrissey,CA,D,2013
13,1,Ron Hainsey,US,D,2000
14,1,Brent Seabrook,CA,D,2003
14,1,Sasha Pokulok,CA,D,2005
14,1,Jamie Oleksiak,CA,D,2011
14,1,Dmitry Kulikov,RU,D,2009
14,1,Jeff Jillson,US,D,1999
14,1,Kevin Shattenkirk,US,D,2007
15,1,Alex Plante,CA,D,2007
15,1,Cody Ceci,CA,D,2012
15,1,Ryan Pulock,CA,D,2013
15,1,Igor Knyazev,RU,D,2001
15,1,Erik Karlsson,SCN,C,2008
15,1,Derek Forbort,US,D,2010
16,1,Ty Wishart,CA,D,2006
16,1,Nikita Zadorov,RU,D,2013
16,1,David Tanabe,US,D,1999
16,1,Nick Leddy,US,D,2009
17,1,Barret Jackman,CA,D,1999
17,1,Carlo Colaiacovo,CA,D,2001
17,1,Nathan Beaulieu,CA,D,2011
17,1,Martin Skoula,EU,D,1998
17,1,David Rundblad,SCN,D,2009
17,1,Jake Gardiner,US,D,2008
18,1,Ryan Parent,CA,D,2005
18,1,Mirco Mueller,EU,D,2013
18,1,Dmitri Kalinin,RU,D,1998
18,1,Denis Grebeshkov,RU,D,2002
18,1,Brooks Orpik,US,D,2000
18,1,Ian Cole,US,D,2007
19,1,Robyn Regehr,CA,D,1998
19,1,Shaone Morrisonn,CA,D,2001
19,1,Jakub Kindl,EU,D,2005
19,1,Luca Sbisa,EU,D,2008
19,1,Kirill Safronov,RU,D,1999
19,1,Oscar Klefbom,SCN,D,2011
19,1,Mark Mitera,US,D,2006
20,1,Michael Del Zotto,CA,D,2008
20,1,David Fischer,US,D,2006
20,1,Connor Murphy,US,D,2011
21,1,Mathieu Biron,CA,D,1998
21,1,Nick Boynton,CA,D,1999
21,1,Anton Volchenkov,RU,D,2000
21,1,Anton Babchuk,RU,D,2002
21,1,Mark Stuart,US,D,2003
21,1,Bobby Sanguinetti,US,D,2006
21,1,John Moore,US,D,2009
22,1,Olli Maatta,SCN,D,2012
22,1,David Hale,US,D,2000
22,1,Matt Lashoff,US,D,2005
22,1,Jarred Tinordi,US,D,2010
23,1,Steve McCarthy,CA,D,1999
23,1,Tyler Cuma,CA,D,2008
23,1,Mark Pysyk,CA,D,2010
23,1,Joseph Morrow,CA,D,2011
23,1,Michael Matheson,CA,D,2012
23,1,Andrej Meszaros,EU,D,2004
23,1,Tim Gleason,US,D,2001
23,1,Jonathon Blum,US,D,2007
23,1,Tim Erixon,US,D,2009
24,1,Lukas Krajicek,EU,D,2001
24,1,Christian Backman,SCN,D,1998
24,1,Dennis Persson,SCN,D,2006
25,1,Stuart Percy,CA,D,2011
25,1,Jiri Fischer,EU,D,1998
25,1,Jordan Schmaltz,US,D,2012
26,1,Mike Van Ryn,CA,D,1998
26,1,Shea Theodore,CA,D,2013
26,1,Martin Vagner,EU,D,2002
27,1,Jeff Woywitka,CA,D,2001
27,1,Jeff Schultz,CA,D,2004
27,1,Brendan Smith,CA,D,2007
27,1,Ivan Vishnevskiy,RU,D,2006
27,1,Joe Finley,US,D,2005
27,1,John Carlson,US,D,2008
28,1,Mark Fistric,CA,D,2004
28,1,Kristian Kudroc,EU,D,1999
28,1,Matt Niskanen,US,D,2005
28,1,Nicholas Petrecki,US,D,2007
28,1,Dylan Olsen,US,D,2009
28,1,Brady Skjei,US,D,2012
29,1,Mike Green,CA,D,2004
29,1,Niklas Kronwall,SCN,D,2000
29,1,Chris Summers,US,D,2006
30,2,Kyle Rossiter,CA,D,1998
30,2,Luke Sellars,CA,D,1999
30,1,Shawn Belle,CA,D,2003
30,1,Andy Rogers,CA,D,2004
30,1,Matthew Corrente,CA,D,2006
30,1,Nick Ross,CA,D,2007
30,1,Simon Despres,CA,D,2009
30,1,Vladimir Mihalik,EU,D,2005
31,2,Matthew Spiller,CA,D,2001
31,2,Brendan Mikkelson,CA,D,2005
31,2,David Musil,CA,D,2011
31,2,Ilja Nikulin,RU,D,2000
31,2,Danny Richmond,US,D,2003
31,2,T.J. Brennan,US,D,2007
31,2,Ian McCoshen,US,D,2013
32,2,Chris Bigras,CA,D,2013
32,2,Slava Voynov,RU,D,2008
32,2,Carl Sneep,US,D,2006
33,2,Nick Schultz,CA,D,2000
33,2,Taylor Ellington,CA,D,2007
34,2,Ross Lupaschuk,CA,D,1999
34,2,Josh Godfrey,CA,D,2007
34,2,Mike Egener,EU,D,2003
34,2,Johan Fransson,SCN,D,2004
34,2,Ville Pokka,SCN,D,2012
34,2,Scott Mayfield,US,D,2011
35,2,Mark Popovic,CA,D,2001
35,2,Logan Stephenson,CA,D,2004
35,2,Marc-Edouard Vlasic,CA,D,2005
35,2,Matt Finn,CA,D,2012
35,2,Petr Svoboda,EU,D,1998
35,2,Ondrej Nemec,EU,D,2002
35,2,Tommy Cross,US,D,2007
36,2,Taylor Chorney,CA,D,2005
36,2,Alex Petrovic,CA,D,2010
36,2,Alexei Semenov,RU,D,1999
36,2,Adam Clendening,US,D,2011
37,2,Nolan Yonkman,CA,D,1999
37,2,Kevin Klein,CA,D,2003
37,2,Scott Jackson,CA,D,2005
37,2,Cody Goloubef,CA,D,2008
37,2,Yury Alexandrov,RU,D,2006
37,2,Mat Clark,US,D,2009
37,2,Justin Faulk,US,D,2010
38,2,Roman Josi,EU,D,2008
38,2,Jon Merrill,US,D,2010
39,2,John Erskine,CA,D,1998
39,2,Tim Ramholt,CA,D,2003
39,2,Jordan Smith,CA,D,2004
39,2,Karel Pilar,EU,D,2001
40,2,Kurtis Foster,CA,D,2000
40,2,Fedor Tyutin,RU,D,2001
40,2,Grant Lewis,US,D,2004
40,2,Michael Sauer,US,D,2005
40,2,Aaron Ness,US,D,2008
40,2,Dylan Blujus,US,D,2012
41,2,Kevin Marshall,CA,D,2007
41,2,Yann Sauve,CA,D,2008
41,2,Maxim Linnik,RU,D,1998
41,2,Tero Maatta,SCN,D,2000
41,2,Patrik Nemeth,SCN,D,2010
41,2,Robert Hagg,SCN,D,2013
41,2,Matt Smaby,US,D,2003
42,2,Jason Beckett,CA,D,1998
42,2,Mike Commodore,CA,D,1999
42,2,Patrick Wiercioch,CA,D,2008
42,2,Charles-Olivier Roussel,CA,D,2009
42,2,Libor Ustrnul,EU,D,2000
42,2,Tomas Slovak,EU,D,2001
42,2,Mike Ratchuk,US,D,2006
42,2,Patrick Sieloff,US,D,2012
42,2,Steven Santini,US,D,2013
43,2,Doug Lynch,CA,D,2001
43,2,Trevor Daley,CA,D,2002
43,2,Michael Funk,CA,D,2004
43,2,P.K. Subban,CA,D,2007
43,2,Justin Schultz,CA,D,2008
43,2,Ossi Vaananen,SCN,D,1998
43,2,Ludwig Bystrom,SCN,D,2012
43,2,William Wrenn,US,D,2009
44,2,Roman Tesliuk,RU,D,2004
44,2,Jordan Leopold,US,D,1999
44,2,Matt Greene,US,D,2002
44,2,Jake McCabe,US,D,2012
45,2,Martin Grenier,CA,D,1999
45,2,Tomas Linhart,EU,D,2002
45,2,Jeff Petry,US,D,2006
45,2,Colby Cohen,US,D,2007
46,2,Dustin Kohn,CA,D,2005
46,2,Colby Robak,CA,D,2008
46,2,Joel Edmundson,CA,D,2011
46,2,Martin Marincin,EU,D,2010
46,2,Gustav Olofsson,SCN,D,2013
46,2,Theo Ruth,US,D,2007
47,2,Matt Carle,US,D,2003
47,2,Thomas Vannelli,US,D,2013
48,2,Jonathan Girard,CA,D,1998
48,2,Brett Ponich,CA,D,2009
48,2,Dillon Fournier,CA,D,2012
48,2,Gerard Dicaire,CA,D,2000
48,2,Xavier Ouellet,EU,D,2011
48,2,Joe Ryan,US,D,2006
49,2,Shea Weber,CA,D,2003
49,2,Chad Denny,CA,D,2005
49,2,Stefan Elliott,CA,D,2009
49,2,Kirill Koltsov,RU,D,2002
50,2,Cameron Gaunce,CA,D,2008
50,2,Dillon Heatherington,CA,D,2013
50,2,Ivan Baranka,EU,D,2003
51,2,Ian Forbes,CA,D,1998
51,2,Dalton Thrower,CA,D,2012
51,2,Anton Kadeykin,RU,D,2002
51,2,Carl Dahlstrom,SCN,D,2013
51,2,Nigel Williams,US,D,2006
51,2,Brian Dumoulin,US,D,2009
52,2,Keith Seabrook,CA,D,2006
52,2,Brandon Burlon,CA,D,2008
52,2,Bobby Allen,US,D,1998
52,2,Dan Spang,US,D,2002
53,2,Mathieu Carle,CA,D,2006
53,2,Travis Hamonic,CA,D,2008
53,2,Madison Bowey,CA,D,2013
53,2,Will Weber,US,D,2007
53,2,Mark Alt,US,D,2010
54,2,Duncan Keith,CA,D,2002
54,2,Eric Gelinas,CA,D,2009
54,2,Scott Harrington,CA,D,2011
54,2,Andreas Lilja,SCN,D,2000
54,2,Andrew Hutchinson,US,D,1999
54,2,Noah Welch,US,D,2001
54,2,Justin Holl,US,D,2010
55,2,Adam McQuaid,CA,D,2005
55,2,Marco Scandella,CA,D,2008
55,2,Ryan Sproul,CA,D,2011
55,2,Denis Grot,RU,D,2002
55,2,Denis Bodrov,RU,D,2006
55,2,Dmitry Orlov,RU,D,2009
55,2,Doug Janik,US,D,1999
56,2,Nicklas Grossmann,SCN,D,2004
57,2,Jeremy Van Hoof,CA,D,1999
57,2,Eric Mestery,CA,D,2008
57,2,Taylor Doherty,CA,D,2009
57,2,Tyler Wotherspoon,CA,D,2011
57,2,Matt DeMarchi,US,D,2000
57,2,John Doherty,US,D,2003
57,2,Mike Weber,US,D,2006
58,2,Matt Carkner,CA,D,1999
58,2,Nathan Paetsch,CA,D,2001
58,2,Jesse Blacker,CA,D,2009
