name,CareerGP,NumSeasons,AvgGP,CareerTOI,AvgTOI,CareerPts,Overall,Round,Age,D1_Pos,D2_Pos,Great_160,Great_120,Draft Year
A.J. Jenks,0,0,0,0,0,0,100,,25,0,0,0,0,2008
A.J. Thelen,0,0,0,0,0,0,12,1,29,0,1,0,0,2004
Aaron Boogaard,0,0,0,0,0,0,175,6,29,0,0,0,0,2004
Aaron Dawson,0,0,0,0,0,0,102,4,30,0,1,0,0,2003
Aaron Gagnon,38,4,9.5,319,8.394736842,5,240,8,29,1,0,0,0,2004
Aaron Gionet,0,0,0,0,0,0,191,6,33,0,1,0,0,2000
Aaron Goldade,0,0,0,0,0,0,137,5,35,1,0,0,0,1998
Aaron Harstad,0,0,0,0,0,0,187,7,23,0,1,0,0,2011
Aaron Johnson,291,8,36.375,4249,14.60137457,62,85,3,32,0,1,1,1,2001
Aaron Lobb,0,0,0,0,0,0,123,4,32,0,0,0,0,2001
Aaron Marvin,0,0,0,0,0,0,89,3,27,0,0,0,0,2006
Aaron Ness,29,2,14.5,448,15.44827586,3,40,2,25,0,1,0,0,2008
Aaron Palushaj,68,4,17,616,9.058823529,14,44,2,26,0,0,0,0,2007
Aaron Rome,226,8,28.25,3563,15.76548673,28,104,4,32,0,1,1,1,2002
Aaron Snow,0,0,0,0,0,0,90,3,27,0,0,0,0,2006
Aaron Van Leusen,0,0,0,0,0,0,130,4,33,1,0,0,0,2000
Aaron Voros,162,4,40.5,1428,8.814814815,37,229,8,34,1,0,1,1,2001
Adam Almqvist,2,1,2,34,17,1,210,7,24,0,1,0,0,2009
Adam Berti,2,1,2,20,10,0,68,3,29,0,0,0,0,2004
Adam Burish,378,9,42,4362,11.53968254,60,282,9,32,0,0,1,1,2002
Adam Clendening,21,1,21,349,16.61904762,4,36,2,22,0,1,0,0,2011
Adam Comrie,0,0,0,0,0,0,80,3,25,0,1,0,0,2008
Adam Courchaine,0,0,0,0,0,0,219,7,31,1,0,0,0,2003
Adam Cracknell,82,5,16.4,725,8.841463415,17,279,9,30,0,0,0,0,2004
Adam DeLeeuw,0,0,0,0,0,0,151,6,35,0,0,0,0,1998
Adam Hall,682,11,62,9009,13.20967742,156,52,2,35,0,0,1,1,1999
Adam Henrich,0,0,0,0,0,0,60,2,31,0,0,0,0,2002
Adam Henrique,269,5,53.8,4847,18.01858736,153,82,3,25,1,0,1,1,2008
Adam Hobson,0,0,0,0,0,0,203,7,28,1,0,0,0,2005
Adam Janosik,0,0,0,0,0,0,72,3,22,0,1,0,0,2010
Adam Johnson,0,0,0,0,0,0,140,5,35,0,1,0,0,1999
Adam Larsson,192,4,48,3814,19.86458333,51,4,1,22,0,1,1,1,2011
Adam Lowry,80,1,80,1100,13.75,23,67,3,22,0,0,0,0,2011
Adam McQuaid,283,6,47.16666667,4376,15.46289753,43,55,2,29,0,1,1,1,2005
Adam Pardy,315,7,45,4810,15.26984127,48,173,6,31,0,1,1,1,2004
Adam Pineault,3,1,3,33,11,0,46,2,29,0,0,0,0,2004
Adam Polasek,0,0,0,0,0,0,145,5,24,0,1,0,0,2010
Adam Taylor,0,0,0,0,0,0,224,7,31,1,0,0,0,2002
Adrian Foster,0,0,0,0,0,0,28,1,33,1,0,0,0,2001
Adrian Wichser,0,0,0,0,0,0,231,,35,1,0,0,0,1998
Agris Saviels,0,0,0,0,0,0,63,2,33,0,1,0,0,2000
Ahren Nittel,0,0,0,0,0,0,85,3,31,0,0,0,0,2002
Aki Seitsonen,0,0,0,0,0,0,118,4,29,1,0,0,0,2004
Akim Aliu,7,2,3.5,76,10.85714286,3,56,2,26,0,0,0,0,2007
Alain Goulet,0,0,0,0,0,0,159,6,26,0,1,0,0,2007
Alan Quine,0,0,0,0,0,0,85,6,22,1,0,0,0,2011
Albert Vishnyakov,0,0,0,0,0,0,273,9,31,0,0,0,0,2003
Alec Martinez,259,6,43.16666667,4236,16.35521236,77,95,4,28,0,1,1,1,2007
Ales Hemsky,748,12,62.33333333,12216,16.3315508,526,13,1,32,0,0,1,1,2001
Ales Kotalik,542,9,60.22222222,8076,14.900369,284,164,6,36,0,0,1,1,1998
Ales Pisa,53,2,26.5,693,13.0754717,4,272,9,38,0,1,0,0,2001
Alex Berry,0,0,0,0,0,0,153,5,29,0,0,0,0,2005
Alex Biega,7,1,7,111,15.85714286,1,147,5,27,0,1,0,0,2006
Alex Bourret,0,0,0,0,0,0,16,1,28,0,0,0,0,2005
Alex Broadhurst,0,0,0,0,0,0,199,7,22,1,0,0,0,2011
Alex Chiasson,162,3,54,2310,14.25925926,68,38,2,25,0,0,1,1,2009
Alex Dulac-Lemelin,0,0,0,0,0,0,278,9,29,0,1,0,0,2004
Alex Fallstrom,0,0,0,0,0,0,116,4,24,0,0,0,0,2009
Alex Friesen,0,0,0,0,0,0,172,6,24,1,0,0,0,2010
Alex Frolov,579,8,72.375,10411,17.98100173,397,20,1,33,0,0,1,1,2000
Alex Goligoski,480,8,60,10757,22.41041667,240,61,2,30,0,1,1,1,2004
Alex Grant,2,1,2,24,12,2,118,4,26,0,1,0,0,2007
Alex Henry,177,4,44.25,1950,11.01694915,11,67,3,36,0,1,1,1,1998
Alex Hutchings,0,0,0,0,0,0,93,4,24,0,0,0,0,2009
Alex Killorn,191,3,63.66666667,3217,16.84293194,98,77,3,26,1,0,1,1,2007
Alex Lepkowski,0,0,0,0,0,0,137,5,22,0,1,0,0,2011
Alex Ovechkin,760,10,76,16268,21.40526316,895,1,1,30,0,0,1,1,2004
Alex Petrovic,46,3,15.33333333,736,16,4,36,2,23,0,1,0,0,2010
Alex Pietrangelo,386,7,55.14285714,9314,24.12953368,218,4,1,25,0,1,1,1,2008
Alex Plante,10,3,3.333333333,131,13.1,2,15,1,26,0,1,0,0,2007
Alex Steen,679,10,67.9,12262,18.05891016,429,24,1,31,1,0,1,1,2002
Alex Tanguay,1018,15,67.86666667,18211,17.88899804,828,12,1,35,0,0,1,1,1998
Alex Theriau,0,0,0,0,0,0,109,4,23,0,1,0,0,2010
Alex Velischek,0,0,0,0,0,0,123,5,24,0,1,0,0,2009
Alexander Avtsin,0,0,0,0,0,0,109,4,24,0,0,0,0,2009
