name,Draft.Year,Overall,Round,Age,Draft_Age,D3_Nat,D4_Nat,D1_Pos,D2_Pos,CareerGP,Yr1GP,Yr1TOI,Yr1Pts,Yr2GP,Yr2TOI,Yr2Pts,Yr3GP,Yr3TOI,Yr3Pts,Yr4GP,Yr4TOI,Yr4Pts,Yr5GP,Yr5TOI,Yr5Pts,Yr6GP,Yr6TOI,Yr6Pts,Yr7GP,Yr7TOI,Yr7Pts,Great_160
Andreas Nodl,2006,39,2,28,19,0,0,0,0,183,0,0,0,0,0,0,38,424,4,10,89,1,67,889,22,60,703,8,8,68,1,1
Michael Grabner,2006,14,1,28,18,0,0,0,0,317,0,0,0,0,0,0,0,0,0,20,278,11,76,1146,52,78,1212,32,45,666,21,1
Thomas Vanek,2003,5,1,31,19,0,0,0,0,743,0,0,0,0,0,0,81,1193,48,82,1376,84,82,1382,64,73,1255,64,71,1190,53,1
Christoph Brandner,2002,237,8,40,27,0,0,0,0,35,0,0,0,35,467,9,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Robyn Regehr,1998,19,1,35,18,1,0,0,1,1089,0,0,0,57,1049,12,71,1400,4,77,1609,8,76,1729,12,82,1832,18,68,1573,26,1
Andre Deveaux,2002,182,6,31,18,1,0,1,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,152,1,0
Sergei Kostitsyn,2005,200,7,28,18,0,0,0,0,353,0,0,0,0,0,0,52,746,27,56,792,23,47,666,18,77,1170,50,75,1235,43,1
Andrei Kostitsyn,2003,10,1,30,18,0,0,0,0,398,0,0,0,0,0,0,12,90,3,22,292,11,78,1224,53,74,1154,41,59,943,33,1
Konstantin Koltsov,1999,18,1,34,18,0,0,0,0,144,0,0,0,0,0,0,0,0,0,2,26,0,82,1259,29,60,795,9,NA,NA,NA,0
Andrew Shaw,2011,139,5,24,20,1,0,1,0,244,37,563,23,48,722,15,80,1255,39,79,1181,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Andy Andreoff,2011,80,3,24,20,1,0,0,0,18,0,0,0,0,0,0,0,0,0,18,154,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Boone Jenner,2011,37,2,22,18,1,0,1,0,103,0,0,0,0,0,0,72,1014,29,31,566,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Brett Ritchie,2011,44,2,22,18,1,0,0,0,31,0,0,0,0,0,0,0,0,0,31,434,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Brody Sutter,2011,193,7,24,19,1,0,1,0,4,0,0,0,0,0,0,0,0,0,4,30,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
David Broll,2011,152,6,22,18,1,0,0,0,5,0,0,0,0,0,0,5,41,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
David Musil,2011,31,2,22,18,1,0,0,1,4,0,0,0,0,0,0,0,0,0,4,79,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Dougie Hamilton,2011,9,1,22,18,1,0,0,1,178,0,0,0,42,719,16,64,1223,25,72,1536,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Duncan Siemens,2011,11,1,22,18,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,14,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Frank Corrado,2011,150,5,22,18,1,0,0,1,28,0,0,0,3,58,0,15,188,1,10,157,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Jamie Oleksiak,2011,14,1,22,18,1,0,0,1,59,0,0,0,16,237,2,7,125,0,36,482,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Jean-Gabriel Pageau,2011,96,4,22,18,1,0,1,0,87,0,0,0,9,103,4,28,287,2,50,709,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Jonathan Huberdeau,2011,3,1,22,18,1,0,1,0,196,0,0,0,48,813,31,69,1081,28,79,1323,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Jonathan Racine,2011,87,3,22,18,1,0,0,1,1,0,0,0,0,0,0,1,16,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Joseph Morrow,2011,23,1,22,18,1,0,0,1,15,0,0,0,0,0,0,0,0,0,15,250,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Josh Leivo,2011,86,3,22,18,1,0,0,0,16,0,0,0,0,0,0,7,69,2,9,69,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Josh Manson,2011,160,6,24,19,1,0,0,1,28,0,0,0,0,0,0,0,0,0,28,516,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Lucas Lessio,2011,56,2,22,18,1,0,0,0,29,0,0,0,0,0,0,3,35,0,26,332,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Mark Scheifele,2011,7,1,22,18,1,0,1,0,156,7,77,1,4,46,0,63,1031,34,82,1524,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Matt Puempel,2011,24,1,22,18,1,0,0,0,13,0,0,0,0,0,0,0,0,0,13,104,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Nathan Beaulieu,2011,17,1,22,18,1,0,0,1,87,0,0,0,6,92,2,17,225,2,64,1005,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Nick Cousins,2011,68,3,22,18,1,0,1,0,11,0,0,0,0,0,0,0,0,0,11,97,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Phillip Danault,2011,26,1,22,18,1,0,0,0,2,0,0,0,0,0,0,0,0,0,2,19,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Ryan Nugent-Hopkins,2011,1,1,22,18,1,0,1,0,258,62,1092,52,40,755,24,80,1632,56,76,1569,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
Ryan Sproul,2011,55,2,22,18,1,0,0,1,1,0,0,0,0,0,0,1,18,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Ryan Strome,2011,5,1,22,18,1,0,1,0,118,0,0,0,0,0,0,37,562,18,81,1247,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Scott Harrington,2011,54,2,22,18,1,0,0,1,10,0,0,0,0,0,0,0,0,0,10,158,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Scott Wilson,2011,209,7,23,19,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Stuart Percy,2011,25,1,22,18,1,0,0,1,9,0,0,0,0,0,0,0,0,0,9,163,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Ty Rattie,2011,32,2,22,18,1,0,0,0,13,0,0,0,0,0,0,2,22,0,11,100,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Tyler Graovac,2011,191,7,22,18,1,0,1,0,3,0,0,0,0,0,0,0,0,0,3,28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Tyler Wotherspoon,2011,57,2,22,18,1,0,0,1,15,0,0,0,0,0,0,14,188,4,1,20,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Alex Petrovic,2010,36,2,23,18,1,0,0,1,46,0,0,0,0,0,0,6,113,0,7,86,1,33,537,3,NA,NA,NA,NA,NA,NA,0
Brandon Davidson,2010,162,6,24,19,1,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,12,182,1,NA,NA,NA,NA,NA,NA,0
Brandon Gormley,2010,13,1,23,18,1,0,0,1,32,0,0,0,0,0,0,0,0,0,5,73,0,27,414,4,NA,NA,NA,NA,NA,NA,0
Brendan Gallagher,2010,147,5,23,18,1,0,0,0,207,0,0,0,0,0,0,44,610,28,81,1293,41,82,1360,47,NA,NA,NA,NA,NA,NA,1
Brendan Ranford,2010,209,7,23,18,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,NA,NA,NA,NA,NA,NA,0
Brett Bulmer,2010,39,2,23,18,1,0,0,0,14,0,0,0,9,99,3,5,53,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Brett Connolly,2010,6,1,23,18,1,0,0,0,139,0,0,0,68,780,15,5,51,1,11,132,1,55,668,17,NA,NA,NA,NA,NA,NA,0
Cam Fowler,2010,12,1,23,18,1,0,0,1,345,76,1682,40,82,1907,29,37,756,11,70,1670,36,80,1692,34,NA,NA,NA,NA,NA,NA,1
Christian Thomas,2010,40,2,23,18,1,0,0,0,21,0,0,0,0,0,0,1,13,0,2,14,0,18,164,1,NA,NA,NA,NA,NA,NA,0
Craig Cunningham,2010,97,4,25,20,1,0,0,0,53,0,0,0,0,0,0,0,0,0,2,19,0,51,534,7,NA,NA,NA,NA,NA,NA,0
Dalton Prout,2010,154,6,25,20,1,0,0,1,145,0,0,0,5,59,0,28,519,7,49,843,6,63,1160,8,NA,NA,NA,NA,NA,NA,0
Danny Biega,2010,67,3,24,18,1,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,10,161,2,NA,NA,NA,NA,NA,NA,0
Devante Smith-Pelly,2010,42,2,23,18,1,0,0,0,149,0,0,0,49,590,13,7,63,0,19,240,10,74,1057,20,NA,NA,NA,NA,NA,NA,0
Dylan McIlrath,2010,10,1,23,18,1,0,0,1,3,0,0,0,0,0,0,0,0,0,2,14,0,1,8,0,NA,NA,NA,NA,NA,NA,0
Erik Gudbranson,2010,3,1,23,18,1,0,0,1,245,0,0,0,72,1022,8,32,600,4,65,1169,9,76,1414,13,NA,NA,NA,NA,NA,NA,1
Freddie Hamilton,2010,129,5,23,18,1,0,1,0,29,0,0,0,0,0,0,0,0,0,11,114,0,18,136,1,NA,NA,NA,NA,NA,NA,0
Greg McKegg,2010,62,3,23,18,1,0,1,0,4,0,0,0,0,0,0,0,0,0,1,4,0,3,28,0,NA,NA,NA,NA,NA,NA,0
Jaden Schwartz,2010,14,1,23,18,1,0,1,0,207,0,0,0,7,82,3,45,561,13,80,1402,56,75,1368,63,NA,NA,NA,NA,NA,NA,1
Jeff Skinner,2010,7,1,23,18,1,0,1,0,336,82,1372,63,64,1192,44,42,775,24,71,1221,54,77,1236,31,NA,NA,NA,NA,NA,NA,1
Joey Hishon,2010,17,1,23,19,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,NA,NA,NA,NA,NA,NA,0
John Ramage,2010,103,4,24,19,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,18,0,NA,NA,NA,NA,NA,NA,0
Julian Melchiori,2010,87,3,23,18,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,9,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Justin Shugg,2010,105,4,23,18,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,17,0,NA,NA,NA,NA,NA,NA,0
Mark Pysyk,2010,23,1,23,18,1,0,0,1,70,0,0,0,0,0,0,19,309,5,44,863,7,7,127,3,NA,NA,NA,NA,NA,NA,0
Mark Stone,2010,178,6,23,18,1,0,0,0,103,0,0,0,0,0,0,4,40,0,19,275,8,80,1362,64,NA,NA,NA,NA,NA,NA,0
Max Reinhart,2010,64,3,23,18,1,0,1,0,23,0,0,0,0,0,0,11,159,3,8,86,2,4,32,0,NA,NA,NA,NA,NA,NA,0
Michael Bournival,2010,71,3,23,18,1,0,0,0,89,0,0,0,0,0,0,0,0,0,60,619,14,29,229,5,NA,NA,NA,NA,NA,NA,0
Michael Chaput,2010,89,3,23,18,1,0,1,0,50,0,0,0,0,0,0,0,0,0,17,151,1,33,337,5,NA,NA,NA,NA,NA,NA,0
Micheal Ferland,2010,133,5,23,18,1,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,26,274,5,NA,NA,NA,NA,NA,NA,0
Patrick Holland,2010,193,7,23,18,1,0,0,0,5,0,0,0,0,0,0,0,0,0,5,38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Quinton Howden,2010,25,1,23,18,1,0,1,0,34,0,0,0,0,0,0,18,188,0,16,220,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Riley Sheahan,2010,21,1,23,18,1,0,1,0,123,0,0,0,1,6,0,1,7,0,42,607,24,79,1236,36,NA,NA,NA,NA,NA,NA,0
Ryan Johansen,2010,4,1,23,18,1,0,1,0,271,0,0,0,67,853,21,40,643,12,82,1447,63,82,1599,71,NA,NA,NA,NA,NA,NA,1
Ryan Spooner,2010,45,2,23,18,1,0,1,0,56,0,0,0,0,0,0,4,36,0,23,295,11,29,422,18,NA,NA,NA,NA,NA,NA,0
Sam Carrick,2010,144,5,23,18,1,0,1,0,16,0,0,0,0,0,0,0,0,0,0,0,0,16,104,2,NA,NA,NA,NA,NA,NA,0
Taylor Hall,2010,1,1,23,18,1,0,0,0,299,65,1184,42,61,1111,53,45,838,50,75,1501,80,53,1019,38,NA,NA,NA,NA,NA,NA,1
Tye McGinn,2010,119,4,25,20,1,0,0,0,87,0,0,0,0,0,0,18,229,5,18,201,5,51,515,7,NA,NA,NA,NA,NA,NA,0
Tyler Seguin,2010,2,1,23,18,1,0,1,0,354,74,904,22,81,1372,67,48,817,32,80,1548,84,71,1388,77,NA,NA,NA,NA,NA,NA,1
Tyler Toffoli,2010,47,2,23,18,1,0,1,0,148,0,0,0,0,0,0,10,120,5,62,802,29,76,1109,49,NA,NA,NA,NA,NA,NA,0
Alex Chiasson,2009,38,2,25,18,1,0,0,0,162,0,0,0,0,0,0,0,0,0,7,99,7,79,1194,35,76,1017,26,NA,NA,NA,1
Ben Chiarot,2009,120,4,24,18,1,0,0,1,41,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,40,681,8,NA,NA,NA,0
Brandon Pirri,2009,59,2,24,18,1,0,1,0,105,0,0,0,1,9,0,5,68,2,1,18,0,49,636,25,49,724,24,NA,NA,NA,0
Brayden McNabb,2009,66,3,24,18,1,0,0,1,108,0,0,0,0,0,0,25,446,8,12,207,0,71,1129,24,NA,NA,NA,NA,NA,NA,0
Brayden Schenn,2009,5,1,24,18,1,0,1,0,274,1,13,0,8,90,2,54,763,18,47,730,26,82,1291,41,82,1401,47,NA,NA,NA,1
Calvin de Haan,2009,12,1,24,18,1,0,0,1,117,0,0,0,0,0,0,1,13,0,51,1072,16,65,1236,12,NA,NA,NA,NA,NA,NA,0
Carter Ashton,2009,29,1,24,18,1,0,0,0,54,0,0,0,0,0,0,15,156,0,32,201,3,7,44,0,NA,NA,NA,NA,NA,NA,0
Casey Cizikas,2009,92,4,24,18,1,0,1,0,210,0,0,0,0,0,0,15,159,4,45,485,15,80,1070,16,70,876,18,NA,NA,NA,1
Cody Eakin,2009,85,3,24,18,1,0,1,0,237,0,0,0,0,0,0,30,278,8,48,724,24,81,1404,35,78,1341,40,NA,NA,NA,1
Corban Knight,2009,135,5,25,19,1,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,7,56,1,2,13,0,NA,NA,NA,0
Curtis McKenzie,2009,159,6,24,18,1,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,415,5,NA,NA,NA,0
David Savard,2009,94,4,24,18,1,0,0,1,187,0,0,0,0,0,0,31,514,10,4,53,0,70,1248,15,82,1881,36,NA,NA,NA,1
Eric Gelinas,2009,54,2,24,18,1,0,0,1,122,0,0,0,0,0,0,0,0,0,1,16,0,60,1015,29,61,1004,19,NA,NA,NA,0
Eric Wellwood,2009,172,6,25,19,1,0,0,0,31,0,0,0,3,40,1,24,263,9,4,38,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Evander Kane,2009,4,1,24,18,1,0,0,0,361,66,924,26,73,1304,43,74,1296,57,48,982,33,63,1278,41,37,715,22,NA,NA,NA,1
Gabriel Bourque,2009,132,5,25,18,1,0,0,0,220,0,0,0,0,0,0,43,550,19,34,538,16,74,1024,26,69,829,13,NA,NA,NA,1
Gabriel Dumont,2009,139,5,25,18,1,0,1,0,18,0,0,0,0,0,0,3,26,0,10,97,3,2,14,0,3,27,0,NA,NA,NA,0
Garrett Wilson,2009,107,4,24,18,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,31,0,2,18,0,NA,NA,NA,0
Jamie Devane,2009,68,3,24,18,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,NA,NA,NA,NA,NA,NA,0
Jared Cowen,2009,9,1,24,18,1,0,0,1,212,1,7,0,82,1549,17,7,142,1,68,1395,15,54,980,9,NA,NA,NA,NA,NA,NA,1
Jesse Blacker,2009,58,2,24,18,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,NA,NA,NA,0
John Tavares,2009,1,1,25,18,1,0,1,0,432,82,1477,54,79,1521,67,82,1687,81,48,997,47,59,1253,66,82,1695,86,NA,NA,NA,1
Jordan Caron,2009,25,1,24,18,1,0,0,0,153,0,0,0,23,291,7,48,553,15,17,160,3,35,382,3,30,241,0,NA,NA,NA,0
Jordan Nolan,2009,186,7,26,20,1,0,1,0,194,0,0,0,0,0,0,26,243,4,44,373,6,64,576,10,60,598,9,NA,NA,NA,1
Jordan Szwarz,2009,97,4,24,18,1,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,26,225,3,9,121,1,NA,NA,NA,0
Kevin Connauton,2009,83,3,25,19,1,0,0,1,98,0,0,0,0,0,0,0,0,0,0,0,0,36,552,8,62,1005,21,NA,NA,NA,0
Kris Foucault,2009,103,4,24,18,1,0,0,0,1,0,0,0,0,0,0,1,9,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Kyle Clifford,2009,35,2,24,18,1,0,0,0,356,0,0,0,76,722,14,81,762,12,48,509,14,71,721,8,80,859,15,NA,NA,NA,1
Landon Ferraro,2009,32,2,24,18,1,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,4,36,0,3,36,1,NA,NA,NA,0
Linden Vey,2009,96,4,24,18,1,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,18,218,5,75,988,24,NA,NA,NA,0
Louis Leblanc,2009,18,1,24,18,1,0,1,0,50,0,0,0,0,0,0,42,470,10,8,79,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
Matt Duchene,2009,3,1,24,18,1,0,1,0,419,81,1436,55,80,1516,67,58,945,28,47,983,43,71,1313,70,82,1523,55,NA,NA,NA,1
