PlayerId,PlayerName,Position,Birthplace,Country,Height,Weight,Birthdate,BirthMonth,BirthYear,Age,DraftTeam,DraftYear,DraftRound,DraftNumber,Season,SeasonType,Team,GP,Goals,Assits,Points,PlusMinus,PIM,PPG,SHG,GWG,Shots,shotPercentage,CareerGP,GP_7,TOI_7,cescin_rank,league
8473568,Andreas Nodl,R,"Vienna, Austria",Austria,"6'1""",196,"February 28, 1987",February,1987,0,PHI,2006,2,39,2005-2006,Regular Season,SIOUX FALLS STAMPEDE-USHL,58,29,30,59,13,16,11,0,5,0,0,183,183,2173,72,USHL
8473568,Andreas Nodl,R,"Vienna, Austria",Austria,"6'1""",196,"February 28, 1987",February,1987,0,PHI,2006,2,39,2005-2006,Playoffs,SIOUX FALLS STAMPEDE-USHL,14,6,9,15,2,6,4,0,1,0,0,183,183,2173,72,USHL
8473546,Michael Grabner,R,"Villach, Austria",Austria,"6'1""",202,"October 5, 1987",October,1987,27,VAN,2006,1,14,2005-2006,Regular Season,SPOKANE CHIEFS-WHL,67,36,14,50,0,28,0,0,0,0,0,317,219,3302,18,WHL
8473546,Michael Grabner,R,"Villach, Austria",Austria,"6'1""",202,"October 5, 1987",October,1987,27,VAN,2006,1,14,2005-2006,Playoffs,SPOKANE CHIEFS-WHL,0,0,0,0,0,0,0,0,0,0,0,317,219,3302,18,WHL
8467344,Robyn Regehr,D,"Recife, Brazil",Brazil,"6'3""",222,"April 19, 1980",April,1980,34,COL,1998,1,19,1997-1998,Regular Season,KAMLOOPS BLAZERS-WHL,65,4,10,14,0,120,0,0,0,0,0,1089,431,9192,2,WHL
8467344,Robyn Regehr,D,"Recife, Brazil",Brazil,"6'3""",222,"April 19, 1980",April,1980,34,COL,1998,1,19,1997-1998,Playoffs,KAMLOOPS BLAZERS-WHL,5,0,3,3,0,8,0,0,0,0,0,1089,431,9192,2,WHL
8470301,Andre Deveaux,C,"Freeport, Bahamas",Bahamas,"6'3""",239,"February 23, 1984",February,1984,0,MTL,2002,6,182,2001-2002,Regular Season,BELLEVILLE BULLS-OHL,64,8,13,21,0,89,0,0,0,0,0,31,21,152,92,OHL
8470301,Andre Deveaux,C,"Freeport, Bahamas",Bahamas,"6'3""",239,"February 23, 1984",February,1984,0,MTL,2002,6,182,2001-2002,Playoffs,BELLEVILLE BULLS-OHL,11,1,2,3,0,30,0,0,0,0,0,31,21,152,92,OHL
8474641,Adam Henrique,C,"Brantford, ON, Canada",Canada,"6'0""",195,"February 6, 1990",February,1990,24,NJD,2008,3,82,2007-2008,Regular Season,WINDSOR SPITFIRES-OHL,66,20,24,44,17,28,8,0,0,0,0,269,269,4847,57,OHL
8474641,Adam Henrique,C,"Brantford, ON, Canada",Canada,"6'0""",195,"February 6, 1990",February,1990,24,NJD,2008,3,82,2007-2008,Playoffs,WINDSOR SPITFIRES-OHL,5,2,3,5,-4,4,1,0,0,0,0,269,269,4847,57,OHL
