id,PlayerName,DraftAge,Country,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0,lmt_prob,LeafNode
17909,"Jiri Cetkovsky",19,"Czech Rep.",EURO,78,243,L,2002,141,37,28,9,6,15,40,-3,2,0,0,0,4,-4,0,0,no,0.12327206523413242,1
8053,"Martin Podlesak",19,"Czech Rep.",EURO,77,227,C,2001,45,38,60,21,19,40,59,3,3,1,1,2,2,-1,0,0,no,0.10693435551070037,1
15831,"Tomas Linhart",18,"Czech Rep.",EURO,74,227,D,2002,45,22,37,2,3,5,30,6,2,0,1,1,0,-1,0,0,no,0.09368622201524751,1
15719,"Colt King",18,Canada,CAN,74,220,R,2001,130,30,65,25,27,52,129,8,4,0,1,1,8,-2,0,0,no,0.09353088755499632,1
15108,"Cory Stillman",18,Canada,CAN,73,212,C,2001,101,19,68,29,27,56,39,16,4,2,0,2,0,-3,0,0,no,0.09278254920015226,1
3221,"Henrik Juntunen",18,Finland,EURO,74,212,R,2001,83,40,63,32,20,52,107,2,4,2,2,4,2,-1,0,0,no,0.0868530779149937,1
27,"Yared Hagos",18,Sweden,EURO,73,218,C,2001,70,24,43,11,26,37,24,1,10,4,1,5,4,-2,0,0,no,0.08320064790467414,1
12547,"Armands Berzins",19,Latvia,EURO,75,220,C,2002,155,78,67,22,21,43,79,12,12,2,2,4,6,-2,0,0,no,0.07868998359752488,1
9567,"Kirill Koltsov",19,Russia,EURO,70,198,D,2002,49,6,41,1,5,6,34,18,11,1,0,1,18,-1,0,0,no,0.0760641151190264,1
2489,"Aaron Lobb",18,Canada,CAN,76,209,R,2001,123,53,67,23,25,48,93,-18,5,0,2,2,12,-6,0,0,no,0.07040889394582926,1
3187,"Topi Jaakola",19,Finland,EURO,73,196,D,2002,134,20,70,0,4,4,24,3,6,1,0,1,4,-2,0,0,no,0.06808600865208946,1
14038,"Nikita Korovkin",19,Russia,EURO,74,207,D,2002,192,44,72,4,23,27,103,33,1,0,0,0,2,-1,0,0,no,0.0673523975068855,1
12018,"Tim Konsorada",18,Canada,CAN,73,207,R,2002,168,49,71,17,28,45,36,-1,19,2,11,13,8,-4,0,0,no,0.06568451108411787,1
15343,"Patrick Wellar",19,Canada,CAN,75,209,D,2002,77,61,61,3,10,13,125,-4,7,0,2,2,4,-2,0,0,no,0.06493814898469223,1
8421,"Miroslav Blatak",19,"Czech Rep.",EURO,72,201,D,2001,129,41,51,3,17,20,30,4,9,1,0,1,2,-2,0,0,no,0.06382965876375084,1
3182,"Toni Koivisto",19,Finland,EURO,72,198,L,2001,200,64,85,14,18,32,16,-4,3,0,0,0,0,-1,0,0,no,0.059469163680232084,1
2714,"Jesse Niinimaki",19,Finland,EURO,75,196,C,2002,15,50,43,11,27,38,58,9,3,0,0,0,0,-2,0,0,no,0.059186938072574496,1
15111,"Chris Heid",18,Canada,CAN,73,205,D,2001,74,47,51,2,15,17,76,-1,12,0,4,4,12,-1,0,0,no,0.058616071801577914,1
13243,"Jake Riddle",18,USA,USA,73,212,L,2001,239,97,67,13,20,33,109,-3,6,0,2,2,2,-1,0,0,no,0.05293493761261821,1
11726,"Andrew Archer",18,Canada,CAN,76,194,D,2001,203,54,52,0,2,2,63,0,4,0,0,0,4,-2,0,0,no,0.04965458820917599,1
57296,"Daniel Volrab",18,"Czech Rep.",EURO,73,187,L,2001,126,56,60,13,10,23,34,17,2,1,0,1,0,-1,0,0,no,0.04915997599179569,1
39663,"Chris Petrow",18,Canada,CAN,75,198,D,2002,267,64,60,8,28,36,81,1,5,0,2,2,0,-2,0,0,no,0.04909171188580087,1
50374,"George Davis",19,Canada,CAN,74,236,R,2002,140,NULL,46,4,1,5,274,2,16,1,2,3,18,-1,0,0,no,0.0416809137530368,1
15766,"Michael Tessier",18,Canada,CAN,74,183,L,2002,76,72,66,22,48,70,83,-3,14,5,7,12,12,-1,0,0,no,0.040850257782856836,1
10836,"Ahren Spylo",19,Canada,CAN,75,225,L,2002,85,NULL,52,19,11,30,100,8,9,4,1,5,23,-1,0,0,no,0.040003120135145544,1
13472,"Bill Kinkel",18,USA,USA,77,238,L,2002,281,NULL,53,1,2,3,75,-7,1,0,0,0,0,-2,0,0,no,0.037375908001949856,1
19384,"Nicolas Corbeil",18,Canada,CAN,71,174,C,2001,88,87,68,33,51,84,159,-11,3,1,3,4,4,-4,0,0,no,0.03639188929800784,1
58597,"Igor Valeyev",20,Russia,EURO,72,223,L,2001,122,NULL,62,17,61,78,175,4,7,0,2,2,24,-2,0,0,no,0.03597468096747662,1
8470294,"DJ King",18,CAN,CAN,75,231,L,2002,190,NULL,65,10,14,24,104,0,4,1,0,1,2,-1,89,499,yes,0.03555193662896968,1
