id,PlayerName,DraftAge,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,GP_greater_than_0,sum_wk_xk,class_0_prob,LeafNode
30,"Andreas Jamtin",18,EURO,72,194,L,2001,157,36,37,18,21,39,155,2,0,0,0,0,0,0,0,no,9.726767999999996,0.00005966125978420094,4
67,"Daniel Fernholm",19,EURO,76,229,D,2002,101,26,12,5,13,18,12,29,0,0,0,0,0,0,0,no,8.990932999999998,0.00012451834218856736,4
85,"Kristofer Ottosson",24,EURO,70,185,C,2000,148,211,55,27,15,42,12,20,13,7,2,9,2,12,0,no,487.08056600000003,2.908023715029729e-212,4
118,"Johan Halvardsson",20,EURO,75,205,D,1999,102,74,39,1,2,3,73,6,0,0,0,0,0,0,0,no,9.911149,0.00004961592946821704,4
175,"Jan Sandstrom",21,EURO,72,196,D,1999,173,192,47,2,7,9,18,7,0,0,0,0,0,0,0,no,7.769451999999997,0.00042226631891731256,4
201,"David Petrasek",22,EURO,73,207,D,1998,226,92,47,6,10,16,90,7,5,2,2,4,14,1,0,no,45.781577999999996,1.3101267128227954e-20,4
204,"Mika Hannula",23,EURO,71,190,R,2002,269,120,47,10,9,19,26,4,5,2,1,3,0,0,0,no,7.9424639999999975,0.00035520365150851056,4
301,"Jonas Johnson",32,EURO,74,185,C,2002,221,120,85,22,43,65,40,24,10,3,2,5,4,0,0,no,2.6164979999999995,0.06808415512700776,4
306,"Pelle Prestberg",23,EURO,70,172,R,1998,233,92,49,29,15,44,22,19,12,9,2,11,8,10,0,no,408.49446400000005,3.918396652607586e-178,4
345,"Johan Eneqvist",18,EURO,72,198,C,2000,109,32,59,16,24,40,60,2,7,1,1,2,28,0,0,no,3.325752000000001,0.03469823303034144,4
355,"Daniel Widing",18,EURO,72,209,R,2000,36,21,61,18,18,36,103,1,7,1,1,2,22,0,0,no,4.6608540000000005,0.009369758741178562,4
462,"Tim Eriksson",18,EURO,69,168,R,2000,206,63,59,21,35,56,118,8,6,1,6,7,4,0,0,no,8.129687999999998,0.0002945733214128057,4
463,"Andreas Holmqvist",20,EURO,76,216,D,2001,61,22,43,5,15,20,44,26,0,0,0,0,0,0,0,no,9.174323,0.00010365663972796788,4
518,"Johan Bjork",18,EURO,73,194,D,2002,125,120,66,2,4,6,96,1,10,0,0,0,10,0,0,no,7.800189999999998,0.0004094893864794433,4
520,"Janos Vas",18,EURO,73,203,R,2002,32,55,42,18,18,36,66,2,10,10,4,14,6,0,0,no,6.933836999999997,0.0009733072193252183,4
632,"Mattias Nilsson",18,EURO,76,203,D,2000,72,71,55,6,6,12,94,2,8,0,1,1,10,0,0,no,7.826660999999997,0.0003987962688715104,4
