"id";"PlayerName";"DraftAge";"country_group";"Height";"Weight";"Position";"DraftYear";"Overall";"CSS_rank";"rs_GP";"rs_G";"rs_A";"rs_P";"rs_PIM";"rs_PlusMinus";"po_GP";"po_G";"po_A";"po_P";"po_PIM";"po_PlusMinus";"sum_7yr_GP";"GP_greater_than_0";"sum_wk_xk";"class_0_prob";"LeafNode"
"27";"Yared Hagos";"18";"EURO";"73";"218";"C";"2001";"70";"24";"43";"11";"26";"37";"24";"1";"10";"4";"1";"5";"4";"-2";"0";"no";"11.452036000000003";"0.000010627701381933691";"1"
"137";"Rastislav Pavlikovsky";"21";"EURO";"71";"198";"C";"1998";"246";"92";"78";"19";"30";"49";"54";"15";"2";"0";"0";"0";"6";"-1";"0";"no";"11.832239000000001";"0.000007266424039528769";"1"
"2082";"Michael Henrich";"18";"CAN";"74";"205";"C";"1998";"13";"5";"66";"41";"22";"63";"75";"5";"5";"1";"3";"4";"0";"-3";"0";"no";"11.406798";"0.0000111195123938829";"1"
"2489";"Aaron Lobb";"18";"CAN";"76";"209";"R";"2001";"123";"53";"67";"23";"25";"48";"93";"-18";"5";"0";"2";"2";"12";"-6";"0";"no";"11.536292000000001";"0.000009768948051504349";"1"
"2714";"Jesse Niinimaki";"19";"EURO";"75";"196";"C";"2002";"15";"50";"43";"11";"27";"38";"58";"9";"3";"0";"0";"0";"0";"-2";"0";"no";"12.007308000000002";"0.000006099436918700036";"1"
"3182";"Toni Koivisto";"19";"EURO";"72";"198";"L";"2001";"200";"64";"85";"14";"18";"32";"16";"-4";"3";"0";"0";"0";"0";"-1";"0";"no";"11.623778999999999";"0.00000895061824277426";"1"
"3187";"Topi Jaakola";"19";"EURO";"73";"196";"D";"2002";"134";"20";"70";"0";"4";"4";"24";"3";"6";"1";"0";"1";"4";"-2";"0";"no";"11.670934";"0.000008538352039584682";"1"
"3194";"Arto Tukio";"19";"EURO";"72";"190";"D";"2000";"101";"72";"81";"12";"11";"23";"66";"-10";"3";"0";"0";"0";"0";"-3";"0";"no";"12.051071000000002";"0.000005838265327074526";"1"
"3221";"Henrik Juntunen";"18";"EURO";"74";"212";"R";"2001";"83";"40";"63";"32";"20";"52";"107";"2";"4";"2";"2";"4";"2";"-1";"0";"no";"11.708945000000002";"0.000008219894200799475";"1"
"3225";"Pasi Saarinen";"23";"EURO";"71";"198";"D";"2000";"256";"211";"50";"9";"19";"28";"79";"10";"3";"0";"0";"0";"26";"-1";"0";"no";"12.653220000000003";"0.000003197238155456698";"1"
"3228";"Mikko Ruutu";"21";"EURO";"76";"183";"R";"1999";"201";"192";"49";"13";"8";"21";"38";"6";"4";"0";"0";"0";"2";"-2";"0";"no";"13.148008000000003";"0.000001949359015626074";"1"
"3304";"Lauri Kinos";"20";"EURO";"74";"207";"D";"2000";"293";"211";"69";"12";"17";"29";"80";"-4";"5";"1";"1";"2";"6";"-2";"0";"no";"12.901913000000002";"0.000002493269907163372";"1"
"3319";"Petja Pietilainen";"18";"EURO";"71";"203";"L";"1998";"256";"92";"72";"17";"12";"29";"79";"-12";"6";"2";"1";"3";"4";"-2";"0";"no";"11.926546";"0.000006612474530573451";"1"
"3575";"Rod Sarich";"18";"EURO";"75";"187";"D";"1999";"109";"132";"63";"3";"15";"18";"22";"15";"21";"1";"2";"3";"8";"-4";"0";"no";"12.855584000000002";"0.0000026114978522217873";"1"
"6042";"Eric Johansson";"20";"CAN";"72";"187";"C";"2002";"187";"120";"69";"44";"59";"103";"73";"8";"5";"1";"2";"3";"5";"-3";"0";"no";"12.156476000000001";"0.000005254208128086837";"1"
"6421";"Shaun Sutter";"18";"CAN";"73";"181";"R";"1998";"102";"92";"69";"11";"9";"20";"146";"-13";"4";"0";"0";"0";"4";"-4";"0";"no";"12.537356";"0.00000358999556801158";"1"
"6627";"Brent Mcdonald";"19";"CAN";"71";"185";"R";"1998";"239";"92";"69";"18";"27";"45";"93";"10";"5";"0";"2";"2";"4";"-3";"0";"no";"12.264546000000001";"0.00000471599462038362";"1"
"7113";"Kevin Holdridge";"18";"USA";"75";"205";"D";"1998";"70";"92";"61";"4";"15";"19";"106";"23";"15";"0";"3";"3";"20";"-2";"0";"no";"12.172457000000001";"0.000005170908441162932";"1"
"8053";"Martin Podlesak";"19";"EURO";"77";"227";"C";"2001";"45";"38";"60";"21";"19";"40";"59";"3";"3";"1";"1";"2";"2";"-1";"0";"no";"11.389151";"0.00001131747781879051";"1"
"8388";"Radek Duda";"19";"EURO";"73";"201";"R";"1998";"192";"43";"46";"5";"3";"8";"28";"-4";"10";"0";"2";"2";"6";"-3";"0";"no";"11.707790000000001";"0.000008229393585310243";"1"
"8421";"Miroslav Blatak";"19";"EURO";"72";"201";"D";"2001";"129";"41";"51";"3";"17";"20";"30";"4";"9";"1";"0";"1";"2";"-2";"0";"no";"11.801032000000001";"0.0000074967610043543905";"1"
"9567";"Kirill Koltsov";"19";"EURO";"70";"198";"D";"2002";"49";"6";"41";"1";"5";"6";"34";"18";"11";"1";"0";"1";"18";"-1";"0";"no";"11.655458000000003";"0.00000867151821190306";"1"
"10298";"David Bararuk";"19";"CAN";"72";"174";"C";"2002";"147";"120";"72";"33";"29";"62";"31";"10";"12";"3";"2";"5";"0";"-4";"0";"no";"12.610551000000001";"0.0000033366130024427885";"1"
"10410";"Scott Kelman";"18";"CAN";"75";"216";"C";"1999";"15";"6";"66";"19";"54";"73";"95";"0";"11";"4";"3";"7";"37";"-4";"0";"no";"10.888213000000002";"0.000018676739657858246";"1"
"10422";"Cory Pecker";"18";"CAN";"72";"198";"R";"1999";"166";"69";"68";"25";"34";"59";"24";"20";"5";"1";"2";"3";"2";"-1";"0";"no";"12.091689000000002";"0.000005605879468520083";"1"
"10836";"Ahren Spylo";"19";"CAN";"75";"225";"L";"2002";"85";"120";"52";"19";"11";"30";"100";"8";"9";"4";"1";"5";"23";"-1";"0";"no";"11.924449000000001";"0.00000662635534672974";"1"
"10900";"James Desmarais";"20";"CAN";"70";"174";"C";"1999";"270";"192";"66";"62";"73";"135";"127";"44";"11";"6";"7";"13";"14";"-3";"0";"no";"12.921704000000002";"0.000002444410803078658";"1"
"11547";"Carl Mallette";"19";"CAN";"73";"194";"C";"2000";"107";"37";"69";"49";"76";"125";"97";"3";"6";"6";"3";"9";"28";"-1";"0";"no";"11.322776000000001";"0.000012094157245793688";"1"
"11726";"Andrew Archer";"18";"CAN";"76";"194";"D";"2001";"203";"54";"52";"0";"2";"2";"63";"0";"4";"0";"0";"0";"4";"-2";"0";"no";"12.292880000000002";"0.000004584247516525002";"1"
"11761";"Eric Himelfarb";"18";"CAN";"69";"170";"C";"2001";"171";"84";"49";"31";"44";"75";"48";"-1";"4";"1";"7";"8";"4";"-5";"0";"no";"12.203560000000001";"0.000005012553898524962";"1"
"12018";"Tim Konsorada";"18";"CAN";"73";"207";"R";"2002";"168";"49";"71";"17";"28";"45";"36";"-1";"19";"2";"11";"13";"8";"-4";"0";"no";"11.251498000000002";"0.000012987658627643736";"1"
"12547";"Armands Berzins";"19";"EURO";"75";"220";"C";"2002";"155";"78";"67";"22";"21";"43";"79";"12";"12";"2";"2";"4";"6";"-2";"0";"no";"11.751452000000002";"0.00000787781577960455";"1"
"12761";"Brian Passmore";"20";"CAN";"71";"181";"C";"2000";"199";"211";"58";"22";"36";"58";"98";"-1";"5";"0";"5";"5";"10";"-3";"0";"no";"12.988084";"0.0000022874193724782033";"1"
"12763";"Brett Clouthier";"18";"CAN";"76";"225";"L";"1999";"50";"59";"64";"8";"14";"22";"227";"-27";"5";"1";"1";"2";"4";"-6";"0";"no";"11.334599";"0.000011952011682974593";"1"
"12777";"Jason Beckett";"18";"CAN";"75";"216";"D";"1998";"42";"44";"71";"1";"11";"12";"241";"1";"5";"0";"0";"0";"16";"-2";"0";"no";"11.821778000000002";"0.000007342836521903562";"1"
