id,PlayerName,DraftAge,Country,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0,lmt_prob,LeafNode
14643,"A.J. Jenks",18,USA,USA,74,205,C,2008,100,20,68,26,29,55,94,-13,4,1,0,1,4,-9,0,0,no,0.8306315272706785,3
8474035,"Bill Sweatt",19,USA,USA,72,190,L,2007,38,27,37,10,18,28,18,-1,0,0,0,0,0,0,3,23,yes,0.8030135176681684,3
8474646,"Brandon McMillan",18,CAN,CAN,71,190,L,2008,85,44,78,16,28,44,66,-2,7,0,0,0,6,-3,171,2060,yes,0.7816633818064438,3
8474592,"Philip McRae",18,USA,USA,74,200,C,2008,33,38,73,21,31,52,65,-5,4,0,0,0,7,0,15,136,yes,0.7477769377626413,3
8474091,"Brandon Sutter",18,USA,USA,75,191,C,2007,11,28,77,21,38,59,56,-3,7,0,3,3,14,0,415,6500,yes,0.7120660336376012,3
11607,"Joel Broda",19,Canada,CAN,72,196,C,2008,144,58,73,30,23,53,74,-1,6,1,1,2,0,-6,0,0,no,0.6843832768954061,3
12558,"Ben Ryan",19,USA,USA,71,190,C,2007,114,37,59,22,42,64,66,-2,8,3,5,8,8,2,0,0,no,0.6698986234926719,3
19050,"Julien Demers",19,Canada,CAN,74,218,D,2008,146,64,65,5,28,33,94,-5,4,0,2,2,0,-3,0,0,no,0.6543816820601362,3
12562,"Taylor Matson",19,USA,USA,71,187,C,2007,176,130,23,1,2,39,6,-3,6,0,1,1,10,-3,0,0,no,0.5765998259193053,3
8474717,"Mark Barberio",18,CAN,CAN,73,207,D,2008,152,85,70,11,35,46,75,-3,0,0,0,0,0,0,103,1617,yes,0.5699085905184046,3
8474688,"Greg Pateryn",18,USA,USA,75,221,D,2008,128,162,60,3,24,27,145,-1,0,0,0,0,0,0,20,244,yes,0.5559183570560196,3
8474053,"Logan Couture",18,CAN,CAN,73,200,C,2007,9,19,60,28,54,82,26,-1,5,1,7,8,4,-1,297,5247,yes,0.5527560066015439,3
8473999,"Nick Palmieri",18,USA,USA,75,220,R,2007,79,66,56,24,21,45,99,-24,0,0,0,0,0,0,87,1089,yes,0.5373953830107151,3
19076,"Jordon Southorn",18,Canada,CAN,73,185,D,2008,104,75,69,12,19,31,70,-10,4,0,1,1,4,-5,0,0,no,0.5090474454658044,3
8474657,"Jamie Arniel",19,CAN,CAN,71,183,C,2008,97,23,60,27,20,47,38,-12,9,2,2,4,6,0,1,12,yes,0.48666436174888594,3
11845,"Denis Reul",18,Germany,EURO,76,243,D,2007,130,16,70,11,23,34,112,-2,6,0,1,1,16,0,0,0,no,0.48503174512202135,3
11391,"Olivier Fortier",18,Canada,CAN,71,168,C,2007,65,44,75,28,37,65,28,-9,0,0,0,0,0,0,0,0,no,0.4734217219216639,3
8474615,"Jared Staal",18,CAN,CAN,76,210,R,2008,49,32,60,21,28,49,44,-11,0,0,0,0,0,0,2,27,yes,0.46606706042495527,3
11402,"Keven Veilleux",18,Canada,CAN,77,214,C,2007,51,33,72,20,36,56,53,-6,6,1,5,6,4,0,0,0,no,0.45876039111222977,3
15705,"Josh Brittain",18,Canada,CAN,77,227,L,2008,71,114,75,28,24,52,110,-13,0,0,0,0,0,0,0,0,no,0.458008320053348,3
11128,"Maxim Grachyov",19,Russia,EURO,71,203,L,2007,106,46,70,35,42,77,88,-7,0,0,0,0,0,0,0,0,no,0.43994345536506374,3
19063,"Mark Goggin",18,USA,USA,71,185,C,2008,197,142,26,16,22,38,12,-3,0,0,0,0,0,0,0,0,no,0.4387264825480272,3
12536,"Justin Mccrae",19,Canada,CAN,73,185,C,2007,102,71,61,16,33,49,98,-3,0,0,0,0,0,0,0,0,no,0.4293363372405329,3
8474074,"Paul Postma",18,CAN,CAN,75,195,D,2007,205,67,70,5,19,24,42,-19,6,0,1,1,0,-3,58,869,yes,0.4270518562295765,3
11129,"Maxime Tanguay",19,Canada,CAN,71,176,C,2007,69,60,54,24,36,60,32,-14,0,0,0,0,0,0,0,0,no,0.40685827261776614,3
12170,"Jean-Simon Allard",18,Canada,CAN,73,181,C,2007,147,54,69,12,38,50,47,-30,4,0,1,1,4,-4,0,0,no,0.3804817730088956,3
11401,"Zack Torquato",18,Canada,CAN,72,194,C,2007,178,61,71,30,42,72,95,-25,0,0,0,0,0,0,0,0,no,0.3791598214791161,3
14867,"Garrett Roe",20,USA,USA,68,181,C,2008,183,NULL,39,18,27,45,55,-8,0,0,0,0,0,0,0,0,no,0.3767052683032733,3
17498,"Nick Pryor",18,USA,USA,72,185,D,2008,208,NULL,60,3,11,14,12,-2,0,0,0,0,0,0,0,0,no,0.3735166049690707,3
8474018,"Christopher DiDomenico",18,CAN,CAN,71,174,C,2007,164,88,70,25,50,75,60,-14,0,0,0,0,0,0,0,0,no,0.3649938123779389,3
8474121,"Colton Gillies",18,CAN,CAN,76,208,C,2007,16,30,71,15,18,33,158,-20,0,0,0,0,0,0,154,1423,yes,0.3648042029530533,3
12120,"Chris Doyle",18,Canada,CAN,72,194,C,2008,141,80,63,27,36,63,81,-18,4,1,5,6,6,-3,0,0,no,0.36060372569447646,3
13837,"Mickey Renaud",19,Canada,CAN,74,216,C,2007,143,110,68,22,32,54,76,-27,0,0,0,0,0,0,0,0,no,0.3586274407459998,3
12171,"Matt Fillier",19,Canada,CAN,72,174,L,2007,188,49,63,18,18,36,118,-28,4,0,1,1,2,0,0,0,no,0.35544477795220425,3
12512,"Josh Godfrey",19,Canada,CAN,74,205,D,2007,34,141,68,24,33,57,80,-2,13,9,5,14,18,-3,0,0,no,0.34348781278618545,3
8474098,"Colton Sceviour",18,CAN,CAN,72,195,C,2007,112,96,49,12,26,38,38,-17,0,0,0,0,0,0,28,397,yes,0.3366426490871389,3
8474611,"Cameron Gaunce",18,CAN,CAN,73,210,D,2008,50,NULL,63,10,30,40,99,-1,4,0,1,1,6,-4,20,265,yes,0.3300004134727816,3
8474722,"Luke Witkowski",18,USA,USA,74,217,D,2008,160,NULL,58,3,10,13,139,-10,0,0,0,0,0,0,16,243,yes,0.32983116300214294,3
12572,"Radim Ostrcil",18,"Czech Rep.",EURO,72,207,D,2007,169,18,85,12,18,30,105,-4,8,4,4,8,6,1,0,0,no,0.3266557625471024,3
8474762,"Stefan Della Rovere",18,CAN,CAN,71,205,L,2008,204,NULL,68,13,19,32,171,-14,9,1,2,3,16,-4,7,43,yes,0.31988704624825315,3
17843,"Randy Cameron",18,Canada,CAN,71,194,C,2007,148,129,70,17,22,39,44,-21,7,1,1,2,0,0,0,0,no,0.3161433763816608,3
13606,"Josh Kidd",19,Canada,CAN,76,220,D,2007,184,79,64,9,18,27,96,-36,0,0,0,0,0,0,0,0,no,0.3155367231786521,3
8474218,"Jason Demers",20,CAN,CAN,73,200,D,2008,186,NULL,67,9,55,64,91,-6,6,1,5,6,6,-5,361,6626,yes,0.31041704853167945,3
11244,"Bryan Cameron",18,Canada,CAN,71,185,C,2007,82,43,60,33,25,58,50,-6,15,4,8,12,15,3,0,0,no,0.3085718054197626,3
14431,"Nathan Moon",18,Canada,CAN,71,194,R,2008,120,118,68,35,42,77,79,-25,0,0,0,0,0,0,0,0,no,0.30471863470217103,3
13783,"Joel Chouinard",18,Canada,CAN,73,187,D,2008,167,171,69,7,28,35,95,-13,6,2,0,2,4,-4,0,0,no,0.29039293834096963,3
8474130,"Corey Tropp",18,USA,USA,72,185,R,2007,89,114,54,26,36,62,76,-3,8,4,9,13,0,3,87,816,yes,0.2858889752305063,3
8474618,"Marco Scandella",18,CAN,CAN,75,208,D,2008,55,NULL,72,5,11,16,41,-15,4,0,1,1,4,-7,229,4576,yes,0.2838530539666741,3
12570,"Jyri Niemi",18,Finland,EURO,74,207,D,2008,72,29,49,14,20,34,57,-1,0,0,0,0,0,0,0,0,no,0.2780189255247337,3
8474077,"Carson McMillan",19,CAN,CAN,73,196,R,2007,200,NULL,72,7,15,22,76,-1,18,2,0,2,17,-1,16,167,yes,0.26908225599697155,3
14389,"Danny Hobbs",18,Canada,CAN,71,192,C,2007,198,147,60,10,11,21,36,-28,4,0,2,2,2,-2,0,0,no,0.2510289769584823,3
11052,"Mark Santorelli",19,Canada,CAN,73,187,R,2007,119,NULL,72,29,53,82,46,-5,5,2,3,5,2,-6,0,0,no,0.24773668743264546,3
19231,"Ryley Grantham",20,Canada,CAN,75,207,C,2008,168,NULL,66,10,9,19,163,-6,6,0,0,0,8,-4,0,0,no,0.2428396890448078,3
11239,"Corey Syvret",18,Canada,CAN,74,216,D,2007,181,NULL,61,5,11,16,61,-11,4,0,0,0,2,-1,0,0,no,0.23067299804887054,3
12542,"David Skokan",19,Slovakia,EURO,72,183,C,2007,193,40,58,14,23,37,84,-3,0,0,0,0,0,0,0,0,no,0.2283727392750936,3
12533,"Juraj Mikus",19,Slovakia,EURO,76,185,D,2007,134,27,71,9,18,27,76,-2,15,2,1,3,10,-1,0,0,no,0.2245863334620935,3
19151,"Tim Billingsley",18,Canada,CAN,74,201,D,2008,189,NULL,68,5,22,27,95,-8,2,0,0,0,2,-2,0,0,no,0.2141688608813994,3
3706,"Jonathan Carlsson",20,Sweden,EURO,74,187,D,2008,162,64,71,8,9,17,45,-8,4,2,0,2,0,0,0,0,no,0.21225495206683362,3
8474190,"Wayne Simmonds",19,CAN,CAN,74,185,R,2007,61,NULL,66,23,26,49,112,-10,4,1,1,2,4,-9,449,6721,yes,0.2101868132165308,3
12556,"Simon Lacroix",18,Canada,CAN,73,172,D,2007,196,148,60,11,27,38,66,-11,4,0,2,2,6,0,0,0,no,0.2002669872743507,3
19233,"Nick Crawford",18,Canada,CAN,73,187,D,2008,164,NULL,68,4,16,20,58,-1,4,1,1,2,2,-1,0,0,no,0.1996791128408411,3
4407,"Mario Kempe",19,Sweden,EURO,72,185,R,2007,122,50,62,23,19,42,51,-19,4,0,0,0,2,-2,0,0,no,0.19654963450166496,3
8474736,"Zac Rinaldo",18,CAN,CAN,70,188,C,2008,178,NULL,63,7,7,14,191,-14,4,0,0,0,9,-3,223,1793,yes,0.17622796085845313,3
8473712,"Frazer McLaren",20,CAN,CAN,77,230,L,2007,203,NULL,61,19,12,31,186,-23,0,0,0,0,0,0,102,506,yes,0.17326519420027267,3
8473989,"Luke Gazdic",18,CAN,CAN,76,225,L,2007,172,NULL,58,5,8,13,136,-24,0,0,0,0,0,0,67,389,yes,0.15553736413229854,3
13632,"Richard Greenop",18,Canada,CAN,76,231,C,2007,156,NULL,48,3,9,12,149,-7,0,0,0,0,0,0,0,0,no,0.15391286309460547,3
8474042,"Cody Almond",18,CAN,CAN,74,199,C,2007,140,NULL,68,15,28,43,72,-14,0,0,0,0,0,0,25,212,yes,0.1454248658116682,3
19224,"Kory Nagy",19,Canada,CAN,70,194,C,2008,142,NULL,57,5,12,17,47,-2,15,6,3,9,4,4,0,0,no,0.14331258172586123,3
8474005,"Alex Grant",18,CAN,CAN,76,205,D,2007,118,196,74,12,20,32,108,-32,0,0,0,0,0,0,2,24,yes,0.12850813739860634,3
19070,"Kyle Decoste",18,Canada,CAN,73,176,R,2008,147,NULL,66,10,12,22,48,-9,5,0,0,0,2,0,0,0,no,0.12270584202010233,3
12504,"Logan Macmillan",18,Canada,CAN,73,176,D,2007,19,42,68,20,35,55,82,-5,12,9,11,20,6,8,0,0,no,0.12149699307897524,3
6251,"Mats Frshaug",20,Norway,EURO,74,214,C,2008,161,NULL,65,23,27,50,65,-2,5,3,4,7,2,0,0,0,no,0.07364401819089095,3
13965,"Ilya Kablukov",19,Russia,EURO,74,194,C,2007,146,NULL,66,10,25,35,38,-2,2,0,0,0,0,0,0,0,no,0.0715115030353452,3
8474571,"Mikkel Boedker",19,DNK,EURO,72,210,L,2008,8,13,68,31,48,79,16,-1,25,11,30,41,2,11,383,5923,yes,0.05214926061194331,3
