id,PlayerName,DraftAge,Height,Weight,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,CSS_rank,po_A,Position,po_GP,po_G,po_P,po_PIM,LeafNode,DraftYear,sum_7yr_GP
9,"David Bornhammar",18,73,198,55,9,6,15,44,0,192,0,D,0,0,0,0,3,1999,0
27,"Yared Hagos",18,73,218,43,11,26,37,24,1,24,1,C,10,4,5,4,1,2001,0
30,"Andreas Jamtin",18,72,194,37,18,21,39,155,2,36,0,L,0,0,0,0,4,2001,0
58,"Per Mars",19,75,216,29,6,6,12,60,-2,176,1,C,5,1,2,4,2,2001,0
67,"Daniel Fernholm",19,76,229,12,5,13,18,12,29,26,0,D,0,0,0,0,4,2002,0
71,"Bjorn Nord",28,72,190,81,23,22,45,74,-1,211,2,D,13,4,6,8,5,2000,0
74,"Niklas Eckerblom",18,73,209,32,15,6,21,34,-2,91,0,R,0,0,0,0,2,2002,0
85,"Kristofer Ottosson",24,70,185,55,27,15,42,12,20,211,2,C,13,7,9,2,5,2000,0
90,"Matthias Trattnig",19,73,212,34,8,9,17,30,0,43,0,D,0,0,0,0,3,1998,0
99,"Erik Leverstrom",19,74,209,32,3,10,13,46,0,75,0,D,0,0,0,0,3,1999,0
102,"Par Backer",18,73,179,46,12,10,22,24,-14,211,0,C,0,0,0,0,2,2000,0
118,"Johan Halvardsson",20,75,205,39,1,2,3,73,6,74,0,D,0,0,0,0,4,1999,0
137,"Rastislav Pavlikovsky",21,71,198,78,19,30,49,54,15,92,0,C,2,0,0,6,1,1998,0
151,"David Ytfeldt",19,72,192,44,13,10,23,129,-1,92,0,D,0,0,0,0,2,1998,0
175,"Jan Sandstrom",21,72,196,47,2,7,9,18,7,192,0,D,0,0,0,0,4,1999,0
187,"Andreas Lindstrom",18,78,216,9,2,2,4,14,0,211,0,L,0,0,0,0,3,2000,0
201,"David Petrasek",22,73,207,47,6,10,16,90,7,92,2,D,5,2,4,14,5,1998,0
204,"Mika Hannula",23,71,190,47,10,9,19,26,4,120,1,R,5,2,3,0,4,2002,0
245,"Mats Christeen",18,73,194,35,1,1,2,38,0,211,0,D,4,1,1,6,3,2000,0
257,"Gabriel Karlsson Pears",18,73,205,34,11,16,27,34,0,22,0,C,0,0,0,0,3,1998,0
273,"Viktor Wallin",18,75,207,28,9,15,24,42,0,92,0,D,0,0,0,0,3,1998,0
284,"Christian Soderstrom",22,72,192,48,8,8,16,16,-14,120,0,L,0,0,0,0,2,2002,0
301,"Jonas Johnson",32,74,185,85,22,43,65,40,24,120,2,C,10,3,5,4,4,2002,0
303,"Magnus Kahnberg",20,74,201,39,45,21,66,30,0,211,4,R,6,7,11,4,3,2000,0
304,"Jens Karlsson",19,75,216,45,12,10,23,113,-4,26,5,R,7,1,6,81,5,2001,0
306,"Pelle Prestberg",23,70,172,49,29,15,44,22,19,92,2,R,12,9,11,8,5,1998,0
308,"Jari Tolsa",18,73,198,44,17,23,40,63,-4,69,0,L,0,0,0,0,2,1999,0
321,"Gustav Grasberg",18,72,203,56,13,12,25,86,-2,43,4,C,12,5,9,26,2,2001,0
345,"Johan Eneqvist",18,72,198,59,16,24,40,60,2,32,1,C,7,1,2,28,4,2000,0
355,"Daniel Widing",18,72,209,61,18,18,36,103,1,21,1,R,7,1,2,22,4,2000,0
358,"Robin Jonsson",19,74,220,53,4,4,8,26,-9,60,0,D,0,0,0,0,2,2002,0
359,"Calle Steen",18,72,207,21,1,3,4,22,0,92,0,C,0,0,0,0,3,1998,0
360,"David Nystrom",19,72,187,49,19,16,35,22,0,91,0,R,2,0,0,0,3,1999,0
462,"Tim Eriksson",18,69,168,59,21,35,56,118,8,63,6,R,6,1,7,4,4,2000,0
463,"Andreas Holmqvist",20,76,216,43,5,15,20,44,26,22,0,D,0,0,0,0,4,2001,0
466,"Stefan Lundqvist",20,75,214,48,25,17,42,2,-3,92,0,R,1,0,0,0,2,1998,0
507,"Johan Fransson",19,74,198,68,9,8,17,54,7,7,0,D,2,0,0,4,1,2004,0
518,"Johan Bjork",18,73,194,66,2,4,6,96,1,120,0,D,10,0,0,10,4,2002,0
520,"Janos Vas",18,73,203,42,18,18,36,66,2,55,4,R,10,10,14,6,4,2002,0
521,"Mattias Wennerberg",18,72,192,58,22,17,39,84,0,32,0,L,0,0,0,0,3,1999,0
524,"Jonas Almtorp",19,73,190,47,27,22,49,106,0,46,1,C,2,1,2,4,3,2002,0
526,"Fredrik Johansson",18,72,187,73,18,28,46,49,-2,32,8,C,8,3,11,4,2,2002,0
532,"Patric Blomdahl",18,73,212,30,7,8,15,30,0,120,1,L,7,0,1,8,3,2002,0
539,"Pierre Johnsson",18,74,196,44,1,9,10,50,0,74,2,D,3,0,2,2,3,2002,0
547,"Marcus Paulsson",18,74,198,45,2,4,6,47,-8,120,0,L,0,0,0,0,2,2002,0
578,"Mikael Svensk",18,75,207,19,1,0,1,4,0,176,1,D,3,0,1,2,3,2001,0
632,"Mattias Nilsson",18,76,203,55,6,6,12,94,2,71,1,D,8,0,1,10,4,2000,0
643,"Carl Aslund",18,74,220,20,1,4,5,50,2,75,0,D,4,1,1,4,4,2001,0
663,"Jimmie Svensson",18,72,194,34,11,5,16,141,0,211,0,L,0,0,0,0,3,2000,0
679,"Henrik Bergfors",19,76,238,14,1,0,1,16,0,176,2,D,3,0,2,2,3,2001,0
725,"Sanny Lindstrom",20,73,192,57,4,3,7,95,-1,82,0,D,0,0,0,0,2,1999,0
807,"Johan Hagglund",18,74,201,59,11,13,24,89,2,42,1,C,8,2,3,6,4,2000,0
882,"Simon Skoog",18,75,231,49,2,3,5,50,-3,107,0,D,0,0,0,0,2,2001,0
926,"Petter Henning",19,72,198,34,13,14,27,38,0,192,0,L,0,0,0,0,3,1999,0
936,"Pontus Petterstrom",19,72,192,45,8,8,16,30,2,49,0,L,0,0,0,0,4,2001,0
950,"Anders Lovdahl",18,75,203,4,1,1,2,0,-2,66,0,C,0,0,0,0,2,1999,0
991,"Daniel Johansson",18,72,203,54,16,24,40,40,0,61,0,D,0,0,0,0,3,1999,0
1255,"Fred Wikner",18,73,198,58,12,15,27,101,1,70,2,R,9,2,4,8,5,2004,0
1256,"John Wikner",18,74,192,31,6,3,9,22,0,232,0,L,9,0,0,6,2,2004,0
1269,"Johannes Salmonsson",18,74,207,44,4,14,18,16,6,20,0,L,0,0,0,0,5,2004,0
1288,"Patrik Hersley",19,75,212,47,9,16,25,116,1,250,1,D,3,2,3,6,5,2005,0
1290,"Richard Demen Willaume",18,75,223,61,11,9,20,70,1,73,3,D,12,1,4,10,5,2004,0
1299,"Christofer Lofberg",19,75,205,31,21,13,34,49,-1,250,0,C,0,0,0,0,3,2005,0
1342,"Marcus Jonasen",18,76,216,16,2,1,3,6,0,120,0,R,0,0,0,0,3,2002,0
1343,"Johan Berggren",18,76,207,25,1,7,8,22,0,120,0,D,0,0,0,0,3,2002,0
1344,"Kristofer Persson",18,76,203,25,7,6,13,2,0,120,0,R,3,2,2,0,3,2002,0
1345,"Per Braxenholm",19,74,227,16,0,1,1,4,-2,120,0,D,0,0,0,0,2,2002,0
1346,"Jonathan Ericsson",18,76,220,0,0,0,0,0,0,120,0,D,0,0,0,0,3,2002,0
1347,"Marius Holtet",18,73,212,53,18,13,31,78,4,76,1,R,3,0,1,16,4,2002,0
1662,"Tore Vikingstad",24,75,207,55,10,13,23,20,-5,192,3,C,4,2,5,0,5,1999,0
1715,"Fredrik Pettersson",18,70,179,53,16,19,35,66,-1,250,8,R,12,9,17,26,3,2005,0
1950,"Oscar Hedman",18,72,212,76,17,18,35,42,-7,22,6,D,16,3,9,6,3,2004,0
2018,"David Fredriksson",19,76,238,27,9,3,12,44,0,51,0,L,8,1,1,2,4,2004,0
2019,"Alexander Sundstrom",18,72,201,12,0,0,0,0,-2,29,0,C,0,0,0,0,2,2005,0
2020,"Patrik Zackrisson",20,71,192,52,22,21,43,60,18,71,0,C,0,0,0,0,5,2007,0
2034,"Anton Axelsson",18,72,207,35,7,11,18,32,0,144,3,L,10,2,5,2,4,2004,0
2046,"Johan Dahlberg",18,74,203,60,15,5,20,135,1,28,0,L,4,0,0,4,5,2005,0
2082,"Michael Henrich",18,74,205,66,41,22,63,75,5,5,3,C,5,1,4,0,1,1998,0
2277,"Nils Backstrom",18,72,201,12,1,6,7,26,-10,232,0,D,0,0,0,0,2,2004,0
2489,"Aaron Lobb",18,76,209,67,23,25,48,93,-18,53,2,R,5,0,2,12,1,2001,0
2495,"Fredrik Naslund",18,77,209,72,16,25,41,14,-6,32,1,L,3,0,1,4,3,2004,0
2561,"Tuukka Mantyla",20,67,187,76,11,22,33,58,15,27,2,D,10,2,4,10,5,2001,0
2613,"Morten Madsen",18,75,209,45,12,20,32,22,-6,17,9,C,12,10,19,6,3,2005,0
2617,"Mikko Kuparinen",22,75,220,55,0,5,5,89,-1,192,0,D,0,0,0,0,2,1999,0
2620,"Emil Axelsson",18,75,223,61,5,0,5,109,-28,47,0,D,0,0,0,0,2,2004,0
2627,"Kirill Starkov",18,72,209,31,18,12,30,10,0,250,3,C,9,4,7,2,4,2005,0
2693,"Pauli Levokari",24,78,234,29,3,5,8,86,1,120,0,D,0,0,0,0,4,2002,0
2699,"Mikko Viitanen",19,75,220,50,6,13,19,107,-4,105,0,D,3,0,0,0,5,2001,0
2714,"Jesse Niinimaki",19,75,196,43,11,27,38,58,9,50,0,C,3,0,0,0,1,2002,0
3179,"Kim Hirschovits",20,73,194,77,14,23,37,60,21,120,6,C,4,3,9,0,5,2002,0
3182,"Toni Koivisto",19,72,198,85,14,18,32,16,-4,64,0,L,3,0,0,0,1,2001,0
3183,"Teemu Laine",18,72,203,68,13,18,31,84,5,16,4,L,10,5,9,10,4,2000,0
3184,"Arttu Luttinen",19,72,196,24,16,17,33,60,9,120,0,L,1,0,0,0,4,2002,0
3186,"Jyri Marttinen",20,72,194,77,3,10,13,89,10,120,0,D,1,0,0,0,4,2002,0
3187,"Topi Jaakola",19,73,196,70,0,4,4,24,3,20,0,D,6,1,1,4,1,2002,0
3188,"Tuukka Makela",18,75,225,44,3,6,9,44,3,31,0,D,2,0,0,0,4,2000,0
3189,"Tero Maatta",18,74,247,38,6,6,12,61,1,13,3,D,11,1,4,6,4,2000,0
3192,"Markus Seikola",18,74,194,45,19,15,34,18,6,211,0,D,13,1,1,0,4,2000,0
3194,"Arto Tukio",19,72,190,81,12,11,23,66,-10,72,0,D,3,0,0,0,1,2000,0
3195,"Joonas Vihko",21,69,185,48,13,11,24,89,-2,120,2,R,2,0,2,4,5,2002,0
3196,"Jari Viuhkola",18,72,196,56,13,27,40,101,0,50,0,C,0,0,0,0,3,1998,0
3198,"Mikko Kalteva",18,75,198,36,5,3,8,16,4,33,2,D,8,2,4,0,4,2002,0
3211,"Tommi Jaminki",18,74,209,70,17,19,36,34,3,29,0,L,0,0,0,0,4,2001,0
3212,"Teemu Jaaskelainen",18,73,209,64,9,2,11,50,1,176,0,D,0,0,0,0,4,2001,0
3213,"Janne Jokila",18,69,181,48,15,17,32,46,5,50,3,L,13,3,6,4,4,2000,0
3216,"Ville Hamalainen",20,71,176,70,13,16,29,18,-3,51,0,C,0,0,0,0,2,2001,0
3217,"Jarkko Immonen",18,71,190,43,16,17,33,26,16,120,1,C,2,0,1,2,5,2002,0
3218,"Tuomas Mikkonen",19,74,203,29,6,11,17,29,-1,120,2,L,4,0,2,0,2,2002,0
3220,"Marco Tuokko",21,73,198,54,10,10,20,73,11,211,2,L,11,2,4,6,5,2000,0
3221,"Henrik Juntunen",18,74,212,63,32,20,52,107,2,40,2,R,4,2,4,2,1,2001,0
3222,"Tommi Hannus",18,72,190,52,22,19,41,20,5,24,2,R,7,1,3,4,4,1998,0
3223,"Sami Venalainen",19,71,196,37,8,9,17,18,0,211,4,R,10,3,7,6,3,2000,0
3225,"Pasi Saarinen",23,71,198,50,9,19,28,79,10,211,0,D,3,0,0,26,1,2000,0
3228,"Mikko Ruutu",21,76,183,49,13,8,21,38,6,192,0,R,4,0,0,2,1,1999,0
3229,"Teemu Sainomaa",18,76,216,14,9,8,17,27,0,24,2,C,6,5,7,10,3,1999,0
3231,"Marko Ahosilta",18,69,194,55,40,31,71,78,-1,84,0,L,0,0,0,0,2,1998,0
3232,"Teemu Kesa",18,73,209,44,4,6,10,174,0,55,0,D,10,0,0,12,3,1999,0
3233,"Juha-Pekka Ketola",18,74,190,62,8,15,23,48,3,176,0,C,3,0,0,2,4,2001,0
3236,"Samu Isosalo",19,76,225,48,17,25,42,26,0,99,0,C,3,0,0,0,3,2000,0
3238,"Karri Akkanen",18,78,247,20,6,7,13,34,0,87,0,C,4,1,1,4,3,2002,0
3239,"Erkki Rajamaki",21,74,212,28,2,2,4,10,1,192,0,L,0,0,0,0,4,1999,0
3240,"Joni Lindlof",18,74,198,43,21,11,32,26,19,120,0,L,0,0,0,0,4,2002,0
3241,"Jaakko Harikkala",18,73,220,63,6,3,9,58,-7,31,0,D,0,0,0,0,2,1999,0
3242,"Kevin Kantee",18,74,209,43,5,10,15,32,5,62,1,D,5,2,3,0,4,2002,0
3243,"Tomek Valtonen",18,73,216,67,7,7,14,152,0,28,0,L,3,0,0,0,3,1998,0
3245,"Tuukka Pulliainen",18,72,194,52,13,16,29,16,5,120,0,C,0,0,0,0,4,2002,0
3248,"Arto Laatikainen",19,71,183,73,1,16,17,48,3,34,3,D,5,1,4,2,5,1999,0
3250,"Markus Kankaanpera",19,72,218,74,1,2,3,105,-3,71,0,D,3,0,0,0,2,1999,0
3303,"Mikko Hyytia",18,72,194,26,10,13,23,12,0,51,0,C,0,0,0,0,3,1999,0
3304,"Lauri Kinos",20,74,207,69,12,17,29,80,-4,211,1,D,5,1,2,6,1,2000,0
3319,"Petja Pietilainen",18,71,203,72,17,12,29,79,-12,92,1,L,6,2,3,4,1,1998,0
3415,"Johan Alcen",19,74,194,68,19,33,52,62,14,164,1,L,5,1,2,0,5,2007,0
3456,"Tamas Groschl",19,75,209,34,11,10,21,39,-3,192,0,L,0,0,0,0,2,1999,0
3575,"Rod Sarich",18,75,187,63,3,15,18,22,15,132,2,D,21,1,3,8,1,1999,0
3595,"Oliver Setzinger",18,72,196,64,19,18,37,104,-1,28,0,L,0,0,0,0,2,2001,0
3636,"Robin Figren",18,71,187,69,22,25,47,120,-3,29,2,R,9,6,8,6,3,2006,0
3679,"Alexander Hellstrom",19,75,214,54,2,4,6,81,3,113,3,D,6,0,3,4,2,2006,0
3696,"Tony Lagerstrom",18,74,198,74,34,33,67,105,-1,28,2,L,5,1,3,14,3,2006,0
3703,"Kim Johansson",18,74,205,71,6,15,21,73,-3,86,0,C,6,1,1,16,3,2006,0
3705,"Kristofer Berglund",20,70,181,70,4,31,35,46,11,14,0,D,0,0,0,0,5,2008,0
3706,"Jonathan Carlsson",20,74,187,71,8,9,17,45,-8,64,0,D,4,2,2,0,3,2008,0
3707,"Emil Sandin",20,70,185,47,10,29,39,50,0,203,4,L,7,1,5,8,4,2008,0
3724,"Niclas Andersen",18,73,207,80,7,13,20,294,-3,41,0,D,2,0,0,10,3,2006,0
3778,"Dick Axelsson",19,74,198,51,36,17,53,167,27,236,0,L,0,0,0,0,5,2006,0
3790,"Jonas Ahnelov",19,74,220,48,4,11,15,92,1,10,4,D,7,2,6,22,1,2006,0
3841,"Anton Hedman",18,75,214,14,5,5,10,14,0,232,0,L,0,0,0,0,2,2004,0
3856,"Daniel Rahimi",19,75,216,51,4,11,15,100,0,214,2,D,6,3,5,37,4,2006,0
3900,"Per Johnsson",18,73,181,14,3,1,4,38,0,236,1,D,8,1,2,22,2,2006,0
4053,"Georgijs Pujacs",18,73,216,21,2,12,14,22,12,192,0,D,0,0,0,0,4,1999,0
4120,"Johan Ryno",19,77,216,35,21,18,39,14,19,250,0,C,0,0,0,0,5,2005,0
4126,"Vyacheslav Trukhno",18,73,203,70,25,35,60,63,-4,27,0,C,0,0,0,0,3,2005,0
4130,"Pasi Salonen",19,71,194,36,12,10,22,60,5,126,4,L,9,4,8,8,5,2004,0
4131,"Aki Seitsonen",18,74,192,71,16,24,40,18,9,30,0,C,5,0,0,0,5,2004,0
4223,"Miikka Tuomainen",18,75,225,47,12,9,21,10,-2,104,0,L,0,0,0,0,3,2004,0
4224,"Janne Kolehmainen",19,75,218,48,4,5,9,34,-8,250,0,L,0,0,0,0,2,2005,0
4283,"Marko Anttila",19,80,229,34,30,30,60,56,0,232,0,R,0,0,0,0,4,2004,0
