@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,8-9,23-24'

@attribute DraftAge_norm numeric
@attribute country_group {EURO,CAN,USA}
@attribute Height_norm numeric
@attribute Weight_norm numeric
@attribute Position {D,C,L,R}
@attribute CSS_rank_norm numeric
@attribute rs_GP_norm numeric
@attribute rs_G_norm numeric
@attribute rs_A_norm numeric
@attribute rs_P_norm numeric
@attribute rs_PIM_norm numeric
@attribute rs_PlusMinus_norm numeric
@attribute po_GP_norm numeric
@attribute po_G_norm numeric
@attribute po_A_norm numeric
@attribute po_P_norm numeric
@attribute po_PIM_norm numeric
@attribute po_PlusMinus_norm numeric
@attribute GP_greater_than_0 {no,yes}

@data
0,EURO,0.428571,0.355769,D,?,0.611111,0.123288,0.058824,0.094937,0.091858,0.552,0,0,0,0,0,0.375,no
0.714286,EURO,0.357143,0.278846,D,?,0.9,0.315068,0.215686,0.28481,0.154489,0.544,0.433333,0.190476,0.076923,0.130435,0.066667,0.5,no
0.428571,EURO,0.214286,0.230769,C,?,0.611111,0.369863,0.147059,0.265823,0.025052,0.712,0.433333,0.333333,0.076923,0.195652,0.016667,0.875,no
0,EURO,0.428571,0.173077,C,?,0.511111,0.164384,0.098039,0.139241,0.050104,0.44,0,0,0,0,0,0.375,no
0.214286,EURO,0.285714,0.355769,C,?,0.866667,0.260274,0.294118,0.310127,0.112735,0.672,0.066667,0,0,0,0.05,0.333333,no
0.071429,EURO,0.357143,0.298077,D,?,0.488889,0.178082,0.098039,0.14557,0.269311,0.544,0,0,0,0,0,0.375,no
0.214286,EURO,0.357143,0.336538,D,?,0.522222,0.027397,0.068627,0.056962,0.037578,0.608,0,0,0,0,0,0.375,no
0,EURO,0.785714,0.528846,L,?,0.1,0.027397,0.019608,0.025316,0.029228,0.552,0,0,0,0,0,0.375,no
0.285714,EURO,0.428571,0.442308,D,?,0.522222,0.082192,0.098039,0.101266,0.187891,0.608,0.166667,0.095238,0.076923,0.086957,0.116667,0.416667,no
0,EURO,0.428571,0.317308,D,?,0.388889,0.013699,0.009804,0.012658,0.079332,0.552,0.133333,0.047619,0,0.021739,0.05,0.375,no
0,EURO,0.571429,0.442308,D,?,0.311111,0.123288,0.147059,0.151899,0.087683,0.552,0,0,0,0,0,0.375,no
0.142857,EURO,0.5,0.384615,R,?,0.433333,0.616438,0.205882,0.417722,0.06263,0.552,0.2,0.333333,0.153846,0.23913,0.033333,0.375,no
0.357143,EURO,0.214286,0.105769,R,?,0.544444,0.39726,0.147059,0.278481,0.045929,0.704,0.4,0.428571,0.076923,0.23913,0.066667,0.791667,no
0,EURO,0.357143,0.442308,C,?,0.233333,0.013699,0.029412,0.025316,0.045929,0.552,0,0,0,0,0,0.375,no
0.142857,EURO,0.571429,0.509615,R,?,0.533333,0.342466,0.166667,0.265823,0.004175,0.528,0.033333,0,0,0,0,0.375,no
0,EURO,0.357143,0.317308,L,?,0.377778,0.150685,0.04902,0.101266,0.294363,0.552,0,0,0,0,0,0.375,no
0.071429,EURO,0.357143,0.355769,L,?,0.377778,0.178082,0.137255,0.170886,0.079332,0.552,0,0,0,0,0,0.375,no
0.428571,EURO,0.571429,0.442308,C,?,0.611111,0.136986,0.127451,0.14557,0.041754,0.512,0.133333,0.095238,0.115385,0.108696,0,0.5,no
0.285714,EURO,0.571429,0.567308,D,?,0.611111,0,0.04902,0.031646,0.185804,0.544,0,0,0,0,0,0.375,no
0,EURO,0.5,0.317308,D,?,0.5,0.260274,0.147059,0.21519,0.037578,0.6,0.433333,0.047619,0,0.021739,0,0.375,no
0.214286,EURO,0.428571,0.355769,L,?,0.6,0.136986,0.098039,0.126582,0.152401,0.64,0.366667,0.095238,0.076923,0.086957,0.05,0.458333,no
0.071429,EURO,0.285714,0.336538,R,?,0.411111,0.109589,0.088235,0.107595,0.037578,0.552,0.333333,0.142857,0.153846,0.152174,0.05,0.375,no
0.357143,EURO,0.285714,0.355769,D,?,0.555556,0.123288,0.186275,0.177215,0.164927,0.632,0.1,0,0,0,0.216667,0.333333,no
0.214286,EURO,0.642857,0.211538,R,?,0.544444,0.178082,0.078431,0.132911,0.079332,0.6,0.133333,0,0,0,0.016667,0.291667,no
0.214286,EURO,0.5,0.490385,L,?,0.311111,0.027397,0.019608,0.025316,0.020877,0.56,0,0,0,0,0,0.375,no
0.142857,EURO,0.5,0.442308,D,?,0.766667,0.164384,0.166667,0.183544,0.167015,0.52,0.166667,0.047619,0.038462,0.043478,0.05,0.291667,no
0,EURO,0.285714,0.403846,L,?,0.8,0.232877,0.117647,0.183544,0.164927,0.456,0.2,0.095238,0.038462,0.065217,0.033333,0.291667,no
0.071429,EURO,0.571429,0.461538,L,?,0.377778,0.150685,0.098039,0.132911,0.08142,0.528,0,0,0,0,0,0.375,no
0,EURO,0.428571,0.528846,D,?,0.233333,0.027397,0.117647,0.088608,0.045929,0.648,0,0,0,0,0,0.375,no
0.214286,EURO,0.5,0.336538,C,?,0.6,0.273973,0.107843,0.196203,0.070981,0.552,0.166667,0.047619,0.038462,0.043478,0,0.375,no
0,CAN,0.428571,0.192308,R,?,0.766667,0.150685,0.088235,0.126582,0.304802,0.448,0.133333,0,0,0,0.033333,0.208333,no
0.071429,CAN,0.285714,0.230769,R,?,0.766667,0.246575,0.264706,0.28481,0.194154,0.632,0.166667,0,0.076923,0.043478,0.033333,0.25,no
0,USA,0.571429,0.423077,D,?,0.677778,0.054795,0.147059,0.120253,0.221294,0.736,0.5,0,0.115385,0.065217,0.166667,0.291667,no
0.071429,USA,0.142857,0.192308,D,?,0.633333,0.082192,0.27451,0.21519,0.100209,0.552,0.1,0,0,0,0.05,0.375,no
0.071429,EURO,0.142857,0.144231,R,?,0.488889,0.232877,0.107843,0.177215,0.016701,0.616,0.3,0,0,0,0.016667,0.375,no
0.142857,CAN,0.357143,0.403846,R,?,0.577778,0.657534,0.313725,0.506329,0.25261,0.552,0,0,0,0,0,0.375,no
0,EURO,0.357143,0.596154,R,?,0.811111,0.328767,0.392157,0.405063,0.158664,0.496,0,0,0,0,0,0.375,no
0.142857,CAN,0.214286,0.125,C,?,0.733333,0.849315,0.715686,0.85443,0.265136,0.904,0.366667,0.285714,0.269231,0.282609,0.116667,0.25,no
0,CAN,0.571429,0.673077,D,?,0.611111,0.013699,0.098039,0.06962,0.367432,0.552,0.533333,0.047619,0.153846,0.108696,0.283333,0.375,no
0,EURO,0.428571,0.355769,D,?,0.388889,0.013699,0.009804,0.012658,0.118998,0.552,0,0,0,0,0,0.375,no
0.142857,CAN,0.357143,0.298077,R,?,0.755556,0.60274,0.362745,0.512658,0.137787,0.808,0.4,0.571429,0.192308,0.369565,0.1,0.958333,no
0.071429,USA,0.714286,0.653846,R,?,0.611111,0.315068,0.235294,0.297468,0.173278,0.552,0.2,0.047619,0.038462,0.043478,0.033333,0.375,no
0.214286,EURO,0.5,0.403846,D,?,0.544444,0.054795,0.117647,0.101266,0.160752,0.52,0.266667,0.047619,0,0.021739,0.016667,0.375,no
0,EURO,0.5,0.25,C,?,0.477778,0.123288,0.137255,0.14557,0.079332,0.552,0,0,0,0,0,0.375,no
0.357143,EURO,0.357143,0.355769,D,?,0.644444,0.013699,0.117647,0.082278,0.175365,0.48,0,0,0,0,0,0.375,no
0,CAN,0.5,0.423077,D,?,0.722222,0.027397,0.147059,0.107595,0.208768,0.624,0.2,0,0.038462,0.021739,0.1,0.458333,no
0.071429,CAN,0.285714,0.25,D,?,0.755556,0.191781,0.676471,0.525316,0.033403,0.952,0.7,0.333333,0.884615,0.652174,0.066667,0.958333,no
0.142857,EURO,0.428571,0.298077,D,?,0.566667,0.054795,0.029412,0.044304,0.050104,0.544,0.233333,0.047619,0.038462,0.043478,0.016667,0.375,no
