@relation QueryResult

@attribute id numeric
@attribute PlayerName {'John Wikner','Patrik Hersley','Christofer Lofberg','Fredrik Pettersson','Nils Backstrom','Kirill Starkov','Dick Axelsson','Anton Hedman','Per Johnsson','Johan Ryno','Janne Kolehmainen','Marko Anttila','Tommi Leinonen','Marek Kvapil','Stanislav Lascek','Nikolai Lemtyugov','Kirill Tulupov','Dusty Collins','Dany Roussin','Alexander Bumagin','Ondrej Otcenas','Roman Kukumberg','David Kuchejda','Philip Gogulla','Keith Seabrook','Jay Barriball','John Seymour','Nick Dodge','Eric Neilson','Stephane Goulet','Tyler Spurgeon','Ryan Maki','Riley Emmerson','Aaron Boogaard','Evan Fuller','Jonathan Paiement','Andrew Orpik','Luke Beaverson','Brandon Elliott','Kevin Cormier','Jesse Martin','Sergei Kukushkin','Justin Krueger','Chris Frank','Troy Mattila','Kevin Koopman','Denis Kulyash','Myles Stoesz','Jon Gleed','Julian Walker','Viktor Dovgan','Dylan Hunter','Chris Hickey','J.D. Corbin','Steve Covington','Nathan Perkovich','Matthew Ford','Joe Charlebois','Matt Butcher','Spencer Dillon','Matt Siddall','Matt Clackson','Brennan Turner','Trevor Hendrikx','Luciano Aquino','Dmitri Megalinsky','P.J. Fenton','Scott Todd','Josh Meyers','Tony Lucia','William Colbert','Roman Derlyuk','Matt Mcknight','Jonathan Boutin','Martin Vagner','Jonas Fiedler','Matt Greer','Maxim Semyonov','Mike Curry','Matt Schneider','Derek Reinhart','Mark Streit','Tim Brent','Chris Campoli','Masi Marjamaki','Triston Grant','Brandon Prust','Alexander Edler','Johan Franzen','Ryan Jones','Kris Versteeg','Janne Niskala','Steve Regier','Mikhail Grabovski','Steven Zalewski','Adam Pardy','Mike Vernace','Mark Mancari','Pierre-Luc Letourneau-Leblond','Aaron Gagnon','Mike Card','Gregory Stewart','Travis Morin','Jakub Petruzalek','Janne Pesonen','Grant Clitsome','Adam Cracknell','Niklas Hjalmarsson','Darren Helm','Brian Salcido','Tom Wandell','Joe Vitale','Sergei Kostitsyn','Mario Bliznak','Anton Stralman','Kyle Cumiskey','Patric Hornqvist','Arturs Kulda','Kaspars Daugavins','Petteri Wirtanen','Viktor Stalberg','Korbinian Holzer','John McCarthy','Erik Condra','Alex Ovechkin','Andrew Ladd','Sidney Crosby','Anze Kopitar','Erik Johnson','Nicklas Backstrom','Evgeni Malkin','Cam Barker','Benoit Pouliot','Martin Hanzal','Jordan Staal','Michael Frolik','Jakub Vojta','Rostislav Olesz','Alexandre Picard','Bobby Ryan','Jiri Tlusty','Jonathan Toews','Yuri Alexandrov','Denis Istomin','Ladislav Smid','Kyle Chipchura','Jack Johnson','Derick Brassard','Lauri Tukonen','Wojtek Wolski','Gilbert Brule','Niclas Bergfors','Tomas Kana','Phil Kessel','Vyacheslav Buravchikov','Boris Valabik','Andrej Meszaros','Luc Bourdon','Peter Mueller','Artem Anisimov','Johan Fransson','Drew Stafford','Kenndal McArdle','Ilya Zubov','Bryan Little','Alexander Vasyunov','Viktor Alexandrov','Dave Bolland','Ryan Parent','Petr Kalus','Chris Stewart','Patrik Berglund','Andrei Popov','Anton Krysanov','Alexander Radulov','Mike Green','Marc Staal','James Sheppard','Jonas Ahnelov','Petteri Nokelainen','Rob Schremp','Devin Setoguchi','Andrey Zubarev','Cory Emmerton','Vitali Anikeyenko','Sergei Ogorodnikov','A.J. Thelen','Jack Skille','Kyle Okposo','Vladimir Zharkov','David Kveton','Lauri Korpikoski','Jeff Schultz','Matt Lashoff','Vladimir Mihalik','Bobby Sanguinetti','Timo Seppanen','Nigel Williams','Kyle Wharton','Tomas Pospisil','Enver Lisin','Ryan Stoa','Dennis Persson','Tomas Kudelka','Ondrej Fiala','Bruce Graham','Lukas Kaspar','Ryan O\'Marra','Jakub Sindel','Travis Zajac','Brian Lee','Michael Grabner','Ben Shutron','Ryan Garlock','Denis Parshin','Marek Bartanus','Brendan Mikkelson','Morten Madsen','Kirill Lyamin','Alex Bourret','Bryce Swan','Blake Wheeler','Mikhail Yunkov','Codey Burki','Bryan Bickell','Jakub Kindl','Jesse Joensuu','Roman Voloshenko','Lukas Vantuch','Juraj Simek','Mark Fistric','James Neal','Nick Foligno','Johannes Salmonsson','Mark Mitera','Igor Makarov','Dane Byers','Mike Blunden','Teemu Laakso','Martin Latal','Grant Lewis','David Krejci','Scott Jackson','Ty Wishart','Oscar Hedman','Adam Berti','Michael Sauer','Perttu Lindgren','Brian Strait','Jan Mursak','Risto Korhonen','Marek Zagrapan','Denis Kazionov','Ryan Hillier','Wes O\'Neill','Jan-Mikael Juutilainen','Zdenek Bahensky','Juraj Mikus','Dan Collins','Andy Rogers','Cal Clutterbuck','Bobby Hughes','Adam Pineault','Sami Lepisto','Mattias Ritola','Justin Abdelkader','Nikolay Kulemin','Juraj Gracik','Tomas Marcinko','Roman Teslyuk','Vladimir Sobotka','Patrick Davis','Carl Sneep','Vyacheslav Trukhno','Juho Mielonen','Robert Nyholm','Julien Sprunger','David Booth','Ryan White','Johan Dahlberg','Tony Lagerstrom','Brady Calla','Vaclav Meidl','Chris Durand','Alexander Sundstrom','Robin Figren','Dmitri Vorobyov','David Fischer','Kris Chucko','Nick Drazenovic','Aki Seitsonen','Roman Tomanek','Adam McQuaid','Mikko Lehtonen','Trevor Lewis','Joey Ryan','Gennadi Stolyarov','Brett Carson','Matt Niskanen','Fredrik Naslund','Joonas Lehtivuori','Shawn Weller','Joe Finley','Ivan Vishnevskiy','Raymond Sawada','Blair Jones','Blake Geoffrion','Peter Regin','Radek Smolenak','Mike Weber','Leo Komarov','Logan Stephenson','Andrei Mikhailishin','Cody Bass','Matthew Corrente','Dan Bertram','Evan Mcgrath','Roman Wick','Jeff Petry','Jonas Junland','Riley Holzapfel','Chris Zarb','Ladislav Scurko','Chris Lawrence','Claude Giroux','Sasha Pokulok','Michael Forney','Michael Funk','Andrej Sekera','Dan Ryder','Lukas Zeliska','Scott Mcculloch','Alexander Nikulin','Niclas Andersen','Francois Bouchard','Martins Karsums','Jannik Hansen','Matt Pelech','Jean-Philippe Paquet','Peter Guggisberg','Chad Painchaud','Jamie McGinn','Michal Sersen','T.J. Oshie','Jonas Enlund','Brian Ihnacak','Lukas Vomela','Kris Letang','Ben Maxwell','Karel Hromas','Kevin Montgomery','David Laliberte','Taylor Chorney','Tyler Haskins','Nikita Nikitin','Evan Brophey','Matt Beleskey','Emil Axelsson','Oskars Bartulis','Chris Summers','John Lammers','Luke Lynes','Stanislav Balan','Tim Kunes','Roman Polak','Marc-Andre Cliche','Aaron Marvin','Valeri Klimov','Mark Fraser','David Fredriksson','John Armstrong','Chad Denny','Jordan Smith','Casey Borer','Guillaume Latendresse','Mathieu Carle','Juuso Puustinen','Roman Psurny','Clayton Barthel','Jesse Dudas','Jeff May','Mathieu Aubin','Mike Lundin','Oskar Osala','Jan Zapletal','Keith Yandle','Michael Caruso','Jason Bailey','Evan Schafer','Rhett Rakhshani','Benjamin Breault','Bryan Young','Chris Butler','Petr Pohl','Nate Hagemo','Nicklas Grossmann','Milan Lucic','Ben Wright','Robbie Earl','Chris VandeVelde','Robby Dee','Jan Steber','Andreas Nodl','Simon Danis-Pepin','Cody Franson','Valtteri Tenkanen','Wacey Rabbit','Jake Dowell','Shawn Matthias','Mike Carman','Frederik Cabana','Andrew Cogliano','Matt D\'Agostini','Denis Bodrov','Michael Gergen','Blake Comeau','Theo Peckham','Rob Bellamy','Eric Gryba','Dalyn Flatt','Pierre-Luc Lessard','Peter Olvecky','Michal Birner','John De Gray','Dustin Boyd','Ryan Turek','Jordan Foote','Dustin Kohn','Fred Wikner','Max Gordichuk','Marc-Edouard Vlasic','Harrison Reed','Mitch Maunu','Ray Macias','Danny Syvret','Victor Oreskovich','Andrew Bodnarchuk','Richard Demen Willaume','Max Warn','James Delory','Will Engasser','Steve Downie','Chris Bourque','Paul Stastny','Sergei Shirokov','Patrick Mcneill','Nick Johnson','Ryan Flynn','Ryan Callahan','Brodie Dupont','Kyle Wilson','T.J. Hensick','Aaron Snow','Bret Nasby','Geoff Paukovich','Andrew Thomas','Brad Marchand','Mike Ratchuk','Sergei Kolosov','Kyle Medvec','R.J. Anderson','Cameron Cepek','Philippe Paquet','Brandon Dubinsky','Tyler Kennedy','Jamie McBain','Jaroslav Mrazek','Tomas Zaborsky','Mark Tobin','Bretton Stamler','Kim Johansson','Mike Gauthier','JT Wyman','Nathan Davis','Scott Lehman','Jordan Morrison','Jonathan Sigalet','David McIntyre','Paul Baier','Joe Barnes','Benn Ferriero','Mitch Carefoot','Jordan Lavallee-Smotherman','Niko Snellman','Tom Fritsche','David Schulz','Kevin Quick','Jason Pitton','Marc-Andre Gragnani','Hugo Carpentier','Billy Ryan','Kris Russell','Cal O\'Reilly','Jonathan Rheault','Torrey Mitchell','Kyle Klubertanz','Josh Beaulieu','Martin Nolet','Daniel Winnik','Trevor Koverko','Liam Reddox','Troy Brouwer','Matt Kassian','Miikka Tuomainen','Jim Mckenzie','Mark Fayne','Mike Brown','Derek Joslin','Ned Lukacevic','Petri Kontiola','Colin Greening','Matt Christie','Chris Auger','Doug Rogers','Andrei Plekhanov','Clayton Stoner','Gino Pisellini','Tom Sestito','Alexander Hellstrom','Stefan Chaput','Derek Peltier','Kris Hogg','Justin Mercier','Cody Wild','Shea Guthrie','John Carter','Jon Matsumoto','Nick Fugere','T.J. Fast','Dave Macdonald','Darin Olver','Mason Raymond','Sean Zimmerman','Jared Walker','Derek Dorsett','Pasi Salonen','Andrew Kozek','Matt Duffy','Scott Parse','Kevin Schaeffer','Zach Bearson','Logan Pyett','Brian Gifford','Nick Tuzzolino','Constantin Braun','Justin Keller','Tyrell Mason','Brian Day','Chad Kolarik','Viktor Gibbs Sjodin','Levi Nelson','Craig Switzer','Phil Oreskovic','Jean-Michel Rizk','Matt Watkins','Pavel Valentenko','Brandon Yip','Rich Clune','Justin Vienneau','Nick Sucharski','J.D. Watt','Alex Goligoski','Anton Axelsson','Tony Romano','Tim Crowder','Tyler Ruegsegger','Trevor Kell','Pat Brosnihan','Matt Hunwick','Matt Auffrey','Kyle Bailey','T.J. Miller','Bobby Bolt','Myles Rumsey','Mike Santorelli','Kris Fredheim','Tom Pyatt','Nathan Gerbe','Devin Didiomete','Matthew Glasser','Patrick Kaleta','Tim Kennedy','Jean-Claude Sawyer','Jordan Fulton','Moises Gutierrez','Ryan Mcginnis','John Flatters','Matt Mcilvane','Kevin Porter','Travis Gawryletz','Steve Mcclellan','Chad Rau','Brock Bradford','Matt Marquardt','Jared Boll','Kyle Lawson','Trevor Ludwig','Kyell Henegan','Andrew Gordon','Jason Lynch','Joe Cooper','Matt Generous','Tyler Eckford','Greg Beller','Mathieu Perreault','David Meckler','Alex Berry','Ryan Pottruff','Daniel Rahimi','Felix Schutz','John Wessbecker','Shane Sims','Maxime Lacroix','Maxime Frechette','Ashton Rome','Olivier Legault','Ben Walter','Olivier Magnan','Peter Aston','Andrew Sarauer','Ryan Reaves','Alexandre Dulac-Lemelin','Dane Crowley','Andrew MacDonald','Eric Hunter','Ryan Russell','Gord Baldwin','Adam Hobson','Brett Sutter'}
@attribute DraftAge_norm numeric
@attribute country_group {EURO,USA,CAN}
@attribute Height_norm numeric
@attribute Weight_norm numeric
@attribute Position {L,D,C,R}
@attribute DraftYear numeric
@attribute Overall numeric
@attribute CSS_rank_norm numeric
@attribute rs_GP_norm numeric
@attribute rs_G_norm numeric
@attribute rs_A_norm numeric
@attribute rs_P_norm numeric
@attribute rs_PIM_norm numeric
@attribute rs_PlusMinus_norm numeric
@attribute po_GP_norm numeric
@attribute po_G_norm numeric
@attribute po_A_norm numeric
@attribute po_P_norm numeric
@attribute po_PIM_norm numeric
@attribute po_PlusMinus_norm numeric
@attribute sum_7yr_GP numeric
@attribute sum_7yr_TOI numeric
@attribute GP_greater_than_0 {no,yes}

@data
1256,'John Wikner',0,EURO,0.625,0.376238,L,2004,284,?,0.31,0.076923,0.027273,0.047872,0.07483,0.357798,0.310345,0,0,0,0.088235,0.310345,0,0,no
1288,'Patrik Hersley',0.111111,EURO,0.6875,0.574257,D,2005,139,?,0.47,0.115385,0.145455,0.132979,0.394558,0.366972,0.103448,0.090909,0.033333,0.065217,0.088235,0.310345,0,0,no
1299,'Christofer Lofberg',0.111111,EURO,0.6875,0.50495,C,2005,80,?,0.31,0.269231,0.118182,0.180851,0.166667,0.348624,0,0,0,0,0,0.310345,0,0,no
1715,'Fredrik Pettersson',0,EURO,0.375,0.247525,R,2005,157,?,0.53,0.205128,0.172727,0.18617,0.22449,0.348624,0.413793,0.409091,0.266667,0.369565,0.382353,0.310345,0,0,no
2277,'Nils Backstrom',0,EURO,0.5,0.465347,D,2004,290,?,0.12,0.012821,0.054545,0.037234,0.088435,0.266055,0,0,0,0,0,0.310345,0,0,no
2627,'Kirill Starkov',0,EURO,0.5,0.544554,C,2005,189,?,0.31,0.230769,0.109091,0.159574,0.034014,0.357798,0.310345,0.181818,0.1,0.152174,0.029412,0.310345,0,0,no
3778,'Dick Axelsson',0.111111,EURO,0.625,0.435644,L,2006,62,?,0.51,0.461538,0.154545,0.281915,0.568027,0.605505,0,0,0,0,0,0.310345,0,0,no
3841,'Anton Hedman',0,EURO,0.6875,0.594059,L,2004,255,?,0.14,0.064103,0.045455,0.053191,0.047619,0.357798,0,0,0,0,0,0.310345,0,0,no
3900,'Per Johnsson',0,EURO,0.5625,0.267327,D,2006,209,?,0.14,0.038462,0.009091,0.021277,0.129252,0.357798,0.275862,0.045455,0.033333,0.043478,0.323529,0.310345,0,0,no
4120,'Johan Ryno',0.111111,EURO,0.8125,0.613861,C,2005,137,?,0.35,0.269231,0.163636,0.207447,0.047619,0.53211,0,0,0,0,0,0.310345,0,0,no
4224,'Janne Kolehmainen',0.111111,EURO,0.6875,0.633663,L,2005,115,?,0.48,0.051282,0.045455,0.047872,0.115646,0.284404,0,0,0,0,0,0.310345,0,0,no
4283,'Marko Anttila',0.111111,EURO,1,0.742574,R,2004,260,?,0.34,0.384615,0.272727,0.319149,0.190476,0.357798,0,0,0,0,0,0.310345,0,0,no
7537,'Tommi Leinonen',0,EURO,0.625,0.465347,D,2005,125,?,0.43,0.115385,0.1,0.106383,0.068027,0.348624,0.034483,0,0,0,0,0.310345,0,0,no
8640,'Marek Kvapil',0.222222,EURO,0.4375,0.376238,L,2005,163,?,0.75,0.448718,0.427273,0.43617,0.07483,0.431193,0,0,0,0,0,0.310345,0,0,no
9247,'Stanislav Lascek',0.111111,EURO,0.5625,0.39604,R,2005,133,?,0.59,0.24359,0.663636,0.489362,0.156463,0.366972,0.586207,0.181818,0.6,0.478261,0.382353,0.137931,0,0,no
9263,'Nikolai Lemtyugov',0.111111,EURO,0.5,0.574257,R,2005,219,?,0.11,0.012821,0.009091,0.010638,0.054422,0.366972,0,0,0,0,0,0.310345,0,0,no
9298,'Kirill Tulupov',0,EURO,0.6875,0.722772,D,2006,67,?,0.14,0.012821,0.027273,0.021277,0.07483,0.422018,0.103448,0,0.066667,0.043478,0.117647,0.275862,0,0,no
9417,'Dusty Collins',0.111111,USA,0.6875,0.574257,C,2004,163,?,0.36,0.012821,0.054545,0.037234,0.102041,0.33945,0,0,0,0,0,0.310345,0,0,no
9475,'Dany Roussin',0.222222,CAN,0.625,0.465347,L,2005,50,?,0.69,0.692308,0.563636,0.617021,0.22449,0.917431,0.448276,0.5,0.3,0.434783,0.117647,0.655172,0,0,no
9592,'Alexander Bumagin',0.111111,EURO,0.5,0.356436,L,2006,170,?,0.4,0.115385,0.109091,0.111702,0.095238,0.348624,0.275862,0,0.1,0.065217,0.058824,0.206897,0,0,no
9661,'Ondrej Otcenas',0,EURO,0.5625,0.465347,C,2005,123,?,0.06,0.051282,0.009091,0.026596,0.034014,0.376147,0,0,0,0,0,0.310345,0,0,no
9665,'Roman Kukumberg',0.666667,EURO,0.5625,0.435644,C,2004,113,?,0.6,0.205128,0.181818,0.191489,0.323129,0.706422,0.37931,0.181818,0.266667,0.26087,0.205882,0.517241,0,0,no
10476,'David Kuchejda',0,EURO,0.375,0.415842,R,2005,202,?,0.5,0.192308,0.272727,0.239362,0.503401,0.541284,0.068966,0.045455,0.033333,0.043478,0.029412,0.310345,0,0,no
10612,'Philip Gogulla',0,EURO,0.625,0.376238,L,2005,48,?,0.56,0.025641,0.027273,0.026596,0.061224,0.311927,0.310345,0,0.066667,0.043478,0.426471,0.310345,0,0,no
10656,'Keith Seabrook',0,CAN,0.5,0.435644,D,2006,52,?,0.57,0.128205,0.218182,0.180851,0.27551,0.357798,0,0,0,0,0,0.310345,0,0,no
10909,'Jay Barriball',0.111111,USA,0.3125,0.158416,L,2006,203,?,0.33,0.423077,0.409091,0.414894,0.006803,0.431193,0.172414,0.090909,0.033333,0.065217,0,0.310345,0,0,no
11256,'John Seymour',0,CAN,0.6875,0.217822,L,2005,226,?,0.63,0.012821,0.036364,0.026596,0.217687,0.357798,0.206897,0,0,0,0,0.310345,0,0,no
11439,'Nick Dodge',0.222222,CAN,0.375,0.217822,R,2006,183,?,0.38,0.205128,0.227273,0.218085,0.244898,0.458716,0,0,0,0,0,0.310345,0,0,no
11526,'Eric Neilson',0.222222,CAN,0.625,0.50495,R,2004,143,?,0.5,0.051282,0.1,0.079787,0.659864,0.321101,0.310345,0,0,0,0.411765,0.275862,0,0,no
11533,'Stephane Goulet',0,CAN,0.6875,0.524752,R,2004,208,?,0.54,0.076923,0.072727,0.074468,0.047619,0.229358,0.172414,0,0,0,0.029412,0.310345,0,0,no
11534,'Tyler Spurgeon',0,CAN,0.4375,0.356436,C,2004,242,?,0.49,0.102564,0.145455,0.12766,0.081633,0.422018,0.586207,0.181818,0.166667,0.195652,0.132353,0.517241,0,0,no
11553,'Ryan Maki',0.222222,USA,0.6875,0.574257,R,2005,176,?,0.3,0.128205,0.081818,0.101064,0.068027,0.357798,0,0,0,0,0,0.310345,0,0,no
11586,'Riley Emmerson',0.111111,CAN,1,0.940594,L,2005,199,?,0.4,0.012821,0,0.005319,0.214286,0.321101,0,0,0,0,0,0.310345,0,0,no
11601,'Aaron Boogaard',0,CAN,0.6875,0.653465,R,2004,175,?,0.35,0.038462,0.018182,0.026596,0.193878,0.366972,0.206897,0,0,0,0.117647,0.310345,0,0,no
11642,'Evan Fuller',0,CAN,0.625,0.376238,C,2006,197,?,0.56,0.025641,0.045455,0.037234,0.295918,0.302752,0.172414,0,0,0,0.102941,0.275862,0,0,no
11881,'Jonathan Paiement',0.111111,CAN,0.5625,0.465347,D,2004,247,?,0.68,0.166667,0.472727,0.345745,0.47619,0.357798,0.241379,0,0.066667,0.043478,0.147059,0.310345,0,0,no
11884,'Andrew Orpik',0.111111,USA,0.6875,0.465347,D,2005,227,?,0.31,0.102564,0.109091,0.106383,0.081633,0.357798,0,0,0,0,0,0.310345,0,0,no
11920,'Luke Beaverson',0.222222,USA,0.75,0.524752,D,2004,283,?,0.57,0.012821,0.054545,0.037234,0.479592,0.284404,0,0,0,0,0,0.310345,0,0,no
12039,'Brandon Elliott',0.222222,CAN,0.75,0.722772,D,2004,158,?,0.55,0.089744,0.172727,0.138298,0.806122,0.366972,0.448276,0,0,0,0.470588,0.37931,0,0,no
12131,'Kevin Cormier',0,CAN,0.6875,0.811881,L,2004,168,?,0.43,0.038462,0.018182,0.026596,0.816327,0.366972,0,0,0,0,0,0.310345,0,0,no
12183,'Jesse Martin',0,CAN,0.5,0.158416,C,2006,195,?,0.4,0.192308,0.263636,0.234043,0.414966,0.357798,0,0,0,0,0,0.310345,0,0,no
12248,'Sergei Kukushkin',0.111111,EURO,0.6875,0.39604,L,2004,218,?,0.59,0.089744,0.136364,0.117021,0.14966,0.366972,0.344828,0,0,0,0.088235,0.310345,0,0,no
12256,'Justin Krueger',0.222222,EURO,0.6875,0.613861,D,2006,213,?,0.71,0.089744,0.163636,0.132979,0.112245,0.385321,0,0,0,0,0,0.310345,0,0,no
12261,'Chris Frank',0.222222,USA,0.5625,0.742574,D,2006,188,?,0.38,0.025641,0.018182,0.021277,0.431973,0.183486,0,0,0,0,0,0.310345,0,0,no
12263,'Troy Mattila',0,USA,0.625,0.306931,L,2006,190,?,0.54,0.179487,0.2,0.191489,0.044218,0.357798,0.137931,0,0.033333,0.021739,0.029412,0.310345,0,0,no
12264,'Kevin Koopman',0,CAN,0.6875,0.50495,D,2006,181,?,0.46,0.192308,0.227273,0.212766,0.248299,0.357798,0.517241,0.318182,0.2,0.282609,0.147059,0.310345,0,0,no
12300,'Denis Kulyash',0.333333,EURO,0.6875,0.940594,D,2004,243,?,0.19,0.038462,0.009091,0.021277,0.136054,0.357798,0,0,0,0,0,0.310345,0,0,no
12426,'Myles Stoesz',0,CAN,0.625,0.594059,L,2005,207,?,0.67,0.012821,0.072727,0.047872,0.809524,0.366972,0,0,0,0,0,0.310345,0,0,no
12487,'Jon Gleed',0.222222,CAN,0.625,0.574257,D,2004,212,?,0.28,0.038462,0.027273,0.031915,0.061224,0.357798,0,0,0,0,0,0.310345,0,0,no
12653,'Julian Walker',0.222222,EURO,0.625,0.524752,C,2006,162,?,0.45,0.051282,0.018182,0.031915,0.159864,0.348624,0.172414,0.045455,0,0.021739,0.088235,0.310345,0,0,no
13643,'Viktor Dovgan',0,EURO,0.625,0.465347,D,2005,209,?,0,0,0,0,0,0.357798,0,0,0,0,0,0.310345,0,0,no
14326,'Dylan Hunter',0.111111,CAN,0.4375,0.415842,L,2004,273,?,0.64,0.333333,0.481818,0.420213,0.159864,0.678899,0.517241,0.181818,0.333333,0.304348,0.147059,0.241379,0,0,no
14398,'Chris Hickey',0,USA,0.5625,0.306931,C,2006,192,?,0,0,0,0,0,0.357798,0,0,0,0,0,0.310345,0,0,no
14460,'J.D. Corbin',0.111111,USA,0.375,0.306931,L,2004,249,?,0.39,0.038462,0.054545,0.047872,0.061224,0.357798,0,0,0,0,0,0.310345,0,0,no
14837,'Steve Covington',0,CAN,0.5,0.326733,R,2004,226,?,0.72,0.076923,0.118182,0.101064,0.095238,0.357798,0.241379,0.090909,0,0.043478,0.058824,0.206897,0,0,no
14856,'Nathan Perkovich',0.111111,EURO,0.8125,0.613861,R,2004,250,?,0.35,0.012821,0.063636,0.042553,0.078231,0.293578,0.137931,0.045455,0,0.021739,0,0.241379,0,0,no
14863,'Matthew Ford',0.222222,USA,0.5625,0.524752,R,2004,256,?,0.6,0.474359,0.281818,0.361702,0.204082,0.321101,0,0,0,0,0,0.310345,0,0,no
14873,'Joe Charlebois',0.111111,USA,0.5625,0.544554,D,2005,188,?,0.59,0.012821,0.218182,0.132979,0.496599,0.559633,0.241379,0.045455,0.033333,0.043478,0.088235,0.482759,0,0,no
15045,'Matt Butcher',0,USA,0.625,0.50495,C,2005,138,?,0.6,0.346154,0.272727,0.303191,0.319728,0.357798,0,0,0,0,0,0.310345,0,0,no
15046,'Spencer Dillon',0.111111,USA,0.6875,0.50495,D,2004,267,?,0.42,0,0.063636,0.037234,0.544218,0.357798,0,0,0,0,0,0.310345,0,0,no
15048,'Matt Siddall',0.222222,CAN,0.5625,0.50495,R,2004,270,?,0.45,0.320513,0.327273,0.324468,0.734694,0.357798,0.241379,0.181818,0.066667,0.130435,0.147059,0.310345,0,0,no
15050,'Matt Clackson',0.222222,CAN,0.5,0.356436,R,2005,215,?,0.56,0.128205,0.136364,0.132979,0.918367,0.357798,0.275862,0,0.066667,0.043478,0.382353,0.344828,0,0,no
15316,'Brennan Turner',0.111111,CAN,0.6875,0.653465,D,2005,134,?,0.41,0.064103,0.109091,0.090426,0.704082,0.357798,0,0,0,0,0,0.310345,0,0,no
