id,PlayerName,DraftAge_norm,country_group,Height_norm,Weight_norm,Position,DraftYear,Overall,CSS_rank_norm,rs_GP_norm,rs_G_norm,rs_A_norm,rs_P_norm,rs_PIM_norm,rs_PlusMinus_norm,po_GP_norm,po_G_norm,po_A_norm,po_P_norm,po_PIM_norm,po_PlusMinus_norm,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0
8467543,Toby Petersen,0.142857143,USA,0.214285714,0.326923077,C,1998,244,,0.522222222,0.219178082,0.18627451,0.221518987,0.070981211,0.552,0,0,0,0,0,0.375,91,1128,yes
8468101,Radek Martinek,0.357142857,EURO,0.357142857,0.423076923,D,1999,228,,0.577777778,0.164383562,0.12745098,0.158227848,0.104384134,0.552,0.1,0,0.076923077,0.043478261,0,0.375,210,3587,yes
8468103,Petr Tenkrat,0.285714286,EURO,0.357142857,0.384615385,R,1999,230,,0.555555556,0.287671233,0.137254902,0.221518987,0.066805846,0.552,0,0,0,0,0,0.375,113,1390,yes
8468105,Alexander Khavanov,0.642857143,EURO,0.5,0.423076923,D,1999,232,,0.566666667,0.02739726,0.078431373,0.063291139,0.045929019,0.552,0.733333333,0.047619048,0.192307692,0.130434783,0.325,0.375,348,6741,yes
8468107,Goran Bezina,0.071428571,EURO,0.5,0.615384615,D,1999,234,,0.8,0.164383562,0.068627451,0.120253165,0.167014614,0.552,0.133333333,0,0,0,0.016666667,0.375,3,16,yes
8468112,Pierre Hedin,0.214285714,EURO,0.428571429,0.355769231,D,1999,239,,0.455555556,0.082191781,0.049019608,0.069620253,0.058455115,0.552,0.433333333,0.047619048,0.038461538,0.043478261,0.1,0.375,3,58,yes
8468120,Mikko Eloranta,0.642857143,EURO,0.357142857,0.278846154,L,1999,247,,0.688888889,0.273972603,0.225490196,0.272151899,0.227557411,0.552,0.333333333,0.047619048,0.230769231,0.152173913,0.216666667,0.375,264,3132,yes
8468123,Noah Clarke,0.142857143,USA,0.142857143,0.278846154,L,1999,250,,0.577777778,0.424657534,0.31372549,0.398734177,0.098121086,0.552,0.433333333,0.380952381,0.076923077,0.217391304,0.133333333,0.375,7,56,yes
8468130,Hannes Hyvonen,0.428571429,EURO,0.5,0.375,R,1999,257,,0.577777778,0.315068493,0.176470588,0.259493671,0.154488518,0.552,0.133333333,0.095238095,0.038461538,0.065217391,0.016666667,0.375,42,395,yes
8468518,Tomas Kopecky,0,EURO,0.571428571,0.471153846,R,2000,38,,0.822222222,0.150684932,0.147058824,0.164556962,0.133611691,0.552,0.166666667,0,0,0,0,0.375,27,199,yes
8468529,Jonas Nordqvist,0,EURO,0.571428571,0.394230769,C,2000,49,,0.511111111,0.232876712,0.294117647,0.297468354,0.066805846,0.552,0.2,0.142857143,0.192307692,0.173913043,0.016666667,0.375,3,42,yes
8468094,Colin Hemingway,0.071428571,CAN,0.357142857,0.086538462,L,1999,221,,0.655555556,0.547945205,0.62745098,0.658227848,0.108559499,0.552,0,0,0,0,0,0.375,3,22,yes
8468047,Damian Surma,0,USA,0.214285714,0.375,L,1999,174,,0.722222222,0.232876712,0.147058824,0.202531646,0.129436326,0.552,0.366666667,0.142857143,0.230769231,0.195652174,0.125,0.375,2,16,yes
8468000,Kaspars Astashenko,0.428571429,EURO,0.428571429,0.432692308,D,1999,127,,0.844444444,0.04109589,0.117647059,0.094936709,0.354906054,0.552,0.1,0,0.076923077,0.043478261,0.05,0.375,23,237,yes
8467545,Michael Ryder,0,CAN,0.428571429,0.375,R,1998,216,,0.766666667,0.465753425,0.274509804,0.392405063,0.08559499,0.552,0.333333333,0.19047619,0.076923077,0.130434783,0.033333333,0.375,81,1296,yes
8467550,David Moravec,0.5,EURO,0.357142857,0.182692308,R,1998,218,,0.633333333,0.520547945,0.264705882,0.411392405,0.06263048,0.552,0.366666667,0.285714286,0.346153846,0.326086957,0.066666667,0.375,1,15,yes
8467553,Michael Farrell,0.142857143,USA,0.357142857,0.567307692,R,1998,220,,0.366666667,0.068493151,0.078431373,0.082278481,0.066805846,0.552,0,0,0,0,0,0.375,13,61,yes
8467558,Bruno St. Jacques,0,CAN,0.5,0.471153846,D,1998,253,,0.7,0.01369863,0.107843137,0.075949367,0.292275574,0.552,0,0,0,0,0,0.375,66,927,yes
8467564,Matt Hussey,0.071428571,USA,0.5,0.490384615,C,1998,254,,0.288888889,0.356164384,0.225490196,0.310126582,0.041753653,0.552,0,0,0,0,0,0.375,3,41,yes
8467565,John Pohl,0.071428571,USA,0.428571429,0.336538462,C,1998,255,,0.422222222,0.479452055,0.784313725,0.727848101,0.058455115,0.552,0,0,0,0,0,0.375,1,8,yes
8467594,Jeff MacMillan,0.142857143,CAN,0.571428571,0.471153846,D,1999,215,,0.722222222,0.04109589,0.176470588,0.132911392,0.227557411,0.552,0.5,0.142857143,0.230769231,0.195652174,0.233333333,0.375,4,33,yes
8467949,Frantisek Kaberle,0.571428571,EURO,0.357142857,0.278846154,D,1999,76,,0.633333333,0.246575342,0.205882353,0.246835443,0.008350731,0.552,0.433333333,0.095238095,0.192307692,0.152173913,0.066666667,0.375,386,8232,yes
8467956,Niclas Havelid,0.571428571,EURO,0.357142857,0.375,D,1999,83,,0.555555556,0.136986301,0.117647059,0.139240506,0.087682672,0.552,0.266666667,0,0.153846154,0.086956522,0.083333333,0.375,392,8503,yes
8467969,Mathias Tjarnqvist,0.142857143,EURO,0.5,0.336538462,L,1999,96,,0.444444444,0.260273973,0.196078431,0.246835443,0.100208768,0.552,0.166666667,0.19047619,0.038461538,0.108695652,0.033333333,0.375,51,444,yes
8468534,Andreas Lilja,0.5,EURO,0.571428571,0.567307692,D,2000,54,,0.544444444,0.109589041,0.107843137,0.120253165,0.183716075,0.552,0.2,0,0,0,0.066666667,0.375,319,5716,yes
8468536,Aleksander Suglobov,0,EURO,0.357142857,0.375,R,2000,56,,0.422222222,0.315068493,0.098039216,0.208860759,0,0.552,0,0,0,0,0,0.375,18,148,yes
8468553,Sergei Zinovjev,0.142857143,EURO,0.214285714,0.230769231,C,2000,73,,0.444444444,0.068493151,0.068627451,0.075949367,0.050104384,0.552,0,0,0,0,0,0.375,10,98,yes
8468712,Lubomir Sekeras,1,EURO,0.357142857,0.211538462,D,2000,232,,0.655555556,0.123287671,0.274509804,0.234177215,0.087682672,0.552,0.133333333,0,0.076923077,0.043478261,0.016666667,0.375,213,4455,yes
8468714,Janis Sprukts,0,EURO,0.571428571,0.711538462,C,2000,234,,0.5,0.150684932,0.107843137,0.139240506,0.045929019,0.552,0.1,0,0,0,0,0.375,13,82,yes
8468726,Chad Wiseman,0.071428571,CAN,0.428571429,0.423076923,L,2000,246,,0.755555556,0.315068493,0.441176471,0.430379747,0.110647182,0.552,0,0,0,0,0,0.375,9,81,yes
8468743,Thomas Ziegler,0.285714286,EURO,0.285714286,0.144230769,C,2000,263,,0.666666667,0.123287671,0.088235294,0.113924051,0.050104384,0.552,0.3,0.047619048,0.192307692,0.130434783,0.133333333,0.375,5,25,yes
8468747,Tomi Pettinen,0.357142857,EURO,0.571428571,0.567307692,D,2000,267,,0.566666667,0.01369863,0.058823529,0.044303797,0.175365344,0.552,0.1,0.047619048,0.076923077,0.065217391,0.016666667,0.375,24,329,yes
8468748,Pavel Kolarik,0.714285714,EURO,0.428571429,0.442307692,D,2000,268,,0.577777778,0.068493151,0.029411765,0.050632911,0.079331942,0.552,0,0,0,0,0,0.375,23,176,yes
8468750,Micki Dupont,0.142857143,CAN,0.214285714,0.240384615,D,2000,270,,0.788888889,0.356164384,0.607843137,0.556962025,0.325678497,0.552,0.366666667,0.095238095,0.153846154,0.130434783,0.141666667,0.375,21,338,yes
8468751,Reto Von Arx,0.428571429,EURO,0.214285714,0.173076923,L,2000,271,,0.577777778,0.273972603,0.274509804,0.303797468,0.150313152,0.552,0.166666667,0.095238095,0,0.043478261,0.083333333,0.375,19,217,yes
8468753,Roman Simicek,0.785714286,EURO,0.5,0.471153846,C,2000,273,,0.255555556,0.136986301,0.166666667,0.170886076,0.104384134,0.552,0.266666667,0.095238095,0.153846154,0.130434783,0.083333333,0.375,63,709,yes
8468766,Andrej Nedorost,0.142857143,EURO,0.428571429,0.365384615,L,2000,286,,0.733333333,0.095890411,0.049019608,0.075949367,0.091858038,0.552,0,0,0,0,0,0.375,28,318,yes
