@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,8-9,24-25'

@attribute DraftAge_norm numeric
@attribute country_group {EURO,CAN,USA}
@attribute Height_norm numeric
@attribute Weight_norm numeric
@attribute Position {D,C,L,R}
@attribute CSS_rank_norm numeric
@attribute rs_GP_norm numeric
@attribute rs_G_norm numeric
@attribute rs_A_norm numeric
@attribute rs_P_norm numeric
@attribute rs_PIM_norm numeric
@attribute rs_PlusMinus_norm numeric
@attribute po_GP_norm numeric
@attribute po_G_norm numeric
@attribute po_A_norm numeric
@attribute po_P_norm numeric
@attribute po_PIM_norm numeric
@attribute po_PlusMinus_norm numeric
@attribute sum_7yr_GP numeric

@data
1,EURO,0.4375,0.366337,D,?,0.55,0.166667,0.227273,0.202128,0.272109,0.357798,0.448276,0.227273,0.066667,0.152174,0.205882,0.310345,361
0.222222,CAN,0.5,0.336634,C,?,0.59,0.346154,0.390909,0.37234,0.370748,0.504587,0.62069,0.181818,0.433333,0.369565,0.352941,0.344828,98
0.222222,CAN,0.5,0.455446,D,?,0.67,0.25641,0.418182,0.351064,0.22449,0.330275,0.275862,0,0.2,0.130435,0.235294,0.206897,397
0.222222,EURO,0.625,0.29703,L,?,0.57,0.179487,0.290909,0.244681,0.207483,0.302752,0.172414,0.045455,0.066667,0.065217,0.073529,0.310345,1
0.222222,CAN,0.5625,0.564356,L,?,0.69,0.128205,0.072727,0.095745,0.908163,0.220183,0.37931,0.045455,0.033333,0.043478,0.485294,0.310345,11
0.222222,CAN,0.5,0.405941,L,?,0.64,0.24359,0.3,0.276596,0.914966,0.568807,0.517241,0.318182,0.433333,0.434783,0.485294,1,197
0,EURO,0.6875,0.594059,D,?,0.3,0.038462,0.081818,0.06383,0.088435,0.357798,0,0,0,0,0,0.310345,304
0.777778,EURO,0.75,0.772277,R,?,0.49,0.153846,0.163636,0.159574,0.088435,0.357798,0.172414,0,0.033333,0.021739,0.117647,0.310345,395
0.222222,CAN,0.5625,0.534653,L,?,0.46,0.5,0.272727,0.367021,0.217687,0.357798,0.586207,0.772727,0.3,0.565217,0.367647,0.310345,176
0,CAN,0.4375,0.217822,R,?,0.75,0.205128,0.318182,0.271277,0.302721,0.311927,0,0,0,0,0,0.310345,250
0.555556,EURO,0.5,0.326733,D,?,0.55,0.269231,0.136364,0.191489,0.248299,0.357798,0.137931,0,0,0,0.235294,0.310345,6
0.222222,CAN,0.75,0.39604,L,?,0.76,0.320513,0.318182,0.319149,0.391156,0.486239,0.758621,0.227273,0.366667,0.347826,0.352941,0.310345,26
0.222222,EURO,0.4375,0.316832,C,?,0.55,0.153846,0.154545,0.154255,0.115646,0.357798,0.172414,0,0,0,0.058824,0.310345,245
0,USA,0.5,0.405941,C,?,0.4,0.410256,0.309091,0.351064,0.07483,0.357798,0,0,0,0,0,0.310345,3
0.222222,CAN,0.75,0.722772,D,?,0.68,0.051282,0.109091,0.085106,0.465986,0.504587,0.172414,0,0.033333,0.021739,0.117647,0.310345,147
0,CAN,0.5,0.613861,D,?,0.35,0.051282,0.118182,0.090426,0.054422,0.348624,0.37931,0.090909,0.1,0.108696,0.117647,0.172414,22
0.111111,CAN,0.75,0.534653,R,?,0.67,0.371795,0.327273,0.345745,0.190476,0.458716,0.241379,0.227273,0.1,0.173913,0.161765,0.310345,36
0.111111,CAN,0.5625,0.633663,R,?,0.62,0.025641,0.027273,0.026596,0.673469,0.275229,0.137931,0,0,0,0.088235,0.310345,37
0,CAN,0.4375,0.316832,C,?,0.7,0.269231,0.163636,0.207447,0.132653,0.522936,0,0,0,0,0,0.310345,21
0,CAN,0.5625,0.465347,D,?,0.76,0.089744,0.118182,0.106383,0.166667,0.366972,0.724138,0.136364,0.166667,0.173913,0.323529,0.310345,4
0,CAN,0.625,0.475248,L,?,0.58,0.051282,0.054545,0.053191,0.258503,0.357798,0,0,0,0,0,0.310345,26
0.222222,USA,0.5625,0.455446,C,?,0.38,0.115385,0.109091,0.111702,0.047619,0.357798,0,0,0,0,0,0.310345,3
0.111111,EURO,0.375,0.217822,C,?,0.61,0.487179,0.463636,0.473404,0.380952,0.357798,0.068966,0,0,0,0.029412,0.310345,2
0.444444,EURO,0.4375,0.257426,L,?,0.56,0.217949,0.118182,0.159574,0.095238,0.357798,0.517241,0.045455,0.033333,0.043478,0.058824,0.310345,7
0.111111,CAN,0.4375,0.564356,D,?,0.55,0.166667,0.236364,0.207447,0.227891,0.357798,0.586207,0.045455,0.333333,0.23913,0.088235,0.310345,42
0.111111,CAN,0.6875,0.653465,R,?,0.72,0.333333,0.318182,0.324468,0.214286,0.33945,0.137931,0.045455,0.033333,0.043478,0.029412,0.310345,24
0,EURO,0.6875,0.425743,D,?,0.48,0.051282,0.118182,0.090426,0.309524,0.357798,0,0,0,0,0,0.310345,260
0,CAN,0.5,0.415842,C,?,0.72,0.128205,0.127273,0.12766,0.091837,0.412844,0.448276,0.090909,0.2,0.173913,0.147059,0.310345,248
0.222222,USA,0.625,0.336634,D,?,0.38,0.089744,0.209091,0.159574,0.176871,0.357798,0,0,0,0,0,0.310345,2
0,EURO,0.5625,0.455446,C,?,0.05,0.012821,0.018182,0.015957,0.013605,0.357798,0,0,0,0,0,0.310345,211
0.222222,USA,0.4375,0.50495,C,?,0.53,0.141026,0.181818,0.164894,0.210884,0.321101,0,0,0,0,0,0.310345,77
0,EURO,0.5,0.415842,L,?,0.4,0.051282,0.090909,0.074468,0.081633,0.357798,0.137931,0.090909,0,0.043478,0.176471,0.310345,307
0,EURO,0.5,0.306931,C,?,0.69,0.346154,0.227273,0.276596,0.329932,0.357798,0,0,0,0,0,0.310345,6
0.111111,EURO,0.4375,0.356436,D,?,0.5,0.128205,0.1,0.111702,0.136054,0.357798,0,0,0,0,0,0.310345,265
0.111111,CAN,0.4375,0.257426,D,?,0.72,0.051282,0.327273,0.212766,0.159864,0.394495,0.931034,0,0.466667,0.304348,0.205882,0.310345,132
0,EURO,0.4375,0.346535,R,?,0.33,0.192308,0.109091,0.143617,0.129252,0.357798,0,0,0,0,0,0.310345,263
0,EURO,0.625,0.60396,D,?,0.44,0.064103,0.109091,0.090426,0,0.357798,0,0,0,0,0,0.310345,15
0,EURO,0.5,0.584158,L,?,0.45,0.102564,0.154545,0.132979,0.108844,0.357798,0,0,0,0,0,0.310345,91
0.222222,EURO,0.5625,0.524752,C,?,0.55,0.179487,0.045455,0.101064,0.102041,0.357798,0.448276,0.045455,0,0.021739,0.176471,0.310345,3
0.222222,EURO,0.6875,0.544554,L,?,0.41,0.346154,0.236364,0.281915,0.302721,0.357798,0.241379,0.272727,0.166667,0.23913,0.088235,0.310345,243
0,EURO,0.6875,0.60396,D,?,0.48,0.051282,0.036364,0.042553,0.340136,0.357798,0,0,0,0,0,0.310345,24
0.222222,USA,0.5625,0.405941,C,?,0.33,0.025641,0.018182,0.021277,0.040816,0.357798,0,0,0,0,0,0.310345,51
0.222222,USA,0.4375,0.336634,R,?,0.36,0.076923,0.254545,0.180851,0.108844,0.357798,0,0,0,0,0,0.310345,155
0.111111,EURO,0.6875,0.841584,L,0,0.65,0.24359,0.127273,0.175532,0.136054,0.357798,0.103448,0,0,0,0.029412,0.310345,475
0.111111,CAN,0.6875,0.455446,L,0,0.71,0.384615,0.409091,0.398936,0.404762,0.715596,0.241379,0.045455,0.2,0.152174,0.147059,0.310345,402
0,CAN,0.4375,0.455446,C,0,0.73,1,1,1,0.319728,0.357798,0.62069,0.909091,0.733333,0.913043,0.323529,0.310345,434
0,EURO,0.6875,0.693069,C,0,0.52,0.589744,0.281818,0.409574,0.163265,0.357798,0.448276,0.045455,0.033333,0.043478,0.029412,0.310345,475
0,USA,0.75,0.70297,D,0,0.53,0.25641,0.354545,0.31383,0.391156,0.357798,0,0,0,0,0,0.310345,329
0.111111,EURO,0.5625,0.584158,C,0,0.5,0.128205,0.145455,0.138298,0.102041,0.357798,0.034483,0,0,0,0.029412,0.310345,413
0,EURO,0.6875,0.405941,C,0.004032,0.48,0.115385,0.154545,0.138298,0.173469,0.357798,0,0,0,0,0,0.310345,352
0,CAN,0.6875,0.683168,D,0.004032,0.73,0.269231,0.418182,0.356383,0.391156,0.513761,0.827586,0.136364,0.366667,0.304348,0.411765,0.310345,271
0.111111,CAN,0.6875,0.49505,L,0.004032,0.67,0.371795,0.345455,0.356383,0.346939,0.422018,0.413793,0.272727,0.266667,0.304348,0.294118,0.413793,257
0,EURO,0.875,0.712871,C,0.004032,0.59,0.346154,0.245455,0.287234,0.312925,0.357798,0.275862,0.045455,0.066667,0.065217,0.117647,0.310345,352
0,CAN,0.75,0.653465,C,0.004032,0.68,0.358974,0.363636,0.361702,0.234694,0.504587,0.793103,0.454545,0.233333,0.369565,0.323529,0.551724,479
0,EURO,0.5625,0.39604,R,0.004032,0.51,0.038462,0.081818,0.06383,0.108844,0.357798,0.206897,0.136364,0.3,0.26087,0.088235,0.310345,349
0.111111,EURO,0.625,0.60396,L,0.008065,0.41,0.051282,0.118182,0.090426,0.054422,0.357798,0.241379,0.090909,0.033333,0.065217,0.058824,0.310345,349
0.111111,CAN,0.625,0.514851,L,0.008065,0.69,0.5,0.372727,0.425532,0.29932,0.357798,0.241379,0.318182,0.133333,0.23913,0.088235,0.310345,67
0,USA,0.625,0.49505,R,0.008065,0.62,0.474359,0.472727,0.473404,0.173469,0.633028,0.275862,0.090909,0.233333,0.195652,0.117647,0.37931,332
0,EURO,0.5,0.50495,L,0.008065,0.5,0.141026,0.045455,0.085106,0.180272,0.357798,0.206897,0.318182,0.2,0.282609,0.088235,0.310345,276
0,CAN,0.625,0.465347,C,0.008065,0.42,0.282051,0.154545,0.207447,0.07483,0.357798,0,0,0,0,0,0.310345,408
0,EURO,0.75,0.554455,D,0.012097,0.65,0.076923,0.118182,0.101064,0.316327,0.357798,0.172414,0.090909,0.033333,0.065217,0.147059,0.310345,331
