id,PlayerName,DraftAge,Country,country_group,Height,Weight,Position,DraftYear,Overall,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,sum_7yr_TOI,GP_greater_than_0
1256,"John Wikner",18,Sweden,EURO,74,192,L,2004,284,NULL,31,6,3,9,22,0,9,0,0,0,6,0,0,0,no
1288,"Patrik Hersley",19,Sweden,EURO,75,212,D,2005,139,NULL,47,9,16,25,116,1,3,2,1,3,6,0,0,0,no
1299,"Christofer Lofberg",19,Sweden,EURO,75,205,C,2005,80,NULL,31,21,13,34,49,-1,0,0,0,0,0,0,0,0,no
1715,"Fredrik Pettersson",18,Sweden,EURO,70,179,R,2005,157,NULL,53,16,19,35,66,-1,12,9,8,17,26,0,0,0,no
2277,"Nils Backstrom",18,Sweden,EURO,72,201,D,2004,290,NULL,12,1,6,7,26,-10,0,0,0,0,0,0,0,0,no
2627,"Kirill Starkov",18,Denmark,EURO,72,209,C,2005,189,NULL,31,18,12,30,10,0,9,4,3,7,2,0,0,0,no
3707,"Emil Sandin",20,Sweden,EURO,70,185,L,2008,199,NULL,47,10,29,39,50,0,7,1,4,5,8,0,0,0,no
3778,"Dick Axelsson",19,Sweden,EURO,74,198,L,2006,62,NULL,51,36,17,53,167,27,0,0,0,0,0,0,0,0,no
3841,"Anton Hedman",18,Sweden,EURO,75,214,L,2004,255,NULL,14,5,5,10,14,0,0,0,0,0,0,0,0,0,no
3900,"Per Johnsson",18,Sweden,EURO,73,181,D,2006,209,NULL,14,3,1,4,38,0,8,1,1,2,22,0,0,0,no
4120,"Johan Ryno",19,Sweden,EURO,77,216,C,2005,137,NULL,35,21,18,39,14,19,0,0,0,0,0,0,0,0,no
4224,"Janne Kolehmainen",19,Finland,EURO,75,218,L,2005,115,NULL,48,4,5,9,34,-8,0,0,0,0,0,0,0,0,no
4283,"Marko Anttila",19,Finland,EURO,80,229,R,2004,260,NULL,34,30,30,60,56,0,0,0,0,0,0,0,0,0,no
4613,"Jesper Samuelsson",20,Sweden,EURO,72,179,C,2008,211,NULL,40,20,42,62,73,0,0,0,0,0,0,0,0,0,no
5507,"Alexander Deilert",19,Sweden,EURO,72,181,D,2008,198,NULL,46,6,12,18,72,0,7,1,2,3,14,0,0,0,no
6251,"Mats Frshaug",20,Norway,EURO,74,214,C,2008,161,NULL,65,23,27,50,65,-2,5,3,4,7,2,0,0,0,no
6870,"Stefan Warg",18,Sweden,EURO,75,220,D,2008,143,NULL,34,2,6,8,74,0,3,0,0,0,14,0,0,0,no
6912,"William Quist",18,Sweden,EURO,77,203,L,2007,157,NULL,45,16,25,41,90,0,0,0,0,0,0,0,0,0,no
7537,"Tommi Leinonen",18,Finland,EURO,74,201,D,2005,125,NULL,43,9,11,20,20,-1,1,0,0,0,0,0,0,0,no
8640,"Marek Kvapil",20,"Czech Rep.",EURO,71,192,L,2005,163,NULL,75,35,47,82,22,8,0,0,0,0,0,0,0,0,no
9247,"Stanislav Lascek",19,Slovakia,EURO,73,194,R,2005,133,NULL,59,19,73,92,46,1,17,4,18,22,26,-5,0,0,no
9263,"Nikolai Lemtyugov",19,Russia,EURO,72,212,R,2005,219,NULL,11,1,1,2,16,1,0,0,0,0,0,0,0,0,no
9298,"Kirill Tulupov",18,Russia,EURO,75,227,D,2006,67,NULL,14,1,3,4,22,7,3,0,2,2,8,-1,0,0,no
9347,"Justin Azevedo",20,Canada,CAN,67,174,C,2008,153,NULL,67,43,81,124,69,24,20,10,26,36,33,10,0,0,no
9417,"Dusty Collins",19,USA,USA,75,212,C,2004,163,NULL,36,1,6,7,30,-2,0,0,0,0,0,0,0,0,no
9475,"Dany Roussin",20,Canada,CAN,74,201,L,2005,50,NULL,69,54,62,116,66,61,13,11,9,20,8,10,0,0,no
9592,"Alexander Bumagin",19,Russia,EURO,72,190,L,2006,170,NULL,40,9,12,21,28,-1,8,0,3,3,4,-3,0,0,no
9661,"Ondrej Otcenas",18,Slovakia,EURO,73,201,C,2005,123,NULL,6,4,1,5,10,2,0,0,0,0,0,0,0,0,no
9665,"Roman Kukumberg",24,Slovakia,EURO,73,198,C,2004,113,NULL,60,16,20,36,95,38,11,4,8,12,14,6,0,0,no
10476,"David Kuchejda",18,"Czech Rep.",EURO,70,196,R,2005,202,NULL,50,15,30,45,148,20,2,1,1,2,2,0,0,0,no
10612,"Philip Gogulla",18,Germany,EURO,74,192,L,2005,48,NULL,56,2,3,5,18,-5,9,0,2,2,29,0,0,0,no
10656,"Keith Seabrook",18,Canada,CAN,72,198,D,2006,52,NULL,57,10,24,34,81,0,0,0,0,0,0,0,0,0,no
10909,"Jay Barriball",19,USA,USA,69,170,L,2006,203,NULL,33,33,45,78,2,8,5,2,1,3,0,0,0,0,no
11052,"Mark Santorelli",19,Canada,CAN,73,187,R,2007,119,NULL,72,29,53,82,46,-5,5,2,3,5,2,-6,0,0,no
11239,"Corey Syvret",18,Canada,CAN,74,216,D,2007,181,NULL,61,5,11,16,61,-11,4,0,0,0,2,-1,0,0,no
11256,"John Seymour",18,Canada,CAN,75,176,L,2005,226,NULL,63,1,4,5,64,0,6,0,0,0,0,0,0,0,no
11439,"Nick Dodge",20,Canada,CAN,70,176,R,2006,183,NULL,38,16,25,41,72,11,0,0,0,0,0,0,0,0,no
11526,"Eric Neilson",20,Canada,CAN,74,205,R,2004,143,NULL,50,4,11,15,194,-4,9,0,0,0,28,-1,0,0,no
11533,"Stephane Goulet",18,Canada,CAN,75,207,R,2004,208,NULL,54,6,8,14,14,-14,5,0,0,0,2,0,0,0,no
11534,"Tyler Spurgeon",18,Canada,CAN,71,190,C,2004,242,NULL,49,8,16,24,24,7,17,4,5,9,9,6,0,0,no
11553,"Ryan Maki",20,USA,USA,75,212,R,2005,176,NULL,30,10,9,19,20,0,0,0,0,0,0,0,0,0,no
11586,"Riley Emmerson",19,Canada,CAN,80,249,L,2005,199,NULL,40,1,0,1,63,-4,0,0,0,0,0,0,0,0,no
11601,"Aaron Boogaard",18,Canada,CAN,75,220,R,2004,175,NULL,35,3,2,5,57,1,6,0,0,0,8,0,0,0,no
11642,"Evan Fuller",18,Canada,CAN,74,192,C,2006,197,NULL,56,2,5,7,87,-6,5,0,0,0,7,-1,0,0,no
11669,"Jordan Bendfeld",20,Canada,CAN,75,245,D,2008,193,NULL,72,6,19,25,160,8,5,0,2,2,2,-1,0,0,no
11881,"Jonathan Paiement",19,Canada,CAN,73,201,D,2004,247,NULL,68,13,52,65,140,0,7,0,2,2,10,0,0,0,no
11884,"Andrew Orpik",19,USA,USA,75,201,D,2005,227,NULL,31,8,12,20,24,0,0,0,0,0,0,0,0,0,no
11920,"Luke Beaverson",20,USA,USA,76,207,D,2004,283,NULL,57,1,6,7,141,-8,0,0,0,0,0,0,0,0,no
12039,"Brandon Elliott",20,Canada,CAN,76,227,D,2004,158,NULL,55,7,19,26,237,1,13,0,0,0,32,2,0,0,no
12131,"Kevin Cormier",18,Canada,CAN,75,236,L,2004,168,NULL,43,3,2,5,240,1,0,0,0,0,0,0,0,0,no
12183,"Jesse Martin",18,Canada,CAN,72,170,C,2006,195,NULL,40,15,29,44,122,0,0,0,0,0,0,0,0,0,no
12248,"Sergei Kukushkin",19,Belarus,EURO,75,194,L,2004,218,NULL,59,7,15,22,44,1,10,0,0,0,6,0,0,0,no
12256,"Justin Krueger",20,Germany,EURO,75,216,D,2006,213,NULL,71,7,18,25,33,3,0,0,0,0,0,0,0,0,no
12261,"Chris Frank",20,USA,USA,73,229,D,2006,188,NULL,38,2,2,4,127,-19,0,0,0,0,0,0,0,0,no
12263,"Troy Mattila",18,USA,USA,74,185,L,2006,190,NULL,54,14,22,36,13,0,4,0,1,1,2,0,0,0,no
12264,"Kevin Koopman",18,Canada,CAN,75,205,D,2006,181,NULL,46,15,25,40,73,0,15,7,6,13,10,0,0,0,no
12300,"Denis Kulyash",21,Russia,EURO,75,249,D,2004,243,NULL,19,3,1,4,40,0,0,0,0,0,0,0,0,0,no
12426,"Myles Stoesz",18,Canada,CAN,74,214,L,2005,207,NULL,67,1,8,9,238,1,0,0,0,0,0,0,0,0,no
12487,"Jon Gleed",20,Canada,CAN,74,212,D,2004,212,NULL,28,3,3,6,18,0,0,0,0,0,0,0,0,0,no
12515,"Will Weber",19,USA,USA,76,227,D,2007,53,NULL,25,18,20,38,104,0,0,0,0,0,0,0,0,0,no
12519,"Garrett Klotz",19,Canada,CAN,77,234,L,2007,66,NULL,63,2,2,4,107,-6,0,0,0,0,0,0,0,0,no
12526,"Phil Desimone",20,USA,USA,72,194,C,2007,84,NULL,60,26,47,73,60,13,7,6,6,12,2,4,0,0,no
12528,"Corbin Mcpherson",19,USA,USA,76,209,D,2007,87,NULL,44,4,10,14,63,0,0,0,0,0,0,0,0,0,no
12538,"Brett Bruneteau",18,USA,USA,71,194,C,2007,108,NULL,55,12,28,40,55,10,5,0,1,1,6,-1,0,0,no
12587,"Trevor Nill",18,USA,USA,75,194,C,2007,190,NULL,24,6,10,16,23,0,0,0,0,0,0,0,0,0,no
