id,PlayerName,DraftAge,country_group,Height,Weight,Position,CSS_rank,rs_GP,rs_G,rs_A,rs_P,rs_PIM,rs_PlusMinus,po_GP,po_G,po_A,po_P,po_PIM,po_PlusMinus,sum_7yr_GP,GP_greater_than_0,sum_wk_xk,class_0_prob,LeafNode
18783,Alexander Zevakhin,18,EURO,72,203,R,5,48,17,18,35,26,-3,0,0,0,0,0,0,0,no,-1.3911060000000015,0.80076875105191447,1
42301,Oleg Smirnov,18,EURO,71,196,L,16,12,2,2,4,4,0,0,0,0,0,0,0,0,no,-0.3897120000000021,0.59621336723788698,1
20500,Sergei Kuznetsov,18,EURO,72,198,L,11,28,5,3,8,14,0,0,0,0,0,0,0,0,no,-0.8817849999999998,0.70719198034395148,1
10410,Scott Kelman,18,CAN,75,216,C,6,66,19,54,73,95,0,11,4,3,7,37,-4,0,no,-1.4475389999999992,0.8096193947151521,1
9637,Luca Cereda,18,EURO,74,203,C,14,54,13,21,34,48,0,15,0,6,6,4,0,0,no,0.022301000000001764,0.49442498105223637,1
9601,Alexander Buturlin,18,EURO,72,198,R,4,24,4,3,7,47,-1,3,1,0,1,2,0,0,no,-0.5764430000000003,0.64024853065211484,1
9553,Andrei Shefer,18,EURO,72,198,D,16,36,10,7,17,44,-1,0,0,0,0,0,0,0,no,-0.6152719999999996,0.64914247653129531,1
19117,Dmitri Levinsky,18,EURO,73,203,R,11,11,4,1,5,6,-1,0,0,0,0,0,0,0,no,-0.5247999999999999,0.62826948010567418,1
42367,David Inman,19,USA,71,185,C,19,38,10,10,20,74,0,0,0,0,0,0,0,0,no,-1.2249279999999994,0.77292962296675616,1
19112,Rail Rozakov,18,EURO,73,207,D,15,37,0,1,1,18,-1,0,0,0,0,0,0,0,no,-0.5546019999999996,0.63520262962734686,1
18843,Maxim Rybin,18,EURO,69,201,L,21,48,14,10,24,58,-1,0,0,0,0,0,0,0,no,-0.16962300000000058,0.54230436696946249,1
21005,Artyom Kryukov,18,EURO,76,220,C,14,18,4,5,9,18,0,0,0,0,0,0,0,0,no,-0.6904570000000009,0.66606858096540134,1
12768,Greg Watson,18,CAN,72,205,C,14,71,22,28,50,72,-42,0,0,0,0,0,0,0,no,0.7438189999999985,0.32216959873314138,1
8420,Tomas Slovak,18,EURO,73,209,D,21,59,7,8,15,58,0,3,1,0,1,2,0,0,no,-0.2082530000000014,0.55187590020346022,1
12854,Beat Forster,18,EURO,73,218,D,20,51,8,10,18,104,-2,6,1,1,2,4,0,0,no,0.03922399999999854,0.49019525703564121,1
9577,Alexei Shkotov,18,EURO,70,183,R,21,64,24,18,42,54,-6,0,0,0,0,0,0,0,no,0.2608299999999976,0.43515968676973144,1
19740,Denis Grot,18,EURO,72,207,D,11,58,2,4,6,64,-9,0,0,0,0,0,0,0,no,-0.13207399999999808,0.53297058694441601,1
14004,Bruce Graham,19,CAN,78,234,C,14,68,24,33,57,89,-4,18,0,14,14,4,4,0,no,-3.164099,0.95946068126003381,1
12297,Viktor Alexandrov,19,EURO,69,168,R,8,57,5,4,9,24,-6,4,1,1,2,4,-3,0,no,0.8179500000000006,0.30619899118225563,1
9587,Vitali Anikeyenko,18,EURO,75,198,D,11,64,4,12,16,74,0,0,0,0,0,0,0,0,no,-0.925341,0.71612912020175434,1
10608,Marek Bartanus,18,EURO,75,218,L,16,65,17,16,33,103,-2,8,1,1,2,16,0,0,no,-0.6203029999999989,0.65028745805626276,1
2613,Morten Madsen,18,EURO,75,209,C,17,45,12,20,32,22,-6,12,10,9,19,6,0,0,no,0.6791100000000009,0.3364599703125567,1
9623,Tomas Pospisil,18,EURO,72,185,R,13,71,21,23,44,56,-7,5,4,1,5,27,3,0,no,-0.9507609999999991,0.7212681955148259,1
10490,Anton Krysanov,18,EURO,75,203,C,9,34,7,10,17,16,-4,0,0,0,0,0,0,0,no,-0.6931499999999998,0.66666729320860663,1
4568,Dennis Persson,18,EURO,73,187,D,14,74,14,29,43,54,-3,0,0,0,0,0,0,0,no,-1.004019,0.73184802782527336,1
11985,Bryce Swan,19,CAN,74,190,R,17,34,14,11,25,54,-8,11,2,5,7,8,0,0,no,-0.750932000000001,0.67938174338760537,1
9286,David Kveton,18,EURO,71,185,L,12,82,15,22,37,26,-29,6,5,1,6,18,0,0,no,1.1398439999999992,0.24234900393539505,1
9282,Martin Latal,18,EURO,71,185,R,21,62,17,12,29,105,-3,7,4,1,5,8,1,0,no,0.714016,0.32871205904080758,1
10616,Juraj Simek,19,EURO,72,196,R,19,59,22,46,68,208,-1,0,0,0,0,0,0,0,no,-0.7807459999999979,0.68584087174293529,1
9271,Niclas Lucenius,18,EURO,72,203,C,13,60,25,25,50,92,0,10,2,3,5,14,-1,0,no,-0.14971799999999882,0.53735973968435036,1
11861,Maxim Goncharov,18,EURO,75,212,D,9,47,2,3,5,50,-2,5,0,0,0,2,-1,0,no,-0.5255240000000012,0.62843855238193946,1
11845,Denis Reul,18,EURO,76,243,D,16,70,11,23,34,112,-2,6,0,1,1,16,0,0,no,-1.0965920000000016,0.74962100458360137,1
5509,Jens Hellgren,18,EURO,75,194,D,17,71,4,13,17,44,0,11,2,2,4,8,0,0,no,-0.04721200000000053,0.5118008081079275,1
12572,Radim Ostrcil,18,EURO,72,207,D,18,85,12,18,30,105,-4,8,4,4,8,6,1,0,no,-0.0581920000000023,0.51454389605460482,1
11054,Kyle Beach,18,CAN,75,209,L,4,60,27,33,60,222,-4,4,0,0,0,4,-6,0,no,-0.7523120000000003,0.67968226356949368,1
6058,Anton Gustafsson,18,EURO,74,209,C,5,38,16,20,36,65,0,2,1,0,1,2,0,0,no,-1.3969960000000003,0.80170676637267457,1
14643,A.J. Jenks,18,USA,74,205,C,20,68,26,29,55,94,-13,4,1,0,1,4,-9,0,no,1.9540730000000002,0.1241099177236161,1
8467055,Patrik Stefan,19,EURO,74,205,C,1,33,11,24,35,26,0,0,0,0,0,0,0,414,yes,-2.4514009999999997,0.92066384288977743,1
8467329,Vincent Lecavalier,18,CAN,76,215,C,1,65,45,72,117,121,0,18,15,26,41,46,0,467,yes,-2.774349000000001,0.94127384976318751,1
8467330,David Legwand,18,USA,74,207,C,2,66,54,51,105,58,0,15,8,12,20,24,0,362,yes,-3.4066150000000013,0.9679106319881462,1
8467331,Brad Stuart,19,CAN,74,215,D,4,72,20,45,65,82,0,9,3,4,7,10,0,354,yes,-3.7946289999999996,0.97800348066081289,1
8467332,Bryan Allen,18,CAN,77,223,D,3,48,6,13,19,126,0,5,0,5,5,18,0,139,yes,-2.504403,0.92444991078648886,1
8467333,Rico Fata,18,CAN,72,214,L,10,64,43,33,76,110,0,16,9,5,14,49,0,173,yes,-2.5367270000000013,0.92667674653320553,1
8467334,Manny Malhotra,18,CAN,74,207,C,6,62,17,41,58,31,0,17,8,12,20,10,0,346,yes,-1.7570890000000008,0.85284470302327753,1
8467335,Mark Bell,18,CAN,76,220,C,16,55,34,26,60,87,0,13,6,5,11,14,0,257,yes,-1.7499819999999995,0.85195053162787415,1
8467337,Jeff Heerema,18,CAN,74,212,R,13,63,32,40,72,88,0,5,4,1,5,10,0,32,yes,-2.536731000000002,0.92667701832055749,1
8467338,Alex Tanguay,19,CAN,73,194,L,14,58,49,39,88,34,0,5,7,6,13,4,0,379,yes,-3.7079399999999993,0.97605922047321358,1
8467342,Eric Chouinard,18,USA,75,215,C,19,72,45,44,89,22,0,14,7,10,17,6,0,89,yes,-2.191154,0.89945231982772433,1
8467343,Martin Skoula,19,EURO,75,226,D,8,66,8,36,44,36,0,6,1,3,4,4,0,404,yes,-2.5398179999999995,0.92688649377413168,1
8467344,Robyn Regehr,18,EURO,75,222,D,12,65,4,10,14,120,0,5,0,3,3,8,0,363,yes,-0.6252319999999991,0.65140754809142121,1
8467345,Mathieu Biron,18,CAN,78,233,D,7,59,8,28,36,60,0,6,0,1,1,10,0,201,yes,-3.150785000000001,0.95893964184547564,1
8467346,Simon Gagne,18,CAN,73,195,L,17,53,30,39,69,26,0,12,11,5,16,23,0,354,yes,-2.0039829999999985,0.88121463356380514,1
8467347,Milan Kraft,18,EURO,76,212,C,6,40,22,26,48,12,0,1,0,0,0,0,0,207,yes,-2.116778000000001,0.89252324821306184,1
8467348,Christian Backman,18,EURO,76,210,D,4,38,11,21,32,16,0,7,2,3,5,6,0,70,yes,-1.929127999999999,0.87315287125282948,1
8467349,Jiri Fischer,18,EURO,77,229,D,9,70,3,19,22,112,0,11,1,4,5,16,0,283,yes,-0.9268040000000011,0.71642643677971829,1
8467350,Mike Van Ryn,19,CAN,73,213,D,15,45,4,14,18,48,0,0,0,0,0,0,0,148,yes,-2.567169999999999,0.92871857598549179,1
8467351,Scott Gomez,19,USA,71,200,C,20,52,13,37,50,59,0,0,0,0,0,0,0,394,yes,-2.042071000000001,0.88514398232968006,1
8467352,Vitaly Vishnevski,18,EURO,74,215,D,2,60,11,17,28,194,0,0,0,0,0,0,0,334,yes,-1.463156000000002,0.81201490223213979,1
8467353,Nik Antropov,18,EURO,78,245,C,17,54,38,61,99,70,0,0,0,0,0,0,0,263,yes,-2.808402000000002,0.94312816725222204,1
8467354,Dmitri Kalinin,18,EURO,75,210,D,1,32,0,4,4,30,0,0,0,0,0,0,0,283,yes,-1.7707790000000014,0.85455452056839887,1
8467357,Jonathan Cheechoo,18,CAN,73,206,R,21,64,31,45,76,62,0,10,4,2,6,10,0,147,yes,-1.7863569999999993,0.85648005306117192,1
