@relation QueryResult

@attribute id numeric
@attribute PlayerName {'Michael Henrich','Randy Copley','Maxym Linnik','Jason Beckett','Ian Forbes','Alexander Zevakhin','Tomek Valtonen','Todd Hornung','Eric Laplante','Kevin Holdridge','Yevgeni Lazarev','David Cameron','Justin Morrison','Geoff Koch','Gabriel Karlsson Pears','Kent Sauer','Regan Darby','Matthias Trattnig','Andy Burnham','Ryan Van Buskirk','Shaun Sutter','Jean-Philippe Morin','Brent Hobday','Viktor Wallin','Anton But','Brent Gauvreau','Curtis Rich','Erik Wendell','Morgan Warren','Brandon Coalter','Paul Elliott','Gavin Mcleod','Joe Rullier','David Ytfeldt','Aaron Goldade','Martin Beauchesne','Garrett Prosofsky','Rick Bertran','K.C. Timmons','Calle Steen','Oleg Smirnov','Sergei Kuznetsov','Craig Brunel','Chris Ovington','Paul Cabana','Adam Deleeuw','Kevin Clauson','Brad Voth','Jari Viuhkola','Trevor Ettinger','Ryan Milanovic','Alexander Ryazantsev','Jan Fadrny','Andrei Troshchinsky','Jacques Lariviere','Brett Allan','B.J. Ketcheson','Vince Malts','Nathan Forster','Stefan Lundqvist','Jonathan Gagnon','Don Smith','Robert Mulick','Michel Periard','Andrei Kruchinin','Tommi Hannus','Radek Duda','Oak Hewer','Joel Scherban','Brad Twordik','Jeremy Goetzinger','Erik Jensen','Scott Perry','Craig Murray','Martin Bartek','Ian Jacobs','Graig Mischler','David Bernier','Sean Griffin','Mark Kosick','Christian Lefebvre','Justin Hansen','Dwight Wolfe','Jim Henkel','Curtis Valentine','Dan Hulak','Lubomir Pistek','Sergei Verenikin','Yevgeni Pastukh','David Petrasek','Marko Ahosilta','Michal Travnicek','Chris Lyness','Adrian Wichser','Jason Metcalfe','Pelle Prestberg','Kevin Mitchell','Ben Blais','Alexandre Couture','Brent Mcdonald','Andrei Yershov','Maxim Spiridonov','Jason Doyle','Rastislav Pavlikovsky','Darcy Harris','Edo Terglav','Radek Matejovsky','Blake Evans','Petja Pietilainen','Ryan Held','Sergei Skrobot','Scott Kelman','Luca Cereda','Dan Cavanaugh','Alexander Buturlin','Andrei Shefer','Dmitri Levinsky','Brett Clouthier','Matt Zultek','David Inman','Ed Hill','Teemu Sainomaa','Stepan Mokhov','Rene Vydareny','Brett Angel','Tim Preston','Jason Crain','Mark Concannon','Patrick Aufiero','Andre Lakos','Chris Dyment','David Kaczowka','Teemu Kesa','Johan Halvardsson','Morgan Mccormick','Rail Rozakov','Mirko Murovic','Rod Sarich','Jonathan Zion','Willie Levesque','Sanny Lindstrom','Ryan J. Murphy','Chad Starling','Ryan Lauzon','Karel Mosovsky','Jaakko Harikkala','Jeff Feniak','Jari Tolsa','Yevgeni Pavlov','Kristian Kovac','Preston Mizzi','Alexander Krevsun','Daniel Johansson','Jeff Bateman','Ryan Thorpe','Konstantin Panov','Michael Jacobsen','Matt Doman','Dusty Jamieson','Jonathan Fauteux','Adam Johnson','Maxim Rybin','Will Magnuson','Trevor Byrne','Tomas Skvaridlo','Marc-Andre Thinel','Matt Kinch','Andrei Maximenko','Matt Shasby','Vaclav Zavoral','Jesse Cook','Andrew Ianiero','Gregor Baumgartner','Vladimir Malenkikh','Anders Lovdahl','Yuri Dobryshkin','Konstantin Rudenko','Jan Sochor','Cory Pecker','Sean Dixon','Erik Leverstrom','Brad Woods','Chris Legg','Josh Reed','Jan Sandstrom','Kyle Clark','Doug Meyer','Jay Dardis','Seneque Hyacinthe','Tore Vikingstad','Justin Cox','Scott Cameron','Brett Draney','Ivan Rachunek','Stephen Baby','Blair Stayzer','David Bornhammar','Kevin Baker','Mattias Wennerberg','Yorick Treille','Arto Laatikainen','Travis Eagles','Christian Chartier','Pavel Kasparik','Mikko Ruutu','Jim Baxter','Bret Dececco','Greg Barber','Chris Hartsburg','Erkki Rajamaki','Markus Kankaanpera','Maxim Orlov','Miroslav Durak','Andrew Carver','David Nystrom','Mikko Hyytia','Yevgeni Gusakov','Eric Betournay','David Evans','Darcy Robinson','Brad Self','Anton Borodkin','Justin Dziama','Mikko Kuparinen','Ray Dilauro','Igor Shadilov','Petter Henning','Dmitri Kirilenko','Jerome Marois','Alexei Bulatov','Brett Henning','Tamas Groschl','Brian Gornick','Yevgeni Kurilin','Brian Mcmeekin','Andrew Mcpherson','Alexei Litvinenko','Georgijs Pujacs','Jamie Chamberlain','Ken Davis','Peter Metcalf','Tyler Scott','Konstantin Gorovikov','James Desmarais','Darrell Hay','Mikhail Donika','Artyom Kryukov','Ilya Nikulin','Ruslan Zainullin','Daniel Widing','Teemu Laine','Tero Maatta','Libor Ustrnul','Sergei Soin','Alexander Tatarinov','Matt Demarchi','Vladimir Sapozhnikov','Agris Saviels','Tuukka Makela','Maxim Birbraer','Ben Knopp','Thatcher Bell','Mattias Nilsson','Robert Fried','Tyler Hanchuck','Sean O\'Connor','Alexander Lyubimov','Jan Bohac','Alexei Tereschenko','Sergei Klyazmin','Tim Branham','Alexander Drozdetsky','Antoine Bergeron','Marc Cavosie','Miguel Delisle','Arto Tukio','Brett Nowak','Vladimir Gorbunov','Scotty Balan','Carl Mallette','Blake Robson','Johan Eneqvist','Jared Newman','Premysl Duben','Lou Dickenson','Christian Larrivee','Chris Eade','Derrick Byfuglien','Vadim Khomitsky','Phil Cole','Johan Hagglund','Dmitri Semyonov','Alexander Seluyanov','Troy Riddle','Aaron Van Leusen','Peter Podhradsky','Dmitri Upper','Scott Heffernan','Ruslan Bernikov','Nathan Martz','Wade Davis','Michal Pinc','Pavel Duma','Ryan Glenn','Matthew Mcrae','Kristofer Ottosson','Denis Denisov','Tyler Kolarik','Alexander Barkunov','Bill Cass','Grant Potulny','Sean Connolly','Nate Kiser','Pavel Sedov','Artyom Chernov','Ivan Nepryayev','Tomas Harant','Sven Helfenstein','Jeff Dwyer','Vadim Sozinov','J.D. Forrest','Petr Chvojka','Michal Macho','Shaun Norrie','Patrick Foley','Par Backer','Jason Maleyko','Chris Bahen','Aaron Gionet','Ladislav Vlcek','Joey Martin','Colin Shields','Paul Ballantyne','Zbynek Irgl','Ken Magowan','Brian Passmore','Janne Jokila','Yevgeni Fyodorov','Chris Berti','Tim Eriksson','Cliff Loya','Markus Seikola','John Eichelberger','Joe Cullen','Magnus Kahnberg','Vasili Bizyayev','Jim Abbott','Igor Samoilov','Craig Olynick','Marco Tuokko','Marek Priechodsky','Lubos Velebny','Vladislav Luchkin','Jimmie Svensson','Brett Lutes','Samu Isosalo','Mats Christeen','Danny Eberly','David Hajek','Nathan Barrett','Evan Nielsen','Eric Bowen','Dan Welch','Jason Platt','Steven Crampton','Sami Venalainen','Flavien Conne','Todd Jackson','Matt Sommerfeld','Alexander Shinkar','Pasi Saarinen','Warren Mccutcheon','Regan Kelly','Yevgeni Bumagin','Peter Flache','Dmitri Altaryov','Sean Kotary','Martin Richter','Tim Smith','Yevgeni Muratov','Jonathan Gauthier','Troy Ferguson','Ryan Courtney','Martin Paroulek','Andreas Lindstrom','Peter Fabus','James Demone','Martin Hohener','Milan Kopecky','Mark Mcrae','Bjorn Nord','Arne Ramholt','Louis Mandeville','Lauri Kinos','Jiri Dopita','Lance Ward','Pierre Dagenais','Scott Parker','Gordie Dwyer','Boyd Kane','Evgeny Korolev','Andrei Bashkirov','Nick Boynton','Robert Schnabel','Kent McDonell','Brad Moran','Tom Kostopoulos','Patrik Stefan','Vincent Lecavalier','David Legwand','Brad Stuart','Bryan Allen','Rico Fata','Manny Malhotra','Mark Bell','Mike Rupp','Jeff Heerema','Alex Tanguay','Eric Chouinard','Martin Skoula','Robyn Regehr','Mathieu Biron','Simon Gagne','Milan Kraft','Christian Backman','Jiri Fischer','Mike Van Ryn','Scott Gomez','Vitaly Vishnevski','Nik Antropov','Dmitri Kalinin','Andrew Peters','Ramzi Abid','Jonathan Cheechoo','Kyle Rossiter','Artem Chubarov','Stephen Peat','Blair Betts','Chris Nielsen','Christian Berglund','John Erskine','Ossi Vaananen','Mike Fisher','Mike Ribeiro','Justin Papineau','Norman Milley','Jonathan Girard','Jaroslav Kristek','Bobby Allen','Steve Moore','Ryan Barnes','Tyler Bouck','Chris Bala','Denis Arkhipov','Joe Dipenta','Paul Manning','Brad Richards','Alex Henry','Jarkko Ruutu','Erik Cole','Dimitri Afanasenkov','Julien Vauclair','Francois Beauchemin','Mike Pandolfo','Peter Nordstrom','Brian Gionta','Matt Walker','Alexei Ponikarovsky','Ryan Jardine','Josef Vasicek','Eric Beaudoin','Tommy Vestlund','Mikko Jokela','Rob Davison','Shawn Horcoff','Petr Schastlivy','Kip Brennan','Chris Corrinet','Miroslav Zalesak','Jaroslav Spacek','Mike Siklenka','Patrick Leahy','Francis Belanger','Tomas Kloucek','Rob Scuderi','Ryan Flinn','Mikael Samuelsson','Trent Hunter','Pavel Patera','Allan Rourke','Jesse Fibiger','Tyler Arnason','Erik Westrum','Rickard Wallin','Chris Neil','Andrei Markov','Tomas Zizka','Tomas Divisek','Ales Kotalik','Petr Svoboda','Pavel Datsyuk','Niko Kapanen','Karlis Skrastins','Jan Mertzig','Johan Witehall','Jaroslav Svoboda','Jim Fahey','Petr Hubacek','Toby Petersen','Michael Ryder','David Moravec','Michael Farrell','Martin Cibak','Bruno St. Jacques','Matt Hussey','John Pohl','Jeff MacMillan','Daniel Sedin','Henrik Sedin','Pavel Brendl','Tim Connolly','Kris Beech','Taylor Pyatt','Jamie Lundmark','Branislav Mezei','Oleg Saprykin','Denis Shvidki','Jani Rita','Jeff Jillson','David Tanabe','Barret Jackman','Konstantin Koltsov','Kirill Safronov','Barrett Heisten','Steve McCarthy','Mikhail Kuleshov','Martin Havlat','Kristian Kudroc','Michal Sivek','Luke Sellars','Jonas Andersson','Ross Lupaschuk','Milan Bartovic','Alexei Semenov','Nolan Yonkman','Tony Salmelainen','Mike Commodore','Jordan Leopold','Martin Grenier','Sheldon Keefe','Brett Lysak','Matt Murley','Adam Hall','Brad Ralph','Andrew Hutchinson','Doug Janik','Matt Carkner','Dan Jancevski','Zdenek Blatny','Niklas Hagman','Jason Jaspers','Frantisek Kaberle','Mattias Weinhandl','Niclas Havelid','Brad Fast','Peter Smrek','Jimmie Olvestad','Mike Comrie','Branko Radivojevic','Chris Kelly','Mathias Tjarnqvist','Juraj Kolnik','Brian McGrattan','Ryan Malone','Kaspars Astashenko','Derek MacKenzie','Justin Mapletoft','Roman Tvrdon','Jordan Krestanovich','Niko Dimitrakos','Timo Helbling','Damian Surma','Riku Hahl','Martin Erat','Vaclav Pletka','Layne Ulmer','Henrik Zetterberg','Radim Vrbata','Alexandre Giroux','Garnet Exelby','Colin Hemingway','George Parros','Radek Martinek','Petr Tenkrat','Alexander Khavanov','Goran Bezina','Pierre Hedin','Douglas Murray','Tommi Santala','Mikko Eloranta','Darren Haydar','Noah Clarke','Hannes Hyvonen','Brandon Reid','Dany Heatley','Marian Gaborik','Rostislav Klesla','Raffi Torres','Scott Hartnell','Lars Jonsson','Nikita Alexeev','Mikhail Yakubov','Pavel Vorobiev','Alexei Smirnov','Ron Hainsey','Vaclav Nedorost','Marcel Hossa','Alexei Mikhnov','Brooks Orpik','Krys Kolanos','Alex Frolov','Anton Volchenkov','David Hale','Nathan Smith','Brad Boyes','Steve Ott','Brian Sutherby','Martin Samuelsson','Justin Williams','Niklas Kronwall','Jeff Taffe','Tomas Kurka','Nick Schultz','Brad Winchester','Andy Hilbert','Tomas Kopecky','Kurtis Foster','Matt Pettinger','Jared Aulin','Jonas Nordqvist','Kris Vernarsky','Shane Endicott','Andreas Lilja','Antoine Vermette','Aleksander Suglobov','Ivan Huml','Jakub Cutta','Paul Martin','Filip Novak','David Morisset','Joel Lundqvist','Sergei Zinovjev','Igor Radulov','Jozef Balej','Ryan Bayda','Alexandre Kharitonov','Yanick Lehoux','Kurt Sauer','Libor Pivko','Dominic Moore','Niclas Wallin','Jonas Ronnqvist','Jon Disalvatore','Lubomir Visnovsky','Michel Ouellet','Maxim Sushinsky','Petteri Nummelin','Michael Danton','Mike Stuart','David Koci','Matt Koalska','Travis Moen','Greg Zanon','John-Michael Liles','Erik Reitz','Jarno Kultanen','Jukka Hentunen','Darcy Hordichuk','Josh Olson','Ryan Caldwell','Peter Bartos','Paul Gaustad','Antti Miettinen','Guillaume Lefebvre','Lubomir Sekeras','Janis Sprukts','Zdenek Kutlak','Chad Wiseman','Darryl Bootland','Sean McMorrow','Thomas Ziegler','Jean-Philippe Cote','Tomi Pettinen','Pavel Kolarik','Micki Dupont','Reto Von Arx','Roman Simicek','Andrej Nedorost','Simon Gamache'}
@attribute DraftAge numeric
@attribute Country {Canada,Ukraine,Russia,Finland,USA,Sweden,Austria,'Czech Rep.',Kazakhstan,Slovakia,Switzerlan,Slovenia,U.K.,Norway,France,Hungary,Belarus,Latvia,Italy,Israel,Scotland,CZE,CAN,RUS,BRA,SWE,UKR,KAZ,TZA,FIN,CHE,SVK,LVA,BLR,HRV,DEU}
@attribute country_group {CAN,EURO,USA}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {C,L,D,R}
@attribute DraftYear numeric
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute sum_7yr_GP numeric
@attribute sum_7yr_TOI numeric
@attribute GP_greater_than_0 {no,yes}

@data
2082,'Michael Henrich',18,Canada,CAN,74,205,C,1998,5,66,41,22,63,75,5,5,1,3,4,0,-3,?,?,no
60629,'Randy Copley',19,Canada,CAN,74,216,L,1998,22,69,34,42,76,194,-6,4,0,0,0,16,-2,?,?,no
60630,'Maxym Linnik',19,Ukraine,EURO,76,198,D,1998,?,35,4,14,18,130,0,?,?,?,?,?,?,?,?,no
12777,'Jason Beckett',18,Canada,CAN,75,216,D,1998,44,71,1,11,12,241,1,5,0,0,0,16,-2,?,?,no
79187,'Ian Forbes',18,Canada,CAN,78,216,D,1998,?,61,2,3,5,164,3,13,0,0,0,16,1,?,?,no
18783,'Alexander Zevakhin',18,Russia,EURO,72,203,R,1998,5,48,17,18,35,26,-3,?,?,?,?,?,?,?,?,no
3243,'Tomek Valtonen',18,Finland,EURO,73,216,L,1998,28,67,7,7,14,152,0,3,0,0,0,0,0,?,?,no
79015,'Todd Hornung',18,Canada,CAN,72,201,C,1998,?,64,19,18,37,96,13,16,6,6,12,26,6,?,?,no
79288,'Eric Laplante',19,Canada,CAN,72,185,L,1998,?,40,19,22,41,193,-10,?,?,?,?,?,?,?,?,no
7113,'Kevin Holdridge',18,USA,USA,75,205,D,1998,?,61,4,15,19,106,23,15,0,3,3,20,-2,?,?,no
79294,'Yevgeni Lazarev',18,Ukraine,EURO,73,207,R,1998,82,11,9,13,22,19,0,5,5,2,7,17,0,?,?,no
79301,'David Cameron',18,Canada,CAN,73,174,C,1998,35,69,20,36,56,42,-14,?,?,?,?,?,?,?,?,no
9455,'Justin Morrison',19,USA,USA,75,220,R,1998,45,42,4,9,13,8,0,?,?,?,?,?,?,?,?,no
79304,'Geoff Koch',19,USA,USA,74,196,L,1998,?,43,5,6,11,51,0,?,?,?,?,?,?,?,?,no
257,'Gabriel Karlsson Pears',18,Sweden,EURO,73,205,C,1998,22,34,11,16,27,34,0,?,?,?,?,?,?,?,?,no
79344,'Kent Sauer',19,USA,USA,74,227,D,1998,?,54,4,19,23,99,0,10,1,2,3,18,0,?,?,no
60623,'Regan Darby',18,Canada,CAN,73,201,D,1998,?,39,1,3,4,153,-14,?,?,?,?,?,?,?,?,no
90,'Matthias Trattnig',19,Austria,EURO,73,212,D,1998,43,34,8,9,17,30,0,?,?,?,?,?,?,?,?,no
79345,'Andy Burnham',18,Canada,CAN,76,201,R,1998,?,38,2,4,6,78,3,?,?,?,?,?,?,?,?,no
17798,'Ryan Van Buskirk',20,Canada,CAN,74,214,D,2000,?,47,8,21,29,62,-2,7,1,2,3,16,1,?,?,no
6421,'Shaun Sutter',18,Canada,CAN,73,181,R,1998,?,69,11,9,20,146,-13,4,0,0,0,4,-4,?,?,no
20976,'Jean-Philippe Morin',18,Canada,CAN,73,203,D,1998,?,53,4,15,19,95,-7,?,?,?,?,?,?,?,?,no
30696,'Brent Hobday',19,Canada,CAN,72,185,L,1998,?,68,21,22,43,122,-17,4,2,0,2,4,-2,?,?,no
273,'Viktor Wallin',18,Sweden,EURO,75,207,D,1998,?,28,9,15,24,42,0,?,?,?,?,?,?,?,?,no
9599,'Anton But',18,Russia,EURO,74,214,L,1998,23,28,5,3,8,16,1,?,?,?,?,?,?,?,?,no
14999,'Brent Gauvreau',20,Canada,CAN,75,198,C,2000,?,61,34,53,87,74,2,5,1,2,3,4,-3,?,?,no
79353,'Curtis Rich',19,Canada,CAN,76,201,D,1998,36,70,3,12,15,204,11,17,0,0,0,36,-9,?,?,no
79356,'Erik Wendell',19,USA,USA,73,196,C,1998,?,17,7,2,9,64,0,?,?,?,?,?,?,?,?,no
60620,'Morgan Warren',18,Canada,CAN,74,209,R,1998,?,58,11,10,21,80,0,10,2,2,4,2,0,?,?,no
79358,'Brandon Coalter',20,Canada,CAN,74,201,L,1998,?,64,8,13,21,143,-15,7,3,3,6,6,0,?,?,no
60618,'Paul Elliott',18,Canada,CAN,73,216,D,1998,?,72,11,27,38,47,-44,?,?,?,?,?,?,?,?,no
79360,'Gavin Mcleod',18,Canada,CAN,77,216,D,1998,?,70,3,17,20,98,7,7,0,0,0,14,-3,?,?,no
11454,'Joe Rullier',18,Canada,CAN,75,231,D,1998,?,55,1,10,11,176,0,16,1,4,5,34,0,?,?,no
151,'David Ytfeldt',19,Sweden,EURO,72,192,D,1998,?,44,13,10,23,129,-1,?,?,?,?,?,?,?,?,no
79362,'Aaron Goldade',18,Canada,CAN,73,203,L,1998,?,66,19,16,35,58,-4,16,0,2,2,22,-2,?,?,no
79388,'Martin Beauchesne',18,Canada,CAN,72,201,D,1998,?,37,1,3,4,105,0,?,?,?,?,?,?,?,?,no
15946,'Garrett Prosofsky',18,Canada,CAN,71,190,C,1998,46,71,28,42,70,76,-33,6,6,3,9,4,4,?,?,no
79390,'Rick Bertran',18,Canada,CAN,75,181,D,1998,?,56,0,9,9,149,-12,6,0,0,0,11,-4,?,?,no
12762,'K.C. Timmons',18,Canada,CAN,75,229,D,1998,?,72,11,7,18,139,-26,?,?,?,?,?,?,?,?,no
359,'Calle Steen',18,Sweden,EURO,72,207,C,1998,?,21,1,3,4,22,0,?,?,?,?,?,?,?,?,no
42301,'Oleg Smirnov',18,Russia,EURO,71,196,L,1998,16,12,2,2,4,4,0,?,?,?,?,?,?,?,?,no
20500,'Sergei Kuznetsov',18,Russia,EURO,72,198,L,1998,11,28,5,3,8,14,0,?,?,?,?,?,?,?,?,no
64939,'Craig Brunel',20,Canada,CAN,72,220,R,1999,?,50,10,8,18,173,0,14,4,2,6,48,1,?,?,no
15598,'Chris Ovington',18,Canada,CAN,76,205,D,1998,?,68,2,13,15,72,4,5,0,0,0,2,-1,?,?,no
10423,'Paul Cabana',20,Canada,CAN,72,203,R,1998,?,52,48,32,80,121,0,?,?,?,?,?,?,?,?,no
79392,'Adam Deleeuw',18,Canada,CAN,73,212,L,1998,?,56,10,6,16,224,0,?,?,?,?,?,?,?,?,no
13790,'Kevin Clauson',20,USA,USA,77,218,D,1998,?,36,1,1,2,56,0,?,?,?,?,?,?,?,?,no
13250,'Brad Voth',18,Canada,CAN,77,229,R,1998,?,70,5,8,13,244,-26,?,?,?,?,?,?,?,?,no
3196,'Jari Viuhkola',18,Finland,EURO,72,196,C,1998,50,56,13,27,40,101,0,?,?,?,?,?,?,?,?,no
41694,'Trevor Ettinger',18,Canada,CAN,77,225,D,1998,?,50,1,2,3,181,-5,3,0,0,0,7,0,?,?,no
79394,'Ryan Milanovic',18,Canada,CAN,74,216,L,1998,?,42,1,8,9,72,0,6,1,3,4,19,-1,?,?,no
9597,'Alexander Ryazantsev',18,Russia,EURO,72,225,D,1998,8,59,12,18,30,48,1,?,?,?,?,?,?,?,?,no
24053,'Jan Fadrny',18,'Czech Rep.',EURO,72,196,C,1998,30,32,8,6,14,14,0,3,0,0,0,4,-2,?,?,no
31403,'Andrei Troshchinsky',20,Kazakhstan,EURO,75,185,C,1998,?,45,18,15,33,54,-8,?,?,?,?,?,?,?,?,no
79434,'Jacques Lariviere',19,Canada,CAN,75,218,L,1998,?,68,3,1,4,249,0,9,0,0,0,15,0,?,?,no
79436,'Brett Allan',18,Canada,CAN,76,185,L,1998,37,68,17,9,26,42,6,12,1,2,3,2,-2,?,?,no
79444,'B.J. Ketcheson',18,Canada,CAN,75,201,D,1998,?,58,3,4,7,99,-24,4,0,1,1,6,-6,?,?,no
79449,'Vince Malts',20,USA,USA,75,216,R,1998,?,33,11,17,28,124,0,11,6,13,19,20,0,?,?,no
79453,'Nathan Forster',18,Canada,CAN,73,194,D,1998,?,68,1,12,13,153,11,5,0,1,1,8,-1,?,?,no
466,'Stefan Lundqvist',20,Sweden,EURO,75,214,R,1998,?,48,25,17,42,2,-3,1,0,0,0,0,0,?,?,no
26096,'Jonathan Gagnon',18,Canada,CAN,73,198,L,1998,?,69,15,26,41,79,0,4,2,3,5,12,-1,?,?,no
81552,'Don Smith',19,USA,USA,74,205,C,1998,?,30,4,6,10,8,-4,?,?,?,?,?,?,?,?,no
19633,'Robert Mulick',19,Canada,CAN,74,203,D,1998,?,61,0,10,10,109,-16,?,?,?,?,?,?,?,?,no
13641,'Michel Periard',19,Canada,CAN,71,185,D,1998,?,68,14,30,44,64,10,5,0,0,0,18,0,?,?,no
18556,'Andrei Kruchinin',20,Russia,EURO,73,196,D,1998,?,50,0,6,6,75,6,?,?,?,?,?,?,?,?,no
3222,'Tommi Hannus',18,Finland,EURO,72,190,R,1998,24,52,22,19,41,20,5,7,1,2,3,4,0,?,?,no
8388,'Radek Duda',19,'Czech Rep.',EURO,73,201,R,1998,43,46,5,3,8,28,-4,10,0,2,2,6,-3,?,?,no
81623,'Oak Hewer',19,Canada,CAN,76,216,R,1998,?,62,8,11,19,68,-30,?,?,?,?,?,?,?,?,no
81634,'Joel Scherban',18,Canada,CAN,74,207,C,1998,?,8,2,5,7,2,5,16,2,3,5,4,1,?,?,no
81635,'Brad Twordik',19,Canada,CAN,70,201,L,1998,?,69,23,49,72,81,22,18,5,11,16,35,9,?,?,no
43245,'Jeremy Goetzinger',18,Canada,CAN,76,231,D,1998,?,69,4,6,10,78,-2,?,?,?,?,?,?,?,?,no
81636,'Erik Jensen',19,USA,USA,73,196,R,1998,?,41,12,14,26,90,0,11,2,5,7,60,0,?,?,no
81640,'Scott Perry',20,USA,USA,72,181,C,1998,?,38,5,12,17,18,0,?,?,?,?,?,?,?,?,no
80660,'Craig Murray',19,Canada,CAN,72,174,L,1998,?,57,45,52,97,50,0,?,?,?,?,?,?,?,?,no
10722,'Martin Bartek',18,Slovakia,EURO,72,223,R,1998,?,73,24,40,64,76,-7,?,?,?,?,?,?,?,?,no
51896,'Ian Jacobs',18,Canada,CAN,76,234,D,1998,?,61,7,8,15,23,5,10,0,0,0,4,-2,?,?,no
81642,'Graig Mischler',20,USA,USA,75,194,C,1998,?,39,7,13,20,22,0,?,?,?,?,?,?,?,?,no
82978,'David Bernier',20,Canada,CAN,74,187,R,1998,?,70,35,53,88,88,34,14,7,8,15,1,0,?,?,no
82977,'Sean Griffin',18,Canada,CAN,75,216,D,1998,?,63,0,6,6,97,4,12,0,0,0,13,-5,?,?,no
20971,'Mark Kosick',19,Canada,CAN,72,187,C,1998,?,45,14,32,46,18,12,?,?,?,?,?,?,?,?,no
82980,'Christian Lefebvre',20,Canada,CAN,77,216,D,1998,?,8,0,0,0,18,0,?,?,?,?,?,?,?,?,no
82981,'Justin Hansen',18,Canada,CAN,73,194,C,1998,?,67,16,18,34,97,-4,?,?,?,?,?,?,?,?,no
83452,'Dwight Wolfe',18,Canada,CAN,78,214,D,1998,?,52,0,2,2,72,-12,5,0,0,0,0,-4,?,?,no
16662,'Jim Henkel',19,USA,USA,74,190,C,1998,?,37,34,37,71,0,0,?,?,?,?,?,?,?,?,no
80326,'Curtis Valentine',19,USA,USA,77,190,L,1998,?,38,7,8,15,34,0,?,?,?,?,?,?,?,?,no
74668,'Dan Hulak',18,Canada,CAN,75,190,D,1998,?,70,3,14,17,32,-1,12,0,2,2,2,6,?,?,no
31480,'Lubomir Pistek',18,Slovakia,EURO,74,198,L,1998,49,55,16,35,51,60,0,?,?,?,?,?,?,?,?,no
83453,'Sergei Verenikin',19,Russia,EURO,71,187,R,1998,?,22,3,2,5,38,0,?,?,?,?,?,?,?,?,no
66006,'Yevgeni Pastukh',19,Ukraine,EURO,71,179,L,1998,?,29,6,6,12,16,0,3,0,0,0,0,0,?,?,no
201,'David Petrasek',22,Sweden,EURO,73,207,D,1998,?,47,6,10,16,90,7,5,2,2,4,14,1,?,?,no
3231,'Marko Ahosilta',18,Finland,EURO,69,194,L,1998,84,55,40,31,71,78,-1,?,?,?,?,?,?,?,?,no
22669,'Michal Travnicek',18,'Czech Rep.',EURO,73,216,L,1998,66,49,21,22,43,2,0,?,?,?,?,?,?,?,?,no
12577,'Chris Lyness',18,Canada,CAN,74,205,D,1998,?,65,2,15,17,100,9,6,0,1,1,12,2,?,?,no
12697,'Adrian Wichser',18,Switzerlan,EURO,71,187,C,1998,35,48,8,10,18,35,-4,7,0,1,1,6,0,?,?,no
42142,'Jason Metcalfe',20,Canada,CAN,73,203,D,1998,?,66,2,21,23,270,28,5,0,1,1,8,-3,?,?,no
306,'Pelle Prestberg',23,Sweden,EURO,70,172,R,1998,?,49,29,15,44,22,19,12,9,2,11,8,10,?,?,no
14644,'Kevin Mitchell',18,USA,USA,73,194,D,1998,?,65,10,46,56,73,11,13,1,9,10,14,3,?,?,no
83105,'Ben Blais',20,USA,USA,75,198,D,1998,?,54,12,39,51,75,0,?,?,?,?,?,?,?,?,no
83102,'Alexandre Couture',18,Canada,CAN,75,223,L,1998,?,66,15,19,34,144,-18,?,?,?,?,?,?,?,?,no
6627,'Brent Mcdonald',19,Canada,CAN,71,185,R,1998,?,69,18,27,45,93,10,5,0,2,2,4,-3,?,?,no
83050,'Andrei Yershov',22,Russia,EURO,72,176,D,1998,?,45,5,8,13,60,0,?,?,?,?,?,?,?,?,no
17231,'Maxim Spiridonov',20,Russia,EURO,70,185,R,1998,?,66,54,44,98,52,23,19,3,4,7,4,2,?,?,no
83049,'Jason Doyle',20,Canada,CAN,73,205,R,1998,?,46,15,22,37,70,-24,10,7,4,11,11,4,?,?,no
137,'Rastislav Pavlikovsky',21,Slovakia,EURO,71,198,C,1998,?,78,19,30,49,54,15,2,0,0,0,6,-1,?,?,no
83097,'Darcy Harris',20,Canada,CAN,73,181,R,1998,?,61,21,19,40,200,1,6,2,4,6,28,-1,?,?,no
