@relation 'QueryResult-weka.filters.unsupervised.attribute.Remove-R1-2,4,22-23-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute DraftAge numeric
@attribute country_group {CAN,EURO,USA}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {C,L,D,R}
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute GP_greater_than_0 {no,yes}

@data
0,CAN,0.588235,0.459459,C,0.016129,0.66,0.525641,0.2,0.335106,0.156576,0.532374,0.137931,0.045455,0.1,0.086957,0,0.206897,no
0.071429,CAN,0.588235,0.558559,L,0.084677,0.69,0.435897,0.381818,0.404255,0.40501,0.453237,0.103448,0,0,0,0.133333,0.241379,no
0.071429,EURO,0.705882,0.396396,D,?,0.35,0.051282,0.127273,0.095745,0.271399,0.496403,?,?,?,?,?,?,no
0,CAN,0.647059,0.558559,D,0.173387,0.71,0.012821,0.1,0.06383,0.503132,0.503597,0.137931,0,0,0,0.133333,0.241379,no
0,CAN,0.823529,0.558559,D,?,0.61,0.025641,0.027273,0.026596,0.34238,0.517986,0.413793,0,0,0,0.133333,0.344828,no
0,EURO,0.470588,0.441441,R,0.016129,0.48,0.217949,0.163636,0.18617,0.05428,0.47482,?,?,?,?,?,?,no
0,EURO,0.529412,0.558559,L,0.108871,0.67,0.089744,0.063636,0.074468,0.317328,0.496403,0.068966,0,0,0,0,0.310345,no
0,CAN,0.470588,0.423423,C,?,0.64,0.24359,0.163636,0.196809,0.200418,0.589928,0.517241,0.272727,0.2,0.26087,0.216667,0.517241,no
0.071429,CAN,0.470588,0.279279,L,?,0.4,0.24359,0.2,0.218085,0.402923,0.42446,?,?,?,?,?,?,no
0,USA,0.647059,0.459459,D,?,0.61,0.051282,0.136364,0.101064,0.221294,0.661871,0.482759,0,0.1,0.065217,0.166667,0.241379,no
0,EURO,0.529412,0.477477,R,0.326613,0.11,0.115385,0.118182,0.117021,0.039666,0.496403,0.137931,0.227273,0.066667,0.152174,0.141667,0.310345,no
