@relation QueryResult

@attribute id numeric
@attribute PlayerName {'Martin Vagner','Jonas Fiedler','Dany Roussin','William Colbert','Trevor Hendrikx','A.J. Thelen','Andy Rogers','Johannes Salmonsson','Johan Fransson','Logan Stephenson','Darin Olver','Jordan Smith','Roman Voloshenko','Roman Teslyuk','Ryan Garlock','Bruce Graham','Jakub Sindel','Geoff Paukovich','Kirill Lyamin','Kyle Wharton','Mikhail Yunkov','Mark Tobin','Denis Parshin','Zdenek Bahensky','Kyle Klubertanz','Shawn Weller','Billy Ryan','Vaclav Meidl','Sergei Ogorodnikov','Viktor Alexandrov','Brian Gifford','John Lammers','Clayton Barthel','Rob Bellamy','Paul Baier','Andrei Plekhanov','R.J. Anderson','Roman Tomanek','Fredrik Naslund','Evan Schafer','Chad Painchaud','Nick Fugere','Ashton Rome','Ned Lukacevic','Roman Kukumberg','Michal Birner','Julien Sprunger','Aki Seitsonen','Mitch Maunu','Kris Hogg','Karel Hromas','Andrew Sarauer','Evan Mcgrath','Michal Sersen','Trevor Kell','Oscar Hedman','Petr Pohl','Roman Psurny','Pasi Salonen','Jim Mckenzie','Juraj Gracik','Eric Neilson','Chris Zarb','Gino Pisellini','Sergei Kolosov','Bret Nasby','Richard Demen Willaume','Andrei Mikhailishin','Dmitri Vorobyov','Brandon Elliott','Jean-Claude Sawyer','Tyler Haskins','Dusty Collins','Moises Gutierrez','Scott Mcculloch','Peter Guggisberg','Kevin Cormier','Jordan Foote','Ladislav Scurko','Frederik Cabana','Matt Auffrey','Aaron Boogaard','Max Gordichuk','Jaroslav Mrazek','Fred Wikner','Trevor Ludwig','Jan Zapletal','Anton Axelsson','Kevin Schaeffer','Jean-Michel Rizk','Justin Vienneau','Matt Schneider','Ryan Pottruff','Miikka Tuomainen','Mike Curry','Stephane Goulet','Stanislav Balan','Emil Axelsson','David Fredriksson','Jon Gleed','Sergei Kukushkin','Joe Cooper','Maxim Semyonov','Jordan Morrison','Jared Walker','Dave Macdonald','Steve Covington','Eric Hunter','Matt Greer','Matt Christie','Mitch Carefoot','Tyler Spurgeon','Denis Kulyash','Jason Pitton','Justin Keller','Jonathan Paiement','Lukas Vomela','J.D. Corbin','Nathan Perkovich','Matt Mcilvane','Jan Steber','Travis Gawryletz','David Schulz','Anton Hedman','Matthew Ford','Gennadi Stolyarov','Brian Ihnacak','Marko Anttila','Will Engasser','Valtteri Tenkanen','Spencer Dillon','Matt Siddall','Dylan Hunter','Craig Switzer','Jonathan Boutin','Alexandre Dulac-Lemelin','Matt Mcknight','Steve Mcclellan','Valeri Klimov','Luke Beaverson','John Wikner','Nils Backstrom','John Carter','Marek Zagrapan','Sasha Pokulok','Alex Bourret','Tom Fritsche','Philip Gogulla','Chad Denny','Chris Durand','Andrew Kozek','Dan Bertram','Nate Hagemo','T.J. Fast','Michael Gergen','Jason Bailey','Joe Barnes','Gord Baldwin','Vitali Anikeyenko','Dan Ryder','Shea Guthrie','Dalyn Flatt','Christofer Lofberg','Robby Dee','Chris Lawrence','Dan Collins','Marek Bartanus','Olivier Legault','Jakub Vojta','Matt Duffy','Andrew Thomas','Kyle Bailey','J.D. Watt','Nathan Davis','Janne Kolehmainen','Denis Istomin','Patrick Mcneill','Vyacheslav Trukhno','Juraj Mikus','Morten Madsen','Ondrej Otcenas','Tommi Leinonen','Tim Crowder','Bobby Bolt','Mathieu Aubin','Stanislav Lascek','Brennan Turner','Tomas Pospisil','Tomas Kudelka','Johan Ryno','Matt Butcher','Patrik Hersley','Tim Kunes','Trevor Koverko','Anton Krysanov','Jeff May','Josh Beaulieu','Alex Berry','Wacey Rabbit','Fredrik Pettersson','Risto Korhonen','P.J. Fenton','Marek Kvapil','Roman Derlyuk','Jason Lynch','Mike Gauthier','Sean Zimmerman','Lukas Vantuch','Johan Dahlberg','John Flatters','Juho Mielonen','Ryan Maki','Derek Reinhart','Greg Beller','Tyrell Mason','Ryan Mcginnis','Dmitri Megalinsky','Joe Charlebois','Kirill Starkov','Vyacheslav Buravchikov','Tony Lucia','Jean-Philippe Paquet','Nick Tuzzolino','Kyle Lawson','Riley Emmerson','David Kuchejda','Adam Hobson','Josh Meyers','Myles Stoesz','Matt Generous','Viktor Dovgan','Luciano Aquino','Pat Brosnihan','Scott Todd','Bretton Stamler','Matt Clackson','Brock Bradford','Alexander Sundstrom','Nikolai Lemtyugov','Matthew Glasser','Myles Rumsey','Zach Bearson','John Wessbecker','John Seymour','Andrew Orpik','Philippe Paquet','Mark Mitera','David Fischer','Dennis Persson','Igor Makarov','Francois Bouchard','Yuri Alexandrov','Bryce Swan','Ondrej Fiala','Mike Ratchuk','Riley Holzapfel','Joey Ryan','Nigel Williams','Keith Seabrook','Denis Bodrov','Codey Burki','Simon Danis-Pepin','Dick Axelsson','Kirill Tulupov','Robin Figren','Brady Calla','Tony Lagerstrom','Michael Forney','Mike Carman','Daniel Rahimi','John De Gray','Ryan Hillier','John Armstrong','Jonas Ahnelov','Aaron Marvin','Aaron Snow','Harrison Reed','Ryan Turek','Ben Shutron','James Delory','Joonas Lehtivuori','Kyle Medvec','David Kveton','Niko Snellman','T.J. Miller','Kevin Montgomery','Ben Wright','Niclas Andersen','Tomas Marcinko','Felix Schutz','Hugo Carpentier','Doug Rogers','Pierre-Luc Lessard','Luke Lynes','Bobby Hughes','Maxime Lacroix','Robert Nyholm','Martin Latal','David Meckler','Nick Sucharski','Tomas Zaborsky','Pavel Valentenko','Cody Wild','Kim Johansson','Maxime Frechette','Martin Nolet','Juuso Puustinen','Max Warn','Stefan Chaput','Peter Aston','Jan-Mikael Juutilainen','Levi Nelson','Jesse Dudas','Julian Walker','Constantin Braun','Jonas Enlund','Tyler Ruegsegger','Juraj Simek','Dane Crowley','Chris Auger','Alexander Bumagin','Brian Day','Ryan Flynn','Tony Romano','Jordan Fulton','Kevin Koopman','Nick Dodge','Alexander Hellstrom','Timo Seppanen','Devin Didiomete','Chris Frank','Troy Mattila','Chris Hickey','Matt Marquardt','Jesse Martin','Evan Fuller','Denis Kazionov','Cameron Cepek','Jay Barriball','Lukas Zeliska','Andrei Popov','Viktor Gibbs Sjodin','Benjamin Breault','Kyell Henegan','Per Johnsson','Logan Pyett','Justin Krueger','Mark Streit','Tim Brent','Chris Campoli','Masi Marjamaki','Clayton Stoner','Triston Grant','Danny Syvret','Alex Ovechkin','Evgeni Malkin','Cam Barker','Andrew Ladd','Blake Wheeler','Rostislav Olesz','Alexandre Picard','Ladislav Smid','Boris Valabik','Lauri Tukonen','Drew Stafford','Alexander Radulov','Petteri Nokelainen','Kyle Chipchura','Lauri Korpikoski','Travis Zajac','Wojtek Wolski','Lukas Kaspar','Andrej Meszaros','Kris Chucko','Rob Schremp','Jeff Schultz','Mark Fistric','Mike Green','Dave Bolland','Chris Bourque','Grant Lewis','Bryan Bickell','Michael Funk','Adam Pineault','Blake Comeau','Dane Byers','Enver Lisin','Raymond Sawada','David Booth','Victor Oreskovich','Nicklas Grossmann','Brandon Dubinsky','Alex Goligoski','David Krejci','Martins Karsums','Sami Lepisto','Nick Johnson','Adam Berti','Casey Borer','Brandon Prust','Andrej Sekera','Scott Lehman','Peter Olvecky','Peter Regin','Alexander Edler','Johan Franzen','Dustin Boyd','Tyler Kennedy','JT Wyman','Mike Lundin','Brett Carson','Ryan Jones','Liam Reddox','Wes O\'Neill','Kevin Porter','Alexander Nikulin','David Laliberte','Torrey Mitchell','Ryan Callahan','Kris Versteeg','Nikita Nikitin','Jake Dowell','Bryan Young','Janne Niskala','Steve Regier','Mikhail Grabovski','Steven Zalewski','Roman Wick','Mike Brown','Ben Walter','Adam Pardy','Scott Parse','Patrick Kaleta','Mike Santorelli','Roman Polak','Derek Peltier','Robbie Earl','Petri Kontiola','Andrew Gordon','Chad Kolarik','Mike Vernace','Mark Mancari','Troy Brouwer','Pierre-Luc Letourneau-Leblond','Tyler Eckford','Matt Hunwick','Brandon Yip','Aaron Gagnon','Mike Card','Gregory Stewart','Travis Morin','Daniel Winnik','Jakub Petruzalek','Janne Pesonen','Grant Clitsome','Kyle Wilson','Adam Cracknell','Jannik Hansen','Olivier Magnan','Mike Blunden','Mason Raymond','Mattias Ritola','Paul Stastny','Guillaume Latendresse','Dustin Kohn','Sidney Crosby','Bobby Ryan','Jack Johnson','Benoit Pouliot','Gilbert Brule','Jack Skille','Devin Setoguchi','Brian Lee','Luc Bourdon','Anze Kopitar','Marc Staal','Ryan O\'Marra','Martin Hanzal','Ryan Parent','Jakub Kindl','Kenndal McArdle','Matt Lashoff','Niclas Bergfors','T.J. Oshie','Andrew Cogliano','Matt Pelech','Joe Finley','Matt Niskanen','Steve Downie','Vladimir Mihalik','Brendan Mikkelson','James Neal','Ryan Stoa','Marc-Edouard Vlasic','Taylor Chorney','Scott Jackson','Petr Kalus','Michael Sauer','Justin Abdelkader','Adam McQuaid','Marc-Andre Cliche','Matt Kassian','Kris Letang','Brodie Dupont','Kris Russell','Evan Brophey','Rich Clune','Keith Yandle','Radek Smolenak','Perttu Lindgren','Teemu Laakso','Cody Franson','Vladimir Sobotka','Phil Oreskovic','Mikko Lehtonen','Mark Fraser','Marc-Andre Gragnani','T.J. Hensick','Oskars Bartulis','Cody Bass','Chris Butler','Chris VandeVelde','Ilya Zubov','Patrick Davis','Jonathan Sigalet','Jared Boll','Blair Jones','Tom Pyatt','Niklas Hjalmarsson','Jordan Lavallee-Smotherman','Ray Macias','Darren Helm','Brian Salcido','Nathan Gerbe','Tom Wandell','Derek Joslin','Cal O\'Reilly','Mark Fayne','Ryan Reaves','Matt Watkins','Justin Mercier','Nick Drazenovic','Brett Sutter','Tim Kennedy','Kris Fredheim','Andrey Zubarev','Matt D\'Agostini','Joe Vitale','Sergei Kostitsyn','Colin Greening','Mario Bliznak','Ryan Russell','Anton Stralman','Kyle Cumiskey','Chad Rau','Patric Hornqvist','Bryan Little','Michael Caruso','Brad Marchand','Nick Foligno','Mike Weber','Derek Dorsett','Kevin Quick','Mathieu Carle','Jon Matsumoto','Erik Johnson','Kyle Okposo','Trevor Lewis','Rhett Rakhshani','Arturs Kulda','Leo Komarov','Jamie McGinn','Ryan White','Eric Gryba','Milan Lucic','Jiri Tlusty','Kaspars Daugavins','Chris Stewart','Sergei Shirokov','Tomas Kana','Matt Beleskey','Ben Maxwell','Petteri Wirtanen','Oskar Osala','Ty Wishart','Cal Clutterbuck','Jeff Petry','Jonas Junland','David McIntyre','Claude Giroux','Jesse Joensuu','Theo Peckham','Peter Mueller','Jordan Staal','Patrik Berglund','James Sheppard','Viktor Stalberg','Carl Sneep','Tom Sestito','Derick Brassard','Michael Grabner','Phil Kessel','Andrew Bodnarchuk','Cory Emmerton','Korbinian Holzer','John McCarthy','Nicklas Backstrom','Michael Frolik','Brian Strait','Andreas Nodl','Jan Mursak','Jamie McBain','Artem Anisimov','Shawn Matthias','Nikolay Kulemin','Matthew Corrente','Ivan Vishnevskiy','Andrew MacDonald','Erik Condra','Chris Summers','Vladimir Zharkov','Benn Ferriero','Jonathan Toews','Alexander Vasyunov','Blake Geoffrion','Bobby Sanguinetti','Shane Sims','Jonathan Rheault','Mathieu Perreault'}
@attribute DraftAge numeric
@attribute Country {'Czech Rep.',Canada,USA,Sweden,Germany,Russia,Kazakhstan,Slovakia,Switzerlan,Finland,Hungary,Belarus,Croatia,Italy,Denmark,France,CHE,CAN,FIN,RUS,CZE,SVK,POL,SWE,LVA,DNK,DEU,SVN,JPN,BLR,EST,AUT}
@attribute country_group {EURO,CAN,USA}
@attribute Height numeric
@attribute Weight numeric
@attribute Position {D,L,C,R}
@attribute DraftYear numeric
@attribute CSS_rank numeric
@attribute rs_GP numeric
@attribute rs_G numeric
@attribute rs_A numeric
@attribute rs_P numeric
@attribute rs_PIM numeric
@attribute rs_PlusMinus numeric
@attribute po_GP numeric
@attribute po_G numeric
@attribute po_A numeric
@attribute po_P numeric
@attribute po_PIM numeric
@attribute po_PlusMinus numeric
@attribute sum_7yr_GP numeric
@attribute sum_7yr_TOI numeric
@attribute GP_greater_than_0 {no,yes}

@data
18018,'Martin Vagner',20,'Czech Rep.',EURO,74,212,D,2004,?,45,6,12,18,99,28,13,0,3,3,16,8,?,?,no
18022,'Jonas Fiedler',20,'Czech Rep.',EURO,74,198,L,2004,?,63,18,28,46,83,0,9,1,6,7,16,-1,?,?,no
9475,'Dany Roussin',20,Canada,CAN,74,201,L,2005,?,69,54,62,116,66,61,13,11,9,20,8,10,?,?,no
18009,'William Colbert',20,Canada,CAN,74,205,D,2005,?,68,6,26,32,65,22,21,3,8,11,8,-1,?,?,no
15540,'Trevor Hendrikx',20,Canada,CAN,74,205,D,2005,?,68,15,33,48,100,-6,14,5,7,12,14,1,?,?,no
11595,'A.J. Thelen',18,USA,USA,75,212,D,2004,11,41,11,18,29,50,16,?,?,?,?,?,?,?,?,no
9483,'Andy Rogers',18,Canada,CAN,77,207,D,2004,24,71,2,5,7,115,10,7,0,0,0,11,-2,?,?,no
1269,'Johannes Salmonsson',18,Sweden,EURO,74,207,L,2004,20,44,4,14,18,16,6,?,?,?,?,?,?,?,?,no
507,'Johan Fransson',19,Sweden,EURO,74,198,D,2004,7,68,9,8,17,54,7,2,0,0,0,4,-1,?,?,no
11474,'Logan Stephenson',18,Canada,CAN,75,205,D,2004,35,69,3,8,11,112,2,11,1,1,2,10,-2,?,?,no
11418,'Darin Olver',19,Germany,EURO,71,183,C,2004,120,41,13,21,34,26,-3,?,?,?,?,?,?,?,?,no
18015,'Jordan Smith',19,Canada,CAN,74,220,D,2004,51,68,6,20,26,140,12,?,?,?,?,?,?,?,?,no
9259,'Roman Voloshenko',18,Russia,EURO,73,207,L,2004,19,56,15,15,30,60,5,4,1,1,2,4,2,?,?,no
11605,'Roman Teslyuk',18,Russia,EURO,73,212,D,2004,26,70,5,9,14,118,-6,5,0,1,1,2,3,?,?,no
9488,'Ryan Garlock',18,Canada,CAN,72,203,C,2004,16,59,20,32,52,50,14,4,1,0,1,6,-4,?,?,no
14004,'Bruce Graham',19,Canada,CAN,78,234,C,2004,14,68,24,33,57,89,-4,18,0,14,14,4,4,?,?,no
9229,'Jakub Sindel',18,'Czech Rep.',EURO,72,181,C,2004,15,88,24,26,50,38,9,13,1,1,2,2,1,?,?,no
9213,'Geoff Paukovich',18,USA,USA,76,209,L,2004,80,17,4,2,6,39,-2,?,?,?,?,?,?,?,?,no
9254,'Kirill Lyamin',18,Russia,EURO,74,207,D,2004,17,47,2,5,7,58,1,?,?,?,?,?,?,?,?,no
9484,'Kyle Wharton',18,Canada,CAN,75,207,D,2004,13,50,4,10,14,58,10,7,2,3,5,4,-1,?,?,no
9260,'Mikhail Yunkov',18,Russia,EURO,72,207,C,2004,18,54,9,15,24,26,9,4,0,1,1,0,2,?,?,no
11524,'Mark Tobin',19,Canada,CAN,75,214,C,2004,85,69,22,16,38,112,6,9,4,1,5,12,-2,?,?,no
9588,'Denis Parshin',18,Russia,EURO,70,154,L,2004,16,61,14,23,37,32,4,?,?,?,?,?,?,?,?,no
9235,'Zdenek Bahensky',18,'Czech Rep.',EURO,74,190,R,2004,24,75,19,24,43,224,14,2,1,1,2,14,2,?,?,no
9411,'Kyle Klubertanz',19,USA,USA,72,181,D,2004,98,57,6,21,27,124,10,?,?,?,?,?,?,?,?,no
9436,'Shawn Weller',18,USA,USA,74,218,L,2004,32,36,17,22,39,117,0,3,3,3,6,6,0,?,?,no
14877,'Billy Ryan',19,USA,USA,73,174,C,2004,95,37,35,55,90,40,0,?,?,?,?,?,?,?,?,no
12114,'Vaclav Meidl',18,'Czech Rep.',EURO,76,225,C,2004,28,67,14,28,42,108,1,9,0,3,3,4,-2,?,?,no
11495,'Sergei Ogorodnikov',18,Russia,EURO,72,185,C,2004,11,27,11,3,14,18,5,?,?,?,?,?,?,?,?,no
12297,'Viktor Alexandrov',19,Kazakhstan,EURO,69,168,R,2004,8,57,5,4,9,24,-6,4,1,1,2,4,-3,?,?,no
15041,'Brian Gifford',19,USA,USA,74,187,C,2004,130,26,19,37,56,26,0,?,?,?,?,?,?,?,?,no
9487,'John Lammers',18,Canada,CAN,70,183,L,2004,48,69,24,24,48,31,6,?,?,?,?,?,?,?,?,no
11528,'Clayton Barthel',18,Canada,CAN,75,205,D,2004,53,72,3,14,17,125,13,?,?,?,?,?,?,?,?,no
14875,'Rob Bellamy',19,USA,USA,73,190,R,2004,66,39,19,25,44,120,0,?,?,?,?,?,?,?,?,no
15066,'Paul Baier',19,USA,USA,75,212,D,2004,89,23,6,4,10,22,0,?,?,?,?,?,?,?,?,no
12251,'Andrei Plekhanov',18,Russia,EURO,74,201,D,2004,111,0,0,0,0,0,0,?,?,?,?,?,?,?,?,no
18033,'R.J. Anderson',18,USA,USA,72,194,D,2004,82,54,38,72,110,34,0,?,?,?,?,?,?,?,?,no
18032,'Roman Tomanek',18,Slovakia,EURO,73,198,R,2004,30,45,32,20,52,67,32,?,?,?,?,?,?,?,?,no
2495,'Fredrik Naslund',18,Sweden,EURO,77,209,L,2004,32,72,16,25,41,14,-6,3,0,1,1,4,0,?,?,no
18031,'Evan Schafer',19,Canada,CAN,74,220,D,2004,56,71,3,6,9,190,-6,6,0,0,0,14,0,?,?,no
15024,'Chad Painchaud',18,Canada,CAN,73,185,R,2004,42,68,17,25,42,25,23,24,4,6,10,23,5,?,?,no
18030,'Nick Fugere',19,Canada,CAN,74,229,L,2004,118,54,10,13,23,121,5,15,3,4,7,11,4,?,?,no
10637,'Ashton Rome',21,Canada,CAN,73,203,R,2006,224,65,30,34,64,130,5,?,?,?,?,?,?,?,?,no
17817,'Ned Lukacevic',18,Canada,CAN,72,203,C,2004,107,72,19,14,33,65,-7,4,1,1,2,2,-2,?,?,no
9665,'Roman Kukumberg',24,Slovakia,EURO,73,198,C,2004,?,60,16,20,36,95,38,11,4,8,12,14,6,?,?,no
9233,'Michal Birner',18,'Czech Rep.',EURO,72,201,L,2004,68,79,33,45,78,128,11,2,0,1,1,4,-1,?,?,no
9242,'Julien Sprunger',18,Switzerlan,EURO,76,198,R,2004,27,60,16,13,29,38,7,4,0,0,0,4,0,?,?,no
4131,'Aki Seitsonen',18,Finland,EURO,74,192,C,2004,30,71,16,24,40,18,9,5,0,0,0,0,-1,?,?,no
53546,'Mitch Maunu',18,Canada,CAN,73,225,D,2004,71,68,11,15,26,91,2,4,1,0,1,0,-8,?,?,no
11671,'Kris Hogg',18,Canada,CAN,71,179,L,2004,114,72,24,14,38,79,23,5,0,1,1,6,0,?,?,no
9234,'Karel Hromas',18,'Czech Rep.',EURO,73,220,L,2004,45,80,16,16,32,30,9,2,0,0,0,0,0,?,?,no
15047,'Andrew Sarauer',20,Hungary,EURO,76,205,C,2004,227,57,43,32,75,71,0,?,?,?,?,?,?,?,?,no
9491,'Evan Mcgrath',18,Canada,CAN,72,187,C,2004,36,75,16,37,53,32,4,5,2,1,3,2,-4,?,?,no
23857,'Michal Sersen',19,Slovakia,EURO,74,203,D,2004,43,45,7,18,25,30,20,9,1,5,6,6,-4,?,?,no
11326,'Trevor Kell',18,Canada,CAN,72,183,R,2004,150,62,9,14,23,48,15,15,7,8,15,14,15,?,?,no
1950,'Oscar Hedman',18,Sweden,EURO,72,212,D,2004,22,76,17,18,35,42,-7,16,3,6,9,6,0,?,?,no
9228,'Petr Pohl',18,'Czech Rep.',EURO,71,190,R,2004,58,70,23,27,50,16,11,8,0,2,2,2,-1,?,?,no
9620,'Roman Psurny',18,'Czech Rep.',EURO,73,187,C,2004,53,80,27,41,68,140,8,5,0,0,0,2,0,?,?,no
4130,'Pasi Salonen',19,Finland,EURO,71,194,L,2004,126,36,12,10,22,60,5,9,4,4,8,8,8,?,?,no
14182,'Jim Mckenzie',20,USA,USA,73,209,R,2004,104,59,26,38,64,168,13,?,?,?,?,?,?,?,?,no
9245,'Juraj Gracik',18,Slovakia,EURO,75,194,L,2004,26,34,18,8,26,12,1,?,?,?,?,?,?,?,?,no
11526,'Eric Neilson',20,Canada,CAN,74,205,R,2004,?,50,4,11,15,194,-4,9,0,0,0,28,-1,?,?,no
15308,'Chris Zarb',19,USA,USA,76,196,D,2004,37,43,4,20,24,78,23,11,0,4,4,17,7,?,?,no
11351,'Gino Pisellini',18,USA,USA,72,209,R,2004,112,68,15,15,30,214,4,9,0,3,3,23,-1,?,?,no
12191,'Sergei Kolosov',18,Belarus,EURO,76,203,D,2004,82,60,2,7,9,66,-3,9,1,2,3,10,0,?,?,no
13615,'Bret Nasby',18,Canada,CAN,75,187,D,2004,79,56,0,7,7,41,-5,7,0,3,3,6,-1,?,?,no
1290,'Richard Demen Willaume',18,Sweden,EURO,75,223,D,2004,73,61,11,9,20,70,1,12,1,3,4,10,0,?,?,no
18029,'Andrei Mikhailishin',18,Russia,EURO,76,220,D,2004,35,0,0,0,0,0,0,?,?,?,?,?,?,?,?,no
9603,'Dmitri Vorobyov',19,Russia,EURO,74,243,D,2004,29,33,2,1,3,16,3,4,0,0,0,4,0,?,?,no
12039,'Brandon Elliott',20,Canada,CAN,76,227,D,2004,?,55,7,19,26,237,1,13,0,0,0,32,2,?,?,no
12166,'Jean-Claude Sawyer',18,Canada,CAN,75,194,D,2004,163,56,5,13,18,48,14,2,0,0,0,2,-2,?,?,no
11324,'Tyler Haskins',18,USA,USA,73,194,C,2004,46,63,18,27,45,32,18,18,5,4,9,10,-1,?,?,no
9417,'Dusty Collins',19,USA,USA,75,212,C,2004,?,36,1,6,7,30,-2,?,?,?,?,?,?,?,?,no
11694,'Moises Gutierrez',18,USA,USA,76,227,R,2004,166,71,7,12,19,107,3,5,1,0,1,6,1,?,?,no
14865,'Scott Mcculloch',18,Canada,CAN,73,201,L,2004,40,44,23,26,49,85,0,?,?,?,?,?,?,?,?,no
9655,'Peter Guggisberg',19,Switzerlan,EURO,71,192,R,2004,42,44,14,11,25,0,3,6,0,0,0,4,0,?,?,no
12131,'Kevin Cormier',18,Canada,CAN,75,236,L,2004,?,43,3,2,5,240,1,?,?,?,?,?,?,?,?,no
18028,'Jordan Foote',19,Canada,CAN,75,205,R,2004,69,58,23,26,49,73,0,24,3,7,10,37,0,?,?,no
9252,'Ladislav Scurko',18,Slovakia,EURO,73,216,C,2004,38,75,23,32,55,124,6,8,6,3,9,10,0,?,?,no
9494,'Frederik Cabana',18,Canada,CAN,73,183,C,2004,63,77,18,25,43,96,-9,?,?,?,?,?,?,?,?,no
9427,'Matt Auffrey',18,USA,USA,74,203,R,2004,152,16,3,5,8,16,1,?,?,?,?,?,?,?,?,no
11601,'Aaron Boogaard',18,Canada,CAN,75,220,R,2004,?,35,3,2,5,57,1,6,0,0,0,8,0,?,?,no
11308,'Max Gordichuk',18,Canada,CAN,78,216,D,2004,70,70,0,8,8,54,8,5,0,1,1,6,1,?,?,no
9619,'Jaroslav Mrazek',18,'Czech Rep.',EURO,75,220,D,2004,85,55,3,7,10,52,5,1,0,0,0,0,0,?,?,no
1255,'Fred Wikner',18,Sweden,EURO,73,198,R,2004,70,58,12,15,27,101,1,9,2,2,4,8,0,?,?,no
14859,'Trevor Ludwig',19,USA,USA,73,209,D,2004,188,54,5,27,32,93,0,?,?,?,?,?,?,?,?,no
18027,'Jan Zapletal',18,'Czech Rep.',EURO,73,183,D,2004,55,51,2,4,6,26,-2,4,0,0,0,0,0,?,?,no
2034,'Anton Axelsson',18,Sweden,EURO,72,207,L,2004,144,35,7,11,18,32,0,10,2,3,5,2,0,?,?,no
13482,'Kevin Schaeffer',20,USA,USA,73,201,D,2004,129,38,5,12,17,20,7,?,?,?,?,?,?,?,?,no
9497,'Jean-Michel Rizk',18,Canada,CAN,73,194,R,2004,137,75,12,19,31,89,-20,?,?,?,?,?,?,?,?,no
51401,'Justin Vienneau',18,Canada,CAN,76,216,D,2004,139,53,0,7,7,129,4,11,0,1,1,19,7,?,?,no
18026,'Matt Schneider',19,Canada,CAN,79,212,C,2004,?,69,11,12,23,53,2,11,3,2,5,4,0,?,?,no
11237,'Ryan Pottruff',18,Canada,CAN,72,225,D,2004,211,51,3,5,8,48,9,15,0,0,0,6,0,?,?,no
